hnit	የሌለው
hnak	nominativeመያዣ
hkak	ተሳቢመያዣ
htak	ርዕስጉዳይ
hpap	አባዬ
hmam	እናቴ
hyat	የወላጅ
hcan	እውሰላምነው
hwik	ሲወሰድመያዣ
hsuc	ዘመድ
htat	አያት
hcac	የተራቡ
hnik	አገናዛቢጉዳይ
hcit	ቅጽል
hwan	ና
hman	እኔ
hnan	አንተ
hwam	እኛን
htit	ይህ
htac	መድረሻመያዣ
htik	ተነጻጽረው
hyit	realisስሜት
htim	deonticስሜት
hcut	ሁኔታዊስሜት
hsit	epistemicስሜት
hyak	መሣሪያመያዣ
htan	የውስጥአውድ
hpan	ሰውአውድ
htin	ነጻሐረግ
hyan	ጥገኛሐረግ
hfap	perfectiveገጽታ
hkat	የተካረረያለፈው
hnin	በወንድፆታ
hmak	comitativeመያዣ
hnat	የአሁን
hpak	benefactiveመያዣ
swik	essiveመያዣ
htut	negatoryquantifier
hsan	ላይላዩንአውድ
hpin	adpositionalመያዣ
hwin	የአካባቢሁኔታ
hkan	ቦታአውድ
hnac	መንገድመያዣ
hyut	መጠይቅስሜት
hnam	እናወይም
hkit	የማያካትትወይም
hsuk	ምንጭመያዣ
hpik	ተገብሮመያዣ
hcat	ቅርብነት
hmat	demonstrative
hkuk	ሐረግጅራት
hlan	ግን
hsut	ሁሉ
hyin	ዓለምአቀፋዊquantifier
hcin	አንስታይጾታ
hpac	የብዙቁጥር
hyik	አንድ
htic	ያላቸው
hkik	ማን
tcat	የተካረረወደፊት
hsin	ማህበራዊአውድ
hkac	ጊዜ
hmip	ያልተጠናቀቀገጽታ
klan	እዚያ
hlak	elativeመያዣ
hlik	illativeመያዣ
htam	መምሪያስሜት
hlat	በምርጫquantifier
hkam	ምንድን
hwat	ጥያቄቃል
htap	copula
hpat	ሰው
nyan	ተባዕት
hkas	ይችላል
tcan	ሌላ
hnuc	ቁጥር
twit	አትናቴዎስquantifier
hsak	ጊዜአውድ
htuk	ጊዜያዊሁኔታ
htun	ብቻ
htum	hortativeስሜት
hyip	ኋላተመልሶገጽታ
hlit	volitiveስሜት
pcic	አስፈለገ
tyut	ሁለት
hsat	ተመልከት
hkut	ማወቅ
hcic	ወደታች
hcap	በኋላ
hpam	አንደኛ
hlac	alienableይዞታ
hkap	ፈጽሞ
hnic	የማይገሰሰውይዞታ
tyat	አሮጌ
tcit	deliberativeስሜት
tcin	ቀን
hlam	መጣ
hwak	ቫወል
hkin	ሂድ
lwak	perlativeመያዣ
hpip	ደረጃበደረጃገጽታ
lyan	ረጅም
hsac	አለ
kyan	እንዴት
htas	እንደገና
hsic	እዚህ
hcik	ማሰብ
hcak	አውድስር
hfan	አልተገኘም
hsun	እጅ
hyac	ደግሞ
nwan	ወጣት
tyit	ላይ
tlan	አምላክ
twak	delativeመያዣ
hmin	መነም
hyas	አንድጊዜ
hlap	semelfactiveገጽታ
kcac	ግራ
hyic	መጋዝ
hcas	ቤት
hwac	ዓለም
tyin	ሶስት
hnun	የአፍቃሪ
hcuk	ትኩረት
pyan	ፍቅር
hsis	ሁልጊዜ
hyam	ለሊት
hyap	ንጉሥ
hkic	መካከል
hmas	አእምሮ
cyit	ልብ
pluc	paucalቁጥር
kyik	ስለ
ksak	በሲጋራናመያዣ
tcun	ተከናውኗል
hnim	ስም
tsan	ተገቢስም
klac	አገር
hpun	ጠየቀ
cyat	የሚታይየማስረጃ
pcac	የተሻለ
hmac	ቅጽበት
hnas	አልችልም
hwic	ውሃ
twim	desiderativeስሜት
kwan	መብራት
tlat	ቃል
tyan	በር
hsas	ጠዋት
syat	ድረስ
twik	terminativeመያዣ
hpit	ነጭ
pcan	ገንዘብ
hyis	ድኻ
mwan	ሞት
hfam	ቅርጽ
nwik	inessiveመያዣ
kcat	አንድላየ
tsac	ብዙጊዜ
pyat	ወዳጅ
psan	ግማሽ
hpim	እጅግአስፈላጊስሜት
hyuc	ክብ
hfat	ተልኳል
hcis	ሚስት
kcan	ማመን
hsik	ሕዝባዊ
htus	ሁኔታአውድ
hpas	ወንድልጅ
clat	ልጆች
tyak	ስለዚህ
cwan	ተስፋ
syin	ውድ
hkuc	ከፍያለ
tyac	አነበበ
syit	ከተማ
hlic	ገና
hfit	factiveየማስረጃ
tcac	ሴትልጅ
hcun	ሰማ
ksan	ቢያንስ
hyaf	ምናልባት
kyat	በእርግጥም
tcic	አካል
hwit	መመለስ
cwat	አየር
hfaf	ሕግ
hput	እርዳታ
lyat	ደብዳቤ
ksas	አራት
hpic	ያልፎ
hfuk	እሳት
hcam	ሰአት
twat	ጦርነት
kyak	አንዳንድ
tlit	ሁለተኛ
pcin	ወደኋላ
hmut	ጠፍቷል
clan	ሺህ
hfac	ቤተሰብ
twan	ነፍስ
hwas	ጥያቄ
syan	እውነት
htis	አሰጣጥ
tsat	እምቅስሜት
lwik	allativeመያዣ
nyin	anthropicጾታ
hfak	አምስት
tcak	በተመሳሳይርዕሰምልክትማድረጊያ
htuc	የተለያዩርዕሰጉዳይ
hnap	መልስ
hmit	ባሕር
hcuc	ፍርሃት
pcat	ለመረዳት
syas	ውል
hcaf	ጥርጥር
twut	dubitativeስሜት
hkis	ጥቁር
tlak	ለማምጣት
hyus	ቆንጆ
nyit	ዓይነት
htip	አስር
ksis	ታሪክ
hpuk	መጽሐፍ
hlin	ኤሌክትሮኒክ
hkun	ሒሳብ
lyas	ዝንባሌ
lyit	ጻፈ
pwat	አልጋ
hnis	ዕድሜ
hnut	ሁኔታዊcounterfactual
slas	ሥነጥበብ
hwis	vialisጉዳይ
pyak	ወንድም
lyin	መሥመር
tyas	ጠረጴዛ
hyun	ወንዝ
kyac	ዓይን
tfan	በድንገት
kcin	ጥልቅ
hmuc	ዓላማ
cyac	ደም
hmap	ተነሣ
tlin	ብርድ
hyif	ወደፊት
tyam	ረፍዷል
hnaf	ሐሳብአቀረበ
hkip	ያህል
myan	የኔ
tsin	እውቀት
hkup	ግልባጭ
hsam	ባል
hlis	ስድስት
cwit	የኑሮ
cyan	ሰላም
myat	ማስታወስ
tyic	የተለመደ
hfut	ወደቀ
swas	አገልግሎት
hsap	በስተቀር
pcit	የቅጂመብት
hyim	ጦርሠራዊት
kyas	ፈረስ
plic	የወደፊቱ
pcak	ምዕራብ
hpis	መክፈል
hyuk	ቀይ
hwun	ወርቅ
twin	ፍላጎት
plan	ይጫወታሉ
hpus	ቢሮ
syun	መንግሥት
kyic	ቤተክርስትያን
htaf	ኃይል
hlun	ርዝመት
kyin	ኩባንያ
kyis	ወረቀት
mlan	የሚቻልመሆን
hcim	በተለይ
cyas	ማፍራት
twac	መስኮት
nyat	ውበት
hcus	የኋለኛው
htup	ግዴታ
htif	ርቀት
pyas	እግር
hlas	የዱር
ksin	አረንጓዴ
hmaf	ችግር
myac	ፈገግታ
hsim	እንቅልፍ
kyit	የተጠቀሰው
kwik	quotativeመያዣ
fwan	ጉብኝት
slan	ተከተል
psit	መገኘት
hmic	ጣፋጭ
hmuf	አፍ
hfin	ሀብታም
tcam	ጠላት
psuk	የተሰበረ
kcap	መርከብ
pwan	አካታችሰው
hfic	ተጽዕኖ
tcuc	ብቅ
hkim	ምሥጢራዊ
pyin	አባክሽን
pwit	precativeስሜት
pyit	ትሑትመዝገብ
cwak	ክፉ
myak	መጋቢት
tcas	ቦታዎች
hlaf	መቆየት
psat	በምትኩ
nlan	ሰማያዊ
psac	የማይቻል
kcuk	ትምህርትቤት
kcit	ያገባ
kcak	ምግብ
syis	ሃያ
tlac	ጸጥያለ
