ni	የሌለው
na	nominativeመያዣ
ka	ተሳቢመያዣ
ta	ርዕስጉዳይ
ca	እውሰላምነው
wu	ሲወሰድመያዣ
kcah	የተራቡ
ti	አገናዛቢጉዳይ
ci	ቅጽል
wa	ና
mi	እኔ
sa	አንተ
nyah	እኛን
ya	ይህ
ma	መድረሻመያዣ
yi	ተነጻጽረው
li	realisስሜት
tu	deonticስሜት
cu	ሁኔታዊስሜት
si	epistemicስሜት
yu	መሣሪያመያዣ
nu	የውስጥአውድ
pa	ሰውአውድ
tyah	ነጻሐረግ
la	ጥገኛሐረግ
fa	perfectiveገጽታ
ki	የተካረረያለፈው
ne	በወንድፆታ
mwah	comitativeመያዣ
ra	የአሁን
pwah	benefactiveመያዣ
swih	essiveመያዣ
no	negatoryquantifier
pi	ላይላዩንአውድ
da	adpositionalመያዣ
te	የአካባቢሁኔታ
to	ቦታአውድ
ga	መንገድመያዣ
ri	መጠይቅስሜት
ba	እናወይም
ku	የማያካትትወይም
so	ምንጭመያዣ
pwih	ተገብሮመያዣ
ksah	ቅርብነት
tsah	demonstrative
ko	ሐረግጅራት
pyah	ግን
wi	ዓለምአቀፋዊquantifier
ji	አንስታይጾታ
pu	የብዙቁጥር
bi	የተካረረወደፊት
co	ማህበራዊአውድ
me	ያልተጠናቀቀገጽታ
klah	እዚያ
twah	elativeመያዣ
twih	illativeመያዣ
di	መምሪያስሜት
tlah	በምርጫquantifier
kyah	ምንድን
tcah	ጥያቄቃል
ja	copula
cyah	ሰው
clah	ሌላ
do	ቁጥር
tlih	አትናቴዎስquantifier
se	ጊዜአውድ
myah	ጊዜያዊሁኔታ
tyuh	ብቻ
tcih	hortativeስሜት
tyih	ኋላተመልሶገጽታ
lo	volitiveስሜት
cwah	በኋላ
nlah	alienableይዞታ
nlih	የማይገሰሰውይዞታ
cyih	deliberativeስሜት
lwah	perlativeመያዣ
pfih	ደረጃበደረጃገጽታ
tsih	እዚህ
ce	አውድስር
pcah	ደግሞ
lwih	delativeመያዣ
swah	semelfactiveገጽታ
nyih	የአፍቃሪ
fu	ትኩረት
plah	ፍቅር
po	paucalቁጥር
kyih	ስለ
ksih	በሲጋራናመያዣ
gi	ስም
tfah	ተገቢስም
crih	የሚታይየማስረጃ
kceh	የተሻለ
dwih	desiderativeስሜት
wo	ቃል
srah	ድረስ
tweh	terminativeመያዣ
nwih	inessiveመያዣ
pcih	እጅግአስፈላጊስሜት
crah	ማመን
ro	ሁኔታአውድ
cwih	ተስፋ
kwih	factiveየማስረጃ
fi	መመለስ
psih	ያልፎ
tseh	እምቅስሜት
lweh	allativeመያዣ
nrih	anthropicጾታ
tceh	በተመሳሳይርዕሰምልክትማድረጊያ
re	የተለያዩርዕሰጉዳይ
croh	ፍርሃት
mrah	ለመረዳት
cyuh	ጥርጥር
twuh	dubitativeስሜት
myih	ቆንጆ
lyih	ዝንባሌ
flah	ሁኔታዊcounterfactual
we	vialisጉዳይ
clih	ብርድ
pyih	ሰላም
su	በስተቀር
kwah	ፍላጎት
le	ርዝመት
bo	የሚቻልመሆን
mlah	ችግር
syah	ፈገግታ
slih	እንቅልፍ
zi	የተጠቀሰው
twoh	quotativeመያዣ
mo	አካታችሰው
kcih	አባክሽን
rwih	precativeስሜት
mrih	ትሑትመዝገብ
rwah	ዕጩገጽታ
cyeh	ብለህታስብ
go	gnomicገጽታ
tsoh	አክብሮት
za	inchoativeገጽታ
jwih	JUSSIVEስሜት
mwih	ልልስሜት
sloh	ስኬት
prih	የግል
de	distributiveመያዣ
tcoh	ሕመም
ryah	ሳቅ
mlih	ጥበበኛ
ye	የባለቤትነትንማድረጊያ
ke	commissiveስሜት
creh	ከንቱ
mweh	completiveገጽታ
nrah	ሙቅ
nroh	ቁጣ
bwah	ቢሆንም
trah	ኩራት
mroh	የሞራል
slah	ጤና
syih	ማኅበራዊ
pe	cessativeገጽታ
krih	ሁሉንለማወቅየሚቸኩል
tfih	intensifier
fe	በመጨረሻ
prah	ወደጎን
trih	የማስረጃ
nwah	የማስረጃጉዳይ
srih	መከፋት
zo	zoicፆታ
nweh	eventiveስሜት
cwoh	ተመሳሳይክስተትምልክትማድረጊያ
plih	ተባዢመያዣ
dwah	የተፈለገውን
kcoh	ደክሞኝል
drah	ደስተኛ
lu	በግምትስሜት
frih	የተለመደመዝገብ
frah	ቆስለዋል
mruh	ሞኝሰዉ
djih	ርኅራኌ
krah	አመሰግናለሁ
cruh	ኀፍረት
fyah	ሐረግምልክትማድረጊያ
ryih	ያወጣው
kruh	መራራ
tyeh	ጽሑፍ
kreh	ጨካኝ
tleh	የተካረረhesternal
kfah	መሥዋዕት
dyih	ጥላቻ
cloh	ምክንያታዊጾታ
nloh	ይደሰቱ
psah	ተስፋመቁረጥ
sleh	vegetalጾታ
nruh	ንጹሕ
drih	አድናቆት
sroh	ይቅርታ
brih	መሠረት
kluh	መደናገር
bwih	benedictiveስሜት
klih	ጥፋተኛ
grih	ደንቆሮ
nyeh	ተነሳሽነትመያዣ
nleh	ትሑት
dlih	ዘግይተዋልተተኳሪነው
proh	ሪፖርትየማስረጃ
mloh	ዱብ
du	ነጠላ
jrih	ትዕግሥት
freh	referential
kloh	ብቸኛ
kroh	ዉበት
tcuh	ታላቅፍላጐት
kcuh	ተጋቦትስሜት
xa	ንግግሩንዐውደ-ጽሑፍ
nreh	በቀላሉየሚደነግጥ
pseh	ገጽታ
ge	ወኪል
mu	admonitiveስሜት
byah	የጋለፍላጐት
pcoh	የተሰበሰበ
