ni	ﺭﺪﺼﻤﻟﺍﺔﻐﻴﺻ
na	ﺪﻋﺍﻮﻗﻊﻓﺭﺔﻟﺎﺣ
ka	ﺐﺼﻨﻟﺍﺔﻟﺎﺣﺔﻟﺎﺣ
ta	ﻉﻮﺿﻮﻣﺔﻟﺎﺣ
ca	ﻼﻫﺃ
wu	ﻲﺋﺍﺪﻧﺔﻟﺎﺣ
kcah	ﻊﺋﺎﺟ
ti	ﻑﺎﻀﻣﺔﻟﺎﺣ
ci	ﺔﻔﺻ
wa	ﻭ
mi	ﺎﻧﺃ
sa	ﺖﻧﺃ
nyah	ﺎﻨﻟ
ya	ﻮﻫ
ma	ﺩﻮﺼﻘﻤﻟﺍﻥﺎﻜﻤﻟﺍﺔﻟﺎﺣ
yi	ﺐﺼﻨﻟﺍﻝﺎﺣﻲﻓﺔﻌﻗﺍﻭﺔﻤﻠﻛﺔﻟﺎﺣ
li	REALISﺝﺍﺰﻣ
tu	deonticﺝﺍﺰﻣ
cu	ﻲﻃﺮﺷﺝﺍﺰﻣ
si	ﻲﻓﺮﻌﻤﻟﺍﺝﺍﺰﻣ
yu	ﻝﺎﻌﻓﺭﻭﺩﺔﻟﺎﺣ
nu	ﻲﻠﺧﺍﺩﻡﻼﻜﻟﺍﻕﺎﻴﺳ
pa	ﺺﺨﺷﻡﻼﻜﻟﺍﻕﺎﻴﺳ
tyah	بندمستقل
la	ﻊﺑﺎﺗﺪﻨﺑ
fa	ﻦﺴﺤﺘﻣﺐﻧﺎﺟ
ki	ﻲﺿﺎﻤﻟﺍﺮﺗﻮﺗ
ne	ﺮﻛﺬﻣﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
mwah	comitativeﺔﻟﺎﺣ
ra	ﺮﺿﺎﺣﺮﺗﻮﺗ
pwah	benefactiveﺔﻟﺎﺣ
swih	essiveﺔﻟﺎﺣ
no	ﺾﻓﺍﺭﺔﻴﻤﻜﻟﺍﺩﺪﺤﻣ
pi	ﺢﻄﺳﻡﻼﻜﻟﺍﻕﺎﻴﺳ
da	adpositionalﺔﻟﺎﺣ
te	ﻊﻗﻮﻣﺔﻟﺎﺣ
to	ءﺎﻀﻔﻟﺍﻡﻼﻜﻟﺍﻕﺎﻴﺳ
ga	ﻖﻳﺮﻃﺔﻟﺎﺣ
ri	ﻲﻣﺎﻬﻔﺘﺳﺍﺝﺍﺰﻣ
ba	ﻭﻭﺃ
ku	ﻭﺃﻱﺮﺼﺣ
so	ﺭﺪﺼﻣﺔﻟﺎﺣ
pwih	ﺮﺠﻟﺍﺔﻟﺎﺣ
ksah	قرب
tsah	ﻲﻧﺎﻫﺮﺑ
ko	ﻞﻳﺬﻟﺍﻁﺮﺷ
pyah	ﻦﻜﻟ
wi	ﻲﻤﻟﺎﻋﺔﻴﻤﻜﻟﺍﺩﺪﺤﻣ
ji	ﺚﻧﺆﻤﻟﺍﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
pu	ﻊﻤﺠﻟﺍﺔﻐﻴﺻﺩﺪﻋ
bi	ﻞﺒﻘﺘﺴﻣﺮﺗﻮﺗ
co	ﻲﻋﺎﻤﺘﺟﺍﻡﻼﻜﻟﺍﻕﺎﻴﺳ
me	imperfectiveﺐﻧﺎﺟ
klah	ﻙﺎﻨﻫ
