hnit	ﺭﺪﺼﻤﻟﺍﺔﻐﻴﺻ
hnak	ﺪﻋﺍﻮﻗﻊﻓﺭﺔﻟﺎﺣ
hkak	ﺐﺼﻨﻟﺍﺔﻟﺎﺣﺔﻟﺎﺣ
htak	ﻉﻮﺿﻮﻣﺔﻟﺎﺣ
hpap	ﺏﺃ
hmam	ﻲﻣﺃ
hyat	ﻱﻮﺑﺃ
hcan	ﻼﻫﺃ
hwik	ﻲﺋﺍﺪﻧﺔﻟﺎﺣ
hsuc	ﻒﻠﺳ
htat	ﺪﺟ
hcac	ﻊﺋﺎﺟ
hnik	ﻑﺎﻀﻣﺔﻟﺎﺣ
hcit	ﺔﻔﺻ
hwan	ﻭ
hman	ﺎﻧﺃ
hnan	ﺖﻧﺃ
hwam	ﺎﻨﻟ
htit	ﻮﻫ
htac	ﺩﻮﺼﻘﻤﻟﺍﻥﺎﻜﻤﻟﺍﺔﻟﺎﺣ
htik	ﺐﺼﻨﻟﺍﻝﺎﺣﻲﻓﺔﻌﻗﺍﻭﺔﻤﻠﻛﺔﻟﺎﺣ
hyit	REALISﺝﺍﺰﻣ
htim	deonticﺝﺍﺰﻣ
hcut	ﻲﻃﺮﺷﺝﺍﺰﻣ
hsit	ﻲﻓﺮﻌﻤﻟﺍﺝﺍﺰﻣ
hyak	ﻝﺎﻌﻓﺭﻭﺩﺔﻟﺎﺣ
htan	ﻲﻠﺧﺍﺩﻡﻼﻜﻟﺍﻕﺎﻴﺳ
hpan	ﺺﺨﺷﻡﻼﻜﻟﺍﻕﺎﻴﺳ
htin	بندمستقل
hyan	ﻊﺑﺎﺗﺪﻨﺑ
hfap	ﻦﺴﺤﺘﻣﺐﻧﺎﺟ
hkat	ﻲﺿﺎﻤﻟﺍﺮﺗﻮﺗ
hnin	ﺮﻛﺬﻣﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
hmak	comitativeﺔﻟﺎﺣ
hnat	ﺮﺿﺎﺣﺮﺗﻮﺗ
hpak	benefactiveﺔﻟﺎﺣ
swik	essiveﺔﻟﺎﺣ
htut	ﺾﻓﺍﺭﺔﻴﻤﻜﻟﺍﺩﺪﺤﻣ
hsan	ﺢﻄﺳﻡﻼﻜﻟﺍﻕﺎﻴﺳ
hpin	adpositionalﺔﻟﺎﺣ
hwin	ﻊﻗﻮﻣﺔﻟﺎﺣ
hkan	ءﺎﻀﻔﻟﺍﻡﻼﻜﻟﺍﻕﺎﻴﺳ
hnac	ﻖﻳﺮﻃﺔﻟﺎﺣ
hyut	ﻲﻣﺎﻬﻔﺘﺳﺍﺝﺍﺰﻣ
hnam	ﻭﻭﺃ
hkit	ﻭﺃﻱﺮﺼﺣ
hsuk	ﺭﺪﺼﻣﺔﻟﺎﺣ
hpik	ﺮﺠﻟﺍﺔﻟﺎﺣ
hcat	قرب
hmat	ﻲﻧﺎﻫﺮﺑ
hkuk	ﻞﻳﺬﻟﺍﻁﺮﺷ
hlan	ﻦﻜﻟ
hsut	ﻊﻴﻤﺟ
hyin	ﻲﻤﻟﺎﻋﺔﻴﻤﻜﻟﺍﺩﺪﺤﻣ
hcin	ﺚﻧﺆﻤﻟﺍﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
hpac	ﻊﻤﺠﻟﺍﺔﻐﻴﺻﺩﺪﻋ
hyik	ﺪﺣﺍﻭ
htic	ﻢﻫ
hkik	ﻯﺬﻟﺍﻦﻣ
tcat	ﻞﺒﻘﺘﺴﻣﺮﺗﻮﺗ
hsin	ﻲﻋﺎﻤﺘﺟﺍﻡﻼﻜﻟﺍﻕﺎﻴﺳ
hkac	ﻰﺘﻣ
hmip	imperfectiveﺐﻧﺎﺟ
klan	ﻙﺎﻨﻫ
hlak	ﺐﻳﺮﻗﺔﻟﺎﺣ
hlik	illativeﺔﻟﺎﺣ
htam	ﺕﺎﻬﻴﺟﻮﺗﺝﺍﺰﻣ
hlat	ﻱﺭﺎﻴﺘﺧﺍﺔﻴﻤﻜﻟﺍﺩﺪﺤﻣ
hkam	ﺍﺫﺎﻣ
hwat	ﻝﺍﺆﺳﺔﻤﻠﻛ
htap	ﻂﺑﺍﺮﻟﺍﻞﻌﻔﻟﺍ
hpat	ﺺﺨﺷ
nyan	ﺮﻛﺫ
hkas	ﻉﺎﻄﺘﺳﺍ
tcan	ﺮﺧﻵﺍ
hnuc	ﺩﺪﻋ
twit	ﻡﺯﺎﺟﺔﻴﻤﻜﻟﺍﺩﺪﺤﻣ
hsak	ﺓﺮﻣﻡﻼﻜﻟﺍﻕﺎﻴﺳ
htuk	ﻞﺋﺍﺯﺔﻟﺎﺣ
htun	ﻂﻘﻓ
htum	hortativeﺝﺍﺰﻣ
hyip	ءﺍﺭﻮﻟﺍﻰﻟﺍﻊﻠﻄﺘﻣﺐﻧﺎﺟ
hlit	volitiveﺝﺍﺰﻣ
pcic	ﺐﺠﻳ
tyut	ﻥﺎﻨﺛﺍ
hsat	ﺪﻫﺎﺷ
hkut	ﻢﻠﻋ
hcic	ﻞﻔﺳﺃ
hcap	ﺪﻌﺑ
hpam	ﻝﻭﻷﺍ
hlac	ﻞﻳﻮﺤﺘﻠﻟﻞﺑﺎﻗﺓﺯﺎﻴﺣ
hkap	ﺍﺪﺑﺃ
hnic	ﻞﻳﻮﻤﺘﻟﺍﻭﺓﺭﺩﺎﺼﻤﻠﻟﻞﺑﺎﻗﺮﻴﻏﺓﺯﺎﻴﺣ
tyat	ﻢﻳﺪﻗ
tcit	ﻝﻭﺍﺪﺗﺝﺍﺰﻣ
tcin	ﻡﻮﻳ
hlam	ﻝﺎﻌﺗ
hwak	ﻙﺮﺤﺘﻣﻑﺮﺣ
hkin	ﺐﻫﺫﺍ
lwak	perlativeﺔﻟﺎﺣ
hpip	ﺔﻴﻣﺪﻘﺗﺐﻧﺎﺟ
lyan	ﻞﻳﻮﻃ
hsac	ﻞﻗ
kyan	ﻒﻴﻛ
htas	ﺔﻴﻧﺎﺛ
hsic	ﺎﻨﻫ
hcik	ﻲﻓﺮﻜﻓ
hcak	ﺖﺤﺗﻡﻼﻜﻟﺍﻕﺎﻴﺳ
hfan	ﺕﺪﺟﻭ
hsun	ﺪﻳ
hyac	ﺎﻀﻳﺃ
nwan	ﺏﺎﺷ
tyit	ﺪﺿ
tlan	ﻪﻠﻟﺍ
twak	delativeﺔﻟﺎﺣ
hmin	ﻰﺷﻻ
hyas	ﺓﺮﻣﺕﺍﺫ
hlap	semelfactiveﺐﻧﺎﺟ
kcac	ﺭﺎﺴﻴﻟﺍ
hyic	ﺭﺎﺸﻨﻣ
hcas	ﺖﻴﺑ
hwac	ﻢﻟﺎﻌﻟﺍ
tyin	ﺔﺛﻼﺛ
hnun	ﺩﺪﺠﻟﺍ
hcuk	ﺰﻛﺮﺗ
pyan	ﺐﺤﻟﺍ
hsis	ﺎﻤﺋﺍﺩ
hyam	ﻞﻴﻟ
hyap	ﻚﻠﻣ
hkic	ﻦﻴﺑﺎﻣ
hmas	ﻞﻘﻋ
cyit	ﺐﻠﻗ
pluc	paucalﺩﺪﻋ
kyik	ﺐﺒﺴﺑ
ksak	ﻲﺒﺒﺳﺔﻟﺎﺣ
tcun	فعله
hnim	ﻢﺳﺍ
tsan	ﻖﺋﻻﻢﺳﺇ
klac	ﺪﻠﺑ
hpun	ﺖﺒﻠﻃ
cyat	ﻲﺋﺮﻣﺮﻫﺎﻇ
pcac	ﻞﻀﻓﺃ
hmac	ﺔﻈﺤﻟ
hnas	ﻦﻜﻤﻳﻻ
hwic	ءﺎﻣ
twim	desiderativeﺝﺍﺰﻣ
kwan	ﺭﻮﻧ
tlat	ﺔﻤﻠﻛ
tyan	ﺏﺎﺑ
hsas	ﺡﺎﺒﺻ
syat	ﻰﺘﺣ
twik	terminativeﺔﻟﺎﺣ
hpit	ﺾﻴﺑﺃ
pcan	ﻝﺎﻣ
hyis	ﺮﻴﻘﻓ
mwan	ﺕﻮﻤﻟﺍ
hfam	ﻞﻜﺷ
nwik	inessiveﺔﻟﺎﺣ
kcat	ﺎﻳﻮﺳ
tsac	ﺎﺒﻟﺎﻏ
pyat	ﻖﻳﺪﺻ
psan	ﻒﺼﻧ
hpim	ﺐﺟﺍﻭﺝﺍﺰﻣ
hyuc	ﺔﻟﻮﺠﻟﺍ
hfat	أرسلت
hcis	ﺔﺟﻭﺯ
kcan	ﻦﻣﺅﺃ
hsik	ﺔﻣﺎﻋ
htus	ﺔﻟﺎﺣﻡﻼﻜﻟﺍﻕﺎﻴﺳ
hpas	ﻦﺑﺍ
clat	ﻝﺎﻔﻃﻷﺍ
tyak	ﺍﺬﻜﻫﻭ
cwan	ﻞﻣﺃ
syin	ﺰﻳﺰﻌﻟﺍ
hkuc	ﻲﻟﺎﻋ
tyac	ﺃﺮﻗﺍ
syit	ﺔﻨﻳﺪﻤﻟﺍ
hlic	ﻞﻌﻔﻟﺎﺑ،ﺎﻘﺑﺎﺳ
hfit	factiveﺮﻫﺎﻇ
tcac	ﺓﺎﺘﻓ
hcun	ﻊﻤﺳ
ksan	ﻞﻗﻷﺍ
hyaf	ﺎﻤﺑﺭ
kyat	ﺎﻌﺒﻃ
tcic	ﻢﺴﺠﻟﺍ
hwit	ﺓﺩﻮﻋ
cwat	ءﺍﻮﻫ
hfaf	ﻥﻮﻧﺎﻘﻟﺍ
hput	ﺓﺪﻋﺎﺴﻣ
lyat	ﺔﻟﺎﺳﺭ
ksas	ﺔﻌﺑﺭﺃ
hpic	ﻲﻨﻤﺘﻟﺍﻰﻠﻋﻝﺍﺩﺝﺍﺰﻣ
hfuk	ﻖﻳﺮﺣ
hcam	ﺔﻋﺎﺳ
twat	ﺏﺮﺣ
kyak	ﻦﻣﺪﻳﺪﻌﻟﺍ
tlit	ﻲﻧﺎﺜﻟﺍ
pcin	ﻒﻠﺧ
hmut	ﻊﺋﺎﺿ
clan	ﻒﻟﺃ
hfac	ﺔﻠﺋﺎﻋ
twan	ﺡﻭﺭ
hwas	ﻝﺍﺆﺳ
syan	ﺔﻘﻴﻘﺣ
htis	صناعة
tsat	ﻞﻤﺘﺤﻣﺝﺍﺰﻣ
lwik	allativeﺔﻟﺎﺣ
nyin	ﻲﺴﻧﺇﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
hfak	ﺔﺴﻤﺧ
tcak	ﻪﺴﻔﻧﻉﻮﺿﻮﻣﺔﻣﻼﻋ
htuc	ﻒﻠﺘﺨﻣﻉﻮﺿﻮﻣ
hnap	ﺔﺑﺎﺟﺇ
hmit	ﺮﺤﺑ
hcuc	ﻑﻮﺧ
pcat	ﻢﻬﻔﺗ
syas	ﻁﻭﺮﺷ
hcaf	ﻚﺷ
twut	dubitativeﺝﺍﺰﻣ
hkis	ﺩﻮﺳﺃ
tlak	ﺮﻀﺣﺍ
hyus	ﻞﻴﻤﺟ
nyit	ﺯﺮﻓ
htip	ﺓﺮﺸﻋ
ksis	ﺔﺼﻗ
hpuk	ﺏﺎﺘﻛ
hlin	ﻲﻧﻭﺮﺘﻜﻟﺇ
hkun	ﺏﺎﺴﺣ
lyas	ﻡﺎﻤﺘﻫﺍ
lyit	ﺐﺘﻛﺍ
pwat	ﺮﻳﺮﺳ
hnis	ﻦﺳ
hnut	ﺮﻳﺎﻐﻤﻟﺍﻲﻃﺮﺷ
slas	ﻦﻓ
hwis	vialisﺔﻟﺎﺣ
pyak	ﺥﺃ
lyin	ﻂﺧ
tyas	ﻝﻭﺪﺟ
hyun	ﺮﻬﻧ
kyac	ﻦﻴﻋ
tfan	ﺓﺄﺠﻓ
kcin	ﻖﻴﻤﻋ
hmuc	ﺽﺮﻏ
cyac	ﻡﺩ
hmap	ﻊﻔﺗﺭﺍ
tlin	ﺩﺮﺑ
hyif	ﻡﺎﻣﻷﺍﻰﻟﺇ
tyam	ﺮﺧﺄﺘﻣ
hnaf	ﺽﺮﺘﻓﺍ
hkip	ﺎﺒﻳﺮﻘﺗ
myan	ﻲﺑﺹﺎﺨﻟﺍ
tsin	ﺔﻓﺮﻌﻣ
hkup	ﺦﺴﻧ
hsam	ﺝﻭﺰﻟﺍ
hlis	ﺔﺘﺳ
cwit	ﺔﺸﻴﻌﻤﻟﺍ
cyan	ﻡﻼﺳ
myat	ﺮﻛﺬﺗ
tyic	ﻲﻌﻴﺒﻃ
hfut	ﻊﻘﺗ
swas	ﺔﻣﺪﺧ
hsap	ﺍﺪﻋﺎﻣ
pcit	ﺮﺸﻨﻟﺍﻖﺣ
hyim	ﺶﻴﺟ
kyas	ﻥﺎﺼﺣ
plic	ﻞﺒﻘﺘﺴﻣ
pcak	ﺏﺮﻏ
hpis	ﻊﻓﺩ
hyuk	ﺮﻤﺣﺃ
hwun	ﺐﻫﺫ
twin	ﺔﺒﻏﺭ
plan	ﺐﻌﻟ
hpus	ﺐﺘﻜﻣ
syun	ﺔﻣﻮﻜﺣ
kyic	ﺔﺴﻴﻨﻛ
htaf	ﺓﻮﻗ
hlun	ﻝﻮﻄﻟﺍ
kyin	ﺔﻛﺮﺷ
kyis	ﺔﻗﺭﻭ
mlan	ﻝﺎﻤﺘﺣﺍ
hcim	ﺔﺻﺎﺧ
cyas	ﻞﻤﺤﺘﻳ
twac	ﺓﺬﻓﺎﻧ
nyat	ﻝﺎﻤﺟ
hcus	ﺮﻴﺧﺃ
htup	ﺐﺟﺍﻭ
htif	ﺕﺎﻓﺎﺴﻤﻟﺍ
pyas	ﻡﺪﻗ
hlas	ﻱﺮﺑ
ksin	ﺮﻀﺧﺃ
hmaf	ﺔﻠﻜﺸﻣ
myac	ﺔﻣﺎﺴﺘﺑﺍ
hsim	ﻡﻮﻧ
kyit	ونقلت
kwik	quotativeﺔﻟﺎﺣ
fwan	ﺓﺭﺎﻳﺯ
slan	ﻊﺒﺗﺇ
psit	ﺭﻮﻀﺣ
hmic	ﻮﻠﺣ
hmuf	ﻢﻓ
hfin	ﻲﻨﻏ
tcam	ﻭﺪﻌﻟﺍ
psuk	ﺭﻮﺴﻜﻣ
kcap	ﺔﻨﻴﻔﺳ
pwan	ﻞﻣﺎﺷﺺﺨﺷ
hfic	ﺮﻴﺛﺄﺗ
tcuc	ﺮﻬﻇ
hkim	ﺮﺳ
pyin	ﻚﻠﻀﻓﻦﻣ
pwit	precativeﺝﺍﺰﻣ
pyit	ﺏﺬﻬﻣﻞﻴﺠﺴﺗ
cwak	ﺮﺷ
myak	ﻡﺪﻘﺘﻳ،ﺮﻴﺴﻳ،ﺱﺭﺎﻣ
tcas	الأماكن
hlaf	ءﺎﻘﺒﻟﺍ
psat	ﻦﻣﻻﺪﺑ
