hnit	məsdər
hnak	adlıqhal
hkak	accusativecase
htak	mövzuişi
hpap	dədə
hmam	ana
hyat	valideyn
hcan	Salam
hwik	seslenmeişi
hsuc	əcdad
htat	grandparent
hcac	ac
hnik	yiyəlikhal
hcit	sifət
hwan	və
hman	mən
hnan	Sən
hwam	us
htit	o
htac	təyinatişi
htik	dativeişi
hyit	realəhval
htim	deonticəhval
hcut	şərtiəhval
hsit	epistemikəhval
hyak	instrumentalişi
htan	daxilikontekstində
hpan	şəxskontekstində
htin	müstəqilMaddə
hyan	asılıbənddə
hfap	Perfectiveaspekt
hkat	keçmişzaman
hnin	kişigender
hmak	comitativeişi
hnat	indikizaman
hpak	benefactiveişi
swik	essiveişi
htut	negatorykvantifikatoru
hsan	yerüstükontekstində
hpin	adpositionalişi
hwin	yeriişi
hkan	spacekontekstində
hnac	yolişi
hyut	sualəhval
hnam	vəya
hkit	xüsusivəya
hsuk	mənbəişi
hpik	ablativeişi
hcat	yaxınlıq
hmat	nümayişkaranə
hkuk	Maddəquyruq
hlan	Amma
hsut	bütün
hyin	universalkvantifikatoru
hcin	qadıngender
hpac	cəm
hyik	bir
htic	onların
hkik	kim
tcat	gələcəkzaman
hsin	sosialkontekst
hkac	nəvaxt
hmip	imperfectiveaspekt
klan	orada
hlak	elativeişi
hlik	illativeişi
htam	direktivəhval
hlat	seçkilikvantifikatoru
hkam	nə
hwat	sualsöz
htap	copula
hpat	şəxs
nyan	kişi
hkas	bilər
tcan	digər
hnuc	nömrə
twit	iddialıkvantifikatoru
hsak	vaxtkontekstində
htuk	müvəqqətihal
htun	yalnız
htum	teşvikediciəhval
hyip	retrospektivaspekt
hlit	Volitiveəhval
pcic	gərək
tyut	iki
hsat	görmək
hkut	bilirəm
hcic	aşağı
hcap	sonra
hpam	ilk
hlac	özgəninkiləşdiriləsahiblik
hkap	heç
hnic	ayrılmazsahiblik
tyat	qoca
tcit	məşvərətçiəhval
tcin	gün
hlam	gəlmək
hwak	sait
hkin	getmək
lwak	perlativeişi
hpip	mütərəqqiaspekt
lyan	uzun
hsac	demək
kyan	Necə
htas	yenidən
hsic	burada
hcik	düşünmək
hcak	kontekstindəaltında
hfan	aşkar
hsun	əl
hyac	həmçinin
nwan	gənc
tyit	qarşı
tlan	Allah
twak	delativeişi
hmin	heçbirşey
hyas	dəfə
hlap	semelfactiveaspekt
kcac	sol
hyic	mişar
hcas	ev
hwac	dünya
tyin	üç
hnun	neo
hcuk	focus
pyan	sevgi
hsis	həmişə
hyam	gecə
hyap	kral
hkic	arasında
hmas	ağıl
cyit	ürək
pluc	paucalsayı
kyik	çünki
ksak	causalişi
tcun	görülən
hnim	ad
tsan	xüsusiisim
klac	ölkə
hpun	soruşdu
cyat	görünənsübut
pcac	yaxşı
hmac	an
hnas	bilməz
hwic	su
twim	desiderativeəhval
kwan	yüngül
tlat	söz
tyan	qapı
hsas	səhər
syat	qədər
twik	terminativeişi
hpit	ağ
pcan	pul
hyis	yoxsul
mwan	ölüm
hfam	forma
nwik	inessiveişi
kcat	birlikdə
tsac	tez-tez
pyat	dost
psan	yarım
hpim	vacibəhval
hyuc	dəyirmi
hfat	göndərdi
hcis	arvad
kcan	inanmaq
hsik	ictimai
htus	dövlətkontekstində
hpas	oğul
clat	uşaqlar
tyak	belə
cwan	ümid
syin	Əziz
hkuc	yüksək
tyac	oxumaq
syit	şəhər
hlic	artıq
hfit	factivesübut
tcac	qız
hcun	eşitmək
ksan	ənazı
hyaf	bəlkə
kyat	həqiqətən
tcic	bədən
hwit	qayıtmaq
cwat	hava
hfaf	hüquq
hput	kömək
lyat	məktub
ksas	dörd
hpic	istekbelirtenəhval
hfuk	yanğın
hcam	saat
twat	müharibə
kyak	birneçə
tlit	ikinci
pcin	arxadan
hmut	itirilmiş
clan	min
hfac	ailə
twan	can
hwas	sual
syan	həqiqət
htis	edilməsi
tsat	potensialəhval
lwik	allativeişi
nyin	anthropicgender
hfak	beş
tcak	Eynimövzumarker
htuc	müxtəlifmövzu
hnap	cavab
hmit	dəniz
hcuc	qorxu
pcat	anlamaq
syas	şərt
hcaf	şübhə
twut	dubitativeəhval
hkis	qara
tlak	gətirmək
hyus	gözəl
nyit	cür
htip	on
ksis	hekayə
hpuk	kitab
hlin	elektron
hkun	hesab
lyas	maraq
lyit	yazmaq
pwat	yataq
hnis	əsr
hnut	şərticounterfactual
slas	incəsənət
hwis	vialisişi
pyak	qardaş
lyin	xətt
tyas	masa
hyun	çay
kyac	göz
tfan	birdən-birə
kcin	dərin
hmuc	məqsəd
cyac	qan
hmap	gül
tlin	soyuq
hyif	irəli
tyam	gec
hnaf	güman
hkip	təxminən
myan	mina
tsin	bilik
hkup	köçürmək
hsam	ər
hlis	altı
cwit	yaşayış
cyan	sülh
myat	xatırlamaq
tyic	təbii
hfut	düşmək
swas	xidmət
hsap	istisnaolmaqla,
pcit	müəlliflikhüququ
hyim	ordu
kyas	at
plic	gələcək
pcak	qərb
hpis	maaş
hyuk	qırmızı
hwun	qızıl
twin	arzu
plan	oynamaq
hpus	katibə
syun	hökümət
kyic	kilsə
htaf	güc
hlun	uzunluq
kyin	şirkət
kyis	kağız
mlan	ehtimal
hcim	xüsusən
cyas	ayı
twac	pəncərə
nyat	gözəllik
hcus	sonuncu
htup	vəzifə
htif	məsafə
pyas	ayaq
hlas	vəhşi
ksin	yaşıl
hmaf	narahatlıq
myac	təbəssüm
hsim	yuxu
kyit	sitat
kwik	quotativeişi
fwan	ziyarət
slan	izləmək
psit	iştirak
hmic	şirin
hmuf	Ağız
hfin	zəngin
tcam	düşmən
psuk	qırıq
kcap	gəmi
pwan	daxilşəxs
hfic	təsir
tcuc	görünür
hkim	gizli
pyin	lütfən
pwit	precativeəhval
pyit	nəzakətliregister
cwak	bəla
myak	mart
tcas	yerləri
hlaf	qalmaq
psat	yerinə
nlan	mavi
psac	qeyri-mümkün
kcuk	məktəb
kcit	ailəli
kcak	qida
syis	iyirmi
tlac	sakit
hcip	perspektivliaspekt
kwin	verilməsi
tsit	dayandı
pyac	dil
hsus	həftə
hcup	zal
cyap	təəccüb
tfin	doğulmaq
fyat	məhkəmə
hnip	gnomicaspekt
tsak	hörmət
tlas	dəyər
syuc	ağac
plat	divar
cyak	Cənnət
twip	inchoativeaspekt
mlat	komanda
swit	jussiveəhval
mwas	ay
hwaf	mükəmməl
tyap	təcrübə
ksac	hallar
syac	təzə
hnuk	Duke
kwak	örtülü
tyuk	şərq
pwac	daş
hkif	nəcib
nyac	istiqamət
cyis	kafedra
tyuc	gözləmə
tsun	kənd
tyik	razılaşmaq
hnum	liberaləhval
slak	uğur
tsic	çalışır
slat	təpə
hmik	musiqi
hkus	ağlamaq
hsip	yeddi
hpaf	xüsusi
nwas	xəbər
tfac	səhnə
fyan	bağ
cwas	başlamaq
hfik	paylayıcıişi
lyac	öyrənmək
syik	siyasi
clin	henry
cyin	yalan
tsas	tökmə
cyik	səlahiyyət
tlap	mərtəbə
cyam	yay
tcut	din
tcap	xilas
hlut	müəllif
pyun	palıdı
tcuk	ağrı
swan	yaz
hmun	yumşaq
kyun	künc
nyak	ticarətnişanı
tsis	ədalət
psas	istehsal
cyaf	gülüş
hwut	unutmaq
hyup	Avropa
hwap	səkkiz
psak	ötürmə
kyap	dəhşətli
pyic	lazım
hmim	mühit
hsaf	nəfəs
hmis	ağıllı
hsum	yiyəlikmarker
ksat	xoş
ksit	ağır
tsap	ada
kyam	düşərgə
tcum	toxunmaq
cyun	bəxt
psic	sahil
tyun	domain
mwit	commissiveəhval
tlut	dərəcə
myit	qış
kfan	davranış
slac	qaçış
myin	dəqiqə
tyip	qurğuşun
klas	şüşə
pfat	kollegiya
cyic	boş-boş
swam	işlər
syam	təhlükəsiz
tsut	həkim
hlip	tamamlayıcıaspekt
kcas	qaranlıq
nyun	isti
hpuc	içki
tlam	misal
hfun	hirs
tsik	kin
tsam	bilavasitə
hmup	papaq
klak	it
slin	gümüş
swac	qulluqçu
kcam	iftixar
pyik	qatar
myut	mənəvi
syak	daxilolmaq
swat	qılınc
kyuk	hücum
clac	sağlamlıq
tyaf	paraqraf
swic	sosial
tfit	geri
hkaf	rəsmi
pcas	nəzər
nyam	şöhrət
tfat	oniki
pcut	nişanlı
pwin	şərab
mwat	dad
fyac	dəmir
syap	yaymaq
myap	ticarət
hyum	istifadə
fwak	hakim
klat	kapitan
twap	cessativeaspekt
kcic	maraqlı
kwic	xarici
hnif	gücləndirici
myun	əhəmiyyət
tlic	nəhayət
cyuk	boyun
syut	azadlıq
pfan	tərəflər
kyuc	quru
pcap	kənara
tfak	sübut
tcik	sübutişi
twun	uzaq
tyis	tərəqqi
nyap	dar
plit	bina
hpif	səhifə
pwic	keçirilməsi
syic	kədərli
tsip	günah
syim	xəstə
tcis	vicdanlı
pcun	bank
ksap	qəbul
lyam	axın
tcaf	diqqətlə
kwac	qulaq
hpup	çörək
kcut	seçmək
nwam	heyvan
hsup	zoicgender
nwit	Eventiveəhval
tcim	Eynihadisəmarker
tlik	multiplikativişi
kyus	keçmək
hmus	qalın
kfat	cəsarət
nwat	böyümək
myic	yağış
