ni	infinitiv
na	nominativ
ka	akuzativ
ta	témapřípad
ca	Ahoj
wu	vokativ
kcah	hladový
ti	genitiv
ci	přídavnéjméno
wa	a
mi	mě
sa	vy
nyah	nás
ya	to
ma	destinacepřípad
yi	dativ
li	REALISnálada
tu	deonticnálada
cu	podmiňovacízpůsob
si	epistemicnálada
yu	instrumentálnípřípad
nu	interiérkontext
pa	osobakontext
tyah	Hlavnívěta
la	vedlejšívěta
fa	perfectiveaspekt
ki	minulýčas
ne	mužskýrod
mwah	komitativ
ra	přítomnýčas
pwah	benefactivepřípad
swih	Essiv
no	zápornýquantifier
pi	povrchkontext
da	adpositionalpřípad
te	Polohapřípad
to	spacekontext
ga	způsob,jakpřípad
ri	tázacínálada
ba	anebo
ku	výlučnánebo
so	zdrojpřípad
pwih	ablativ
ksah	blízkost
tsah	demonstrativní
ko	klauzuleocas
pyah	ale
wi	univerzálníquantifier
ji	ženskýrod
pu	množnéčíslo
bi	budoucíčas
co	sociálníkontext
me	imperfectiveaspekt
klah	tam
twah	Elativ
twih	illativ
di	směrnicenálada
tlah	volitelnýquantifier
kyah	co
tcah	tázacíslovo
ja	spona
cyah	osoba
clah	ostatní
do	číslo
tlih	asertivníquantifier
se	dobakontext
myah	temporálnípřípad
tyuh	pouze
tcih	napomínajícínálada
tyih	retrospektivníaspekt
lo	volnínálada
cwah	po
nlah	zcizitelnýdržení
nlih	nezcizitelnédržení
cyih	deliberativnínálada
lwah	perlativepřípad
pfih	progresivníaspekt
tsih	zde
ce	vkontextu
pcah	také
lwih	delativepřípad
swah	semelfactiveaspekt
nyih	neo
fu	soustředitse
plah	láska
po	paucalčíslo
kyih	protože
ksih	kauzálnípřípad
gi	jméno
tfah	vlastníjméno
crih	viditelnédůkazní
kceh	lepší
dwih	desiderativenálada
wo	slovo
srah	aždo
tweh	terminativ
nwih	inessiv
pcih	rozkazovacízpůsob
crah	věřit
ro	státkontext
cwih	naděje
kwih	factivedůkazní
fi	vrátitse
psih	optativ
tseh	potenciálnálada
lweh	allativ
nrih	anthropicpohlaví
tceh	Stejnálátkamarkeru
re	jinýpředmět
croh	strach
mrah	pochopit
cyuh	pochybovat
twuh	dubitativenálada
myih	krásný
lyih	zajímat
flah	hypotetickápodmíněný
we	VIALISpřípad
clih	Studený
pyih	mír
su	ažna
kwah	touha
le	délka
bo	pravděpodobnost
mlah	problémy
syah	úsměv
slih	spát
zi	citoval
twoh	quotativepřípad
mo	inclusiveosoba
kcih	prosím
rwih	precativenálada
mrih	zdvořilýregistr
rwah	perspektivníaspekt
cyeh	zázrak
go	gnómickýaspekt
tsoh	respekt
za	začínajícíaspekt
jwih	jussivenálada
mwih	tolerantnínálada
sloh	úspěch
prih	soukromý
de	rozdělovacípřípad
tcoh	bolest
ryah	smích
mlih	moudrý
ye	majetnickáznačka
ke	commissivenálada
creh	marný
mweh	doplňujícíaspekt
nrah	teplý
nroh	hněv
bwah	vzdor
trah	hrdost
mroh	morální
slah	zdraví
syih	sociální
pe	cessativeaspekt
krih	zvědavý
tfih	zesilovač
fe	Konečně
prah	stranou
trih	dokazující
nwah	průkaznýpřípad
srih	smutný
zo	zoicpohlaví
nweh	eventivenálada
cwoh	Stejnýukazateludálost
plih	multiplikativnípřípad
dwah	žádoucí
kcoh	unavený
drah	spokojený
lu	spekulativnínálada
frih	obeznámenregistr
frah	zraněný
mruh	blázen
djih	sympatie
krah	poděkovat
cruh	ostuda
fyah	frázeznačka
ryih	předurčená
kruh	hořký
tyeh	text
kreh	krutý
tleh	hesternalnapjatá
kfah	obětovat
dyih	nenávist
cloh	racionálnípohlaví
nloh	užívatsi
psah	zoufalství
