hnit	infinitiv
hnak	nominativ
hkak	akuzativ
htak	témapřípad
hpap	táta
hmam	maminka
hyat	parental
hcan	Ahoj
hwik	vokativ
hsuc	předek
htat	prarodič
hcac	hladový
hnik	genitiv
hcit	přídavnéjméno
hwan	a
hman	mě
hnan	vy
hwam	nás
htit	to
htac	destinacepřípad
htik	dativ
hyit	REALISnálada
htim	deonticnálada
hcut	podmiňovacízpůsob
hsit	epistemicnálada
hyak	instrumentálnípřípad
htan	interiérkontext
hpan	osobakontext
htin	Hlavnívěta
hyan	vedlejšívěta
hfap	perfectiveaspekt
hkat	minulýčas
hnin	mužskýrod
hmak	komitativ
hnat	přítomnýčas
hpak	benefactivepřípad
swik	Essiv
htut	zápornýquantifier
hsan	povrchkontext
hpin	adpositionalpřípad
hwin	Polohapřípad
hkan	spacekontext
hnac	způsob,jakpřípad
hyut	tázacínálada
hnam	anebo
hkit	výlučnánebo
hsuk	zdrojpřípad
hpik	ablativ
hcat	blízkost
hmat	demonstrativní
hkuk	klauzuleocas
hlan	ale
hsut	všechno
hyin	univerzálníquantifier
hcin	ženskýrod
hpac	množnéčíslo
hyik	jedna
htic	jejich
hkik	kdo
tcat	budoucíčas
hsin	sociálníkontext
hkac	kdy
hmip	imperfectiveaspekt
klan	tam
hlak	Elativ
hlik	illativ
htam	směrnicenálada
hlat	volitelnýquantifier
hkam	co
hwat	tázacíslovo
htap	spona
hpat	osoba
nyan	samec
hkas	mohl
tcan	ostatní
hnuc	číslo
twit	asertivníquantifier
hsak	dobakontext
htuk	temporálnípřípad
htun	pouze
htum	napomínajícínálada
hyip	retrospektivníaspekt
hlit	volnínálada
pcic	musí
tyut	dva
hsat	vidět
hkut	vědět
hcic	dolů
hcap	po
hpam	První
hlac	zcizitelnýdržení
hkap	nikdy
hnic	nezcizitelnédržení
tyat	starý
tcit	deliberativnínálada
tcin	den
hlam	takpojd
hwak	samohláska
hkin	jít
lwak	perlativepřípad
hpip	progresivníaspekt
lyan	dlouhý
hsac	říci
kyan	jak
htas	znovu
hsic	zde
hcik	myslet
hcak	vkontextu
hfan	nalezeno
hsun	ruka
hyac	také
nwan	mladý
tyit	proti
tlan	Bůh
twak	delativepřípad
hmin	nic
hyas	jednou
hlap	semelfactiveaspekt
kcac	vlevo
hyic	Pilka
hcas	Dům
hwac	svět
tyin	tři
hnun	neo
hcuk	soustředitse
pyan	láska
hsis	vždy
hyam	noc
hyap	král
hkic	mezi
hmas	mysl
cyit	srdce
pluc	paucalčíslo
kyik	protože
ksak	kauzálnípřípad
tcun	hotový
hnim	jméno
tsan	vlastníjméno
klac	země
hpun	zeptal
cyat	viditelnédůkazní
pcac	lepší
hmac	moment
hnas	nemůže
hwic	voda
twim	desiderativenálada
kwan	světlo
tlat	slovo
tyan	dveře
hsas	ráno
syat	aždo
twik	terminativ
hpit	bílý
pcan	peníze
hyis	chudý
mwan	smrt
hfam	formulář
nwik	inessiv
kcat	spolu
tsac	často
pyat	přítel
psan	polovina
hpim	rozkazovacízpůsob
hyuc	kolo
hfat	poslal
hcis	manželka
kcan	věřit
hsik	veřejnost
htus	státkontext
hpas	syn
clat	děti
tyak	tedy
cwan	naděje
syin	milý
hkuc	vysoký
tyac	číst
syit	město
hlic	již
hfit	factivedůkazní
tcac	dívka
hcun	slyšet
ksan	nejméně
hyaf	možná
kyat	vskutku
tcic	tělo
hwit	vrátitse
cwat	vzduch
hfaf	zákon
hput	pomoc
lyat	dopis
ksas	čtyři
hpic	optativ
hfuk	oheň
hcam	hodina
twat	válka
kyak	několik
tlit	druhý
pcin	za
hmut	ztracený
clan	tisíc
hfac	rodina
twan	duše
hwas	otázka
syan	pravda
htis	tvorba
tsat	potenciálnálada
lwik	allativ
nyin	anthropicpohlaví
hfak	pět
tcak	Stejnálátkamarkeru
htuc	jinýpředmět
hnap	odpověď
hmit	moře
hcuc	strach
pcat	pochopit
syas	podmínky
hcaf	pochybovat
twut	dubitativenálada
hkis	černý
tlak	přinést
hyus	krásný
nyit	druh
htip	deset
ksis	příběh
hpuk	rezervovat
hlin	elektronický
hkun	účet
lyas	zajímat
lyit	napsat
pwat	postel
hnis	stáří
hnut	hypotetickápodmíněný
slas	umění
hwis	VIALISpřípad
pyak	bratr
lyin	čára
tyas	tabulka
hyun	řeka
kyac	oko
tfan	Najednou
kcin	hluboký
hmuc	účel
cyac	krev
hmap	růže
tlin	Studený
hyif	vpřed
tyam	pozdě
hnaf	předpokládat
hkip	téměř
myan	moje
tsin	znalost
hkup	kopírovat
hsam	manžel
hlis	šest
cwit	živobytí
cyan	mír
myat	mějnapaměti
tyic	přírodní
hfut	podzim
swas	servis
hsap	ažna
pcit	copyright
hyim	armáda
kyas	kůň
plic	budoucnost
pcak	západ
hpis	platit
hyuk	červený
hwun	zlato
twin	touha
plan	hrát
hpus	kancelář
syun	vláda
kyic	kostel
htaf	pevnost
hlun	délka
kyin	společnost
kyis	papír
mlan	pravděpodobnost
hcim	zvláště
cyas	medvěd
twac	okno
nyat	krása
hcus	Ten
htup	povinnost
htif	vzdálenost
pyas	noha
hlas	divoký
ksin	zelená
hmaf	problémy
myac	úsměv
hsim	spát
kyit	citoval
kwik	quotativepřípad
fwan	návštěva
slan	následovat
psit	přítomnost
hmic	sladký
hmuf	pusa
hfin	bohatý
tcam	nepřítel
psuk	zlomený
kcap	loď
pwan	inclusiveosoba
hfic	vliv
tcuc	jeví
hkim	tajný
pyin	prosím
pwit	precativenálada
pyit	zdvořilýregistr
cwak	zlo
myak	pochod
tcas	místa
hlaf	pobyt
psat	namísto
nlan	modrý
psac	nemožné
kcuk	škola
kcit	ženatý
kcak	jídlo
syis	dvacet
tlac	klid
hcip	perspektivníaspekt
kwin	dávat
tsit	zastavil
pyac	jazyk
hsus	týden
hcup	hala
cyap	zázrak
tfin	narozený
fyat	soud
hnip	gnómickýaspekt
tsak	respekt
tlas	hodnota
syuc	strom
plat	stěna
cyak	nebe
twip	začínajícíaspekt
mlat	příkaz
swit	jussivenálada
mwas	měsíc
hwaf	perfektní
tyap	zažít
ksac	okolnosti
syac	čerstvý
hnuk	vévoda
kwak	pokrytý
tyuk	východ
pwac	kámen
hkif	ušlechtilý
nyac	směr
cyis	židle
tyuc	čekání
tsun	vesnice
tyik	souhlasit
hnum	tolerantnínálada
slak	úspěch
tsic	snaží
slat	kopec
hmik	hudba
hkus	plakat
hsip	sedm
hpaf	soukromý
nwas	zprávy
tfac	scéna
fyan	zahrada
cwas	začít
hfik	rozdělovacípřípad
lyac	učitse
syik	politický
clin	henry
cyin	lež
tsas	obsazení
cyik	autorita
tlap	patro
cyam	letní
tcut	náboženství
tcap	útěk
hlut	autor
pyun	hnědý
tcuk	bolest
swan	jarní
hmun	měkký
kyun	roh
nyak	ochrannáznámka
tsis	spravedlnost
psas	produkce
cyaf	smích
hwut	zapomenout
hyup	Evropa
hwap	osm
psak	pomíjivý
kyap	hrozný
pyic	požadovaný
hmim	střední
hsaf	dech
hmis	moudrý
hsum	majetnickáznačka
ksat	příjemný
ksit	hrob
tsap	ostrov
kyam	tábor
tcum	dotek
cyun	štěstí
psic	pobřeží
tyun	doména
mwit	commissivenálada
tlut	stupeň
myit	zima
kfan	chování
slac	běh
myin	minuta
tyip	vést
klas	sklo
pfat	deska
cyic	marný
swam	záležitosti
syam	trezor
tsut	doktor
hlip	doplňujícíaspekt
kcas	tma
nyun	teplý
hpuc	napítse
tlam	příklad
hfun	hněv
tsik	vzdor
tsam	přímo
hmup	čepice
klak	pes
slin	stříbro
swac	služebník
kcam	hrdost
pyik	vlak
myut	morální
syak	vstoupit
swat	meč
kyuk	Záchvat
clac	zdraví
tyaf	odstavec
swic	sociální
tfit	vrácení
hkaf	oficiální
pcas	pohled
nyam	sláva
tfat	dvanáct
pcut	zasnoubený
pwin	víno
mwat	chuť
fyac	železo
syap	rozdělit
myap	obchod
hyum	použitím
fwak	soudce
klat	kapitán
twap	cessativeaspekt
kcic	zvědavý
kwic	zahraniční
hnif	zesilovač
myun	důležitost
tlic	Konečně
cyuk	krk
syut	Svoboda
pfan	strany
kyuc	Suchý
pcap	stranou
tfak	dokazující
tcik	průkaznýpřípad
twun	vzdálený
tyis	pokrok
nyap	úzký
plit	budova
hpif	strana
pwic	podíl
syic	smutný
tsip	hřích
syim	nemocný
tcis	upřímný
pcun	banka
ksap	akceptovat
lyam	proud
