ni	berfenw
na	enwolachos
ka	accusativeachos
ta	pwncachos
ca	Helo
wu	vocativeachos
kcah	llwglyd
ti	genidolachos
ci	ansoddair
wa	ac
mi	mi
sa	chi
nyah	ni
ya	mae'n
ma	cyrchfanachos
yi	derbyniolachos
li	realishwyliau
tu	deontichwyliau
cu	amodolhwyliau
si	epistemichwyliau
yu	offerynnolachos
nu	tucyd-destun
pa	personcyd-destun
tyah	cymalannibynnol
la	dibynnolcymal
fa	perfectiveagwedd
ki	gorffennolamser
ne	gwrywaiddrhyw
mwah	comitativeachos
ra	ynbresennolamser
pwah	benefactiveachos
swih	essiveachos
no	negydduquantifier
pi	wynebcyd-destun
da	adpositionalachos
te	lleoliadachos
to	gofodcyd-destun
ga	fforddachos
ri	gofynnolhwyliau
ba	acneu
ku	exclusive-neu
so	ffynhonnellachos
pwih	abladolachos
ksah	agosrwydd
tsah	dangosol
ko	cymal-gynffon
pyah	ond
wi	cyffredinolquantifier
ji	femininerhyw
pu	pluralrhif
bi	dyfodolamser
co	cymdeithasolcyd-destun
me	imperfectiveagwedd
klah	yno
twah	perthynasachos
twih	illativeachos
di	gyfarwyddebhwyliau
tlah	dewisolquantifier
kyah	beth
tcah	cwestiwngair
ja	copula
cyah	person
clah	eraill
do	rhif
tlih	bendantquantifier
se	amsercyd-destun
myah	tymhorolachos
tyuh	ynunig
tcih	hortativehwyliau
tyih	ôl-weithredolagwedd
lo	volitivehwyliau
cwah	arôl
nlah	alienablemeddiant
nlih	anaralladwymeddiant
cyih	cydgynghorolhwyliau
lwah	perlativeachos
pfih	blaengaragwedd
tsih	yma
ce	dancyd-destun
pcah	hefyd
lwih	delativeachos
swah	semelfactiveagwedd
nyih	neo
fu	ffocws
plah	caru
po	paucalrhif
kyih	achos
ksih	achosolachos
gi	enw
tfah	priodolnoun
crih	ynweladwytystiolaethol
kceh	gwell
dwih	desiderativehwyliau
wo	gair
srah	nes
tweh	terminativeachos
nwih	inessiveachos
pcih	hanfodolhwyliau
crah	yncredu
ro	wladwriaethcyd-destun
cwih	gobeithio
kwih	factivetystiolaethol
fi	dychwelyd
psih	eithhwyliau
tseh	potensialhwyliau
lweh	allativeachos
nrih	anthropicrhyw
tceh	yrunpwncmarciwr
re	gwahanolpwnc
croh	ofn
mrah	deall
cyuh	amheuaeth
twuh	dubitativehwyliau
myih	hardd
lyih	llog
flah	gwrthffeithiolamodol
we	vialisachos
clih	oer
pyih	heddwch
su	aceithrio
kwah	dymuniad
le	hyd
bo	tebygolrwydd
mlah	trafferth
syah	gwenu
slih	cysgu
zi	ddyfynnwyd
twoh	quotativeachos
mo	gynhwysolperson
kcih	osgwelwchyndda
rwih	precativehwyliau
mrih	gwrtaisgofrestru
rwah	darparagwedd
cyeh	Tybed
go	gnomicagwedd
tsoh	barch
za	inchoativeagwedd
jwih	jussivehwyliau
mwih	caniataolhwyliau
sloh	llwyddiant
prih	preifat
de	dosbartholachos
tcoh	poen
ryah	chwerthin
mlih	ddoeth
ye	meddiannolmarciwr
ke	commissivehwyliau
creh	ofer
mweh	completiveagwedd
nrah	cynnes
nroh	dicter
bwah	gwaethaf
trah	balchder
mroh	moesol
slah	iechyd
syih	cymdeithasol
pe	rhoi'rgorauiagwedd
krih	chwilfrydig
tfih	intensifier
fe	ynolaf
prah	neilltu
trih	tystiolaethol
nwah	tystiolaetholachos
srih	drist
zo	zoicrhyw
nweh	eventivehwyliau
cwoh	yrundigwyddiadmarciwr
plih	lluosogolachos
dwah	ddymunir
kcoh	wediblino
drah	bodlon
lu	hapfasnacholhwyliau
frih	cyfarwyddgofrestru
frah	glwyfo
mruh	ffwl
djih	cydymdeimlad
krah	diolch
cruh	cywilydd
fyah	ymadroddmarciwr
ryih	preordained
kruh	chwerw
tyeh	testun
kreh	creulon
tleh	hesternalamser
kfah	aberth
dyih	casineb
cloh	rhesymegolrhyw
nloh	mwynhau
psah	anobaith
sleh	vegetalrhyw
nruh	diniwed
drih	edmygedd
sroh	pardwn
brih	sylfaen
kluh	dryswch
bwih	bendithhwyliau
klih	yneuog
grih	anwybodus
nyeh	menterachos
nleh	ostyngedig
dlih	oedihanfodol
proh	adroddwydtystiolaethol
mloh	melancholy
du	unigol
jrih	amynedd
freh	cyfeiriadol
kloh	unig
kroh	swyn
tcuh	brwdfrydedd
kcuh	anwytholhwyliau
xa	disgwrscyd-destun
nreh	nerfus
pseh	agwedd
ge	asiant
mu	admonitionhwyliau
byah	uchelgais
pcoh	gorlawn
treh	uniongyrcholtystiolaethol
yo	bryderushwyliau
cwuh	sioc
tloh	diweddargorffennolamser
dlah	pendanterthygl
cluh	hyll
myuh	hiwmor
dyah	distaldangosol
rwuh	genfigennus
troh	imprecatoryhwyliau
dzih	difaterwch
swuh	assumptivehwyliau
bzah	chellwair
gwih	sef
dloh	hodiernalamser
dweh	delimitativeagwedd
kweh	exclusiveperson
truh	tymheredd
tfeh	Telicagwedd
lyeh	atelicagwedd
ru	waharddolhwyliau
kfih	plentynnaidd
cyoh	amheus
nluh	teyrngarwch
cweh	trap
nwoh	animeiddiedig
sruh	wefr
ksoh	rhywiol
lyah	ddiog
mreh	momentaneagwedd
pceh	difaru
bjih	cynymadawedig
pcuh	ansicrwydd
xi	arferolagwedd
blih	ffinio
tsuh	ddibwys
fwih	mawreddog
grah	prydferth
brah	mympwyol
cleh	llesiannol
sreh	ffurfiolgofrestru
pfah	buddiol
droh	clywedoltystiolaethol
flih	casgliadoltystiolaethol
sweh	sublativeachos
ksuh	declarativehwyliau
pleh	breintiedig
psoh	anorchfygol
be	llafar
mwoh	reverie
kleh	trueni
glah	trachwant
kseh	gadarnhaolhwyliau
zrah	anfodlonrwydd
dyoh	idiophone
syoh	rhyfeddu
gwah	gormodolachos
zlih	irrealishwyliau
zrih	swildod
byih	addasu
ryeh	rhagenwmarciwr
fwah	gynnil
bjah	ecstatig
kxah	equanimity
gvih	pegativeachos
pxih	cyfiawnhad
xrah	yndodiben
tfoh	hynymlaen
kxih	edifeirwch
ryoh	prosecutiveachos
qyah	pwyslaismawr
r6	rhangymeriad
txah	bellgorffennolamser
xrih	hanesyddolamser
dxah	deuolrhif
syuh	super
vweh	gorweithio
n6	synhwyraiddtystiolaetholhwyliau
bweh	obsesiwn
xlih	doniol
txih	twinge
sluh	hunanfodlon
txoh	cynnigifyny'rallt
xe	ôl-weithredol
pxah	entrap
vwah	cynnigilawryrhiw
xyih	elitaidd
fleh	ffurfdroëdig
psuh	superessiveachos
syeh	satyr
qi	transitive
xruh	cower
zwah	Waw
tr6h	cynnigfyny'rafon
qwah	anuchelgeisiol
xlah	ledledybyd
tyoh	intransitive
tluh	disgynneb
qa	arhynobrydperthnaseddmarciwr
kxoh	ciwediblino
rwoh	trefnol
ve	fector
kyoh	kilo
swoh	dilyniannol
pxeh	partitiveachos
txeh	cynyddol
dxih	predicative
pxoh	prolativeachos
pfoh	proymadrodd
blah	ddidaro
fyih	nadydyntyndynol
xo	actorrôl
pc6h	treialrhif
greh	ganologachos
groh	nodsbardun
dxoh	canolllais
rweh	obliqueachos
xwah	clafachos
xu	cynhodiernal
xroh	gwisgo-allan
ks6h	causative
vi	gwerthdeuaidd
dleh	foddolachos
gjeh	arall-os
xreh	coworker
lwoh	locativeachos
ml6h	multalrhif
gjih	galaethrhyw
qlah	serenrhyw
bvih	abessiveachos
dvah	adessiveachos
je	agentiveachos
t6	asiantsbardun
kxeh	iachos
gxih	cyffredinrhyw
tc6h	dyfyniadffurflen
ts6h	transrhifolyn
ryuh	uniongyrcholgwrthrych
gveh	ergativeachos
pyoh	goddefolllais
qe	cyfyngedigferf
xwih	cynraddgwrthrych
myoh	gnomichwyliau
vrih	terfynolgronynnau
va	evitativeachos
bveh	subessiveachos
dxeh	medduachos
dvih	lativeachos
tsa7h	antessiveachos
dyeh	adferfolachos
mleh	animeiddiorhyw
pfeh	empathetigllawenydd
xleh	cerbydrhyw
qlih	mwynaurhyw
xloh	llafarnoun
dreh	ailiaith
bvah	hunanhyder
qrah	newidodigwyddiad
fo	gwahanoldigwyddiad
sl6h	crastinalamser
fyoh	atblygolllais
bxih	bydysawdrhyw
jlih	transitiveferf
kyeh	ardalrhyw
txuh	ymchwilrhyw
s6	artistigrhyw
preh	clafsbardun
sr6h	haniaetholrhyw
nyoh	anuniongyrchollleferydd
zreh	exocentricachos
kfeh	gorffennolperfective
jo	amhersonolferf
kxuh	arycydnoun
bu	absolutiveachos
qrih	planedolrhyw
kfoh	craiddbenefactive
kwoh	cysylltiadolachos
pluh	raddeithafachos
jrah	trydanarhynobryd
glih	difywydrhyw
p6	propositivehwyliau
vrah	cilyddolllais
lyuh	olynolcymal
gleh	cynbohirdyfodolamser
lyoh	applicativellais
ps6h	antipassivellais
tfuh	continuativeagwedd
nr6h	necessitativehwyliau
pr6h	goddefolrhangymeriad
sy6h	dirfodolcymal
qyih	luminousdwysedd
gluh	singulativerhif
kwuh	gormodolhyd
xyah	senglgweithreduferf
vlih	raddeithafradd
djah	ynbresennolrhangymeriad
m6	swmosylweddau
ti7	cysylltiolgronynnau
f6	epentheticmorpheme
tli7h	belldyfodolamser
si_	postpositionalachos
l6	allocutioncytundeb
k6	frequentativeagwedd
bzih	dosbartholrhagenw
tu7	felybo'rangen-pwynt-rif
vo	berf-ddodiad
ki7	gorffennolgoddefolrhangymeriad
ta_	locativecyfeiriadolachos
