hnit	berfenw
hnak	enwolachos
hkak	accusativeachos
htak	pwncachos
hpap	dad
hmam	mom
hyat	rhieni
hcan	Helo
hwik	vocativeachos
hsuc	hynafiad
htat	cu
hcac	llwglyd
hnik	genidolachos
hcit	ansoddair
hwan	ac
hman	mi
hnan	chi
hwam	ni
htit	mae'n
htac	cyrchfanachos
htik	derbyniolachos
hyit	realishwyliau
htim	deontichwyliau
hcut	amodolhwyliau
hsit	epistemichwyliau
hyak	offerynnolachos
htan	tucyd-destun
hpan	personcyd-destun
htin	cymalannibynnol
hyan	dibynnolcymal
hfap	perfectiveagwedd
hkat	gorffennolamser
hnin	gwrywaiddrhyw
hmak	comitativeachos
hnat	ynbresennolamser
hpak	benefactiveachos
swik	essiveachos
htut	negydduquantifier
hsan	wynebcyd-destun
hpin	adpositionalachos
hwin	lleoliadachos
hkan	gofodcyd-destun
hnac	fforddachos
hyut	gofynnolhwyliau
hnam	acneu
hkit	exclusive-neu
hsuk	ffynhonnellachos
hpik	abladolachos
hcat	agosrwydd
hmat	dangosol
hkuk	cymal-gynffon
hlan	ond
hsut	igyd
hyin	cyffredinolquantifier
hcin	femininerhyw
hpac	pluralrhif
hyik	un
htic	eu
hkik	pwy
tcat	dyfodolamser
hsin	cymdeithasolcyd-destun
hkac	pryd
hmip	imperfectiveagwedd
klan	yno
hlak	perthynasachos
hlik	illativeachos
htam	gyfarwyddebhwyliau
hlat	dewisolquantifier
hkam	beth
hwat	cwestiwngair
htap	copula
hpat	person
nyan	gwrywaidd
hkas	gallai
tcan	eraill
hnuc	rhif
twit	bendantquantifier
hsak	amsercyd-destun
htuk	tymhorolachos
htun	ynunig
htum	hortativehwyliau
hyip	ôl-weithredolagwedd
hlit	volitivehwyliau
pcic	rhaidi
tyut	dau
hsat	gweld
hkut	yngwybod
hcic	ilawr
hcap	arôl
hpam	yngyntaf
hlac	alienablemeddiant
hkap	byth
hnic	anaralladwymeddiant
tyat	oed
tcit	cydgynghorolhwyliau
tcin	diwrnod
hlam	dod
hwak	llafariad
hkin	mynd
lwak	perlativeachos
hpip	blaengaragwedd
lyan	hir
hsac	dweud
kyan	sut
htas	eto
hsic	yma
hcik	meddwl
hcak	dancyd-destun
hfan	dodohyd
hsun	llaw
hyac	hefyd
nwan	ifanc
tyit	erbyn
tlan	duw
twak	delativeachos
hmin	dimbyd
hyas	unwaith
hlap	semelfactiveagwedd
kcac	Gadawodd
hyic	gwelodd
hcas	tŷ
hwac	byd
tyin	tri
hnun	neo
hcuk	ffocws
pyan	caru
hsis	bobamser
