ni	infinitiv
na	nominativetilfælde
ka	akkusativtilfælde
ta	emnetilfælde
ca	hej
wu	vokativtilfælde
kcah	sulten
ti	genitivtilfælde
ci	adjektiv
wa	og
mi	mig
sa	du
nyah	os
ya	det
ma	bestemmelsesstedtilfælde
yi	dativtilfælde
li	Realishumør
tu	deontichumør
cu	betingethumør
si	epistemiskehumør
yu	medvirkendetilfælde
nu	interiørsammenhæng
pa	personsammenhæng
tyah	uafhængigklausul
la	afhængigklausul
fa	perfectiveaspekt
ki	forbianspændt
ne	maskulinkøn
mwah	comitativetilfælde
ra	nuværendeanspændt
pwah	benefactivetilfælde
swih	essivetilfælde
no	negatorykvantor
pi	overfladesammenhæng
da	adpositionaltilfælde
te	beliggenhedtilfælde
to	pladssammenhæng
ga	vejtilfælde
ri	spørgendehumør
ba	ogeller
ku	eksklusiveller
so	kildetilfælde
pwih	ablativtilfælde
ksah	nærhed
tsah	demonstrativ
ko	klausulhale
pyah	men
wi	universelkvantor
ji	femininkøn
pu	pluralisantal
bi	fremtidanspændt
co	socialsammenhæng
me	imperfectiveaspekt
klah	der
twah	iforholdtilfælde
twih	illativetilfælde
di	direktivhumør
tlah	elektivkvantor
kyah	hvad
tcah	spørgsmålord
ja	copula
cyah	person
clah	andre
do	antal
tlih	selvhævdendekvantor
se	tidsammenhæng
myah	tidsmæssigetilfælde
tyuh	kun
tcih	hortativehumør
tyih	tilbagevirkendekraftaspekt
lo	volitivehumør
cwah	efter
nlah	afhændeligebesiddelse
nlih	umisteligbesiddelse
cyih	deliberativehumør
lwah	perlativetilfælde
pfih	progressivaspekt
tsih	her
ce	undersammenhæng
pcah	også
lwih	delativetilfælde
swah	semelfactiveaspekt
nyih	neo
fu	fokus
plah	elsker
po	paucalantal
kyih	fordi
ksih	kausaltilfælde
gi	navn
tfah	passendenavneord
crih	synligbevismæssige
kceh	bedre
dwih	desiderativehumør
wo	ord
srah	indtil
tweh	terminativetilfælde
nwih	inessivetilfælde
pcih	bydendenødvendigthumør
crah	tro
ro	tilstandsammenhæng
cwih	håb
kwih	Factivebevismæssige
fi	afkast
psih	optativhumør
tseh	potentielhumør
lweh	allativetilfælde
nrih	antropiskekøn
tceh	sammeemnemarkør
re	forskelligeemne
croh	frygt
mrah	forstå
cyuh	tvivl
twuh	dubitativehumør
myih	smuk
lyih	interesse
flah	kontrafaktiskebetinget
we	Vialistilfælde
clih	kold
pyih	fred
su	undtagen
kwah	ønske
le	længde
bo	sandsynlighed
mlah	besvær
syah	smil
slih	sove
zi	citeret
twoh	quotativetilfælde
mo	inklusiveperson
kcih	Værvenlig
rwih	precativehumør
mrih	høfligregister
rwah	prospektiveaspekt
cyeh	vidunder
go	gnomicaspekt
tsoh	respekt
za	inchoativeaspekt
jwih	jussivehumør
mwih	eftergivendehumør
sloh	succes
prih	privat
de	distributivtilfælde
tcoh	smerte
ryah	grine
mlih	klog
ye	rethaveriskmarkør
ke	commissivehumør
creh	forgæves
mweh	completiveaspekt
nrah	varm
nroh	vrede
bwah	trods
trah	stolthed
mroh	moralsk
slah	sundhed
syih	social
pe	ophøraspekt
krih	nysgerrig
tfih	forstærker
fe	endelig
prah	tilside
trih	bevismæssige
nwah	bevismæssigetilfælde
srih	trist
zo	Zoickøn
nweh	eventivehumør
cwoh	sammetilfældemarkør
plih	multiplikativtilfælde
dwah	ønskes
kcoh	træt
drah	tilfreds
lu	spekulativehumør
frih	velkendtregister
frah	såret
mruh	fjols
djih	sympati
krah	takke
cruh	skam
fyah	udtrykmarkør
ryih	forudbestemt
kruh	bitter
tyeh	tekst
kreh	grusom
tleh	hesternalanspændt
kfah	ofre
dyih	had
cloh	rationelkøn
nloh	godfornøjelse
psah	fortvivlelse
sleh	vegetalkøn
nruh	uskyldig
drih	beundring
sroh	benådning
brih	grundlag
kluh	forvirring
bwih	velsignelsehumør
klih	skyldig
grih	uvidende
nyeh	initiativtilfælde
nleh	ydmyg
dlih	forsinketbydendenødvendigt
proh	rapporteretbevismæssige
mloh	melankoli
du	ental
jrih	tålmodighed
freh	referentiel
kloh	ensom
kroh	charme
tcuh	entusiasme
kcuh	induktivhumør
xa	diskurssammenhæng
nreh	nervøs
pseh	aspekt
ge	agent
mu	formaninghumør
byah	ambition
pcoh	overfyldt
treh	direktebevismæssige
yo	betænkelighumør
cwuh	chok
tloh	nyligforbianspændt
dlah	bestemtartiklen
cluh	grim
myuh	humor
dyah	distaldemonstrativ
rwuh	jaloux
troh	imprecatoryhumør
dzih	ligegyldighed
swuh	assumptivehumør
bzah	spøge
gwih	nemlig
dloh	hodiernalanspændt
dweh	delimitativeaspekt
kweh	eksklusivperson
truh	temperatur
tfeh	TELICaspekt
lyeh	atelicaspekt
ru	uoverkommeligehumør
kfih	barnlig
cyoh	mistænksom
nluh	loyalitet
cweh	fælde
nwoh	animeret
sruh	gys
ksoh	seksuel
lyah	doven
mreh	momentaneaspekt
pceh	fortrudt
bjih	tidligereafdød
pcuh	usikkerhed
xi	sædvanligtaspekt
blih	afgrænset
tsuh	trivielt
fwih	majestætisk
grah	flatterende
brah	vilkårlig
cleh	velvillige
sreh	formelregister
pfah	gavnlige
droh	auditivebevismæssige
flih	inferentialbevismæssige
sweh	sublativetilfælde
ksuh	deklarativhumør
pleh	privilegeret
psoh	uovervindelig
be	verbal-
mwoh	drømmeri
kleh	elendighed
glah	grådighed
kseh	bekræftendehumør
zrah	utilfredshed
dyoh	idiophone
syoh	imponeret
gwah	overdreventilfælde
zlih	irrealishumør
zrih	generthed
byih	tilpasning
ryeh	stedordmarkør
fwah	sparsommelige
bjah	ekstatisk
kxah	sindsligevægt
gvih	pegativetilfælde
pxih	vindication
xrah	udløber
tfoh	fremover
kxih	anger
ryoh	prosecutivetilfælde
qyah	optagethed
r6	participium
txah	fjernforbianspændt
xrih	historiskanspændt
dxah	dobbeltantal
syuh	super
vweh	overbebyrdede
n6	sensoriskbevismæssigehumør
bweh	besættelse
xlih	løssluppent
txih	jag
sluh	selftilfreds
txoh	bevægelseopadbakke
xe	tilbagevirkendekraft
pxah	fange
vwah	bevægelsedownhill
xyih	elite
fleh	bøjningsform
psuh	superessivetilfælde
syeh	satyr
qi	transitiv
xruh	krybesammen
zwah	wow
tr6h	bevægelseopadfloden
qwah	uambitiøs
xlah	verdensplan
tyoh	intransitive
tluh	antiklimaks
qa	strømrelevansmarkør
kxoh	hundtræt
rwoh	ordinal
ve	vektor
kyoh	kilo
swoh	sekventiel
pxeh	partitivtilfælde
txeh	forstørrende
dxih	prsedikativ
pxoh	prolativetilfælde
pfoh	proudtryk
blah	blase
fyih	ikkehuman
xo	skuespillerrolle
pc6h	forsøgantal
greh	centrictilfælde
groh	måludløser
dxoh	midtenstemme
rweh	skråtilfælde
xwah	patienttilfælde
xu	prehodiernal
xroh	slidud
ks6h	forårsagende
vi	binærværdi
dleh	modaltilfælde
gjeh	andethvis
xreh	kollega
lwoh	locativetilfælde
ml6h	multalantal
gjih	galaksekøn
qlah	stjernekøn
bvih	abessivetilfælde
dvah	adessivetilfælde
je	agentivetilfælde
t6	agentudløser
kxeh	tiltilfælde
gxih	fælleskøn
tc6h	citationform
ts6h	transtal
ryuh	direkteobjekt
gveh	ergativetilfælde
pyoh	passivstemme
qe	begrænsetudsagnsord
xwih	primærobjekt
myoh	gnomichumør
vrih	endeligepartikel
va	evitativetilfælde
bveh	subessivetilfælde
dxeh	besadtilfælde
dvih	givningsmæssigetilfælde
tsa7h	antessivetilfælde
dyeh	adverbialtilfælde
mleh	animerekøn
pfeh	empatiskglæde
xleh	køretøjkøn
qlih	mineralkøn
xloh	verbal-navneord
dreh	andensprog
bvah	selvselvtillid
qrah	laveomaftilfælde
fo	forskelligetilfælde
sl6h	crastinalanspændt
fyoh	refleksivstemme
bxih	universkøn
jlih	transitivudsagnsord
kyeh	lokalitetkøn
txuh	forskningkøn
s6	kunstneriskkøn
preh	patientudløser
sr6h	abstraktkøn
nyoh	indirektetale
zreh	exocentrictilfælde
kfeh	forbiperfective
jo	upersonligudsagnsord
kxuh	kollektivenavneord
bu	absolutivetilfælde
qrih	planetariskekøn
kfoh	kernebenefactive
kwoh	associativtilfælde
pluh	superlativtilfælde
jrah	elektriskstrøm
glih	livløsekøn
p6	propositivehumør
vrah	gensidigstemme
lyuh	successivklausul
gleh	snartfremtidanspændt
lyoh	applikativstemme
ps6h	antipassivestemme
tfuh	continuativeaspekt
nr6h	necessitativehumør
pr6h	passivparticipium
sy6h	eksistentielklausul
qyih	lysendeintensitet
gluh	singulativeantal
kwuh	overdrevenvarighed
xyah	enkelthandlingudsagnsord
vlih	superlativgrad
djah	nuværendeparticipium
m6	beløbafstof
ti7	bindevævpartikel
f6	epentheticmorpheme
tli7h	fjernfremtidanspændt
si_	postpositionaltilfælde
l6	allocutionaftale
k6	frequentativeaspekt
bzih	distributivstedord
tu7	floatingpunktantal
vo	udsagnsordanbringe
ki7	forbipassivparticipium
ta_	locativeretningsbestemttilfælde
