hnit	infinitiv
hnak	nominativetilfælde
hkak	akkusativtilfælde
htak	emnetilfælde
hpap	far
hmam	mor
hyat	forældrenes
hcan	hej
hwik	vokativtilfælde
hsuc	forfader
htat	bedsteforældre
hcac	sulten
hnik	genitivtilfælde
hcit	adjektiv
hwan	og
hman	mig
hnan	du
hwam	os
htit	det
htac	bestemmelsesstedtilfælde
htik	dativtilfælde
hyit	Realishumør
htim	deontichumør
hcut	betingethumør
hsit	epistemiskehumør
hyak	medvirkendetilfælde
htan	interiørsammenhæng
hpan	personsammenhæng
htin	uafhængigklausul
hyan	afhængigklausul
hfap	perfectiveaspekt
hkat	forbianspændt
hnin	maskulinkøn
hmak	comitativetilfælde
hnat	nuværendeanspændt
hpak	benefactivetilfælde
swik	essivetilfælde
htut	negatorykvantor
hsan	overfladesammenhæng
hpin	adpositionaltilfælde
hwin	beliggenhedtilfælde
hkan	pladssammenhæng
hnac	vejtilfælde
hyut	spørgendehumør
hnam	ogeller
hkit	eksklusiveller
hsuk	kildetilfælde
hpik	ablativtilfælde
hcat	nærhed
hmat	demonstrativ
hkuk	klausulhale
hlan	men
hsut	alle
hyin	universelkvantor
hcin	femininkøn
hpac	pluralisantal
hyik	en
htic	deres
hkik	hvem
tcat	fremtidanspændt
hsin	socialsammenhæng
hkac	hvornår
hmip	imperfectiveaspekt
klan	der
hlak	iforholdtilfælde
hlik	illativetilfælde
htam	direktivhumør
hlat	elektivkvantor
hkam	hvad
hwat	spørgsmålord
htap	copula
hpat	person
nyan	han-
hkas	kunne
tcan	andre
hnuc	antal
twit	selvhævdendekvantor
hsak	tidsammenhæng
htuk	tidsmæssigetilfælde
htun	kun
htum	hortativehumør
hyip	tilbagevirkendekraftaspekt
hlit	volitivehumør
pcic	skal
tyut	to
hsat	se
hkut	vide
hcic	ned
hcap	efter
hpam	først
hlac	afhændeligebesiddelse
hkap	aldrig
hnic	umisteligbesiddelse
tyat	gammel
tcit	deliberativehumør
tcin	dag
hlam	komme
hwak	vokal
hkin	gå
lwak	perlativetilfælde
hpip	progressivaspekt
lyan	lang
hsac	sige
kyan	hvordan
htas	igen
hsic	her
hcik	tænke
hcak	undersammenhæng
hfan	fundet
hsun	hånd
hyac	også
nwan	ung
tyit	mod
tlan	Gud
twak	delativetilfælde
hmin	intet
hyas	engang
hlap	semelfactiveaspekt
kcac	venstre
hyic	sav
hcas	hus
hwac	verden
tyin	tre
hnun	neo
hcuk	fokus
pyan	elsker
hsis	altid
hyam	nat
hyap	konge
hkic	mellem
hmas	sind
cyit	hjerte
pluc	paucalantal
kyik	fordi
ksak	kausaltilfælde
tcun	Færdig
hnim	navn
tsan	passendenavneord
klac	land
hpun	spurgte
cyat	synligbevismæssige
pcac	bedre
hmac	øjeblik
hnas	kanikke
hwic	vand
twim	desiderativehumør
kwan	lys
tlat	ord
tyan	dør
hsas	morgen
syat	indtil
twik	terminativetilfælde
hpit	hvid
pcan	penge
hyis	dårlig
mwan	død
hfam	form
nwik	inessivetilfælde
kcat	sammen
tsac	tit
pyat	ven
psan	halv
hpim	bydendenødvendigthumør
hyuc	rund
hfat	sendt
hcis	kone
kcan	tro
hsik	offentlig
htus	tilstandsammenhæng
hpas	søn
clat	børn
tyak	dermed
cwan	håb
syin	Kære
hkuc	høj
tyac	læse
syit	by
hlic	allerede
hfit	Factivebevismæssige
tcac	pige
hcun	høre
ksan	mindst
hyaf	måske
kyat	Ja
tcic	legeme
hwit	afkast
cwat	luft
hfaf	lov
hput	hjælp
lyat	brev
ksas	fire
hpic	optativhumør
hfuk	brand
hcam	time
twat	krig
kyak	flere
tlit	anden
pcin	bag
hmut	faretvild
clan	tusind
hfac	familie
twan	sjæl
hwas	spørgsmål
syan	sandhed
htis	making
tsat	potentielhumør
lwik	allativetilfælde
nyin	antropiskekøn
hfak	fem
tcak	sammeemnemarkør
htuc	forskelligeemne
hnap	svar
hmit	hav
hcuc	frygt
pcat	forstå
syas	betingelser
hcaf	tvivl
twut	dubitativehumør
hkis	sort
tlak	tagemed
hyus	smuk
nyit	sortere
htip	ti
ksis	historie
hpuk	bog
hlin	elektronisk
hkun	konto
lyas	interesse
lyit	skrive
pwat	seng
hnis	alder
hnut	kontrafaktiskebetinget
slas	kunst
hwis	Vialistilfælde
pyak	bror
lyin	linje
tyas	tabel
hyun	flod
kyac	øje
tfan	pludselig
kcin	dyb
hmuc	formål
cyac	blod
hmap	rose
tlin	kold
hyif	forward
tyam	sent
hnaf	formoder
hkip	næsten
myan	mine
tsin	viden
hkup	kopi
hsam	mand
hlis	seks
cwit	levende
cyan	fred
myat	huske
tyic	naturlig
hfut	falde
swas	service
hsap	undtagen
pcit	ophavsret
hyim	hær
kyas	hest
plic	fremtid
pcak	vest
hpis	betale
hyuk	rød
hwun	guld
twin	ønske
plan	spil
hpus	kontor
syun	regering
kyic	kirke
htaf	styrke
hlun	længde
kyin	selskab
kyis	papir
mlan	sandsynlighed
hcim	især
cyas	bjørn
twac	vindue
nyat	skønhed
hcus	sidstnævnte
htup	pligt
htif	afstand
pyas	fod
hlas	vild
ksin	grøn
hmaf	besvær
myac	smil
hsim	sove
kyit	citeret
kwik	quotativetilfælde
fwan	besøg
slan	følge
psit	tilstedeværelse
hmic	sød
hmuf	mund
hfin	rig
tcam	fjende
psuk	gåetistykker
kcap	skib
pwan	inklusiveperson
hfic	indflydelse
tcuc	vises
hkim	hemmelighed
pyin	Værvenlig
pwit	precativehumør
pyit	høfligregister
cwak	ond
myak	marts
tcas	steder
hlaf	Bliv
psat	istedet
nlan	blå
psac	umulig
kcuk	skole
kcit	gift
kcak	mad
syis	tyve
tlac	rolige
hcip	prospektiveaspekt
kwin	giver
tsit	stoppet
pyac	sprog
hsus	uge
hcup	hal
cyap	vidunder
tfin	født
fyat	ret
hnip	gnomicaspekt
tsak	respekt
tlas	værdi
syuc	træ
plat	væg
cyak	himmel
twip	inchoativeaspekt
mlat	kommando
swit	jussivehumør
mwas	måned
hwaf	perfektionere
tyap	erfaring
ksac	omstændigheder
syac	frisk
hnuk	duke
kwak	dækket
tyuk	øst
pwac	sten-
hkif	noble
nyac	retning
cyis	stol
tyuc	venter
tsun	landsby
tyik	enig
hnum	eftergivendehumør
slak	succes
tsic	forsøger
slat	bakke
hmik	musik
hkus	skrig
hsip	syv
hpaf	privat
nwas	nyheder
tfac	scene
fyan	have
cwas	begynde
hfik	distributivtilfælde
lyac	lære
syik	politisk
clin	henry
cyin	ligge
tsas	støbt
cyik	myndighed
tlap	etage
cyam	sommer
tcut	religion
tcap	flugt
hlut	forfatter
pyun	brun
tcuk	smerte
swan	forår
hmun	blød
kyun	hjørne
nyak	varemærke
tsis	retfærdighed
psas	fremstille
cyaf	grine
hwut	glemme
hyup	Europa
hwap	otte
psak	passerer
kyap	frygtelig
pyic	påkrævet
hmim	medium
hsaf	åndedrag
hmis	klog
