ni	Infinitiv
na	NominativFall
ka	AkkusativFall
ta	ThemaFall
ca	Hallo
wu	VokativFall
kcah	hungrig
ti	GenitivFall
ci	Adjektiv
wa	und
mi	mich
sa	Sie
nyah	uns
ya	es
ma	ReisezielFall
yi	DativFall
li	realisStimmung
tu	deontischeStimmung
cu	bedingtStimmung
si	epistemischenStimmung
yu	instrumentalFall
nu	InnereKontext
pa	PersonKontext
tyah	Hauptsatz
la	abhängigKlausel
fa	perfektivAspekt
ki	VergangenheitTempus
ne	männlichGeschlecht
mwah	KomitativFall
ra	GeschenkTempus
pwah	benefactiveFall
swih	EssivFall
no	negatoryQuantor
pi	OberflächeKontext
da	adpositionalFall
te	LageFall
to	RaumKontext
ga	WegFall
ri	fragendStimmung
ba	undoder
ku	Exklusivoder
so	QuelleFall
pwih	AblativFall
ksah	Nähe
tsah	demonstrativ
ko	Klausel-tail
pyah	aber
wi	Universal-Quantor
ji	femininGeschlecht
pu	Plural-Nummer
bi	ZukunftTempus
co	Sozial-Kontext
me	imperfectiveAspekt
klah	Dort
twah	relativFall
twih	illativeFall
di	DirektiveStimmung
tlah	Wahl-Quantor
kyah	Was
tcah	FrageWort
ja	Kopula
cyah	Person
clah	andere
do	Anzahl
tlih	selbstbewusstQuantor
se	ZeitKontext
myah	temporalFall
tyuh	nur
tcih	anspornendStimmung
tyih	retrospektivAspekt
lo	volitiveStimmung
cwah	nach
nlah	veräußerlichBesitz
nlih	unveräußerlichBesitz
cyih	deliberativenStimmung
lwah	perlativeFall
pfih	progressivAspekt
tsih	Hier
ce	unterKontext
pcah	auch
lwih	delativeFall
swah	semelfactiveAspekt
nyih	Neo
fu	Fokus
plah	Liebe
po	paucalNummer
kyih	da
ksih	kausalFall
gi	Name
tfah	richtigSubstantiv
crih	sichtbarbeweiskräftig
kceh	besser
dwih	desiderativeStimmung
wo	Wort
srah	bis
tweh	terminativeFall
nwih	InessivFall
pcih	ImperativStimmung
crah	glauben
ro	BundeslandKontext
cwih	Hoffnung
kwih	Factivebeweiskräftig
fi	Rückkehr
psih	OptativStimmung
tseh	PotenzialStimmung
lweh	AllativFall
nrih	anthropischeGeschlecht
tceh	gleichFachMarker
re	andersFach
croh	Angst
mrah	verstehen
cyuh	Zweifel
twuh	dubitativeStimmung
myih	schön
lyih	interessieren
flah	kontrabedingt
we	VialisFall
clih	kalt
pyih	Frieden
su	außer
kwah	Verlangen
le	Länge
bo	Wahrscheinlichkeit
mlah	Schwierigkeiten
syah	Lächeln
slih	Schlaf
zi	zitiert
twoh	quotativeFall
mo	inklusivePerson
kcih	Bitte
rwih	PrecativStimmung
mrih	höflichNeuregistrieren
rwah	prospektivAspekt
cyeh	Wunder
go	gnomicAspekt
tsoh	Achtung
za	inchoativeAspekt
jwih	jussiveStimmung
mwih	freizügigStimmung
sloh	Erfolg
prih	Privat-
de	distributiveFall
tcoh	Schmerz
ryah	Lachen
mlih	weise
ye	besitzergreifendMarker
ke	kommissivenStimmung
creh	vergeblich
mweh	completiveAspekt
nrah	warm
nroh	Zorn
bwah	trotz
trah	Stolz
mroh	Moral-
slah	Gesundheit
syih	Sozial-
pe	EinstellungAspekt
krih	neugierig
tfih	Verstärker
fe	endlich
prah	beiseite
trih	beweiskräftig
nwah	beweiskräftigFall
srih	traurig
zo	zoicGeschlecht
nweh	eventiveStimmung
cwoh	gleichEreignisMarker
plih	MultiplikationsFall
dwah	erwünscht
kcoh	müde
drah	zufrieden
lu	spekulativStimmung
frih	familiärNeuregistrieren
frah	verwundet
mruh	Dummkopf
djih	Sympathie
krah	danken
cruh	Schande
fyah	PhraseMarker
ryih	vorherbestimmt
kruh	bitter
tyeh	Text
kreh	grausam
tleh	hesternalTempus
kfah	Opfer
dyih	Hass
cloh	rationalGeschlecht
nloh	genießen
psah	Verzweiflung
sleh	pflanzlichGeschlecht
nruh	unschuldig
drih	Bewunderung
sroh	Pardon
brih	Base
kluh	Verwirrung
bwih	SegenStimmung
klih	schuldig
grih	ignorant
nyeh	InitiativeFall
nleh	demütigen
dlih	verspätetImperativ
proh	berichtetbeweiskräftig
mloh	Melancholie
du	Singular
jrih	Geduld
freh	Bezugs
kloh	einsam
kroh	Charme
tcuh	Begeisterung
kcuh	induktivStimmung
xa	DiskursKontext
nreh	nervös
pseh	Aspekt
ge	Agent
mu	ErmahnungStimmung
byah	Ambition
pcoh	überfüllt
treh	direktbeweiskräftig
yo	besorgtStimmung
cwuh	Schock
tloh	kürzlichVergangenheitTempus
dlah	eindeutigArtikel
cluh	hässlich
myuh	Humor
dyah	distalendemonstrativ
rwuh	eifersüchtig
troh	imprecatoryStimmung
dzih	Gleichgültigkeit
swuh	assumptiveStimmung
bzah	Scherz
