hnit	Infinitiv
hnak	NominativFall
hkak	AkkusativFall
htak	ThemaFall
hpap	Papa
hmam	Mama
hyat	Eltern
hcan	Hallo
hwik	VokativFall
hsuc	Vorfahr
htat	Großelterneltern~~POS=HEADCOMP
hcac	hungrig
hnik	GenitivFall
hcit	Adjektiv
hwan	und
hman	mich
hnan	Sie
hwam	uns
htit	es
htac	ReisezielFall
htik	DativFall
hyit	realisStimmung
htim	deontischeStimmung
hcut	bedingtStimmung
hsit	epistemischenStimmung
hyak	instrumentalFall
htan	InnereKontext
hpan	PersonKontext
htin	Hauptsatz
hyan	abhängigKlausel
hfap	perfektivAspekt
hkat	VergangenheitTempus
hnin	männlichGeschlecht
hmak	KomitativFall
hnat	GeschenkTempus
hpak	benefactiveFall
swik	EssivFall
htut	negatoryQuantor
hsan	OberflächeKontext
hpin	adpositionalFall
hwin	LageFall
hkan	RaumKontext
hnac	WegFall
hyut	fragendStimmung
hnam	undoder
hkit	Exklusivoder
hsuk	QuelleFall
hpik	AblativFall
hcat	Nähe
hmat	demonstrativ
hkuk	Klausel-tail
hlan	aber
hsut	alle
hyin	Universal-Quantor
hcin	femininGeschlecht
hpac	Plural-Nummer
hyik	ein
htic	ihr
hkik	Wer
tcat	ZukunftTempus
hsin	Sozial-Kontext
hkac	wenn
hmip	imperfectiveAspekt
klan	Dort
hlak	relativFall
hlik	illativeFall
htam	DirektiveStimmung
hlat	Wahl-Quantor
hkam	Was
hwat	FrageWort
htap	Kopula
hpat	Person
nyan	männlich
hkas	könnte
tcan	andere
hnuc	Anzahl
twit	selbstbewusstQuantor
hsak	ZeitKontext
htuk	temporalFall
htun	nur
htum	anspornendStimmung
hyip	retrospektivAspekt
hlit	volitiveStimmung
pcic	Muss
tyut	zwei
hsat	sehen
hkut	kennt
hcic	nachunten
hcap	nach
hpam	erste
hlac	veräußerlichBesitz
hkap	nie
hnic	unveräußerlichBesitz
tyat	alt
tcit	deliberativenStimmung
tcin	Tag
hlam	kommen
hwak	Vokal
hkin	gehen
lwak	perlativeFall
hpip	progressivAspekt
lyan	lange
hsac	sagen
kyan	Wie
htas	aufsNeue
hsic	Hier
hcik	denken
hcak	unterKontext
hfan	gefunden
hsun	Hand
hyac	auch
nwan	jung
tyit	gegen
tlan	Gott
twak	delativeFall
hmin	garnichts
hyas	einmal
hlap	semelfactiveAspekt
kcac	links
hyic	sah
hcas	Haus
hwac	Welt
tyin	drei
hnun	Neo
hcuk	Fokus
pyan	Liebe
hsis	immer
hyam	Nacht-
hyap	König
hkic	zwischen
hmas	Verstand
cyit	Herz
pluc	paucalNummer
kyik	da
ksak	kausalFall
tcun	erledigt
hnim	Name
tsan	richtigSubstantiv
klac	Land
hpun	fragte
cyat	sichtbarbeweiskräftig
pcac	besser
hmac	Moment
hnas	kannnicht
hwic	Wasser
twim	desiderativeStimmung
kwan	Licht
tlat	Wort
tyan	Tür
hsas	Morgen-
syat	bis
twik	terminativeFall
hpit	Weiß
pcan	Geld
hyis	Arm
mwan	Tod
hfam	Form
nwik	InessivFall
kcat	zusammen
tsac	desöfteren
pyat	Freund
psan	Hälfte
hpim	ImperativStimmung
hyuc	runden
hfat	geschickt
hcis	Ehefrau
kcan	glauben
hsik	Öffentlichkeit
htus	BundeslandKontext
hpas	Sohn
clat	Kinder
tyak	so
cwan	Hoffnung
syin	sehrgeehrter
hkuc	hoch
tyac	lesen
syit	Stadt
hlic	bereits
hfit	Factivebeweiskräftig
tcac	Mädchen
hcun	hören
ksan	amwenigsten
hyaf	vielleicht
kyat	tatsächlich
tcic	Körper
hwit	Rückkehr
cwat	Luft
hfaf	Recht
hput	Hilfe
lyat	Brief
ksas	vier
hpic	OptativStimmung
hfuk	Feuer
hcam	Stunde
twat	Krieg
kyak	mehrere
tlit	zweite
pcin	hinter
hmut	hatverloren
clan	tausend
hfac	Familie
twan	Seele
hwas	Frage
syan	Wahrheit
htis	Herstellung
tsat	PotenzialStimmung
lwik	AllativFall
nyin	anthropischeGeschlecht
hfak	fünf
tcak	gleichFachMarker
htuc	andersFach
hnap	Antworten
hmit	Meer
hcuc	Angst
pcat	verstehen
syas	Bedingungen
hcaf	Zweifel
twut	dubitativeStimmung
hkis	schwarz
tlak	bringen
hyus	schön
nyit	Sortieren
htip	zehn
ksis	Geschichte
hpuk	Buch
hlin	elektronisch
hkun	Konto
lyas	interessieren
lyit	schreiben
pwat	Bett
hnis	Alter
hnut	kontrabedingt
slas	Kunst
hwis	VialisFall
pyak	Bruder
lyin	Leitung
tyas	Tabelle
hyun	Fluss
kyac	Auge
tfan	plötzlich
kcin	tief
hmuc	Zweck
cyac	Blut
hmap	Rose
tlin	kalt
hyif	Vorwärts-
tyam	spät
hnaf	annehmen
hkip	fast
myan	Bergwerk
tsin	Wissen
hkup	Kopie
hsam	Mann
hlis	sechs
cwit	Leben
cyan	Frieden
myat	erinnern
tyic	natürliche
hfut	Fall
swas	Bedienung
hsap	außer
pcit	Copyright
hyim	Armee
kyas	Pferd
plic	Zukunft
pcak	West-
hpis	zahlen
hyuk	rot
hwun	Gold-
twin	Verlangen
plan	spielen
hpus	Büro
syun	Regierung
kyic	Kirche
htaf	Stärke
hlun	Länge
kyin	Gesellschaft
kyis	Papier-
mlan	Wahrscheinlichkeit
hcim	besonders
cyas	Bär
twac	Fenster
nyat	Schönheit
hcus	letztere
htup	Pflicht
htif	Entfernung
pyas	Fuß
hlas	wild
ksin	grün
hmaf	Schwierigkeiten
myac	Lächeln
hsim	Schlaf
kyit	zitiert
kwik	quotativeFall
fwan	Besuch
slan	Folgen
psit	Gegenwart
hmic	süß
hmuf	Mund
hfin	reich
tcam	Feind
psuk	gebrochen
kcap	Schiff
pwan	inklusivePerson
hfic	Einfluss
tcuc	erscheinen
hkim	Geheimnis
pyin	Bitte
pwit	PrecativStimmung
pyit	höflichNeuregistrieren
cwak	böse
myak	März
tcas	setzt
hlaf	bleibe
psat	stattdessen
nlan	blau
psac	unmöglich
kcuk	Schule
kcit	verheiratet
kcak	Lebensmittel
syis	zwanzig
tlac	ruhig
hcip	prospektivAspekt
kwin	Angabe
tsit	gestoppt
pyac	Sprache
hsus	Woche
hcup	Halle
cyap	Wunder
tfin	geboren
fyat	Gericht
hnip	gnomicAspekt
tsak	Achtung
tlas	wert
syuc	Baum
plat	Mauer
cyak	Himmel
twip	inchoativeAspekt
mlat	Befehl
swit	jussiveStimmung
mwas	Monat
hwaf	perfekt
tyap	Berufserfahrung
ksac	Umstände
syac	frisch
hnuk	Herzog
kwak	bedeckt
tyuk	Osten
pwac	Stein
hkif	edel
nyac	Richtung
cyis	Sessel
tyuc	warten
tsun	Dorf
tyik	sicheinigen
hnum	freizügigStimmung
slak	Erfolg
tsic	versuchen
slat	Hügel
hmik	Musik-
hkus	Schrei
hsip	Sieben
hpaf	Privat-
nwas	Nachrichten
tfac	Szene
fyan	Garten
cwas	Start
hfik	distributiveFall
lyac	lernen
syik	politisch
clin	henry
cyin	Lüge
tsas	Besetzung
cyik	Behörde
tlap	Boden
cyam	Sommer-
tcut	Religion
tcap	Flucht
hlut	Autor
pyun	braun
tcuk	Schmerz
swan	Feder
hmun	weich
kyun	Ecke
nyak	Warenzeichen
tsis	Gerechtigkeit
psas	produzieren
cyaf	Lachen
hwut	vergessen
hyup	Europa
hwap	acht
psak	Vorbeigehen
kyap	furchtbar
pyic	erforderlich
hmim	Medium
hsaf	Atem
hmis	weise
hsum	besitzergreifendMarker
ksat	angenehm
ksit	Grab
tsap	Insel
kyam	Lager
tcum	berühren
cyun	Vermögen
psic	Ufer
tyun	Domain
mwit	kommissivenStimmung
tlut	Grad
myit	Winter
kfan	Verhalten
slac	Laufen
myin	Minute
tyip	dasBlei
klas	Glas
pfat	Tafel
cyic	vergeblich
swam	Angelegenheiten
syam	Safe
tsut	Arzt
hlip	completiveAspekt
kcas	Dunkelheit
nyun	warm
hpuc	Getränk
tlam	Beispiel
hfun	Zorn
tsik	trotz
tsam	direkt
hmup	Hut
klak	Hund
slin	Silber-
swac	Diener
kcam	Stolz
pyik	Bahn
myut	Moral-
syak	Eintreten
swat	Schwert
kyuk	Angriff
clac	Gesundheit
tyaf	Absatz
swic	Sozial-
tfit	Rückerstattung
hkaf	offiziell
pcas	Blick
nyam	Herrlichkeit
tfat	zwölf
pcut	beschäftigt
pwin	Wein
mwat	Geschmack
fyac	Eisen
syap	verteilen
myap	Handel
hyum	Verwendung
fwak	Richter
klat	Kapitän
twap	EinstellungAspekt
kcic	neugierig
kwic	fremd
hnif	Verstärker
myun	Bedeutung
tlic	endlich
cyuk	Hals
syut	Freiheit
pfan	Seiten
kyuc	trocken
pcap	beiseite
tfak	beweiskräftig
tcik	beweiskräftigFall
twun	entfernt
tyis	Progress
nyap	eng
plit	Gebäude
hpif	Seite
pwic	Festhalten
syic	traurig
tsip	Sünde
syim	krank
tcis	ehrlich
pcun	Bank
ksap	akzeptieren
lyam	Strom
tcaf	vorsichtig
kwac	Ohr
hpup	Brot
kcut	wählen
nwam	Tier
hsup	zoicGeschlecht
nwit	eventiveStimmung
tcim	gleichEreignisMarker
tlik	MultiplikationsFall
kyus	Kreuz
hmus	dick
kfat	wagen
nwat	größerwerden
myic	Regen
hpum	Oberfläche
swut	heilig
clis	Juli
mwun	Mode
hfas	Datei
cwac	Schulter
kwat	Komfort
nwac	jemand
tcip	erwünscht
kfac	Gras
hmuk	zeichnen
plin	Öffnung
kwun	Juni
mlik	Fisch
klin	Hauptstadt
pfut	Brust
twam	Anspruch
fyin	Ausgabe
nlit	Ihre
mlin	Million
pyut	beten
hluk	müde
ksut	töten
cyut	Schatten
psin	Gewicht
kcis	grau
pyam	trotzen
mwac	zufrieden
klam	erzählen
ksam	nationale
hfip	schwach
klik	Tal
hkum	spekulativStimmung
clas	gelb
cyuc	Wärme
mlac	Überreste
syip	gleichermaßen
pwak	Box
tcif	spitz
psip	Prinzip
ksik	Folge
tsim	Saison
flan	Wissenschaft
pcam	anscheinend
kcun	Bohrloch
ksuk	Onkel
mlit	Liste
pcik	gefährlich
kwas	August
hluc	Beliebt
klit	unbekannt
flak	familiär
fyit	familiärNeuregistrieren
lwat	Leser
plun	Gehen
twas	zweimal
pcis	Priester
fyas	verwundet
nlat	Palast
myuk	Dummkopf
pfak	begünstigen
tcuf	neun
cwap	Sympathie
plac	platzen
pyap	Putten
lyic	angezogen
hcum	Lärm
lwit	Literatur
tsuk	Rang
hfup	Sturm
kcik	Tasche
nwap	November
tyim	Dezember
psaf	Abwesenheit
nlac	Bevölkerung
kyaf	danken
slis	Serie
pyaf	Vogel
mlak	Inhaber
kwut	Mantel
hwuc	Verhältnis
pyis	schnell
twuc	rauchen
nwak	Januar
mlic	Maschine
tlis	Gebiss
ksun	Verbrennung
clam	Schande
klaf	Qualität-
clit	Ring
fyak	Phrase
fyam	PhraseMarker
kwap	Platz
hwip	Sonntag
psis	Poesie
pwut	vorherbestimmt
kyim	kaufen
clic	Felder
pyip	April
kfap	Oktober
psut	Objekte
kcuc	bitter
nlap	Sklave
hsok	lose
htet	Text
hbat	amschlimmsten
hrit	Kredit
hzit	Eigenschaften
hpet	fünfzehn
krac	grausam
hduc	Staub
hrik	praktisch
hron	Farbe
hnus	Nase
hric	freundlich
srik	liefern
hten	gestern
tlet	hesternalTempus
slap	scheitern
hban	tragen
hdat	blind
fran	Fliege
hdan	Teufel
htec	allmählich
hmon	Mission
cran	Opfer
hran	Gewissen
hmos	Minister
nrit	Energie
hcet	Hass
hset	Center
hrin	rationalGeschlecht
hcot	genießen
hrip	kurz
htep	Anbetung
hcif	Haut
hrat	Dach
kran	Krone
hkon	Schloss
tran	Verzweiflung
hmif	Meile
trin	Kreis
hgin	Gefängnis
hkop	Tasse
hcen	Mitglied
swin	bürgerlich
hrac	überall
hris	Brauch
hbin	Werden
hmot	Fleisch
hdut	Milch
hwen	pflanzlichGeschlecht
nran	Selten
hbac	Cousin
crut	Brücke
hsoc	Stock
hsom	Salz-
nris	unschuldig
hbit	vermeiden
crin	Bewunderung
rwin	Königin
hgut	Graf
hdas	tanzen
hnot	Hotel
hdin	füllen
hton	Gefangene
hdak	Geschäft
hlet	Treppe
hson	Pardon
hgek	Homosexuell
hras	Sand
hsep	September
hbic	Ruine
hlen	Lizenz
hcon	ausreichend
hgit	Zeuge
kfon	Küche
hbak	verkaufen
tlim	Behandlung
hsot	Geschwindigkeit
kyut	Computer
hnen	ewig
htek	Bibliothek
hzan	enthaltend
hbis	Base
hbun	Verwirrung
kcus	Koch
hgat	Wüste
hwus	Kuss
hbif	Eis
hbot	Ball
hrut	Argument
hdit	SegenStimmung
hdis	schuldig
hjan	Strafe
plis	Polizei
hgan	verstecken
hsen	Expedition
nrin	ignorant
hyen	Wolke
frif	Februar
hdik	Krankheit
hnek	InitiativeFall
hbam	Tante
hmen	demütigen
hdip	verspätetImperativ
prat	berichtetbeweiskräftig
hdet	Mitternacht
