ni	απαρέμφατο
na	ονομαστικήπτώσηπερίπτωση
ka	αιτιατικήπερίπτωση
ta	θέμαπερίπτωση
ca	Χαίρετε
wu	κλητικήπτώσηπερίπτωση
kcah	πεινασμένος
ti	γενικήπερίπτωση
ci	επίθετο
wa	και
mi	μου
sa	εσείς
nyah	μας
ya	το
ma	προορισμόςπερίπτωση
yi	δοτικήπτώσηπερίπτωση
li	REALISδιάθεση
tu	δεοντικόδιάθεση
cu	υποθετικόςδιάθεση
si	επιστημονικέςδιάθεση
yu	ενόργανοςπερίπτωση
nu	εσωτερικόσυμφραζόμενα
pa	πρόσωποσυμφραζόμενα
tyah	ανεξάρτητηρήτρα
la	εξαρτώμενοςρήτρα
fa	τελειοποιητικόςάποψη
ki	τοπαρελθόνσευπερένταση
ne	αρρενωπόςγένος
mwah	comitativeπερίπτωση
ra	παρόνσευπερένταση
pwah	benefactiveπερίπτωση
swih	essiveπερίπτωση
no	άνευαντικειμένουμεquantifier
pi	επιφάνειασυμφραζόμενα
da	adpositionalπερίπτωση
te	τοποθεσίαπερίπτωση
to	χώροςσυμφραζόμενα
ga	τρόποςπερίπτωση
ri	ερωτηματικόςδιάθεση
ba	καιή
ku	αποκλειστικούή
so	πηγήπερίπτωση
pwih	αφαιρετικήπτώσηπερίπτωση
ksah	εγγύτητα
tsah	εκδηλωτικός
ko	Ρήτρα-ουρά
pyah	αλλά
wi	παγκόσμιοςquantifier
ji	θηλυκόςγένος
pu	πληθυντικόςαριθμός
bi	μελλοντικόςσευπερένταση
co	κοινωνικόςσυμφραζόμενα
me	ατελήάποψη
klah	εκεί
twah	σχετικόςπερίπτωση
twih	illativeπερίπτωση
di	διευθυντικόςδιάθεση
tlah	αιρετόςquantifier
kyah	τι
tcah	ερώτησηλέξη
ja	συνδετικόρήμα
cyah	πρόσωπο
clah	άλλα
do	αριθμός
tlih	κατηγορηματικόςquantifier
se	χρόνοςσυμφραζόμενα
myah	χρονικόςπερίπτωση
tyuh	μόνο
tcih	παραινετικόςδιάθεση
tyih	αναδρομικόςάποψη
lo	θελητικόςδιάθεση
cwah	μετά
nlah	απαλλοτριώσιμοςκατοχή
nlih	αναπαλλοτρίωτοςκατοχή
cyih	συμβουλευτικόςδιάθεση
lwah	perlativeπερίπτωση
pfih	προοδευτικόςάποψη
tsih	εδώ
ce	κάτωαπόσυμφραζόμενα
pcah	επίσης
lwih	delativeπερίπτωση
swah	semelfactiveάποψη
nyih	Νέο
fu	εστία
plah	αγάπη
po	paucalαριθμός
kyih	επειδή
ksih	αιτιώδηςσυνάφειαπερίπτωση
gi	όνομα
tfah	κατάλληλοςουσιαστικό
crih	ορατόςαποδεικτικός
kceh	καλύτερα
dwih	desiderativeδιάθεση
wo	λέξη
srah	μέχρι
tweh	ληκτικόςπερίπτωση
nwih	inessiveπερίπτωση
pcih	επιτακτικόςδιάθεση
crah	πιστεύω
ro	κατάστασησυμφραζόμενα
cwih	ελπίδα
kwih	Factiveαποδεικτικός
fi	απόδοση
psih	ευκτικόςδιάθεση
tseh	δυνητικόςδιάθεση
lweh	allativeπερίπτωση
nrih	ανθρωπικήγένος
tceh	ίδιοθέμασημάδι
re	διαφορετικόςθέμα
croh	φόβος
mrah	καταλαβαίνω
cyuh	αμφιβολία
twuh	dubitativeδιάθεση
myih	όμορφος
lyih	ενδιαφέρον
flah	αντιπαραδειγμάτωνυποθετικός
we	vialisπερίπτωση
clih	κρύο
pyih	ειρήνη
su	εκτός
kwah	επιθυμία
le	μήκος
bo	πιθανότητα
mlah	ταλαιπωρία
syah	χαμόγελο
slih	ύπνος
zi	εισηγμένες
twoh	quotativeπερίπτωση
mo	περιεκτικόςπρόσωπο
kcih	παρακαλώ
rwih	precativeδιάθεση
mrih	ευγενικόςμητρώο
rwah	υποψήφιοςάποψη
cyeh	αναρωτιέμαι
go	gnomicάποψη
tsoh	σεβασμός
za	εναρκτικόςάποψη
jwih	jussiveδιάθεση
mwih	επιτρεπτικόςδιάθεση
sloh	επιτυχία
prih	ιδιωτικός
de	διανεμητικέςπερίπτωση
tcoh	πόνος
ryah	γέλιο
mlih	σοφός
ye	κτητικόςσημάδι
ke	commissiveδιάθεση
creh	μάταιος
mweh	completiveάποψη
nrah	ζεστός
nroh	θυμός
bwah	πείσμα
trah	υπερηφάνεια
mroh	ηθικός
slah	υγεία
syih	κοινωνικός
pe	παύσηάποψη
krih	περίεργος
tfih	ενισχυτή
fe	τελικά
prah	κατάμέρος
trih	αποδεικτικός
nwah	αποδεικτικόςπερίπτωση
srih	λυπημένος
zo	ζωικόςγένος
nweh	eventiveδιάθεση
cwoh	ίδιοσυμβάνσημάδι
plih	πολλαπλασιαστικήπερίπτωση
dwah	επιθυμητή
kcoh	κουρασμένος
drah	ικανοποιημένοι
lu	κερδοσκοπικόςδιάθεση
frih	οικείοςμητρώο
frah	τραυματίας
mruh	ανόητος
djih	συμπάθεια
krah	ευχαριστώ
cruh	ντροπή
fyah	φράσησημάδι
ryih	προαποφασισμένη
kruh	πικρός
tyeh	κείμενο
kreh	σκληρός
tleh	hesternalσευπερένταση
kfah	θυσία
dyih	μισώ
cloh	λογικόςγένος
nloh	απολαμβάνω
psah	απελπισία
sleh	φυτικόςγένος
nruh	αθώος
drih	θαυμασμός
sroh	Συγγνώμη
brih	βάση
kluh	σύγχυση
bwih	ευλογίαδιάθεση
klih	ένοχος
grih	αμαθής
nyeh	πρωτοβουλίαπερίπτωση
nleh	ταπεινός
dlih	καθυστέρησηεπιτακτικός
proh	αναφερθείαποδεικτικός
mloh	μελαγχολία
du	ενικός
jrih	υπομονή
freh	αναφορικός
kloh	μοναχικός
kroh	γοητεία
tcuh	ενθουσιασμός
kcuh	επαγωγικόςδιάθεση
xa	ομιλίασυμφραζόμενα
nreh	νευρικός
pseh	άποψη
ge	μέσο
mu	νουθεσίαδιάθεση
byah	φιλοδοξία
pcoh	συνωστισμένος
treh	απευθείαςαποδεικτικός
yo	φοβισμένοςδιάθεση
cwuh	σοκ
tloh	πρόσφατοςτοπαρελθόνσευπερένταση
dlah	σαφήςάρθρο
cluh	άσχημος
myuh	χιούμορ
dyah	άπωεκδηλωτικός
rwuh	ζηλιάρης
troh	imprecatoryδιάθεση
dzih	αδιαφορία
swuh	assumptiveδιάθεση
bzah	αστείο
gwih	δηλαδή
dloh	hodiernalσευπερένταση
dweh	delimitativeάποψη
kweh	αποκλειστικόςπρόσωπο
truh	θερμοκρασία
tfeh	telicάποψη
lyeh	atelicάποψη
ru	απαγορευτικόςδιάθεση
kfih	παιδαριώδης
cyoh	ύποπτος
nluh	πίστη
cweh	παγίδα
nwoh	κινουμένωνσχεδίων
sruh	συγκίνηση
ksoh	σεξουαλικός
lyah	τεμπέλης
mreh	momentaneάποψη
pceh	εκφράζειτηλύπητου
bjih	πρώηνμακαρίτης
pcuh	αβεβαιότητα
xi	συνήθηςάποψη
blih	οριοθετούνται
tsuh	ασήμαντος
fwih	μεγαλοπρεπής
grah	κολακευτικός
brah	αυθαίρετος
cleh	καλοκάγαθος
sreh	επίσημοςμητρώο
pfah	ευεργετικός
droh	ακουστικόςαποδεικτικός
flih	επαγωγικήαποδεικτικός
sweh	sublativeπερίπτωση
ksuh	δηλωτικόςδιάθεση
pleh	προνομιούχος
psoh	αήττητος
be	προφορικός
mwoh	ονειροπόληση
kleh	αθλιότητα
glah	απληστία
kseh	καταφατικόςδιάθεση
zrah	δυσαρέσκεια
dyoh	ιδιόφωνο
syoh	Θαύμασα
gwah	υπερβολικόπερίπτωση
zlih	irrealisδιάθεση
zrih	συστολή
byih	προσαρμογή
ryeh	αντωνυμίασημάδι
fwah	ολιγαρκής
bjah	εκστατικός
kxah	γαλήνη
gvih	pegativeπερίπτωση
pxih	δικαίωση
xrah	λήγει
