hnit	απαρέμφατο
hnak	ονομαστικήπτώσηπερίπτωση
hkak	αιτιατικήπερίπτωση
htak	θέμαπερίπτωση
hpap	μπαμπάς
hmam	μαμά
hyat	γονικός
hcan	Χαίρετε
hwik	κλητικήπτώσηπερίπτωση
hsuc	πρόγονος
htat	παππούςκαιγιαγιά
hcac	πεινασμένος
hnik	γενικήπερίπτωση
hcit	επίθετο
hwan	και
hman	μου
hnan	εσείς
hwam	μας
htit	το
htac	προορισμόςπερίπτωση
htik	δοτικήπτώσηπερίπτωση
hyit	REALISδιάθεση
htim	δεοντικόδιάθεση
hcut	υποθετικόςδιάθεση
hsit	επιστημονικέςδιάθεση
hyak	ενόργανοςπερίπτωση
htan	εσωτερικόσυμφραζόμενα
hpan	πρόσωποσυμφραζόμενα
htin	ανεξάρτητηρήτρα
hyan	εξαρτώμενοςρήτρα
hfap	τελειοποιητικόςάποψη
hkat	τοπαρελθόνσευπερένταση
hnin	αρρενωπόςγένος
hmak	comitativeπερίπτωση
hnat	παρόνσευπερένταση
hpak	benefactiveπερίπτωση
swik	essiveπερίπτωση
htut	άνευαντικειμένουμεquantifier
hsan	επιφάνειασυμφραζόμενα
hpin	adpositionalπερίπτωση
hwin	τοποθεσίαπερίπτωση
hkan	χώροςσυμφραζόμενα
hnac	τρόποςπερίπτωση
hyut	ερωτηματικόςδιάθεση
hnam	καιή
hkit	αποκλειστικούή
hsuk	πηγήπερίπτωση
hpik	αφαιρετικήπτώσηπερίπτωση
hcat	εγγύτητα
hmat	εκδηλωτικός
hkuk	Ρήτρα-ουρά
hlan	αλλά
hsut	όλοι
hyin	παγκόσμιοςquantifier
hcin	θηλυκόςγένος
hpac	πληθυντικόςαριθμός
hyik	ένας
htic	τους
hkik	Ποιος
tcat	μελλοντικόςσευπερένταση
hsin	κοινωνικόςσυμφραζόμενα
hkac	πότε
hmip	ατελήάποψη
klan	εκεί
hlak	σχετικόςπερίπτωση
hlik	illativeπερίπτωση
htam	διευθυντικόςδιάθεση
hlat	αιρετόςquantifier
hkam	τι
hwat	ερώτησηλέξη
htap	συνδετικόρήμα
hpat	πρόσωπο
nyan	αρσενικός
hkas	θαμπορούσενα
tcan	άλλα
hnuc	αριθμός
twit	κατηγορηματικόςquantifier
hsak	χρόνοςσυμφραζόμενα
htuk	χρονικόςπερίπτωση
htun	μόνο
htum	παραινετικόςδιάθεση
hyip	αναδρομικόςάποψη
hlit	θελητικόςδιάθεση
pcic	πρέπει
tyut	δυο
hsat	βλέπω
hkut	ξέρω
hcic	κάτω
hcap	μετά
hpam	πρώτα
hlac	απαλλοτριώσιμοςκατοχή
hkap	ποτέ
hnic	αναπαλλοτρίωτοςκατοχή
tyat	παλιός
tcit	συμβουλευτικόςδιάθεση
tcin	ημέρα
hlam	Έλα
hwak	φωνήεν
hkin	πάω
lwak	perlativeπερίπτωση
hpip	προοδευτικόςάποψη
lyan	μακρύς
hsac	λέγω
kyan	πως
htas	πάλι
hsic	εδώ
hcik	νομίζω
hcak	κάτωαπόσυμφραζόμενα
hfan	θεμελιώ
hsun	χέρι
hyac	επίσης
nwan	νέος
tyit	εναντίον
tlan	θεός
twak	delativeπερίπτωση
hmin	τίποτα
hyas	μιαφορά
hlap	semelfactiveάποψη
kcac	αριστερά
hyic	είδε
hcas	σπίτι
hwac	κόσμος
tyin	τρία
hnun	Νέο
hcuk	εστία
pyan	αγάπη
hsis	πάντοτε
hyam	νύχτα
hyap	βασιλιάς
hkic	μεταξύ
hmas	μυαλό
cyit	καρδιά
pluc	paucalαριθμός
kyik	επειδή
ksak	αιτιώδηςσυνάφειαπερίπτωση
tcun	Έγινε
hnim	όνομα
