ni	infinitive
na	nominative-case
ka	accusative-case
ta	topic-case
ca	hello
wu	vocative-case
kcah	hungry
ti	genitive-case
ci	adjective
wa	and
mi	me
sa	you
nyah	us
ya	it
ma	destination-case
yi	dative-case
li	realis-mood
tu	deontic-mood
cu	conditional-mood
si	epistemic-mood
yu	instrumental-case
nu	interior-context
pa	person-context
tyah	independent-clause
la	dependent-clause
fa	perfective-aspect
ki	past-tense
ne	masculine-gender
mwah	comitative-case
ra	present-tense
pwah	benefactive-case
swih	essive-case
no	negatory-quantifier
pi	surface-context
da	adpositional-case
te	location-case
to	space-context
ga	way-case
ri	interrogative-mood
ba	and-or
ku	exclusive-or
so	source-case
pwih	ablative-case
ksah	proximity
tsah	demonstrative
ko	clause-tail
pyah	but
wi	universal-quantifier
ji	feminine-gender
pu	plural-number
bi	future-tense
co	social-context
me	imperfective-aspect
klah	there
twah	elative-case
twih	illative-case
di	directive-mood
tlah	elective-quantifier
kyah	what
tcah	question-word
ja	copula
cyah	person
clah	other
do	number
tlih	assertive-quantifier
se	time-context
myah	temporal-case
tyuh	only
tcih	hortative-mood
tyih	retrospective-aspect
lo	volitive-mood
cwah	after
nlah	alienable-possession
nlih	inalienable-possession
cyih	deliberative-mood
lwah	perlative-case
pfih	progressive-aspect
tsih	here
ce	under-context
pcah	also
lwih	delative-case
swah	semelfactive-aspect
nyih	neo
fu	focus
plah	love
po	paucal-number
kyih	because
ksih	causal-case
gi	name
tfah	proper-noun
crih	visible-evidential
kceh	better
dwih	desiderative-mood
wo	word
srah	until
tweh	terminative-case
nwih	inessive-case
pcih	imperative-mood
crah	believe
ro	state-context
cwih	hope
kwih	factive-evidential
fi	return
psih	optative-mood
tseh	potential-mood
lweh	allative-case
nrih	anthropic-gender
tceh	same-subject-marker
re	different-subject
croh	fear
mrah	understand
cyuh	doubt
twuh	dubitative-mood
myih	beautiful
lyih	interest
flah	counterfactual-conditional
we	vialis-case
clih	cold
pyih	peace
su	except
kwah	desire
le	length
bo	probability
mlah	trouble
syah	smile
slih	sleep
zi	quoted
twoh	quotative-case
mo	inclusive-person
kcih	please
rwih	precative-mood
mrih	polite-register
rwah	prospective-aspect
cyeh	wonder
go	gnomic-aspect
tsoh	respect
za	inchoative-aspect
jwih	jussive-mood
mwih	permissive-mood
sloh	success
prih	private
de	distributive-case
tcoh	pain
ryah	laugh
mlih	wise
ye	possessive-marker
ke	commissive-mood
creh	vain
mweh	completive-aspect
nrah	warm
nroh	anger
bwah	spite
trah	pride
mroh	moral
slah	health
syih	social
pe	cessative-aspect
krih	curious
tfih	intensifier
fe	finally
prah	aside
trih	evidential
nwah	evidential-case
srih	sad
zo	zoic-gender
nweh	eventive-mood
cwoh	same-event-marker
plih	multiplicative-case
dwah	desired
kcoh	tired
drah	satisfied
lu	speculative-mood
frih	familiar-register
frah	wounded
mruh	fool
djih	sympathy
krah	thank
cruh	shame
fyah	phrase-marker
ryih	preordained
kruh	bitter
tyeh	text
kreh	cruel
tleh	hesternal-tense
kfah	sacrifice
dyih	hate
cloh	rational-gender
nloh	enjoy
psah	despair
sleh	vegetal-gender
nruh	innocent
drih	admiration
sroh	pardon
brih	base
kluh	confusion
bwih	benedictive-mood
klih	guilty
grih	ignorant
nyeh	initiative-case
nleh	humble
dlih	delayed-imperative
proh	reported-evidential
mloh	melancholy
du	singular
jrih	patience
freh	referential
kloh	lonely
kroh	charm
tcuh	enthusiasm
kcuh	inductive-mood
xa	discourse-context
nreh	nervous
pseh	aspect
ge	agent
mu	admonitive-mood
byah	ambition
pcoh	crowded
treh	direct-evidential
yo	apprehensive-mood
cwuh	shock
tloh	recent-past-tense
dlah	definite-article
cluh	ugly
myuh	humour
dyah	distal-demonstrative
rwuh	jealous
troh	imprecative-mood
dzih	indifference
swuh	assumptive-mood
bzah	jest
gwih	namely
dloh	hodiernal-tense
dweh	delimitative-aspect
kweh	exclusive-person
truh	temperature
tfeh	telic-aspect
lyeh	atelic-aspect
ru	prohibitive-mood
kfih	childish
cyoh	suspicious
nluh	loyalty
cweh	trap
nwoh	animated
sruh	thrill
ksoh	sexual
lyah	lazy
mreh	momentane-aspect
pceh	regretted
bjih	former-deceased
pcuh	uncertainty
xi	habitual-aspect
blih	bounded
tsuh	trivial
fwih	majestic
grah	flattering
brah	arbitrary
cleh	benevolent
sreh	formal-register
pfah	beneficial
droh	auditory-evidential
flih	inferential-evidential
sweh	sublative-case
ksuh	declarative-mood
pleh	privileged
psoh	invincible
be	verbal
mwoh	reverie
kleh	wretchedness
glah	greed
kseh	affirmative-mood
zrah	dissatisfaction
dyoh	ideophone
syoh	awed
gwah	exessive-case
zlih	irrealis-mood
zrih	shyness
byih	adaptation
ryeh	pronoun-marker
fwah	frugal
bjah	ecstatic
kxah	equanimity
gvih	pegative-case
pxih	vindication
xrah	expiring
tfoh	henceforward
kxih	contrition
ryoh	prosecutive-case
qyah	preoccupation
r6	participle
txah	remote-past-tense
xrih	historic-tense
dxah	dual-number
syuh	super
vweh	overworked
n6	sensory-evidential-mood
bweh	obsession
xlih	hilarious
txih	twinge
sluh	self-satisfied
txoh	motion-uphill
xe	retrospective
pxah	entrap
vwah	motion-downhill
xyih	elite
fleh	inflected
psuh	superessive-case
syeh	satyr
qi	transitive
xruh	cower
zwah	wow
tr6h	motion-upriver
qwah	unambitious
xlah	worldwide
tyoh	intransitive
tluh	anticlimax
qa	current-relevance-marker
kxoh	dog-tired
rwoh	ordinal
ve	vector
kyoh	kilo
swoh	sequential
pxeh	partitive-case
txeh	augmentative
dxih	predicative
pxoh	prolative-case
pfoh	pro-phrase
blah	blase
fyih	non-human
xo	actor-role
pc6h	trial-number
greh	centric-case
groh	goal-trigger
dxoh	middle-voice
rweh	oblique-case
xwah	patient-case
xu	prehodiernal
xroh	wear-out
ks6h	causative
vi	binary-value
dleh	modal-case
gjeh	else-if
xreh	coworker
lwoh	locative-case
ml6h	multal-number
gjih	galaxy-gender
qlah	star-gender
bvih	abessive-case
dvah	adessive-case
je	agentive-case
t6	agent-trigger
kxeh	to-case
gxih	common-gender
tc6h	citation-form
ts6h	trans-numeral
ryuh	direct-object
gveh	ergative-case
pyoh	passive-voice
qe	finite-verb
xwih	primary-object
myoh	gnomic-mood
vrih	final-particle
va	evitative-case
bveh	subessive-case
dxeh	possessed-case
dvih	lative-case
tsa7h	antessive-case
dyeh	adverbial-case
mleh	animate-gender
pfeh	empathetic-joy
xleh	vehicle-gender
qlih	mineral-gender
xloh	verbal-noun
dreh	second-language
bvah	self-confidence
qrah	change-of-event
fo	different-event
sl6h	crastinal-tense
fyoh	reflexive-voice
bxih	universe-gender
jlih	transitive-verb
kyeh	locality-gender
txuh	research-gender
s6	artistic-gender
preh	patient-trigger
sr6h	abstract-gender
nyoh	indirect-speech
zreh	exocentric-case
kfeh	past-perfective
jo	impersonal-verb
kxuh	collective-noun
bu	absolutive-case
