hnit	infinitive
hnak	nominative-case
hkak	accusative-case
htak	topic-case
hpap	dad
hmam	mom
hyat	parental
hcan	hello
hwik	vocative-case
hsuc	ancestor
htat	grandparent
hcac	hungry
hnik	genitive-case
hcit	adjective
hwan	and
hman	me
hnan	you
hwam	us
htit	it
htac	destination-case
htik	dative-case
hyit	realis-mood
htim	deontic-mood
hcut	conditional-mood
hsit	epistemic-mood
hyak	instrumental-case
htan	interior-context
hpan	person-context
htin	independent-clause
hyan	dependent-clause
hfap	perfective-aspect
hkat	past-tense
hnin	masculine-gender
hmak	comitative-case
hnat	present-tense
hpak	benefactive-case
swik	essive-case
htut	negatory-quantifier
hsan	surface-context
hpin	adpositional-case
hwin	location-case
hkan	space-context
hnac	way-case
hyut	interrogative-mood
hnam	and-or
hkit	exclusive-or
hsuk	source-case
hpik	ablative-case
hcat	proximity
hmat	demonstrative
hkuk	clause-tail
hlan	but
hsut	all
hyin	universal-quantifier
hcin	feminine-gender
hpac	plural-number
hyik	one
htic	their
hkik	who
tcat	future-tense
hsin	social-context
hkac	when
hmip	imperfective-aspect
klan	there
hlak	elative-case
hlik	illative-case
htam	directive-mood
hlat	elective-quantifier
hkam	what
hwat	question-word
htap	copula
hpat	person
nyan	male
hkas	could
tcan	other
hnuc	number
twit	assertive-quantifier
hsak	time-context
htuk	temporal-case
htun	only
htum	hortative-mood
hyip	retrospective-aspect
hlit	volitive-mood
pcic	must
tyut	two
hsat	see
hkut	know
hcic	down
hcap	after
hpam	first
hlac	alienable-possession
hkap	never
hnic	inalienable-possession
tyat	old
tcit	deliberative-mood
tcin	day
hlam	come
hwak	vowel
hkin	go
lwak	perlative-case
hpip	progressive-aspect
lyan	long
hsac	say
kyan	how
htas	again
hsic	here
hcik	think
hcak	under-context
hfan	found
hsun	hand
hyac	also
nwan	young
tyit	against
tlan	god
twak	delative-case
hmin	nothing
hyas	once
hlap	semelfactive-aspect
kcac	left
hyic	saw
hcas	house
hwac	world
tyin	three
hnun	neo
hcuk	focus
pyan	love
hsis	always
hyam	night
hyap	king
hkic	between
hmas	mind
cyit	heart
pluc	paucal-number
kyik	because
ksak	causal-case
tcun	done
hnim	name
tsan	proper-noun
klac	country
hpun	asked
cyat	visible-evidential
pcac	better
hmac	moment
hnas	cannot
