ni	infinitivo
na	nominativocaso
ka	acusativocaso
ta	temacaso
ca	Hola
wu	vocativocaso
kcah	hambriento
ti	genitivocaso
ci	adjetivo
wa	y
mi	yo
sa	usted
nyah	nos
ya	ello
ma	destinocaso
yi	dativocaso
li	realisestadoanimico
tu	deónticaestadoanimico
cu	condicionalestadoanimico
si	epistémicaestadoanimico
yu	instrumentalcaso
nu	interiorcontexto
pa	personacontexto
tyah	cláusulaindependiente
la	dependientecláusula
fa	perfectivoaspecto
ki	pasadotiempo
ne	masculinogénero
mwah	comitativecaso
ra	presentetiempo
pwah	benefactivocaso
swih	essivecaso
no	negativocuantificador
pi	superficiecontexto
da	adpositionalcaso
te	ubicacióncaso
to	espaciocontexto
ga	caminocaso
ri	interrogativoestadoanimico
ba	yo
ku	exclusivoo
so	fuentecaso
pwih	ablativocaso
ksah	proximidad
tsah	demostrativo
ko	cláusuladelacola
pyah	pero
wi	universalcuantificador
ji	femeninogénero
pu	pluralnúmero
bi	futurotiempo
co	socialcontexto
me	imperfectiveaspecto
klah	allí
twah	relativocaso
twih	ilativocaso
di	directivaestadoanimico
tlah	electivocuantificador
kyah	qué
tcah	preguntapalabra
ja	cópula
cyah	lapersona
clah	otro
do	número
tlih	positivocuantificador
se	horacontexto
myah	temporalcaso
tyuh	sólo
tcih	hortativeestadoanimico
tyih	retrospectivoaspecto
lo	volitivoestadoanimico
cwah	después
nlah	alienableposesión
nlih	inalienableposesión
cyih	deliberativoestadoanimico
lwah	perlativecaso
pfih	progresivoaspecto
tsih	aquí
ce	debajocontexto
pcah	además
lwih	delativecaso
swah	semelfactiveaspecto
nyih	neo
fu	atención
plah	amor
po	paucalnúmero
kyih	porque
ksih	causalcaso
gi	nombre
tfah	apropiadosustantivo
crih	visibleprobatorio
kceh	mejor
dwih	desiderativoestadoanimico
wo	palabra
srah	Hastaque
tweh	terminativecaso
nwih	inesivocaso
pcih	imperativoestadoanimico
crah	creer
ro	estadocontexto
cwih	esperanza
kwih	Factiveprobatorio
fi	regreso
psih	optativoestadoanimico
tseh	potencialestadoanimico
lweh	allativocaso
nrih	antrópicogénero
tceh	mismotemamarcador
re	diferentetema
croh	miedo
mrah	comprender
cyuh	duda
twuh	dubitativoestadoanimico
myih	hermosa
lyih	interesar
flah	contrafactualcondicional
we	vialiscaso
clih	frío
pyih	paz
su	excepto
kwah	deseo
le	largo
bo	probabilidad
mlah	problema
syah	sonrisa
slih	dormir
zi	citado
twoh	decitacióncaso
mo	inclusivolapersona
kcih	Porfavor
rwih	precativeestadoanimico
mrih	Cortésregistro
rwah	futuroaspecto
cyeh	preguntarse
go	gnomicaspecto
tsoh	elrespeto
za	incoativoaspecto
jwih	yusivoestadoanimico
mwih	permisivoestadoanimico
sloh	éxito
prih	privado
de	distributivocaso
tcoh	dolor
ryah	risa
mlih	sabio
ye	posesivomarcador
ke	comisivosestadoanimico
creh	vano
mweh	definitivoaspecto
nrah	calentar
nroh	enfado
bwah	despecho
trah	orgullo
mroh	moral
slah	salud
syih	social
pe	cesaciónaspecto
krih	curioso
tfih	intensificador
fe	finalmente
prah	aparte
trih	probatorio
nwah	probatoriocaso
srih	triste
zo	zoicogénero
nweh	eventivoestadoanimico
cwoh	mismoeventomarcador
plih	multiplicativocaso
dwah	deseado
kcoh	cansado
drah	satisfecho
lu	especulativoestadoanimico
frih	familiarregistro
frah	herido
mruh	engañar
djih	simpatía
krah	gracias
cruh	vergüenza
fyah	frasemarcador
ryih	preordenada
kruh	amargo
tyeh	texto
kreh	cruel
tleh	hesternaltiempo
kfah	sacrificio
dyih	odio
cloh	racionalgénero
nloh	disfrutar
psah	desesperación
sleh	vegetalgénero
nruh	inocente
drih	admiración
sroh	perdón
brih	base
kluh	confusión
bwih	bendiciónestadoanimico
klih	culpable
grih	ignorante
nyeh	iniciativacaso
nleh	humilde
dlih	retrasadoimperativo
proh	reportadoprobatorio
mloh	melancolía
du	singular
jrih	paciencia
freh	referencial
kloh	solitaria
kroh	encanto
tcuh	entusiasmo
kcuh	inductivoestadoanimico
xa	discursocontexto
nreh	nervioso
pseh	aspecto
ge	agente
mu	amonestaciónestadoanimico
byah	ambición
pcoh	llenodegente
treh	directoprobatorio
yo	aprensivoestadoanimico
cwuh	choque
tloh	recientepasadotiempo
dlah	definidoartículo
cluh	feo
myuh	humor
dyah	distaldemostrativo
rwuh	celoso
troh	imprecatorioestadoanimico
dzih	indiferencia
swuh	assumptiveestadoanimico
bzah	broma
gwih	asaber
dloh	hodiernotiempo
dweh	delimitativeaspecto
kweh	exclusivolapersona
truh	latemperatura
tfeh	télicaaspecto
lyeh	atelicaspecto
ru	prohibitivoestadoanimico
kfih	infantil
cyoh	suspicaz
nluh	lealtad
cweh	trampa
nwoh	animado
sruh	emoción
