hnit	infinitivo
hnak	nominativocaso
hkak	acusativocaso
htak	temacaso
hpap	padre
hmam	mamá
hyat	delospadres
hcan	Hola
hwik	vocativocaso
hsuc	antepasado
htat	abuelo
hcac	hambriento
hnik	genitivocaso
hcit	adjetivo
hwan	y
hman	yo
hnan	usted
hwam	nos
htit	ello
htac	destinocaso
htik	dativocaso
hyit	realisestadoanimico
htim	deónticaestadoanimico
hcut	condicionalestadoanimico
hsit	epistémicaestadoanimico
hyak	instrumentalcaso
htan	interiorcontexto
hpan	personacontexto
htin	cláusulaindependiente
hyan	dependientecláusula
hfap	perfectivoaspecto
hkat	pasadotiempo
hnin	masculinogénero
hmak	comitativecaso
hnat	presentetiempo
hpak	benefactivocaso
swik	essivecaso
htut	negativocuantificador
hsan	superficiecontexto
hpin	adpositionalcaso
hwin	ubicacióncaso
hkan	espaciocontexto
hnac	caminocaso
hyut	interrogativoestadoanimico
hnam	yo
hkit	exclusivoo
hsuk	fuentecaso
hpik	ablativocaso
hcat	proximidad
hmat	demostrativo
hkuk	cláusuladelacola
hlan	pero
hsut	todas
hyin	universalcuantificador
hcin	femeninogénero
hpac	pluralnúmero
hyik	uno
htic	su
hkik	quien
tcat	futurotiempo
hsin	socialcontexto
hkac	cuando
hmip	imperfectiveaspecto
klan	allí
hlak	relativocaso
hlik	ilativocaso
htam	directivaestadoanimico
hlat	electivocuantificador
hkam	qué
hwat	preguntapalabra
htap	cópula
hpat	lapersona
nyan	masculino
hkas	podría
tcan	otro
hnuc	número
twit	positivocuantificador
hsak	horacontexto
htuk	temporalcaso
htun	sólo
htum	hortativeestadoanimico
hyip	retrospectivoaspecto
hlit	volitivoestadoanimico
pcic	debe
tyut	dos
hsat	ver
hkut	saber
hcic	abajo
hcap	después
hpam	primero
hlac	alienableposesión
hkap	Nunca
hnic	inalienableposesión
tyat	antiguo
tcit	deliberativoestadoanimico
tcin	día
hlam	ven
hwak	vocal
hkin	ir
lwak	perlativecaso
hpip	progresivoaspecto
lyan	largo
hsac	decir
kyan	cómo
htas	denuevo
hsic	aquí
hcik	pensar
hcak	debajocontexto
hfan	encontrado
hsun	mano
hyac	además
nwan	joven
tyit	encontra
tlan	Dios
twak	delativecaso
hmin	nada
hyas	unavez
hlap	semelfactiveaspecto
kcac	izquierda
hyic	Sierra
hcas	casa
hwac	mundo
tyin	Tres
hnun	neo
hcuk	atención
pyan	amor
hsis	siempre
hyam	noche
hyap	Rey
hkic	Entre
hmas	mente
cyit	corazón
pluc	paucalnúmero
kyik	porque
ksak	causalcaso
tcun	hecho
hnim	nombre
tsan	apropiadosustantivo
klac	país
hpun	preguntó
cyat	visibleprobatorio
pcac	mejor
hmac	momento
hnas	nopoder
hwic	agua
twim	desiderativoestadoanimico
kwan	luz
tlat	palabra
tyan	puerta
hsas	Mañana
syat	Hastaque
twik	terminativecaso
hpit	blanco
pcan	dinero
hyis	pobre
mwan	muerte
hfam	formar
nwik	inesivocaso
kcat	juntos
tsac	amenudo
pyat	amigo
psan	mitad
hpim	imperativoestadoanimico
hyuc	ronda
hfat	expedido
hcis	esposa
kcan	creer
hsik	público
htus	estadocontexto
hpas	hijo
clat	niños
tyak	así
cwan	esperanza
syin	Estimado
hkuc	alto
tyac	leer
syit	ciudad
hlic	ya
hfit	Factiveprobatorio
tcac	muchacha
hcun	escuchar
ksan	menos
hyaf	quizás
kyat	ciertamente
tcic	cuerpo
hwit	regreso
cwat	aire
hfaf	ley
hput	ayuda
lyat	carta
ksas	cuatro
hpic	optativoestadoanimico
hfuk	fuego
hcam	hora
twat	guerra
kyak	varios
tlit	segundo
pcin	detrás
hmut	perdido
clan	mil
hfac	familia
twan	alma
hwas	pregunta
syan	verdad
htis	fabricación
tsat	potencialestadoanimico
lwik	allativocaso
nyin	antrópicogénero
hfak	cinco
tcak	mismotemamarcador
htuc	diferentetema
hnap	responder
hmit	mar
hcuc	miedo
pcat	comprender
syas	condiciones
hcaf	duda
