ni	ﺭﺪﺼﻣ
na	ﯽﻠﻋﺎﻓﺩﺭﻮﻣ
ka	ﯽﻣﺎﻬﺗﺍﺩﺭﻮﻣ
ta	ﻉﻮﺿﻮﻣﺩﺭﻮﻣ
ca	ﺩﻭﺭﺩ
wu	ﯽﯾﺍﺪﻧﺩﺭﻮﻣ
kcah	ﻪﻨﺳﺮﮔ
ti	ﻪﯿﻟﺍﻑﺎﻀﻣﺖﻟﺎﺣﺩﺭﻮﻣ
ci	ﺖﻔﺻ
wa	ﻭ
mi	ﻦﻣﻪﺑ
sa	ﺎﻤﺷ
nyah	ﺎﻣ
ya	IT
ma	ﺪﺼﻘﻣﺩﺭﻮﻣ
yi	ﯽﻟﻮﻌﻔﻣﺖﻟﺎﺣﺩﺭﻮﻣ
li	REALISﺖﻟﺎﺣ
tu	deonticﺖﻟﺎﺣ
cu	ﻁﻭﺮﺸﻣﺖﻟﺎﺣ
si	ﯽﺘﻓﺮﻌﻣﺖﻟﺎﺣ
yu	ﻪﻠﯿﺳﻭﺩﺭﻮﻣ
nu	ﯽﻠﺧﺍﺩﻪﻨﯿﻣﺯ
pa	ﺺﺨﺷﻪﻨﯿﻣﺯ
tyah	بندمستقل
la	ﻪﺘﺴﺑﺍﻭﺪﻨﺑ
fa	perfectiveﻪﺒﻨﺟ
ki	ﻪﺘﺷﺬﮔﺖﻔﺳ
ne	ﻪﻧﺍﺩﺮﻣﺲﻨﺟ
mwah	comitativeﺩﺭﻮﻣ
ra	ﺮﺿﺎﺣﺖﻔﺳ
pwah	benefactiveﺩﺭﻮﻣ
swih	essiveﺩﺭﻮﻣ
no	ﻩﺪﻨﻨﮐﯽﺜﻨﺧﺞﻨﺳﺖﯿﻤﮐ
pi	ﺢﻄﺳﻪﻨﯿﻣﺯ
da	adpositionalﺩﺭﻮﻣ
te	ﻞﺤﻣﺩﺭﻮﻣ
to	ﺎﻀﻓﻪﻨﯿﻣﺯ
ga	ﺮﯿﺴﻣﺩﺭﻮﻣ
ri	ﯽﺸﺳﺮﭘﺖﻟﺎﺣ
ba	ﻭﺎﯾ
ku	ﺎﯾﺩﺮﻓﻪﺑﺮﺼﺤﻨﻣ
so	ﻊﺒﻨﻣﺩﺭﻮﻣ
pwih	ﻊﻓﺍﺭﺩﺭﻮﻣ
ksah	نزدیکی
tsah	ﯽﺸﯾﺎﻤﻧ
ko	ﻡﺩﺪﻨﺑ
pyah	ﺎﻣﺍ
wi	ﯽﻧﺎﻬﺟﺞﻨﺳﺖﯿﻤﮐ
