hnit	ﺭﺪﺼﻣ
hnak	ﯽﻠﻋﺎﻓﺩﺭﻮﻣ
hkak	ﯽﻣﺎﻬﺗﺍﺩﺭﻮﻣ
htak	ﻉﻮﺿﻮﻣﺩﺭﻮﻣ
hpap	ﺭﺪﭘ
hmam	ﺭﺩﺎﻣ
hyat	ﯽﻨﯾﺪﻟﺍﻭ
hcan	ﺩﻭﺭﺩ
hwik	ﯽﯾﺍﺪﻧﺩﺭﻮﻣ
hsuc	ﺪﺟ
htat	ﻩﺪﺟﺎﯾﺪﺟ
hcac	ﻪﻨﺳﺮﮔ
hnik	ﻪﯿﻟﺍﻑﺎﻀﻣﺖﻟﺎﺣﺩﺭﻮﻣ
hcit	ﺖﻔﺻ
hwan	ﻭ
hman	ﻦﻣﻪﺑ
hnan	ﺎﻤﺷ
hwam	ﺎﻣ
htit	IT
htac	ﺪﺼﻘﻣﺩﺭﻮﻣ
htik	ﯽﻟﻮﻌﻔﻣﺖﻟﺎﺣﺩﺭﻮﻣ
hyit	REALISﺖﻟﺎﺣ
htim	deonticﺖﻟﺎﺣ
hcut	ﻁﻭﺮﺸﻣﺖﻟﺎﺣ
hsit	ﯽﺘﻓﺮﻌﻣﺖﻟﺎﺣ
hyak	ﻪﻠﯿﺳﻭﺩﺭﻮﻣ
htan	ﯽﻠﺧﺍﺩﻪﻨﯿﻣﺯ
hpan	ﺺﺨﺷﻪﻨﯿﻣﺯ
htin	بندمستقل
hyan	ﻪﺘﺴﺑﺍﻭﺪﻨﺑ
hfap	perfectiveﻪﺒﻨﺟ
hkat	ﻪﺘﺷﺬﮔﺖﻔﺳ
hnin	ﻪﻧﺍﺩﺮﻣﺲﻨﺟ
hmak	comitativeﺩﺭﻮﻣ
hnat	ﺮﺿﺎﺣﺖﻔﺳ
hpak	benefactiveﺩﺭﻮﻣ
swik	essiveﺩﺭﻮﻣ
htut	ﻩﺪﻨﻨﮐﯽﺜﻨﺧﺞﻨﺳﺖﯿﻤﮐ
hsan	ﺢﻄﺳﻪﻨﯿﻣﺯ
hpin	adpositionalﺩﺭﻮﻣ
hwin	ﻞﺤﻣﺩﺭﻮﻣ
hkan	ﺎﻀﻓﻪﻨﯿﻣﺯ
hnac	ﺮﯿﺴﻣﺩﺭﻮﻣ
hyut	ﯽﺸﺳﺮﭘﺖﻟﺎﺣ
hnam	ﻭﺎﯾ
hkit	ﺎﯾﺩﺮﻓﻪﺑﺮﺼﺤﻨﻣ
hsuk	ﻊﺒﻨﻣﺩﺭﻮﻣ
hpik	ﻊﻓﺍﺭﺩﺭﻮﻣ
hcat	نزدیکی
hmat	ﯽﺸﯾﺎﻤﻧ
hkuk	ﻡﺩﺪﻨﺑ
hlan	ﺎﻣﺍ
hsut	ﻪﻤﻫ
hyin	ﯽﻧﺎﻬﺟﺞﻨﺳﺖﯿﻤﮐ
hcin	ﻪﻧﺎﻧﺯﺲﻨﺟ
hpac	ﻊﻤﺟﺩﺪﻋ
hyik	ﮏﯾ
htic	ﻥﺎﺷ
hkik	ﯽﺴﮐﻪﭼ
tcat	ﻩﺪﻨﯾﺁﺖﻔﺳ
hsin	ﯽﻋﺎﻤﺘﺟﺍﻪﻨﯿﻣﺯ
hkac	ﯽﻧﺎﻣﺯﻪﭼ
hmip	ﺏﻮﯿﻌﻣﻪﺒﻨﺟ
klan	ﺎﺠﻧﺁ
hlak	ﯽﻠﯿﻣﺎﻓﺖﺒﺴﻧﺩﺭﻮﻣ
hlik	ﯽﻃﺎﺒﻨﺘﺳﺍﺩﺭﻮﻣ
htam	ﺩﻮﻤﻨﻫﺭﺖﻟﺎﺣ
hlat	ﯽﺑﺎﺨﺘﻧﺍﺞﻨﺳﺖﯿﻤﮐ
hkam	ﯽﭼ
hwat	ﻝﺍﻮﺳﻪﻤﻠﮐ
htap	ﻂﺑﺍﺭﻮﻀﻋ
hpat	ﺺﺨﺷ
nyan	ﺮﻧ
hkas	ﺖﺳﺍﻪﺘﺴﻧﺍﻮﺗ
tcan	ﺮﮕﯾﺩ
hnuc	ﺩﺪﻋ
twit	ﻩﺪﻨﻨﮐﺭﺎﻬﻇﺍﺞﻨﺳﺖﯿﻤﮐ
hsak	ﻥﺎﻣﺯﻪﻨﯿﻣﺯ
htuk	ﯽﻧﺎﻣﺯﺩﺭﻮﻣ
htun	ﻂﻘﻓ
htum	ﺰﯿﻣﺍﺖﺤﯿﺼﻧﺖﻟﺎﺣ
hyip	ﺮﮕﻧﻪﺘﺷﺬﮔﻪﺒﻨﺟ
hlit	volitiveﺖﻟﺎﺣ
pcic	ﺪﯾﺎﺑ
tyut	ﻭﺩ
hsat	ﻥﺪﯾﺩ
hkut	ﻦﺘﺴﻧﺍﺩ
hcic	ﻦﯿﯾﺎﭘ
hcap	ﺯﺍﺪﻌﺑ
hpam	ﻝﻭﺍ
hlac	ﻝﺎﻘﺘﻧﺍﻞﺑﺎﻗﻦﺘﺷﺍﺩﺭﺎﯿﺘﺧﺍﺭﺩ
hkap	ﺰﮔﺮﻫ
hnic	ﺍﺰﺠﺘﯾﻻﻦﺘﺷﺍﺩﺭﺎﯿﺘﺧﺍﺭﺩ
tyat	ﯽﻤﯾﺪﻗ
tcit	ﯽﺗﺭﻮﺸﻣﺖﻟﺎﺣ
tcin	ﺯﻭﺭ
hlam	ﺎﯿﺑ
hwak	ﺭﺍﺩﺍﺪﺻﻑﺮﺣ
hkin	ﻦﺘﻓﺭ
lwak	perlativeﺩﺭﻮﻣ
hpip	ﯽﻗﺮﺘﻣﻪﺒﻨﺟ
lyan	ﯽﻧﻻﻮﻃ
hsac	ﻦﺘﻔﮔ
kyan	ﻪﻧﻮﮕﭼ
htas	ﻮﻧﺯﺍ
hsic	ﺎﺠﻨﯾﺍ
hcik	ﺮﮑﻓ
hcak	ﺮﯾﺯﻪﻨﯿﻣﺯ
hfan	ﻩﺪﺷﺍﺪﯿﭘ
hsun	ﺖﺳﺩ
hyac	ﻦﯿﻨﭽﻤﻫ
nwan	ﻥﺍﻮﺟ
tyit	ﺮﺑﺍﺮﺑﺭﺩ
tlan	ﺍﺪﺧ
twak	delativeﺩﺭﻮﻣ
hmin	ﯽﭼﭻﯿﻫ
hyas	ﺭﺎﺑﮏﯾ
hlap	semelfactiveﻪﺒﻨﺟ
kcac	ﺩﺮﮐﮎﺮﺗ
hyic	ﻩﺭﺍ
hcas	ﻪﻧﺎﺧ
hwac	ﻥﺎﻬﺟ
tyin	ﻪﺳ
hnun	ﻮﺌﻧ
hcuk	ﺰﮐﺮﻤﺗ
pyan	ﻖﺸﻋ
hsis	ﻪﺸﯿﻤﻫ
hyam	ﺐﺷ
hyap	ﻩﺎﺷﺩﺎﭘ
hkic	ﻦﯿﺑ
hmas	ﻦﻫﺫ
cyit	ﺐﻠﻗ
pluc	paucalﺩﺪﻋ
kyik	ﺍﺮﯾﺯ
ksak	ﯽﺒﺒﺳﺩﺭﻮﻣ
tcun	انجامشده
hnim	ﻡﺎﻧ
tsan	ﺐﺳﺎﻨﻣﻢﺳﺍ
klac	ﺭﻮﺸﮐ
hpun	ﻪﺘﺳﺍﻮﺧ
cyat	ﺖﯾﻭﺭﻞﺑﺎﻗﯽﮐﺭﺪﻣ
pcac	ﺮﺘﻬﺑ
hmac	ﻪﻈﺤﻟ
hnas	ﻥﺍﻮﺗﯽﻤﻧ
hwic	ﺏﺍ
twim	desiderativeﺖﻟﺎﺣ
kwan	ﮏﺒﺳ
tlat	ﻩﮊﺍﻭ
tyan	ﺏﺭﺩ
hsas	ﺢﺒﺻ
syat	ﻪﮑﻨﯾﺍﺎﺗ
twik	ﯽﻌﻄﻗﺩﺭﻮﻣ
hpit	ﺪﯿﻔﺳ
pcan	ﻝﻮﭘ
hyis	ﺮﯿﻘﻓ
mwan	ﮒﺮﻣ
hfam	ﻥﺪﺷﻞﻴﻜﺸﺗ
nwik	inessiveﺩﺭﻮﻣ
kcat	ﺮﮕﯾﺪﮑﯾﺎﺑ
tsac	ﻊﻗﺍﻮﻣﺮﺘﺸﯿﺑ
pyat	ﺖﺳﻭﺩ
psan	ﻢﯿﻧ
hpim	ﯼﺭﻭﺮﺿﯼﺮﻣﺍﺖﻟﺎﺣ
hyuc	ﺩﺮﮔ
hfat	ارسالشد
hcis	ﻥﺯ
kcan	ﻦﺘﺷﺍﺩﺩﺎﻘﺘﻋﺍ
hsik	ﻡﺩﺮﻣﻡﻮﻤﻋ
htus	ﺖﻟﺎﺣﻪﻨﯿﻣﺯ
hpas	ﺮﺴﭘﺪﻧﺯﺮﻓ
clat	ﺎﻫﻪﭽﺑ
tyak	ﺐﯿﺗﺮﺗﻦﯾﺪﺑ
cwan	ﺪﯿﻣﺍ
syin	ﺰﯾﺰﻋ
hkuc	ﻻﺎﺑ
tyac	ﻥﺪﻧﺍﻮﺧ
syit	ﻥﺎﺘﺳﺮﻬﺷ
hlic	ﻼﺒﻗ
hfit	factiveﯽﮐﺭﺪﻣ
tcac	ﺮﺘﺧﺩ
hcun	ﻥﺪﯿﻨﺷ
ksan	ﻦﯾﺮﺘﻤﮐ
hyaf	ﺪﯾﺎﺷ
kyat	ﻊﻗﺍﻭﺭﺩ
tcic	ﻥﺪﺑ
hwit	ﺖﺸﮔﺮﺑ
cwat	ﺍﻮﻫ
hfaf	ﻥﻮﻧﺎﻗ
hput	ﮏﻤﮐ
lyat	ﻪﻣﺎﻧ
ksas	ﺭﺎﻬﭼ
hpic	ﯽﯾﺎﻨﻤﺗﺖﻟﺎﺣ
hfuk	ﯼﺯﻮﺳﺶﺗﺁ
hcam	ﺖﻋﺎﺳ
twat	ﮓﻨﺟ
kyak	ﺪﻨﭼ
tlit	ﻦﯿﻣﻭﺩ
pcin	ﺖﺸﭘ
hmut	ﻩﺪﺷﻢﮐ
clan	ﺭﺍﺰﻫ
hfac	ﻩﺩﺍﻮﻧﺎﺧ
twan	ﺡﻭﺭ
hwas	ﻝﺍﻮﺳ
syan	ﺖﻘﯿﻘﺣ
htis	ساخت
tsat	ﻩﻮﻘﻟﺎﺑﺖﻟﺎﺣ
lwik	allativeﺩﺭﻮﻣ
nyin	ﮏﯿﭘﻭﺮﺘﻧﺁﺲﻨﺟ
hfak	ﺞﻨﭘ
tcak	ﻥﺎﺴﮑﯾﻉﻮﺿﻮﻣﺮﮕﻧﺎﺸﻧ
htuc	ﻒﻠﺘﺨﻣﻉﻮﺿﻮﻣ
hnap	ﻩﺪﺑﺏﺍﻮﺟ
hmit	ﺎﯾﺭﺩ
hcuc	ﺱﺮﺗ
pcat	ﻦﮐﮎﺭﺩ
syas	ﺕﺎﺣﻼﻄﺻﺍ
hcaf	ﻥﺩﺮﻛﻚﺷ
twut	dubitativeﺖﻟﺎﺣ
hkis	ﻩﺎﯿﺳ
tlak	ﺍﺭ
hyus	ﻞﮕﺷﻮﺧ
nyit	ﯼﺯﺎﺳﺐﺗﺮﻣ
htip	ﻩﺩ
ksis	ﻥﺎﺘﺳﺍﺩ
hpuk	ﺏﺎﺘﮐ
hlin	ﮏﯿﻧﻭﺮﺘﮑﻟﺍ
hkun	ﺏﺎﺴﺣ
lyas	ﻪﻗﻼﻋ
lyit	ﻦﺘﺷﻮﻧ
pwat	ﺮﺘﺴﺑ
hnis	ﻦﺳ
hnut	ﻑﻼﺧﻁﻭﺮﺸﻣ
slas	ﺮﻨﻫ
hwis	Vialisﺎﻫﺩﺭﻮﻣ
pyak	ﺭﺩﺍﺮﺑ
lyin	ﻂﺧ
tyas	ﺰﯿﻣ
hyun	ﻪﻧﺎﺧﺩﻭﺭ
kyac	ﻢﺸﭼ
tfan	ﻩﺭﺎﺒﮑﯾﻪﺑ
kcin	ﻖﯿﻤﻋ
hmuc	ﻑﺪﻫ
cyac	ﻥﻮﺧ
hmap	ﺥﺮﺳﻞﮔ
tlin	ﺩﺮﺳ
hyif	ﻮﻠﺟﻪﺑ
tyam	ﺮﯾﺩ
hnaf	ﺪﯿﻨﮐﺽﺮﻓ
hkip	ﺎﺒﯾﺮﻘﺗ
myan	ﻡﺩﻮﺧﻝﺎﻣ
tsin	ﺶﻧﺍﺩ
hkup	ﻪﺨﺴﻧ
hsam	ﺮﻫﻮﺷ
hlis	ﺶﺷ
cwit	ﻥﺩﺮﻛﻲﮔﺪﻧﺯ
cyan	ﺢﻠﺻ
myat	ﻥﺩﺭﻭﺁﺩﺎﻳﻪﺑ
tyic	ﯽﻌﯿﺒﻃ
hfut	ﻁﻮﻘﺳ
swas	ﯽﻧﺎﺳﺭﺖﻣﺪﺧ
hsap	ﺰﺠﺑ
pcit	ﺖﯾﺍﺭﯽﭙﮐ
hyim	ﺶﺗﺭﺍ
kyas	ﺐﺳﺍ
plic	ﻩﺪﻨﯾﺁ
pcak	ﺏﺮﻏ
hpis	ﺖﺧﺍﺩﺮﭘ
hyuk	ﺰﻣﺮﻗ
hwun	ﻼﻃ
twin	ﻦﺘﺷﺍﺩﻞﻳﺎﻤﺗ
plan	ﯼﺯﺎﺑ
hpus	ﯼﺭﺍﺩﺍﺮﺘﻓﺩ
syun	ﺖﻟﻭﺩ
kyic	ﺎﺴﯿﻠﮐ
htaf	ﻡﺎﮑﺤﺘﺳﺍ
hlun	ﻝﻮﻃ
kyin	ﺖﮐﺮﺷ
kyis	ﺬﻏﺎﮐ
mlan	ﻝﺎﻤﺘﺣﺍ
hcim	ﺹﻮﺼﺨﺑ
cyas	ﻞﻤﺤﺗ
twac	ﻩﺮﺠﻨﭘ
nyat	ﯽﯾﺎﺒﯾﺯ
hcus	ﯽﻣﻭﺩ
htup	ﻪﻔﯿﻇﻭ
htif	ﻪﻠﺻﺎﻓ
pyas	ﺎﭘ
hlas	ﯽﺸﺣﻭ
ksin	ﺰﺒﺳ
hmaf	ﻞﮑﺸﻣ
myac	ﺪﻨﺨﺒﻟ
hsim	ﺏﺍﻮﺧ
kyit	نقل
kwik	quotativeﺩﺭﻮﻣ
fwan	ﺪﯾﺩﺯﺎﺑ
slan	ﻥﺩﺮﮐﻝﺎﺒﻧﺩ
psit	ﺭﻮﻀﺣ
hmic	ﻦﯾﺮﯿﺷ
hmuf	ﻥﺎﻫﺩ
hfin	ﺪﻨﻤﺗﻭﺮﺛ
tcam	ﻦﻤﺷﺩ
psuk	ﻪﺘﺴﮑﺷ
kcap	ﯽﺘﺸﮐ
pwan	ﻞﻣﺎﺷﺺﺨﺷ
hfic	ﺮﯿﺛﺎﺗ
tcuc	ﺪﺳﺭﯽﻣﺮﻈﻧﻪﺑ
hkim	ﺯﺍﺭ
