hnit	infinitiivi
hnak	nominatiivitapaus
hkak	akkusatiivitapaus
htak	aihetapaus
hpap	isä
hmam	äiti
hyat	vanhempien
hcan	Hei
hwik	vocativetapaus
hsuc	kantaisä
htat	isovanhempi
hcac	nälkäinen
hnik	genetiivitapaus
hcit	adjektiivi
hwan	ja
hman	minulle
hnan	sinä
hwam	meille
htit	se
htac	määränpäätapaus
htik	datiivitapaus
hyit	REALISmieliala
htim	deonticmieliala
hcut	ehdollinenmieliala
hsit	episteemisetmieliala
hyak	instrumentaalinentapaus
htan	sisustakonteksti
hpan	henkilökonteksti
htin	riippumatonlauseke
hyan	riippuvainenlauseke
hfap	perfektiivinennäkökohta
hkat	ohijännittynyt
hnin	maskuliini-sukupuoli
hmak	komitatiivitapaus
hnat	esittääjännittynyt
hpak	benefactivetapaus
swik	essiivitapaus
htut	negatorykvantisointi
hsan	pinta-konteksti
hpin	adpositionaltapaus
hwin	sijaintitapaus
hkan	tilakonteksti
hnac	tapatapaus
hyut	kysyvämieliala
hnam	jatai
hkit	XOR-
hsuk	lähdetapaus
hpik	ablatiivitapaus
hcat	läheisyys
hmat	demonstratiivinen
hkuk	lausekehännän
hlan	mutta
hsut	kaikki
hyin	yleismaailmallinenkvantisointi
hcin	naisellinensukupuoli
hpac	monikkomäärä
hyik	yksi
htic	niiden
hkik	Kuka
tcat	tulevaisuusjännittynyt
hsin	sosiaalinenkonteksti
hkac	milloin
hmip	imperfectivenäkökohta
klan	siellä
hlak	suhteellinentapaus
hlik	illatiivitapaus
htam	direktiivimieliala
hlat	valinnainenkvantisointi
hkam	mitä
hwat	kysymyssana
htap	copula
hpat	henkilö
nyan	uros-
hkas	voisi
tcan	muut
hnuc	määrä
twit	itsevarmakvantisointi
hsak	aikakonteksti
htuk	ajallinentapaus
htun	vain
htum	hortativemieliala
hyip	takautuvanäkökohta
hlit	tahallisuuttamieliala
pcic	täytyy
tyut	kaksi
hsat	nähdä
hkut	tietää
hcic	alas
hcap	jälkeen
hpam	ensimmäinen
