ni	infinitiivi
na	nominatiivitapaus
ka	akkusatiivitapaus
ta	aihetapaus
ca	Hei
wu	vocativetapaus
kcah	nälkäinen
ti	genetiivitapaus
ci	adjektiivi
wa	ja
mi	minulle
sa	sinä
nyah	meille
ya	se
ma	määränpäätapaus
yi	datiivitapaus
li	REALISmieliala
tu	deonticmieliala
cu	ehdollinenmieliala
si	episteemisetmieliala
yu	instrumentaalinentapaus
nu	sisustakonteksti
pa	henkilökonteksti
tyah	riippumatonlauseke
la	riippuvainenlauseke
fa	perfektiivinennäkökohta
ki	ohijännittynyt
ne	maskuliini-sukupuoli
mwah	komitatiivitapaus
ra	esittääjännittynyt
pwah	benefactivetapaus
swih	essiivitapaus
no	negatorykvantisointi
pi	pinta-konteksti
da	adpositionaltapaus
te	sijaintitapaus
to	tilakonteksti
ga	tapatapaus
ri	kysyvämieliala
ba	jatai
ku	XOR-
so	lähdetapaus
pwih	ablatiivitapaus
ksah	läheisyys
tsah	demonstratiivinen
ko	lausekehännän
pyah	mutta
wi	yleismaailmallinenkvantisointi
ji	naisellinensukupuoli
pu	monikkomäärä
bi	tulevaisuusjännittynyt
co	sosiaalinenkonteksti
me	imperfectivenäkökohta
klah	siellä
twah	suhteellinentapaus
twih	illatiivitapaus
di	direktiivimieliala
tlah	valinnainenkvantisointi
kyah	mitä
tcah	kysymyssana
ja	copula
cyah	henkilö
clah	muut
do	määrä
tlih	itsevarmakvantisointi
se	aikakonteksti
myah	ajallinentapaus
tyuh	vain
tcih	hortativemieliala
tyih	takautuvanäkökohta
lo	tahallisuuttamieliala
cwah	jälkeen
nlah	riistäähallinta
nlih	luovuttamatonhallinta
cyih	neuvottelevamieliala
lwah	perlativetapaus
pfih	etenevänäkökohta
tsih	tässä
ce	allekonteksti
pcah	myös
lwih	delativetapaus
swah	semelfactivenäkökohta
nyih	neo
fu	fokus
plah	rakkaus
po	paucalmäärä
kyih	koska
ksih	kausaalinentapaus
gi	nimi
tfah	asianmukainensubstantiivi
crih	näkyvätodistusarvo
kceh	paremmin
dwih	desiderativemieliala
wo	sana
srah	asti
tweh	terminativetapaus
nwih	inessiivitapaus
pcih	pakottavamieliala
crah	uskoa
ro	osavaltiokonteksti
cwih	toivoa
kwih	factivetodistusarvo
fi	palata
psih	optativemieliala
tseh	mahdollinenmieliala
lweh	allativetapaus
nrih	ihmisentoiminnastasukupuoli
tceh	samaaihemerkki
re	eriaihe
croh	pelko
mrah	ymmärtää
cyuh	epäillä
twuh	dubitativemieliala
myih	kaunis
lyih	kiinnostaa
flah	vaihtoehtoisenehdollinen
we	Vialistapaus
clih	kylmä
pyih	rauha
su	paitsi
kwah	halu
le	pituus
bo	todennäköisyys
mlah	vaivata
syah	hymy
slih	nukkua
zi	lainattu
twoh	quotativetapaus
mo	täydellinenhenkilö
kcih	Olehyvä
rwih	precativemieliala
mrih	kohteliasilmoittautua
rwah	mahdollinennäkökohta
cyeh	ihme
go	genomisennäkökohta
tsoh	kunnioittaminen
za	inchoativenäkökohta
jwih	jussivemieliala
mwih	sallivamieliala
sloh	menestys
prih	yksityinen
de	jakelutapaus
tcoh	kipu
ryah	nauraa
mlih	viisas
ye	omistushaluinenmerkki
ke	commissivemieliala
creh	turha
mweh	completivenäkökohta
nrah	lämmin
nroh	suututtaa
bwah	huolimatta
trah	ylpeys
mroh	moraalinen
slah	terveys
syih	sosiaalinen
pe	lakkaaminennäkökohta
krih	utelias
tfih	vahvistussana
fe	vihdoin
prah	syrjään
trih	todistusarvo
nwah	todistusarvotapaus
srih	surullinen
zo	ZoicKahvisukupuoli
nweh	eventivemieliala
cwoh	samatapahtumamerkki
plih	multiplikatiivinentapaus
dwah	haluttu
kcoh	väsynyt
drah	vakuuttunut
lu	keinottelevamieliala
frih	tuttuilmoittautua
frah	haavoittunut
mruh	typerys
djih	myötätunto
krah	kiittää
cruh	häpeä
fyah	lausekemerkki
ryih	ennaltamäärätty
kruh	katkera
tyeh	teksti
kreh	julma
tleh	hesternaljännittynyt
kfah	uhrata
dyih	vihata
cloh	järkeväsukupuoli
nloh	nauttia
psah	epätoivo
sleh	kasviperäistäsukupuoli
nruh	viaton
drih	ihailu
sroh	Anteeksi
brih	pohja
kluh	sekaannus
bwih	siunausmieliala
klih	syyllinen
grih	oppimaton
nyeh	aloitetapaus
nleh	nöyrä
dlih	myöhässäpakottava
proh	raportoitutodistusarvo
mloh	surumielinen
du	yksikkö
jrih	kärsivällisyys
freh	viite
kloh	yksinäinen
kroh	viehätys
tcuh	innostusta
kcuh	induktiivinenmieliala
xa	esitelmäkonteksti
nreh	hermostunut
pseh	näkökohta
ge	agentti
mu	kehotusmieliala
byah	kunnianhimo
pcoh	tungosta
treh	suoraantodistusarvo
yo	levotonmieliala
cwuh	järkyttää
tloh	viimeaikainenohijännittynyt
dlah	selväartikla
cluh	ruma
myuh	huumori
dyah	distaalinendemonstratiivinen
rwuh	mustasukkainen
troh	imprecatorymieliala
dzih	välinpitämättömyys
swuh	assumptivemieliala
bzah	pila
gwih	nimittäin
dloh	hodiernaljännittynyt
dweh	delimitativenäkökohta
kweh	yksinomainenhenkilö
truh	lämpötila
tfeh	telicnäkökohta
lyeh	atelicnäkökohta
ru	ehkäisevämieliala
kfih	lapsellinen
cyoh	epäilyttävä
nluh	uskollisuus
cweh	ansa
nwoh	eloisa
sruh	jännitys
ksoh	seksuaalinen
lyah	laiska
mreh	momentanenäkökohta
pceh	pahoitteli
bjih	entinenkuollut
pcuh	epävarmuus
xi	tavanomainennäkökohta
blih	jotarajoittavat
tsuh	triviaali
fwih	majesteettinen
grah	mairitteleva
brah	mielivaltainen
cleh	hyväntahtoinen
sreh	muodollinenilmoittautua
pfah	suotuisa
droh	auditiivinentodistusarvo
flih	inferentialtodistusarvo
sweh	sublativetapaus
ksuh	declarativemieliala
pleh	etuoikeutettu
psoh	voittamaton
be	sanallinen
mwoh	haaveilu
kleh	kurjuudessa
glah	ahneus
kseh	myöntävämieliala
zrah	tyytymättömyys
dyoh	idiofoni
syoh	awed
gwah	liiallinentapaus
zlih	irrealismieliala
zrih	ujous
byih	sovittaminen
ryeh	pronominimerkki
fwah	säästäväinen
bjah	hurmioitunut
kxah	mielentyyneys
gvih	pegativetapaus
pxih	puolustus
xrah	päättyvän
tfoh	tästälähtien
kxih	katumus
ryoh	prosecutivetapaus
qyah	huoli
r6	partisiippi
txah	kauko-ohijännittynyt
xrih	historiallinenjännittynyt
dxah	kaksois-määrä
syuh	Super
vweh	ylityöllistetty
n6	aisti-todistusarvomieliala
bweh	pakkomielle
xlih	hilpeä
txih	vihlaisu
sluh	itsetyytyväinen
txoh	liikeylämäkeä
xe	takautuva
pxah	saadaansaan
vwah	liikealamäkeä
xyih	eliitti
fleh	taivutettu
psuh	superessivetapaus
syeh	satyyri
qi	transitiivinen
xruh	kyyristyä
zwah	Vau
tr6h	liikeyläjuoksulle
qwah	vaatimaton
xlah	maailmanlaajuinen
tyoh	intransitiivinen
tluh	antikliimaksi
qa	nykyinenmerkityksellisyysmerkki
kxoh	koiraväsynyt
rwoh	järjestysluku
ve	vektori
kyoh	kilo
swoh	peräkkäinen
pxeh	partitiivitapaus
txeh	puhettatukevaa
dxih	predikatiivinen
pxoh	prolativetapaus
pfoh	ammattilainenlauseke
blah	välinpitämätön
fyih	eiihmisen
xo	näyttelijärooli
pc6h	oikeudenkäyntimäärä
greh	centrictapaus
groh	tavoitelaukaista
dxoh	keskimmäinenääni
rweh	vinotapaus
xwah	potilastapaus
xu	prehodiernal
xroh	kulua
ks6h	syynäoleva
vi	binary-arvo
dleh	modaalinentapaus
gjeh	muu-jos
xreh	työtoveri
lwoh	locativetapaus
ml6h	multalmäärä
gjih	galaxysukupuoli
qlah	tähtisukupuoli
bvih	abessiivitapaus
dvah	adessiivitapaus
je	agentivetapaus
t6	agenttilaukaista
kxeh	ettätapaus
gxih	yhteinensukupuoli
tc6h	lainausmuoto
ts6h	transnumero
ryuh	suoraanesine
gveh	ergativetapaus
pyoh	passiivinenääni
qe	rajallinenverbi
xwih	ensisijainenesine
myoh	genomisenmieliala
vrih	lopullinenhiukkanen
va	evitativetapaus
bveh	subessivetapaus
dxeh	riivattutapaus
dvih	dännöntapaus
tsa7h	antessivetapaus
dyeh	adverbiaalitapaus
mleh	elävöittääsukupuoli
pfeh	empaattinenilo
xleh	ajoneuvosukupuoli
qlih	mineraalisukupuoli
xloh	sanallinensubstantiivi
dreh	toinenkieli
bvah	itseluottamus
qrah	muuttaaoftapahtuma
fo	eritapahtuma
sl6h	crastinaljännittynyt
fyoh	refleksiivinenääni
bxih	maailmankaikkeussukupuoli
jlih	transitiivinenverbi
kyeh	sijaintisukupuoli
txuh	tutkimussukupuoli
s6	taiteellinensukupuoli
preh	potilaslaukaista
sr6h	abstraktisukupuoli
nyoh	epäsuorapuhe
zreh	exocentrictapaus
kfeh	ohiperfektiivinen
jo	persoonatonverbi
kxuh	kollektiivinensubstantiivi
bu	absolutivetapaus
qrih	planeettojensukupuoli
kfoh	ydinbenefactive
kwoh	assosiatiivinentapaus
pluh	superlatiivi-tapaus
jrah	sähköinennykyinen
glih	elotonsukupuoli
p6	propositivemieliala
vrah	vastavuoroinenääni
lyuh	peräkkäinenlauseke
gleh	piantulevaisuusjännittynyt
lyoh	applicativeääni
ps6h	antipassiveääni
tfuh	continuativenäkökohta
nr6h	necessitativemieliala
pr6h	passiivinenpartisiippi
sy6h	eksistentiaalinenlauseke
qyih	valoisaintensiteetti
gluh	singulativemäärä
kwuh	liiallinenkesto
xyah	yksittäinentoimintaverbi
vlih	superlatiivi-aste
djah	esittääpartisiippi
m6	määräofaine
ti7	yhdistävähiukkanen
f6	epentheticmorfeemi
tli7h	kauko-tulevaisuusjännittynyt
si_	postpositionaltapaus
l6	allocutionsopimus
k6	frequentativenäkökohta
bzih	jakelupronomini
tu7	kelluva-point-numero
vo	verbi-pääte
ki7	ohipassiivinenpartisiippi
ta_	locativesuunta-tapaus
