ni	infinitif
na	nominatifcas
ka	accusatifcas
ta	sujetcas
ca	Salut
wu	vocatifcas
kcah	affamé
ti	génitifcas
ci	adjectif
wa	et
mi	moi
sa	toi
nyah	nous
ya	ce
ma	destinationcas
yi	datifcas
li	realishumeur
tu	déontiquehumeur
cu	conditionnelhumeur
si	épistémiquehumeur
yu	instrumentalcas
nu	intérieurlecontexte
pa	personnelecontexte
tyah	clauseindépendante
la	dépendantclause
fa	perfectifaspect
ki	passétendu
ne	masculinlegenre
mwah	comitativecas
ra	présenttendu
pwah	benefactivecas
swih	essivecas
no	négatoirequantificateur
pi	surfacelecontexte
da	adpositionalcas
te	emplacementcas
to	espacelecontexte
ga	façoncas
ri	interrogatifhumeur
ba	etou
ku	OUexclusif
so	lasourcecas
pwih	ablatifcas
ksah	proximité
tsah	démonstratif
ko	clause-queue
pyah	mais
wi	universelquantificateur
ji	fémininlegenre
pu	plurielnombre
bi	avenirtendu
co	sociallecontexte
me	nonaccompliaspect
klah	Là
twah	relatifcas
twih	illatifcas
di	directifhumeur
tlah	électifquantificateur
kyah	que
tcah	questionmot
ja	copule
cyah	lapersonne
clah	autre
do	nombre
tlih	péremptoirequantificateur
se	tempslecontexte
myah	temporelcas
tyuh	seulement
tcih	ilrevêthumeur
tyih	rétrospectiveaspect
lo	volitivehumeur
cwah	après
nlah	aliénablepossession
nlih	inaliénablepossession
cyih	délibéranthumeur
lwah	perlativecas
pfih	progressiveaspect
tsih	ici
ce	endessousdelecontexte
pcah	aussi
lwih	delativecas
swah	semelfactiveaspect
nyih	néo
fu	concentrer
plah	aimer
po	paucalnombre
kyih	enraison
ksih	causalcas
gi	prénom
tfah	correctnom
crih	visibleévident
kceh	mieux
dwih	désidératifhumeur
wo	mot
srah	jusqu'à
tweh	terminativecas
nwih	inessifcas
pcih	impératifhumeur
crah	croire
ro	Etatlecontexte
cwih	espoir
kwih	factiveévident
fi	retour
psih	optatifhumeur
tseh	potentielhumeur
lweh	allativecas
nrih	anthropiquelegenre
tceh	mêmeassujettirmarqueur
re	différentassujettir
croh	lacrainte
mrah	comprendre
cyuh	doute
twuh	dubitativehumeur
myih	beau
lyih	intérêt
flah	contrefactuelleconditionnel
we	vialiscas
clih	dufroid
pyih	paix
su	misàpart
kwah	désir
le	longueur
bo	probabilité
mlah	difficulté
syah	sourire
slih	dormir
zi	cité
twoh	quotativecas
mo	comprislapersonne
kcih	S'ilvousplaît
rwih	precativehumeur
mrih	poliregistre
rwah	éventuelaspect
cyeh	merveille
go	gnomiqueaspect
tsoh	lerespect
za	inchoativeaspect
jwih	jussifhumeur
mwih	permissifhumeur
sloh	Succès
prih	privé
de	distributifcas
tcoh	douleur
ryah	rire
mlih	sage
ye	possessifmarqueur
ke	commissivehumeur
creh	vain
mweh	complétifaspect
nrah	chaleureux
nroh	colère
bwah	dépit
trah	fierté
mroh	moral
slah	lasanté
syih	social
pe	cessationaspect
krih	curieuse
tfih	intensificateur
fe	enfin
prah	decôté
trih	évident
nwah	évidentcas
srih	triste
zo	zoiclegenre
nweh	eventivehumeur
cwoh	mêmeunévénementmarqueur
plih	multiplicatifcas
dwah	voulu
kcoh	fatigué
drah	satisfait
lu	spéculatifhumeur
frih	familierregistre
frah	blessés
mruh	fou
djih	lasympathie
krah	remercier
cruh	honte
fyah	phrasemarqueur
ryih	preordained
kruh	amer
tyeh	envoyerdestextos
kreh	cruel
tleh	hesternaltendu
kfah	sacrifice
dyih	haine
cloh	rationnellegenre
nloh	prendreplaisir
psah	désespoir
sleh	végétallegenre
nruh	innocent
drih	admiration
sroh	Pardon
brih	base
kluh	confusion
bwih	bénédictionhumeur
klih	coupable
grih	ignorant
nyeh	initiativecas
nleh	humble
dlih	différéimpératif
proh	signaléévident
mloh	mélancolie
du	singulier
jrih	lapatience
freh	référentielle
kloh	solitaire
kroh	charme
tcuh	enthousiasme
kcuh	inductifhumeur
xa	discourslecontexte
nreh	nerveux
pseh	aspect
ge	agent
mu	admonitionhumeur
byah	ambition
pcoh	bondé
treh	directévident
yo	inquiethumeur
cwuh	choc
tloh	récentpassétendu
dlah	précisarticle
cluh	laid
myuh	humour
dyah	distaledémonstratif
rwuh	jaloux
troh	imprecatoryhumeur
dzih	indifférence
swuh	présuméhumeur
bzah	plaisanter
gwih	àsavoir
dloh	hodiernaltendu
dweh	delimitativeaspect
kweh	exclusiflapersonne
truh	température
tfeh	téliqueaspect
lyeh	atéliqueaspect
ru	prohibitifhumeur
kfih	puéril
cyoh	méfiant
nluh	fidélité
cweh	piège
nwoh	animé
sruh	frisson
ksoh	sexuel
lyah	paresseux
mreh	momentaneaspect
pceh	regretté
bjih	anciendécédé
pcuh	incertitude
xi	habituelaspect
blih	délimité
tsuh	banal
fwih	majestueux
grah	flatteur
brah	arbitraire
cleh	bienveillant
sreh	formelregistre
pfah	bénéfique
droh	auditifévident
flih	inférenceévident
sweh	sublativecas
ksuh	déclaratifhumeur
pleh	privilégié
psoh	invincible
be	verbal
mwoh	rêverie
kleh	misère
glah	avidité
kseh	affirmativehumeur
zrah	insatisfaction
dyoh	idiophone
syoh	émerveillée
gwah	excessifcas
zlih	irréelhumeur
zrih	latimidité
byih	adaptation
ryeh	pronommarqueur
fwah	frugal
bjah	enextase
kxah	équanimité
gvih	pegativecas
pxih	justification
xrah	expirant
tfoh	désormais
kxih	contrition
ryoh	prosecutivecas
qyah	lapréoccupation
r6	participe
txah	éloignépassétendu
xrih	historiquetendu
dxah	doublenombre
syuh	super
vweh	surchargésdetravail
n6	sensorielévidenthumeur
bweh	obsession
xlih	hilarant
txih	pincement
sluh	autosatisfait
txoh	mouvementmontée
xe	rétrospective
pxah	prendreaupiège
vwah	mouvementunedescente
xyih	élite
fleh	fléchie
psuh	superessivecas
syeh	satyre
qi	transitif
xruh	serecroqueviller
zwah	sensationnel
tr6h	mouvementenamont
qwah	sansambition
xlah	partoutdanslemonde
tyoh	intransitif
tluh	déception
qa	courantpertinencemarqueur
kxoh	chienfatigué
rwoh	ordinal
ve	vecteur
kyoh	kilo
swoh	séquentiel
pxeh	partitifcas
txeh	augmentatif
dxih	prédicatif
pxoh	prolativecas
pfoh	Prophrase
blah	blasé
fyih	nonHumain
xo	acteurrôle
pc6h	procèsnombre
greh	centralcas
groh	objectifgâchette
dxoh	milieuvoix
rweh	obliquecas
xwah	patientcas
xu	hodiernalpré
xroh	épuisé
ks6h	causal
vi	binairevaleur
dleh	modalcas
gjeh	else-if
xreh	collaborateur
lwoh	locatifcas
ml6h	multalnombre
gjih	galaxielegenre
qlah	étoilelegenre
bvih	abessivecas
dvah	adessivecas
je	agentivecas
t6	agentgâchette
kxeh	àcas
gxih	communlegenre
tc6h	citationforme
ts6h	transnuméral
ryuh	directobjet
gveh	ergativecas
pyoh	passifvoix
qe	finiverbe
xwih	primaireobjet
myoh	gnomiquehumeur
vrih	finalparticule
va	evitativecas
bveh	subessivecas
dxeh	possédécas
dvih	latifcas
tsa7h	antessivecas
dyeh	adverbialcas
mleh	animerlegenre
pfeh	empathiquejoie
xleh	véhiculelegenre
qlih	minérallegenre
xloh	verbalnom
dreh	secondelalangue
bvah	soiconfiance
qrah	changementdeunévénement
fo	différentunévénement
sl6h	crastinaltendu
fyoh	réfléchivoix
bxih	universlegenre
jlih	transitifverbe
kyeh	localitélegenre
txuh	recherchelegenre
s6	artistiquelegenre
preh	patientgâchette
sr6h	abstraitlegenre
nyoh	indirectparole
zreh	exocentriquecas
kfeh	passéperfectif
jo	impersonnelverbe
kxuh	collectifnom
bu	absolutivecas
qrih	planétairelegenre
kfoh	noyaubenefactive
kwoh	associatifcas
pluh	superlatifcas
jrah	électriquecourant
glih	inanimélegenre
p6	propositivehumeur
vrah	réciproquevoix
lyuh	successifclause
