hnit	infinitif
hnak	nominatifcas
hkak	accusatifcas
htak	sujetcas
hpap	papa
hmam	maman
hyat	parental
hcan	Salut
hwik	vocatifcas
hsuc	ancêtre
htat	grand-parent
hcac	affamé
hnik	génitifcas
hcit	adjectif
hwan	et
hman	moi
hnan	toi
hwam	nous
htit	ce
htac	destinationcas
htik	datifcas
hyit	realishumeur
htim	déontiquehumeur
hcut	conditionnelhumeur
hsit	épistémiquehumeur
hyak	instrumentalcas
htan	intérieurlecontexte
hpan	personnelecontexte
htin	clauseindépendante
hyan	dépendantclause
hfap	perfectifaspect
hkat	passétendu
hnin	masculinlegenre
hmak	comitativecas
hnat	présenttendu
hpak	benefactivecas
swik	essivecas
htut	négatoirequantificateur
hsan	surfacelecontexte
hpin	adpositionalcas
hwin	emplacementcas
hkan	espacelecontexte
hnac	façoncas
hyut	interrogatifhumeur
hnam	etou
hkit	OUexclusif
hsuk	lasourcecas
hpik	ablatifcas
hcat	proximité
hmat	démonstratif
hkuk	clause-queue
hlan	mais
hsut	tous
hyin	universelquantificateur
hcin	fémininlegenre
hpac	plurielnombre
hyik	un
htic	leur
hkik	qui
tcat	avenirtendu
hsin	sociallecontexte
hkac	lorsque
hmip	nonaccompliaspect
klan	Là
hlak	relatifcas
hlik	illatifcas
htam	directifhumeur
hlat	électifquantificateur
hkam	que
hwat	questionmot
htap	copule
hpat	lapersonne
nyan	mâle
hkas	pourrait
tcan	autre
hnuc	nombre
twit	péremptoirequantificateur
hsak	tempslecontexte
htuk	temporelcas
htun	seulement
htum	ilrevêthumeur
hyip	rétrospectiveaspect
hlit	volitivehumeur
pcic	Dois
tyut	deux
hsat	voir
hkut	connaître
hcic	enbas
hcap	après
hpam	premier
hlac	aliénablepossession
hkap	jamais
hnic	inaliénablepossession
tyat	Agéde
tcit	délibéranthumeur
tcin	jour
hlam	Venez
hwak	unevoyelle
hkin	aller
lwak	perlativecas
hpip	progressiveaspect
lyan	long
hsac	dire
kyan	Comment
htas	denouveau
hsic	ici
hcik	pense
hcak	endessousdelecontexte
hfan	atrouvé
hsun	leMain
hyac	aussi
