hnit	ક્રિયાપદનુંમૂળરૂપ
hnak	કેસને
hkak	આર્ટીકલકેસ
htak	વિષયકેસ
hpap	પિતા
hmam	મોમ
hyat	પેરેંટલ
hcan	હેલો
hwik	સંબોધનકેસ
hsuc	પૂર્વજ
htat	દાદા
hcac	ભૂખ્યા
hnik	સંબંધવાચકકેસ
hcit	વિશેષણ
hwan	અને
hman	મને
hnan	તમે
hwam	અમને
htit	તે
htac	સ્થળકેસ
htik	ચોથીવિભક્તિ
hyit	વાસ્તવિકમૂડ
htim	deonticમૂડ
hcut	શરતીમૂડ
hsit	જ્ઞાનમીમાંસામૂડ
hyak	વાદ્યકેસ
htan	આંતરિકસંદર્ભ
hpan	વ્યક્તિસંદર્ભ
htin	સ્વતંત્રકલમ
hyan	આશ્રિતકલમ
hfap	પર્ફેક્ટિવપાસા
hkat	ભૂતકાલ
hnin	પુલ્લિંગ
hmak	comitativeકેસ
hnat	વર્તમાનકાળ
hpak	લાભદાયીકેસ
swik	essiveકેસ
htut	નિષેધાત્મકક્વૉન્ટિફાયર
hsan	સપાટીસંદર્ભ
hpin	adpositionalકેસ
hwin	સ્થાનકેસ
hkan	જગ્યાસંદર્ભ
hnac	માર્ગકેસ
hyut	પ્રશ્નાર્થમૂડ
hnam	અનેઅથવા
hkit	વિશિષ્ટકે
hsuk	સ્ત્રોતકેસ
hpik	પાંચમીવિભક્તિકેસ
hcat	નિકટતા
hmat	પ્રતિપાદક
hkuk	કલમપૂંછડી
hlan	પરંતુ
hsut	બધા
hyin	સાર્વત્રિકક્વૉન્ટિફાયર
hcin	સ્ત્રીલિંગમાં
hpac	બહુવચનસંખ્યા
hyik	એક
htic	તેમના
hkik	જે
tcat	ભવિષ્યકાળ
hsin	સામાજિકસંદર્ભ
hkac	ક્યારે
hmip	imperfectiveપાસા
klan	ત્યાં
hlak	elativeકેસ
hlik	illativeકેસ
htam	ડાઈરેક્ટીવમૂડ
hlat	વૈકલ્પિકક્વૉન્ટિફાયર
hkam	શું
hwat	પ્રશ્નશબ્દ
htap	સંયોજક
hpat	વ્યક્તિ
nyan	પુરૂષ
hkas	શકવું
tcan	અન્ય
hnuc	નંબર
twit	અડગક્વૉન્ટિફાયર
hsak	સમયસંદર્ભ
htuk	દુન્યવીકેસ
htun	માત્ર
htum	ઉપદેશાત્મકમૂડ
hyip	પાછલીપાસા
hlit	volitiveમૂડ
