ni	ક્રિયાપદનુંમૂળરૂપ
na	કેસને
ka	આર્ટીકલકેસ
ta	વિષયકેસ
ca	હેલો
wu	સંબોધનકેસ
kcah	ભૂખ્યા
ti	સંબંધવાચકકેસ
ci	વિશેષણ
wa	અને
mi	મને
sa	તમે
nyah	અમને
ya	તે
ma	સ્થળકેસ
yi	ચોથીવિભક્તિ
li	વાસ્તવિકમૂડ
tu	deonticમૂડ
cu	શરતીમૂડ
si	જ્ઞાનમીમાંસામૂડ
yu	વાદ્યકેસ
nu	આંતરિકસંદર્ભ
pa	વ્યક્તિસંદર્ભ
tyah	સ્વતંત્રકલમ
la	આશ્રિતકલમ
fa	પર્ફેક્ટિવપાસા
ki	ભૂતકાલ
ne	પુલ્લિંગ
mwah	comitativeકેસ
ra	વર્તમાનકાળ
pwah	લાભદાયીકેસ
swih	essiveકેસ
no	નિષેધાત્મકક્વૉન્ટિફાયર
pi	સપાટીસંદર્ભ
da	adpositionalકેસ
te	સ્થાનકેસ
to	જગ્યાસંદર્ભ
ga	માર્ગકેસ
ri	પ્રશ્નાર્થમૂડ
ba	અનેઅથવા
ku	વિશિષ્ટકે
so	સ્ત્રોતકેસ
pwih	પાંચમીવિભક્તિકેસ
ksah	નિકટતા
tsah	પ્રતિપાદક
ko	કલમપૂંછડી
pyah	પરંતુ
wi	સાર્વત્રિકક્વૉન્ટિફાયર
ji	સ્ત્રીલિંગમાં
pu	બહુવચનસંખ્યા
bi	ભવિષ્યકાળ
co	સામાજિકસંદર્ભ
me	imperfectiveપાસા
klah	ત્યાં
twah	elativeકેસ
twih	illativeકેસ
di	ડાઈરેક્ટીવમૂડ
tlah	વૈકલ્પિકક્વૉન્ટિફાયર
kyah	શું
tcah	પ્રશ્નશબ્દ
ja	સંયોજક
cyah	વ્યક્તિ
clah	અન્ય
do	નંબર
tlih	અડગક્વૉન્ટિફાયર
se	સમયસંદર્ભ
myah	દુન્યવીકેસ
tyuh	માત્ર
tcih	ઉપદેશાત્મકમૂડ
tyih	પાછલીપાસા
lo	volitiveમૂડ
cwah	પછી
nlah	સ્વત્વાર્પણક્ષમકબજો
nlih	મૂળભૂતકબજો
cyih	સહેતુકમૂડ
lwah	perlativeકેસ
pfih	પ્રગતિશીલપાસું
tsih	અહીં
ce	સંદર્ભહેઠળ
pcah	પણ
lwih	delativeકેસ
swah	semelfactiveપાસા
nyih	નિયો
fu	ધ્યાન
plah	પ્રેમ
po	paucalનંબર
kyih	કારણકે
ksih	સાધકકેસ
gi	નામ
tfah	Propernoun
crih	દૃશ્યમાનપુરવાર
kceh	સારી
dwih	ઇચ્છાદર્શકમૂડ
wo	શબ્દ
srah	ત્યાંસુધી
tweh	terminativeકેસ
nwih	inessiveકેસ
pcih	હિતાવહમૂડ
crah	માને
ro	રાજ્યસંદર્ભ
cwih	આશા
kwih	factiveપુરવાર
fi	વળતર
psih	અપેક્ષાવ્યક્તકરનારુંમૂડ
tseh	સંભવિતમૂડ
lweh	જુઓચાસે
nrih	માનવીયલિંગ
tceh	આજવિષયમાર્કર
re	વિવિધવિષય
croh	ભય
mrah	સમજવું
cyuh	શંકા
twuh	dubitativeમૂડ
myih	સુંદર
lyih	રસ
flah	વિરોધાભાસીશરતી
we	vialisકેસ
clih	ઠંડા
pyih	શાંતિ
su	સિવાય
kwah	ઇચ્છા
le	લંબાઈ
bo	સંભાવના
mlah	મુશ્કેલી
syah	સ્મિત
slih	ઊંઘ
zi	નોંધાયેલા
twoh	quotativeકેસ
mo	વ્યાપકવ્યક્તિ
kcih	કૃપાકરીને
rwih	અભ્યર્થનાત્મકમૂડ
mrih	નમ્રરજિસ્ટર
rwah	સંભવિતપાસા
cyeh	આશ્ચર્ય
go	માર્મિકપાસા
tsoh	આદર
za	પ્રારંભિકપાસા
jwih	jussiveમૂડ
mwih	ઉદારમૂડમાં
sloh	સફળતા
prih	ખાનગી
de	વિતરણકેસ
tcoh	પીડા
ryah	હસવા
mlih	જ્ઞાની
ye	સ્વત્વબોધકમાર્કર
ke	commissiveમૂડ
creh	નિરર્થક
mweh	પૂરેપૂરુંપાસા
nrah	ગરમ
nroh	ગુસ્સો
bwah	હોવાછતાં
trah	ગર્વ
mroh	નૈતિક
slah	આરોગ્ય
syih	સામાજિક
pe	સેસેટિવપાસા
krih	વિચિત્ર
tfih	intensifier
fe	છેલ્લે
prah	કોરે
trih	પુરવાર
nwah	પુરવારકેસ
srih	ઉદાસી
zo	zoicલિંગ
nweh	eventiveમૂડ
cwoh	આજઘટનામાર્કર
plih	ગુણાકારકેસ
dwah	ઇચ્છિત
kcoh	થાકેલા
drah	સંતુષ્ટ
lu	સટ્ટાકીયમૂડ
frih	પરિચિતરજિસ્ટર
frah	ઘાયલ
mruh	મૂર્ખ
djih	સહાનુભુતિ
krah	આભાર
cruh	શરમ
fyah	શબ્દસમૂહમાર્કર
ryih	preordained
kruh	કડવો
tyeh	લખાણ
kreh	ક્રૂર
tleh	hesternalતંગ
kfah	બલિદાન
dyih	નફરત
cloh	તર્કસંગતલિંગ
nloh	આનંદ
psah	નિરાશા
sleh	વનસ્પતિલિંગ
nruh	નિર્દોષ
drih	પ્રશંસા
sroh	માફી
brih	પાયો
kluh	મૂંઝવણ
bwih	benedictiveમૂડ
klih	દોષિત
grih	અજ્ઞાની
nyeh	પહેલકેસ
nleh	નમ્ર
dlih	વિલંબિતહિતાવહ
proh	અહેવાલપુરવાર
mloh	ખિન્ન
du	એકવચન
jrih	ધીરજ
freh	સંદર્ભ
kloh	લોન્લી
kroh	વશીકરણ
tcuh	ઉત્સાહ
kcuh	પ્રત્યક્ષપ્રમાણપરનિર્ધારિતમૂડ
xa	વાર્તાલાપસંદર્ભ
nreh	નર્વસ
pseh	પાસા
ge	એજન્ટ
mu	admonitiveમૂડ
byah	મહત્વાકાંક્ષા
pcoh	ગીચ
treh	સીધાપુરવાર
yo	બુદ્ધિશાળીમૂડ
cwuh	આઘાત
tloh	તાજેતરનાભૂતકાળમાંતંગ
dlah	ચોક્કસલેખ
cluh	નીચ
myuh	રમૂજ
dyah	દૂરવર્તીપ્રતિપાદક
rwuh	ઇર્ષ્યા
troh	imprecativeમૂડ
dzih	ઉદાસીનતા
swuh	ગ્રહણકારીમૂડ
bzah	મીઠીમશ્કરી
gwih	એટલેકે
dloh	hodiernalતંગ
dweh	delimitativeપાસા
kweh	વિશિષ્ટવ્યક્તિ
truh	તાપમાન
tfeh	ટેલિકપાસા
lyeh	atelicપાસા
ru	નિષેધાત્મકમૂડ
kfih	બાલિશ
cyoh	શંકાસ્પદ
nluh	વફાદારી
cweh	છટકું
nwoh	એનિમેટેડ
sruh	રોમાંચિત
ksoh	જાતીય
lyah	બેકાર
mreh	momentaneપાસા
pceh	બદલ
bjih	ભૂતપૂર્વમૃત
pcuh	અનિશ્ચિતતા
xi	રીઢોપાસા
blih	સીમિત
tsuh	તુચ્છ
fwih	જાજરમાન
grah	મનખુશકરનારું
brah	મનસ્વી
cleh	હિતકારી
sreh	ઔપચારિકરજિસ્ટર
pfah	લાભદાયી
droh	શ્રાવ્યપુરવાર
flih	અનુમાનિતપુરવાર
sweh	sublativeકેસ
ksuh	ઘોષણાત્મકમૂડ
pleh	વિશેષાધિકૃત
psoh	અદમ્ય
be	મૌખિક
mwoh	દિવાસ્વપ્ન
kleh	દુ:ખી
glah	લોભ
kseh	હકારાત્મકમૂડ
zrah	અસંતોષ
dyoh	ideophone
syoh	awed
gwah	exessiveકેસ
zlih	irrealisમૂડ
zrih	સંકોચ
byih	અનુકૂલન
ryeh	સર્વનામમાર્કર
