hnit	fi&#39;ili
hnak	nominativeharka
hkak	accusativeharka
htak	topicharka
hpap	baba
hmam	inna
hyat	parental
hcan	hello
hwik	vocativeharka
hsuc	m
htat	andakakaninkakaninsa
hcac	m
hnik	genitiveharka
hcit	siffa
hwan	kuma
hman	ni
hnan	ka
hwam	mu
htit	shi
htac	manufaharka
htik	dativeharka
hyit	realisyanayi
htim	deonticyanayi
hcut	matukaryanayi
hsit	epistemicyanayi
hyak	instrumentalharka
htan	cikimahallin
hpan	mutummahallin
htin	mkashi
hyan	dogaramagana
hfap	perfectiveal&#39;amari
hkat	dasiga
hnin	namijijinsi
hmak	comitativeharka
hnat	basiga
hpak	benefactiveharka
swik	essiveharka
htut	negatoryquantifier
hsan	surfacemahallin
hpin	adpositionalharka
hwin	locationharka
hkan	sararimahallin
hnac	hanyaryanayin
hyut	tambayanayanayi
hnam	kumako
hkit	mko
hsuk	sourceharka
hpik	ablativeharka
hcat	kusanci
hmat	demonstrative
hkuk	kashiwutsiya
hlan	amma
hsut	dukan
hyin	duniyaquantifier
hcin	matajinsi
hpac	mnumber
hyik	daya
htic	m
hkik	wanda
tcat	msiga
hsin	socialmahallin
hkac	lokacinda
hmip	imperfectiveal&#39;amari
klan	akwai
hlak	elativeharka
hlik	illativeharka
htam	umarninyanayi
hlat	zaɓenaquantifier
hkam	abinda
hwat	tambayakalma
htap	copula
hpat	mutum
nyan	namiji
hkas	iya
tcan	wasu
hnuc	lambar
twit	assertivequantifier
hsak	lokacimahallin
htuk	bokoharka
htun	kawai
htum	hortativeyanayi
hyip	retrospectiveal&#39;amari
hlit	volitiveyanayi
pcic	tilas
tyut	biyu
hsat	gani
hkut	sani
hcic	saukar
hcap	bayan
hpam	farko
hlac	alienablemallaka
hkap	faufau
hnic	inalienablemallaka
tyat	old
tcit	deliberativeyanayi
tcin	rana
hlam	zo
hwak	wasali
hkin	tafi
lwak	perlativeharka
hpip	mal&#39;amari
lyan	dogon
hsac	ce
kyan	yaya
htas	kuma
hsic	nan
hcik	tunani
hcak	karkashinmahallin
hfan	samu
hsun	hannun
hyac	harilayau,
nwan	matasa
tyit	da
tlan	bautãwa
twak	delativeharka
hmin	komeba
hyas	dazarar
hlap	semelfactiveal&#39;amari
kcac	bar
hyic	sawa
hcas	gidan
hwac	duniya
tyin	uku
hnun	cigaban
hcuk	mayardahankali
pyan	so
hsis	kodayaushe
hyam	dare
hyap	Sarkin
hkic	tsakanin
hmas	hankali
cyit	zuciya
pluc	paucalnumber
kyik	saboda
ksak	causalharka
tcun	aikata
hnim	sunan
tsan	dacesuna
klac	kasar
hpun	tambaye
cyat	bayyaneevidential
pcac	m
hmac	lokacin
hnas	iyaba
hwic	ruwa
twim	desiderativeyanayi
kwan	haske
tlat	kalma
tyan	dari
hsas	dasafe
syat	sai
twik	terminativeharka
hpit	farin
pcan	kudi
hyis	matalauta
mwan	mutuwa
hfam	form
nwik	inessiveharka
kcat	tare
tsac	saudayawa
pyat	aboki
psan	rabin
hpim	wajibiyanayi
hyuc	zagaye
hfat	aika
hcis	matar
kcan	yiimani
hsik	jama&#39;a
htus	jiharmahallin
hpas	dan
clat	yara
tyak	haka
cwan	fatan
syin	masoyi
hkuc	high
tyac	karanta
syit	birnin
hlic	riga
hfit	factiveevidential
tcac	girl
hcun	ji
ksan	m
hyaf	watakila
kyat	lallene
tcic	jiki
hwit	samu
cwat	iska
hfaf	shari&#39;a
hput	taimaka
lyat	wasika
ksas	hudu
hpic	optativeyanayi
hfuk	wuta
hcam	hour
twat	yaki
kyak	dadama
tlit	biyu
pcin	bayan
hmut	rasa
clan	dubu
hfac	iyali
twan	rai
hwas	tambaya
syan	gaskiya
htis	Making
tsat	myanayi
lwik	allativeharka
nyin	anthropicjinsi
hfak	biyar
tcak	wannanmaganaalama
htuc	daban-dabanbatun
hnap	amsar
hmit	teku
hcuc	tsoro
pcat	fahimta
syas	sharuddan
hcaf	shakka
twut	dubitativeyanayi
hkis	black
tlak	kawo
hyus	m
nyit	raba
htip	goma
ksis	story
hpuk	littafin
hlin	lantarki
hkun	account
lyas	amfani
lyit	rubuta
pwat	gado
hnis	shekaru
hnut	counterfactualmatukar
slas	art
hwis	vialisharka
pyak	wa
lyin	line
tyas	tebur
hyun	kogin
kyac	ido
tfan	bazatobatsammani
kcin	zurfi
hmuc	manufa
cyac	jini
hmap	yatashi
tlin	sanyi
hyif	gaba
tyam	marigayi
hnaf	zata
hkip	kusan
myan	mine
tsin	ilmi
hkup	kwafin
hsam	miji
hlis	shida
cwit	rai
cyan	zamanlafiya
myat	tuna
tyic	halitta
hfut	fada
swas	sabis
hsap	fãce
pcit	copyright
hyim	sojojin
kyas	doki
plic	m
pcak	yamma
