ni	רֹוקָמ
na	nominativeהרקמ
ka	תֶאתַסֲחַיהרקמ
ta	אֵׂשֹונהרקמ
ca	םולש
wu	ביטאקווההרקמ
kcah	בֵעָר
ti	לֶׁשתַסֲחַיהרקמ
ci	רַאֹות
wa	ו
mi	יִל
sa	התא
nyah	ּונָל
ya	הז
ma	דַעַיהרקמ
yi	לֶאתַסֲחַיהרקמ
li	realisהזַחּורבַצַמ
tu	deonticַחּורבַצַמ
cu	הנתומַחּורבַצַמ
si	תימטסיפאַחּורבַצַמ
yu	ליִעֹומהרקמ
nu	םיִנְּפרשקה
pa	םדארשקה
tyah	סעיףעצמאי
la	יולתףיִעָס
fa	perfectiveטקפסא
ki	רבעַחּותָמ
ne	יִרבַגןיִמ
mwah	comitativeהרקמ
ra	הנתמַחּותָמ
pwah	benefactiveהרקמ
swih	essiveהרקמ
no	יִנָלְלֹוׁשתמכ
pi	חטשמרשקה
da	adpositionalהרקמ
te	םוקמהרקמ
to	בָחרֶמרשקה
ga	ךֶרֶדהרקמ
ri	הָלֵאְׁשתַלִמַחּורבַצַמ
ba	וֹוא
ku	יִדָעלִּבֹוא
so	רֹוקָמהרקמ
pwih	ינשלופהרקמ
ksah	קִרבָה
tsah	יִתָנָגפַה
ko	ףיִעָסבָנָז
pyah	לבא
wi	ילסרבינואתמכ
ji	יִׁשָנןיִמ
pu	םיִּבַררפסמ
bi	דיתעַחּותָמ
co	יִתָרבֶחרשקה
me	imperfectiveטקפסא
klah	םש
twah	החפשמבורקהרקמ
twih	illativeהרקמ
di	הָאָרֹוהַחּורבַצַמ
tlah	יביטקלאתמכ
kyah	המ
tcah	הָלֵאְׁשהָלִמ
ja	דגוא
cyah	םדא
clah	רֵחַא
do	רפסמ
tlih	יביטרסאתמכ
se	ןַמְזרשקה
myah	יִנַמְזהרקמ
tyuh	קר
tcih	hortativeַחּורבַצַמ
tyih	יִביִטקֶּפסֹורטֶרטקפסא
lo	volitiveַחּורבַצַמ
cwah	רחאל
nlah	alienableתּוׁשְר
nlih	ֹוריִבעַהְלןיֵאֶׁשתּוׁשְר
cyih	ינוידַחּורבַצַמ
lwah	perlativeהרקמ
pfih	יִביִסֵרגֹורּפטקפסא
tsih	ןאכ
ce	תַחַתרשקה
pcah	םַג
lwih	delativeהרקמ
swah	semelfactiveטקפסא
nyih	ואינ
fu	דֵקֹומ
plah	הבהא
po	paucalרפסמ
kyih	יכ
ksih	יתביסהרקמ
gi	םֵׁש
tfah	ןיִקָתםֶצֶעםֵׁש
crih	הֶאְרִניתייאר
kceh	רתויבוט
dwih	desiderativeַחּורבַצַמ
wo	הָלִמ
srah	דע
tweh	terminativeהרקמ
nwih	inessiveהרקמ
pcih	יִחֵרְכֶהַחּורבַצַמ
crah	ןיִמֱאֶהְל
ro	הָניִדְמרשקה
cwih	תֹווַקְל
kwih	factiveיתייאר
fi	רֹוזֲחַל
psih	optativeַחּורבַצַמ
tseh	לָאיִצנֶטֹוּפַחּורבַצַמ
lweh	allativeהרקמ
nrih	יפורתנאהןיִמ
