hnit	רֹוקָמ
hnak	nominativeהרקמ
hkak	תֶאתַסֲחַיהרקמ
htak	אֵׂשֹונהרקמ
hpap	אָּבַא
hmam	אָמִא
hyat	םיִרֹוהַהלֶׁש
hcan	םולש
hwik	ביטאקווההרקמ
hsuc	ןֹומדַקבָא
htat	אָתבָסֹואאָּבָס
hcac	בֵעָר
hnik	לֶׁשתַסֲחַיהרקמ
hcit	רַאֹות
hwan	ו
hman	יִל
hnan	התא
hwam	ּונָל
htit	הז
htac	דַעַיהרקמ
htik	לֶאתַסֲחַיהרקמ
hyit	realisהזַחּורבַצַמ
htim	deonticַחּורבַצַמ
hcut	הנתומַחּורבַצַמ
hsit	תימטסיפאַחּורבַצַמ
hyak	ליִעֹומהרקמ
htan	םיִנְּפרשקה
hpan	םדארשקה
htin	סעיףעצמאי
hyan	יולתףיִעָס
hfap	perfectiveטקפסא
hkat	רבעַחּותָמ
hnin	יִרבַגןיִמ
hmak	comitativeהרקמ
hnat	הנתמַחּותָמ
hpak	benefactiveהרקמ
swik	essiveהרקמ
htut	יִנָלְלֹוׁשתמכ
hsan	חטשמרשקה
hpin	adpositionalהרקמ
hwin	םוקמהרקמ
hkan	בָחרֶמרשקה
hnac	ךֶרֶדהרקמ
hyut	הָלֵאְׁשתַלִמַחּורבַצַמ
hnam	וֹוא
hkit	יִדָעלִּבֹוא
hsuk	רֹוקָמהרקמ
hpik	ינשלופהרקמ
hcat	קִרבָה
hmat	יִתָנָגפַה
hkuk	ףיִעָסבָנָז
hlan	לבא
hsut	לכתא
hyin	ילסרבינואתמכ
hcin	יִׁשָנןיִמ
hpac	םיִּבַררפסמ
hyik	דחא
htic	םֶהָלֶׁש
hkik	ימ
tcat	דיתעַחּותָמ
hsin	יִתָרבֶחרשקה
hkac	יתמ
hmip	imperfectiveטקפסא
klan	םש
hlak	החפשמבורקהרקמ
hlik	illativeהרקמ
htam	הָאָרֹוהַחּורבַצַמ
hlat	יביטקלאתמכ
hkam	המ
hwat	הָלֵאְׁשהָלִמ
htap	דגוא
hpat	םדא
nyan	רָכָז
hkas	לֹוכָיהָיָה
tcan	רֵחַא
hnuc	רפסמ
twit	יביטרסאתמכ
hsak	ןַמְזרשקה
htuk	יִנַמְזהרקמ
htun	קר
htum	hortativeַחּורבַצַמ
hyip	יִביִטקֶּפסֹורטֶרטקפסא
hlit	volitiveַחּורבַצַמ
pcic	ךירצ
tyut	ּוד
hsat	תֹואְרִל
hkut	תַעַדָל
hcic	הטמ
hcap	רחאל
hpam	ןושאר
hlac	alienableתּוׁשְר
hkap	אלםלועל
hnic	ֹוריִבעַהְלןיֵאֶׁשתּוׁשְר
tyat	ןשי
tcit	ינוידַחּורבַצַמ
tcin	םֹוְי
hlam	אובל
hwak	הָעּונְת
hkin	תכלל
lwak	perlativeהרקמ
hpip	יִביִסֵרגֹורּפטקפסא
lyan	ךורא
hsac	רמול
kyan	ךיֵא
htas	בוש
hsic	ןאכ
hcik	בֹוׁשחַל
hcak	תַחַתרשקה
hfan	יתאצמ
hsun	די
hyac	םַג
nwan	ריִעָצ
tyit	לומ
tlan	םיהולא
twak	delativeהרקמ
hmin	רבדםוש
hyas	םַעַּפ
hlap	semelfactiveטקפסא
kcac	לאמש
hyic	האר
hcas	תִיַּב
hwac	םָלֹוע
tyin	הָׁשֹולְׁש
hnun	ואינ
hcuk	דֵקֹומ
pyan	הבהא
hsis	דימת
hyam	הָלְיַל
hyap	ךלמ
hkic	ןיֵּב
hmas	תפכא
cyit	בֵל
pluc	paucalרפסמ
kyik	יכ
ksak	יתביסהרקמ
tcun	בוצע
hnim	םֵׁש
tsan	ןיִקָתםֶצֶעםֵׁש
klac	הנידמ
hpun	לאש
cyat	הֶאְרִניתייאר
pcac	רתויבוט
hmac	עַגֶר
hnas	לוכיאל
hwic	םִיַמ
twim	desiderativeַחּורבַצַמ
kwan	רֹוא
tlat	הָלִמ
tyan	תלד
hsas	רקוב
syat	דע
twik	terminativeהרקמ
hpit	ןבל
pcan	ףֶסֶּכ
hyis	ינע
mwan	תוומ
hfam	ספוט
nwik	inessiveהרקמ
kcat	דַחַי
tsac	תובורקםיתעל
pyat	רֵבָח
psan	יִצֲח
hpim	יִחֵרְכֶהַחּורבַצַמ
hyuc	לֹוגָע
hfat	שלח
hcis	השיא
kcan	ןיִמֱאֶהְל
hsik	יֵּבְמּוּפ
htus	הָניִדְמרשקה
hpas	ןֵּב
clat	םיִדָלְי
tyak	ךָּכ
cwan	תֹווַקְל
syin	רָקָי
hkuc	ַהֹובָג
tyac	אורקל
syit	ריִע
hlic	רָבְּכ
hfit	factiveיתייאר
tcac	הדלי
hcun	ַעֹומְׁשִל
ksan	תוחפיכה
hyaf	יַלּוא
kyat	השעמל
tcic	ףּוג
hwit	רֹוזֲחַל
cwat	ריווא
hfaf	קֹוח
hput	הָרזֶע
lyat	בָתְכִמ
ksas	הָעָּבְרַא
hpic	optativeַחּורבַצַמ
hfuk	ׁשֵא
hcam	הָעָׁש
twat	הָמָחלִמ
kyak	הָמַּכ
tlit	הָיִנְׁש
pcin	רֹוחָאֵמ
hmut	דֵבָא
clan	ףלא
hfac	הָחָּפׁשִמ
twan	ׁשֶפֶנ
hwas	הָלֵאְׁש
syan	תֶמֶא
htis	הֲכָנָה
tsat	לָאיִצנֶטֹוּפַחּורבַצַמ
lwik	allativeהרקמ
nyin	יפורתנאהןיִמ
hfak	ׁשֵמָח
tcak	ותואןודנהןָמַס
htuc	הנושןודנה
hnap	הבושת
hmit	םָי
hcuc	דַחַּפ
pcat	ןיבמ
syas	םיחנומב
hcaf	קפס
twut	dubitativeַחּורבַצַמ
hkis	רֹוחָׁש
tlak	איִבָהְל
hyus	הפי
nyit	גוס
htip	רשע
ksis	הָבָתַּכ
hpuk	רֶפֵס
hlin	יִנֹורטקֶלֶא
hkun	ןֹוּבְׁשֶח
lyas	תיביר
lyit	בֹותכִל
pwat	הטימ
hnis	ליג
hnut	ידגנהנתומ
slas	תונמוא
hwis	vialisהרקמ
pyak	חָא
lyin	וַק
tyas	ןחלוש
hyun	רהנ
kyac	ןִיַע
tfan	םֹואְתִּפ
kcin	קֹומָע
hmuc	הָרָטַמ
cyac	םָד
hmap	דֶרֶו
tlin	רַק
hyif	הָמיִדָק
tyam	רחואמ
hnaf	ַחיִנַהְל
hkip	טעמכ
myan	ילש
tsin	עַדֶי
hkup	קתוע
hsam	לַעַּב
hlis	ׁשֵׁש
cwit	יַח
cyan	םֹולָׁש
myat	רֹוּכזִל
tyic	יִעבִט
hfut	ויָתס
swas	תּורֵׁש
hsap	אָלֶא
pcit	םירצויתויוכז
hyim	אָבָצ
kyas	סּוס
plic	דיתע
pcak	בָרֲעַמ
hpis	םֵלַׁשְל
hyuk	םֹודָא
hwun	בהז
twin	זעןוצר
plan	קֵחַׂשְל
hpus	דָרׂשִמ
syun	הָלָׁשְמֶמ
kyic	הָיִסֵנְּכ
htaf	חוכ
hlun	ךרוא
kyin	הָרבֶח
kyis	ןותיע
mlan	תּורְּבַתסִה
hcim	דחוימב
cyas	בֹוד
twac	ןֹולַח
nyat	יִפֹוי
hcus	ןֹורֲחַא
htup	הָבֹוח
htif	קָחְרֶמ
pyas	לגרףכ
hlas	יִאָרְּפ
ksin	קורי
hmaf	תורצ
myac	ךויח
hsim	ןֹוׁשיִל
kyit	מְצוּטָט
kwik	quotativeהרקמ
fwan	רֵקַבְל
slan	רחאבוקעל
psit	תוחכונ
hmic	קותמ
hmuf	הֶּפ
hfin	ריִׁשָע
tcam	בֵיֹוא
psuk	רּובָׁש
kcap	הניפס
pwan	לּולָּכםדא
hfic	ַעיִּפְׁשַהְל
tcuc	ַעיִפֹוהְל
hkim	דֹוס
pyin	אנא
pwit	precativeַחּורבַצַמ
pyit	סָמּונְמםשריה
cwak	עור
myak	ץרמ
tcas	מקומות
hlaf	תּוהָׁש
psat	םוקמב
nlan	לֹוחָּכ
psac	ירשפאיתלב
kcuk	רפסתיב
kcit	יּוׂשָנ
kcak	ןוזמ
syis	םירשע
tlac	טֶקֶׁש
hcip	דיִתַעְלטקפסא
kwin	מַתָן
tsit	עצר
pyac	הפש
hsus	ַעּובָׁש
hcup	םלוא
cyap	אֶלֶּפ
tfin	דָלֹונ
fyat	טפשמתיב
