hnit	क्रियाकासाधारणरूप
hnak	नियुक्तमामला
hkak	कर्मकारकमामला
htak	विषयमामला
hpap	पिता
hmam	माँ
hyat	पैतृक
hcan	नमस्ते
hwik	सम्बोधनमामला
hsuc	पूर्वज
htat	दादा-दादी
hcac	भूखा
hnik	संबंधकारकमामला
hcit	विशेषण
hwan	और
hman	मुझे
hnan	आप
hwam	हमें
htit	यह
htac	गंतव्यमामला
htik	संप्रदानकारकमामला
hyit	realisमनोदशा
htim	deonticमनोदशा
hcut	सशर्तमनोदशा
hsit	epistemicमनोदशा
hyak	सहायकमामला
htan	आंतरिकप्रसंग
hpan	व्यक्तिप्रसंग
htin	मुख्यवाक्यखंड
hyan	आश्रितधारा
hfap	साधकपहलू
hkat	अतीतकाल
hnin	संज्ञालिंग
hmak	comitativeमामला
hnat	वर्तमानकाल
hpak	benefactiveमामला
swik	essiveमामला
htut	निगेटिवquantifier
hsan	सतहप्रसंग
hpin	adpositionalमामला
hwin	स्थानमामला
hkan	अंतरिक्षप्रसंग
hnac	मार्गमामला
hyut	प्रश्नवाचकमनोदशा
hnam	तथाया
hkit	एकमात्र
hsuk	स्रोतमामला
hpik	पंचमीविभक्तिमामला
hcat	निकटता
hmat	ठोस
hkuk	खंड-पूंछ
hlan	लेकिन
hsut	सब
hyin	सार्वभौमिकquantifier
hcin	स्त्रीलिंग
hpac	बहुवचनसंख्या
hyik	एक
htic	उनकी
hkik	कौन
tcat	भविष्यकाल
hsin	सामाजिकप्रसंग
hkac	कब
hmip	अधूरापहलू
klan	क्याआपवहांमौजूदहैं
hlak	संबंधीमामला
hlik	नतीजेकामामला
htam	आदेशमनोदशा
hlat	निर्वाचितquantifier
hkam	क्या
hwat	सवालशब्द
htap	योजक
hpat	व्यक्ति
nyan	नर
hkas	सकताहै
tcan	अन्य
hnuc	संख्या
twit	मुखरquantifier
hsak	पहरप्रसंग
htuk	लौकिकमामला
htun	केवल
htum	उपदेशदेनेवालामनोदशा
hyip	पूर्वप्रभावीपहलू
hlit	volitiveमनोदशा
pcic	चाहिए
tyut	दो
hsat	देखना
hkut	जानना
hcic	नीचे
hcap	केबाद
hpam	पहले
hlac	बदलनेकेयोग्यअधिकार
hkap	कभीनहीं
hnic	अविच्छेद्यअधिकार
