ni	क्रियाकासाधारणरूप
na	नियुक्तमामला
ka	कर्मकारकमामला
ta	विषयमामला
ca	नमस्ते
wu	सम्बोधनमामला
kcah	भूखा
ti	संबंधकारकमामला
ci	विशेषण
wa	और
mi	मुझे
sa	आप
nyah	हमें
ya	यह
ma	गंतव्यमामला
yi	संप्रदानकारकमामला
li	realisमनोदशा
tu	deonticमनोदशा
cu	सशर्तमनोदशा
si	epistemicमनोदशा
yu	सहायकमामला
nu	आंतरिकप्रसंग
pa	व्यक्तिप्रसंग
tyah	मुख्यवाक्यखंड
la	आश्रितधारा
fa	साधकपहलू
ki	अतीतकाल
ne	संज्ञालिंग
mwah	comitativeमामला
ra	वर्तमानकाल
pwah	benefactiveमामला
swih	essiveमामला
no	निगेटिवquantifier
pi	सतहप्रसंग
da	adpositionalमामला
te	स्थानमामला
to	अंतरिक्षप्रसंग
ga	मार्गमामला
ri	प्रश्नवाचकमनोदशा
ba	तथाया
ku	एकमात्र
so	स्रोतमामला
pwih	पंचमीविभक्तिमामला
ksah	निकटता
tsah	ठोस
ko	खंड-पूंछ
pyah	लेकिन
wi	सार्वभौमिकquantifier
ji	स्त्रीलिंग
pu	बहुवचनसंख्या
bi	भविष्यकाल
co	सामाजिकप्रसंग
me	अधूरापहलू
klah	क्याआपवहांमौजूदहैं
twah	संबंधीमामला
twih	नतीजेकामामला
di	आदेशमनोदशा
tlah	निर्वाचितquantifier
kyah	क्या
tcah	सवालशब्द
ja	योजक
cyah	व्यक्ति
clah	अन्य
do	संख्या
tlih	मुखरquantifier
se	पहरप्रसंग
myah	लौकिकमामला
tyuh	केवल
tcih	उपदेशदेनेवालामनोदशा
tyih	पूर्वप्रभावीपहलू
lo	volitiveमनोदशा
cwah	केबाद
nlah	बदलनेकेयोग्यअधिकार
nlih	अविच्छेद्यअधिकार
cyih	अधिकारहीनमनोदशा
lwah	perlativeमामला
pfih	प्रगतिशीलपहलू
tsih	यहाँ
ce	नीचेप्रसंग
pcah	भी
lwih	delativeमामला
swah	semelfactiveपहलू
nyih	नियो
fu	फोकस
plah	प्यार
po	paucalसंख्या
kyih	क्योंकि
ksih	करणीयमामला
gi	नाम
tfah	उचितसंज्ञा
crih	दिखाईप्रत्यक्ष
kceh	बेहतर
dwih	desiderativeमनोदशा
wo	शब्द
srah	जबतक
tweh	terminativeमामला
nwih	inessiveमामला
pcih	अनिवार्यमनोदशा
crah	मानना
ro	राज्यप्रसंग
cwih	आशा
kwih	factiveप्रत्यक्ष
fi	वापसी
psih	आपटाइटिवमनोदशा
tseh	क्षमतामनोदशा
lweh	allativeमामला
nrih	Anthropicलिंग
tceh	वहीविषयनिशान
re	अलगविषय
croh	डर
mrah	समझना
cyuh	संदेह
twuh	dubitativeमनोदशा
myih	खूबसूरत
lyih	ब्याज
flah	प्रतितथ्यात्मकसशर्त
we	vialisमामला
clih	ठंड
pyih	शांति
su	सिवाय
kwah	इच्छा
le	लंबाई
bo	संभावना
mlah	मुसीबत
syah	मुस्कान
slih	नींद
zi	उद्धृत
twoh	quotativeमामला
mo	सम्मिलितव्यक्ति
kcih	कृपया
rwih	precativeमनोदशा
mrih	सभ्यरजिस्टर
rwah	भावीपहलू
cyeh	आश्चर्यहै
go	सूक्तिकापहलू
tsoh	सम्मान
za	इब्तिदाईपहलू
jwih	jussiveमनोदशा
mwih	अनुमोदकमनोदशा
sloh	सफलता
prih	प्राइवेट
de	बांटनेवालामामला
tcoh	दर्द
ryah	हंसी
mlih	वार
ye	मालिकानानिशान
ke	commissiveमनोदशा
creh	व्यर्थ
mweh	शेषपहलू
nrah	गरम
nroh	क्रोध
bwah	बावजूद
trah	अभिमान
mroh	नैतिक
slah	स्वास्थ्य
syih	सामाजिक
pe	समाप्तिपहलू
krih	जिज्ञासु
tfih	intensifier
fe	अंतमें
prah	अलग
trih	प्रत्यक्ष
nwah	प्रत्यक्षमामला
srih	उदास
zo	Zoicलिंग
nweh	eventiveमनोदशा
cwoh	वहीघटनानिशान
plih	गुणकमामला
dwah	चाहाहे
kcoh	थका
drah	संतुष्ट
lu	काल्पनिकमनोदशा
frih	परिचितरजिस्टर
frah	घायल
mruh	मूर्ख
djih	सहानुभूति
krah	धन्यवाद
cruh	शर्मकीबातहै
fyah	मुहावरानिशान
ryih	पूर्वनिर्धारित
kruh	कड़वा
tyeh	टेक्स्ट
kreh	निर्दयी
tleh	hesternalकाल
kfah	त्याग
dyih	नफ़रत
cloh	तर्कसंगतलिंग
nloh	आनंद
psah	निराशा
sleh	वनस्पतिकलिंग
nruh	मासूम
drih	प्रशंसा
sroh	क्षमा
brih	आधार
kluh	भ्रमकीस्थिति
bwih	आशीर्वादमनोदशा
klih	दोषी
grih	अनजान
nyeh	पहलमामला
nleh	नम्र
dlih	विलंबितअनिवार्य
proh	कीसूचनादीप्रत्यक्ष
mloh	उदासी
du	विलक्षण
jrih	धैर्य
freh	referential
kloh	अकेला
kroh	आकर्षण
tcuh	उत्साह
kcuh	अधिष्ठापनकामनोदशा
xa	प्रवचनप्रसंग
nreh	परेशान
pseh	पहलू
ge	एजेंट
mu	चेतावनीमनोदशा
byah	महत्वाकांक्षा
pcoh	भीड़
treh	प्रत्यक्षप्रत्यक्ष
yo	भयभीतमनोदशा
cwuh	झटका
tloh	हालकाअतीतकाल
dlah	निश्चितलेख
cluh	कुरूप
myuh	हास्य
dyah	बाहरकाठोस
rwuh	ईर्ष्यालु
troh	फटकारकामनोदशा
dzih	उदासीनता
swuh	स्वीकृतमनोदशा
bzah	मज़ाक
gwih	यानी
dloh	अव्तनकाल
dweh	delimitativeपहलू
kweh	अनन्यव्यक्ति
truh	तापमान
tfeh	TELICपहलू
lyeh	atelicपहलू
ru	निषेधात्मकमनोदशा
kfih	बचकाना
cyoh	संदेहजनक
nluh	निष्ठा
cweh	फंदा
nwoh	एनिमेटेड
sruh	रोमांच
ksoh	यौन
lyah	आलसी
mreh	momentaneपहलू
pceh	खेदव्यक्तकिया
bjih	भूतपूर्वमृतक
pcuh	अनिश्चितता
xi	अभ्यस्तपहलू
blih	घिरा
tsuh	तुच्छ
fwih	आलीशान
grah	प्रशंसापूर्ण
brah	मनमाना
cleh	भलाईकरनेवाला
sreh	औपचारिकरजिस्टर
pfah	फायदेमंद
droh	श्रवणप्रत्यक्ष
flih	आनुमानिकप्रत्यक्ष
sweh	Sublativeमामला
ksuh	कथात्मकमनोदशा
pleh	विशेषाधिकारप्राप्त
psoh	अजेय
be	मौखिक
mwoh	मनकीलहर
kleh	wretchedness
glah	लालच
kseh	सकारात्मकमनोदशा
zrah	असंतोष
dyoh	idiophone
syoh	awed
gwah	अत्यधिकमामला
zlih	irrealisमनोदशा
zrih	शर्म
byih	अनुकूलन
ryeh	सर्वनामनिशान
fwah	मितव्ययी
bjah	उन्मादपूर्ण
kxah	समभाव
gvih	pegativeमामला
pxih	प्रमाण
xrah	अवसानहोरहाहै
tfoh	अबसेआगे
kxih	पछतावा
ryoh	prosecutiveमामला
qyah	अतिव्यस्तता
r6	कृदंत
txah	दूरस्थअतीतकाल
xrih	ऐतिहासिककाल
dxah	दोहरीसंख्या
syuh	सुपर
vweh	overworked
n6	ग्रहणशीलप्रत्यक्षमनोदशा
bweh	जुनून
xlih	उल्लसित
txih	आवेश
sluh	आत्मसंतुष्ट
txoh	प्रस्तावऊपरकीओर
xe	पूर्वप्रभावी
pxah	बहकाना
vwah	प्रस्तावउतार
xyih	अभिजातवर्ग
fleh	विभक्ति
psuh	superessiveमामला
syeh	ऐयाश
qi	सकर्मक
xruh	cower
zwah	वाह
tr6h	प्रस्तावupriver
qwah	unambitious
xlah	दुनियाभर
tyoh	अकर्मक
tluh	अवनति
qa	वर्तमानप्रासंगिकतानिशान
kxoh	कुत्तेथक
rwoh	क्रमवाचक
ve	वेक्टर
kyoh	किलो
swoh	क्रमबद्ध
pxeh	ज़ातीमामला
txeh	वृद्धिकरनेवाला
dxih	विधेय
pxoh	prolativeमामला
pfoh	समर्थकमुहावरा
blah	उबाहुआ
fyih	गैरमानव
xo	अभिनेताभूमिका
pc6h	परीक्षणसंख्या
greh	केंद्रीयमामला
groh	लक्ष्यट्रिगर
dxoh	मध्यआवाज़
rweh	परोक्षमामला
xwah	मरीजमामला
xu	पूर्वअव्तन
xroh	थकना
ks6h	प्रेरणाका
vi	द्विआधारीमूल्य
dleh	मोडलमामला
gjeh	किसीऔरयदि
xreh	साथकामकरनेवाला
lwoh	लोकैटिवमामला
ml6h	multalसंख्या
gjih	आकाशगंगालिंग
qlah	तारालिंग
bvih	abessiveमामला
dvah	adessiveमामला
je	agentiveमामला
t6	एजेंटट्रिगर
kxeh	कोमामला
gxih	सामान्यलिंग
tc6h	उद्धरणप्रपत्र
ts6h	ट्रांसअंक
ryuh	प्रत्यक्षवस्तु
gveh	ergativeमामला
pyoh	निष्क्रियआवाज़
qe	सीमितक्रिया
xwih	मुख्यवस्तु
myoh	सूक्तिकामनोदशा
vrih	अंतिमकण
va	evitativeमामला
bveh	subessiveमामला
dxeh	अधीनमामला
dvih	lativeमामला
tsa7h	antessiveमामला
dyeh	क्रिया-विशेषण-संबंधीमामला
mleh	चेतनलिंग
pfeh	empatheticहर्ष
xleh	वाहनलिंग
qlih	खनिजलिंग
xloh	मौखिकसंज्ञा
dreh	दूसराभाषा
bvah	स्वयंआत्मविश्वास
qrah	परिवर्तनकाघटना
fo	अलगघटना
sl6h	crastinalकाल
fyoh	कर्मकर्त्ताआवाज़
bxih	ब्रम्हांडलिंग
jlih	सकर्मकक्रिया
kyeh	इलाकेलिंग
txuh	अनुसंधानलिंग
s6	कलात्मकलिंग
preh	मरीजट्रिगर
sr6h	सारलिंग
nyoh	अप्रत्यक्षभाषण
zreh	exocentricमामला
kfeh	अतीतसाधक
jo	अवैयक्तिकक्रिया
kxuh	सामूहिकसंज्ञा
bu	absolutiveमामला
qrih	ग्रहोंलिंग
kfoh	कोरbenefactive
kwoh	जोड़नेवालामामला
pluh	अतिशयोक्तिमामला
jrah	बिजलीवर्तमान
glih	अचेतनलिंग
p6	propositiveमनोदशा
vrah	पारस्परिकआवाज़
lyuh	क्रमिकधारा
gleh	शीघ्रभविष्यकाल
lyoh	अनुप्रयोगीआवाज़
ps6h	antipassiveआवाज़
tfuh	सततपहलू
nr6h	necessitativeमनोदशा
pr6h	निष्क्रियकृदंत
sy6h	अस्तित्वधारा
qyih	प्रकाशयुक्ततीव्रता
gluh	singulativeसंख्या
kwuh	अत्यधिकअवधि
xyah	एककार्यक्रिया
vlih	अतिशयोक्तिउपाधि
djah	वर्तमानकृदंत
m6	रकमकापदार्थ
ti7	संयोजीकण
f6	epentheticशब्दकाभाग
tli7h	दूरस्थभविष्यकाल
si_	पूछेमामला
l6	व्याख्यानसमझौता
k6	किसीकार्यकीपुनरावृत्तिदिखानेवालापहलू
bzih	बांटनेवालासर्वनाम
tu7	चलबिन्दुसंख्या
vo	क्रिया-प्रत्यय
ki7	अतीतनिष्क्रियकृदंत
ta_	लोकैटिवदिशात्मकमामला
