hnit	főnéviigenév
hnak	alanyesetiügy
hkak	tárgyesetügy
htak	témaügy
hpap	apu
hmam	anya
hyat	szülői
hcan	Helló
hwik	vokativuszügy
hsuc	ős
htat	nagyszülő
hcac	éhes
hnik	birtokosügy
hcit	melléknév
hwan	és
hman	nekem
hnan	te
hwam	minket
htit	azt
htac	rendeltetésihelyügy
htik	részeshatározóügy
hyit	REALIShangulat
htim	deontichangulat
hcut	feltételeshangulat
hsit	episztemikushangulat
hyak	hangszeresügy
htan	belsőkontextus
hpan	személykontextus
htin	függetlenkikötés
hyan	függőkikötés
hfap	befejezettvonatkozás
hkat	múltfeszült
hnin	férfiasnem
hmak	comitativeügy
hnat	ajándékfeszült
hpak	benefactiveügy
swik	essiveügy
htut	tagadókvantor
hsan	felületkontextus
hpin	adpositionalügy
hwin	elhelyezkedésügy
hkan	helykontextus
hnac	útügy
hyut	kérdőhangulat
hnam	ésvagy
hkit	kizárólagosvagy
hsuk	forrásügy
hpik	ablativusügy
hcat	közelség
hmat	meggyőző
hkuk	kikötésfarok
hlan	de
hsut	minden
hyin	egyetemeskvantor
hcin	nőiesnem
hpac	többesszámszám
hyik	egy
htic	azok
hkik	ki
tcat	jövőfeszült
hsin	társadalmikontextus
hkac	amikor
hmip	folyamatosvonatkozás
klan	ott
hlak	relatívügy
hlik	illativusügy
htam	irányelvhangulat
hlat	választásikvantor
hkam	mit
hwat	kérdésszó
htap	kapcsolószó
hpat	személy
nyan	férfi
hkas	tudott
tcan	más
hnuc	szám
twit	tolakodókvantor
hsak	időkontextus
htuk	időbeliügy
htun	csak
htum	buzdítóhangulat
hyip	visszatekintővonatkozás
hlit	volitivehangulat
pcic	kell
tyut	kettő
hsat	lát
hkut	tud
hcic	le-
hcap	után
hpam	első
hlac	elidegeníthetőbirtoklás
hkap	soha
hnic	elidegeníthetetlenbirtoklás
tyat	régi
tcit	tanácskozóhangulat
tcin	nap
hlam	jön
hwak	magánhangzó
hkin	megy
lwak	perlativeügy
hpip	haladóvonatkozás
lyan	hosszú
hsac	mondjuk
kyan	hogyan
htas	újra
hsic	itt
hcik	gondol
hcak	alattkontextus
hfan	megtalált
hsun	kéz
hyac	is
nwan	fiatal
tyit	ellen
tlan	Isten
twak	delativeügy
hmin	semmi
hyas	egyszer
hlap	semelfactivevonatkozás
kcac	balra
hyic	fűrész
hcas	ház
hwac	világ
tyin	három
hnun	neo
hcuk	fókusz
pyan	szerelem
hsis	mindig
hyam	éjszaka
hyap	király
hkic	között
hmas	elme
cyit	szív
pluc	paucalszám
kyik	mert
ksak	okozatiügy
tcun	Kész
hnim	név
tsan	megfelelőfőnév
klac	ország
hpun	kérdezte
cyat	láthatóbizonyítékonalapuló
pcac	jobb
hmac	pillanat
hnas	nemtud
hwic	víz
twim	desiderativehangulat
kwan	fény
tlat	szó
tyan	ajtó
hsas	reggel
syat	amíg
twik	terminativeügy
hpit	fehér
pcan	pénz
hyis	szegény
mwan	halál
hfam	forma
nwik	inessivusiügy
kcat	együtt
tsac	gyakran
pyat	barát
psan	fél
hpim	parancsolóhangulat
hyuc	kerek
hfat	küldött
hcis	feleség
kcan	hisz
hsik	nyilvános
htus	államikontextus
hpas	fiú
clat	gyermekek
tyak	ésígy
cwan	remény
syin	kedves
hkuc	magas
tyac	olvas
syit	város
hlic	már
hfit	factivebizonyítékonalapuló
tcac	lány
hcun	hall
ksan	legkevésbé
hyaf	talán
kyat	valóban
tcic	test
hwit	visszatérés
cwat	levegő
hfaf	törvény
hput	Segítség
lyat	levél
ksas	négy
hpic	óhajtóhangulat
hfuk	Tűz
hcam	óra
twat	háború
kyak	számos
tlit	második
pcin	mögött
hmut	Elvesztett
clan	ezer
hfac	család
twan	lélek
hwas	kérdés
syan	igazság
htis	gyártás
tsat	potenciálishangulat
lwik	allativeügy
nyin	antropikusnem
hfak	öt
tcak	azonostantárgyjelző
htuc	különbözőtantárgy
hnap	válasz
hmit	tenger
hcuc	félelem
pcat	megért
syas	feltételek
hcaf	kétség
twut	dubitativehangulat
hkis	fekete
tlak	hoz
hyus	szép
nyit	fajta
htip	tíz
ksis	sztori
hpuk	könyv
hlin	elektronikus
hkun	számla
lyas	kamat
lyit	ír
pwat	ágy
hnis	kor
hnut	alternatívfeltételes
slas	művészet
hwis	VIALISügy
pyak	testvér
lyin	vonal
tyas	táblázat
hyun	folyó
kyac	szem
tfan	hirtelen
kcin	mély
hmuc	cél
cyac	vér
hmap	rózsa
tlin	hideg
hyif	előre
tyam	késő
hnaf	tegyükfel
hkip	közel
myan	enyém
tsin	tudás
hkup	másolat
hsam	férj
hlis	hat
cwit	élő
cyan	béke
myat	emlékezik
tyic	természetes
hfut	esik
swas	szolgáltatás
hsap	kivéve
pcit	szerzőijog
hyim	hadsereg
kyas	ló
plic	jövő
pcak	nyugati
hpis	fizetés
hyuk	piros
hwun	arany
twin	vágy
plan	játék
hpus	hivatal
syun	kormány
kyic	templom
htaf	erő
hlun	hossz
kyin	vállalat
kyis	papír
mlan	valószínűség
hcim	különösen
cyas	viseli
twac	ablak
nyat	szépség
hcus	utóbbi
htup	vám
htif	távolság
pyas	láb
hlas	vad
ksin	zöld
hmaf	baj
myac	mosoly
hsim	alvás
kyit	idézett
kwik	quotativeügy
fwan	látogatás
slan	kövesse
psit	jelenlét
hmic	édes
hmuf	száj
hfin	gazdag
tcam	ellenség
psuk	törött
kcap	hajó
pwan	befogadószemély
hfic	befolyás
tcuc	megjelenik
hkim	titok
pyin	kérem
pwit	precativehangulat
pyit	udvariasnyilvántartás
cwak	gonosz
myak	március
tcas	helyek
hlaf	marad
psat	helyette
nlan	kék
psac	lehetetlen
kcuk	iskola
kcit	házas
kcak	élelmiszer
syis	húsz
tlac	csendes
hcip	leendővonatkozás
kwin	így
tsit	megállt
pyac	nyelv
hsus	hét
hcup	terem
cyap	csoda
tfin	született
fyat	bíróság
hnip	gnómikusvonatkozás
tsak	tisztelet
tlas	érdemes
syuc	fa
plat	fal
cyak	menny
twip	kezdetivonatkozás
mlat	parancs
swit	jussivehangulat
mwas	hónap
hwaf	tökéletes
tyap	tapasztalat
ksac	körülmények
syac	friss
hnuk	herceg
kwak	fedett
tyuk	keleti
pwac	kő
hkif	nemes
nyac	irány
cyis	szék
tyuc	várakozás
tsun	falu
tyik	egyetért
hnum	megengedőhangulat
slak	siker
tsic	megpróbálja
slat	hegy
hmik	zene
hkus	kiáltás
hsip	hét
hpaf	magán
nwas	hírek
tfac	színhely
fyan	kert
cwas	kezdődik
hfik	elosztóügy
lyac	tanul
syik	politikai
clin	Henrik
cyin	fekszik
tsas	öntvény
cyik	hatóság
tlap	padló
cyam	nyár
tcut	vallás
tcap	menekülni
hlut	szerző
pyun	barna
tcuk	fájdalom
swan	tavaszi
hmun	puha
kyun	sarok
nyak	védjegy
tsis	igazságszolgáltatás
psas	gyárt
cyaf	nevetés
hwut	elfelejt
hyup	Európa
hwap	nyolc
psak	elhaladó
kyap	szörnyű
pyic	kívánt
hmim	közepes
hsaf	lehelet
hmis	bölcs
hsum	birtokosjelző
ksat	kellemes
ksit	sír
tsap	sziget
kyam	tábor
tcum	érintés
cyun	szerencse
psic	part
tyun	domain
mwit	commissivehangulat
tlut	fokozat
myit	téli
kfan	magatartás
slac	futás
myin	perc
tyip	vezet
klas	üveg
pfat	tábla
cyic	hiú
swam	ügyek
syam	biztonságos
tsut	orvos
hlip	kiegészítővonatkozás
kcas	sötétség
nyun	meleg
hpuc	ital
tlam	példa
hfun	harag
tsik	ellenére
tsam	közvetlenül
hmup	kalap
klak	kutya
slin	ezüst
swac	szolgáló
kcam	büszkeség
pyik	vonat
myut	erkölcsi
syak	belép
swat	kard
kyuk	támadás
clac	Egészség
tyaf	bekezdés
swic	társadalmi
tfit	visszatérítés
hkaf	hivatalos
pcas	pillantás
nyam	dicsőség
tfat	tizenkét
pcut	elkötelezett
pwin	bor
mwat	íz
fyac	Vas
syap	terjesztheti
myap	kereskedelmi
hyum	segítségével
fwak	bíró
klat	kapitány
twap	megszűnésvonatkozás
kcic	kíváncsi
kwic	külföldi
hnif	erősítő
myun	fontosság
tlic	végül
cyuk	nyak
syut	szabadság
pfan	fél
kyuc	száraz
pcap	félre
tfak	bizonyítékonalapuló
tcik	bizonyítékonalapulóügy
twun	távoli
tyis	Haladás
nyap	keskeny
plit	épület
hpif	oldal
pwic	holding
syic	szomorú
tsip	bűn
syim	beteg
tcis	becsületes
pcun	bank
ksap	elfogad
lyam	folyam
tcaf	gondosan
kwac	fül
hpup	kenyér
kcut	választ
nwam	állat
hsup	zoicnem
nwit	eventivehangulat
tcim	azonoseseményjelző
tlik	multiplikatívügy
kyus	kereszt
hmus	vastag
kfat	merészel
nwat	nő
myic	eső
hpum	felület
swut	szent
clis	július
mwun	divat
hfas	akta
cwac	váll
kwat	kényelem
nwac	bárki
tcip	kívánatos
kfac	fű
hmuk	húz
plin	nyílás
kwun	június
mlik	hal
klin	főváros
pfut	mell
twam	követelés
fyin	költség
nlit	atiéd
mlin	millió
pyut	imádkozik
hluk	fáradt
ksut	megöl
cyut	árnyék
psin	súly
kcis	szürke
pyam	bátor
mwac	elégedett
klam	sokatmondó
ksam	nemzeti
hfip	gyenge
klik	völgy
hkum	spekulatívhangulat
clas	sárga
cyuc	hőség
mlac	maradványok
syip	egyaránt
pwak	doboz
tcif	hegyes
psip	alapelv
ksik	következmény
tsim	évad
flan	tudomány
pcam	látszólag
kcun	furat
ksuk	nagybácsi
mlit	lista
pcik	veszélyes
kwas	augusztus
hluc	népszerű
klit	ismeretlen
flak	ismerős
fyit	ismerősnyilvántartás
lwat	olvasó
plun	gyalogló
twas	kétszer
pcis	pap
fyas	sebesült
nlat	palota
myuk	bolond
pfak	kedvez
tcuf	kilenc
cwap	együttérzés
plac	robbanás
pyap	elhelyezés
lyic	öltözött
hcum	zaj
lwit	irodalom
tsuk	rang
hfup	vihar
kcik	zseb-
nwap	november
tyim	december
psaf	távollét
nlac	népesség
kyaf	köszönet
slis	sorozat
pyaf	madár
mlak	tulajdonos
kwut	kabát
hwuc	kapcsolatok
pyis	gyorsan
twuc	füst
nwak	január
mlic	gép
tlis	fogak
ksun	égő
clam	szégyen
klaf	minőség
clit	gyűrű
fyak	kifejezés
fyam	kifejezésjelző
kwap	négyzet
hwip	vasárnap
psis	költészet
pwut	eleve
kyim	vétel
clic	mezők
pyip	április
kfap	október
psut	tárgyak
kcuc	keserű
nlap	rabszolga
hsok	laza
htet	szöveg
hbat	legrosszabb
hrit	hitel
hzit	jellemzők
hpet	tizenöt
krac	kegyetlen
hduc	por
hrik	gyakorlati
hron	szín
hnus	orr
hric	barátságos
srik	kínálat
hten	tegnap
tlet	hesternalfeszült
slap	nemsikerül
hban	viselet
hdat	vak
fran	légy
hdan	ördög
htec	fokozatosan
hmon	misszió
cran	áldozat
hran	lelkiismeret
hmos	miniszter
nrit	energia
hcet	gyűlölet
hset	központ
hrin	racionálisnem
hcot	élvez
hrip	rövid
htep	imádat
hcif	bőr
hrat	tető
kran	korona
hkon	kastély
tran	kétségbeesés
hmif	mérföld
trin	kör
hgin	börtön
hkop	csésze
hcen	tag
swin	civil
hrac	mindenhol
hris	szokás
hbin	egyre
hmot	hús
hdut	tej
hwen	növényinem
nran	ritka
hbac	unokatestvér
crut	híd
hsoc	Készlet
hsom	só
nris	ártatlan
hbit	elkerül
crin	csodálat
rwin	királynő
hgut	számol
hdas	tánc
hnot	szálloda
hdin	tölt
hton	Rab
hdak	üzlet
hlet	lépcsők
