ni	főnéviigenév
na	alanyesetiügy
ka	tárgyesetügy
ta	témaügy
ca	Helló
wu	vokativuszügy
kcah	éhes
ti	birtokosügy
ci	melléknév
wa	és
mi	nekem
sa	te
nyah	minket
ya	azt
ma	rendeltetésihelyügy
yi	részeshatározóügy
li	REALIShangulat
tu	deontichangulat
cu	feltételeshangulat
si	episztemikushangulat
yu	hangszeresügy
nu	belsőkontextus
pa	személykontextus
tyah	függetlenkikötés
la	függőkikötés
fa	befejezettvonatkozás
ki	múltfeszült
ne	férfiasnem
mwah	comitativeügy
ra	ajándékfeszült
pwah	benefactiveügy
swih	essiveügy
no	tagadókvantor
pi	felületkontextus
da	adpositionalügy
te	elhelyezkedésügy
to	helykontextus
ga	útügy
ri	kérdőhangulat
ba	ésvagy
ku	kizárólagosvagy
so	forrásügy
pwih	ablativusügy
ksah	közelség
tsah	meggyőző
ko	kikötésfarok
pyah	de
wi	egyetemeskvantor
ji	nőiesnem
pu	többesszámszám
bi	jövőfeszült
co	társadalmikontextus
me	folyamatosvonatkozás
klah	ott
twah	relatívügy
twih	illativusügy
di	irányelvhangulat
tlah	választásikvantor
kyah	mit
tcah	kérdésszó
ja	kapcsolószó
cyah	személy
clah	más
do	szám
tlih	tolakodókvantor
se	időkontextus
myah	időbeliügy
tyuh	csak
tcih	buzdítóhangulat
tyih	visszatekintővonatkozás
lo	volitivehangulat
cwah	után
nlah	elidegeníthetőbirtoklás
nlih	elidegeníthetetlenbirtoklás
cyih	tanácskozóhangulat
lwah	perlativeügy
pfih	haladóvonatkozás
tsih	itt
ce	alattkontextus
pcah	is
lwih	delativeügy
swah	semelfactivevonatkozás
nyih	neo
fu	fókusz
plah	szerelem
po	paucalszám
kyih	mert
ksih	okozatiügy
gi	név
tfah	megfelelőfőnév
crih	láthatóbizonyítékonalapuló
kceh	jobb
dwih	desiderativehangulat
wo	szó
srah	amíg
tweh	terminativeügy
nwih	inessivusiügy
pcih	parancsolóhangulat
crah	hisz
ro	államikontextus
cwih	remény
kwih	factivebizonyítékonalapuló
fi	visszatérés
psih	óhajtóhangulat
tseh	potenciálishangulat
lweh	allativeügy
nrih	antropikusnem
tceh	azonostantárgyjelző
re	különbözőtantárgy
croh	félelem
mrah	megért
cyuh	kétség
twuh	dubitativehangulat
myih	szép
lyih	kamat
flah	alternatívfeltételes
we	VIALISügy
clih	hideg
pyih	béke
su	kivéve
kwah	vágy
le	hossz
bo	valószínűség
mlah	baj
syah	mosoly
slih	alvás
zi	idézett
twoh	quotativeügy
mo	befogadószemély
kcih	kérem
rwih	precativehangulat
mrih	udvariasnyilvántartás
rwah	leendővonatkozás
cyeh	csoda
go	gnómikusvonatkozás
tsoh	tisztelet
za	kezdetivonatkozás
jwih	jussivehangulat
mwih	megengedőhangulat
sloh	siker
prih	magán
de	elosztóügy
tcoh	fájdalom
ryah	nevetés
mlih	bölcs
ye	birtokosjelző
ke	commissivehangulat
creh	hiú
mweh	kiegészítővonatkozás
nrah	meleg
nroh	harag
bwah	ellenére
trah	büszkeség
mroh	erkölcsi
slah	Egészség
syih	társadalmi
pe	megszűnésvonatkozás
krih	kíváncsi
tfih	erősítő
fe	végül
prah	félre
trih	bizonyítékonalapuló
