hnit	infinitif
hnak	nominatifkasus
hkak	akusatifkasus
htak	temakasus
hpap	ayah
hmam	mama
hyat	orangtua
hcan	Halo
hwik	bentukpenyerukasus
hsuc	leluhur
htat	eyang
hcac	lapar
hnik	genitifkasus
hcit	katasifat
hwan	dan
hman	saya
hnan	kamu
hwam	kami
htit	sayat
htac	tujuankasus
htik	datifkasus
hyit	realissuasanahati
htim	deontissuasanahati
hcut	bersyaratsuasanahati
hsit	epistemiksuasanahati
hyak	instrumentalkasus
htan	pedalamankonteks
hpan	orangkonteks
htin	klausaindependen
hyan	tergantungayat
hfap	perfektifaspek
hkat	lalutegang
hnin	maskulinjeniskelamin
hmak	komitatifkasus
hnat	menyajikantegang
hpak	benefaktifkasus
swik	essivekasus
htut	ygmenolakpembilang
hsan	permukaankonteks
hpin	adpositionalkasus
hwin	tempatkasus
hkan	ruangkonteks
hnac	carakasus
hyut	interogatifsuasanahati
hnam	danatau
hkit	eksklusif-atau
hsuk	sumberkasus
hpik	ablatifkasus
hcat	kedekatan
hmat	demonstratif
hkuk	klausul-ekor
hlan	tapi
hsut	semua
hyin	universalpembilang
hcin	wanitajeniskelamin
hpac	jamakjumlah
hyik	satu
htic	mereka
hkik	siapa
tcat	masadepantegang
hsin	sosialkonteks
hkac	kapan
hmip	tdksempurnaaspek
klan	sana
hlak	relatifkasus
hlik	terakhirkasus
htam	direktifsuasanahati
hlat	fakultatifpembilang
hkam	apa
hwat	pertanyaankata
htap	katakerjapenghubung
hpat	orang
nyan	pria
hkas	bisa
tcan	lain
hnuc	jumlah
twit	tegaspembilang
hsak	waktukonteks
htuk	sementarakasus
htun	hanya
htum	ygmenegursuasanahati
hyip	retrospektifaspek
hlit	volitivesuasanahati
pcic	harus
tyut	dua
hsat	melihat
hkut	tahu
hcic	turun
hcap	setelah
hpam	pertama
hlac	alienablemilik
hkap	takpernah
hnic	tidakdapatdicabutmilik
tyat	tua
tcit	konsultatifsuasanahati
tcin	hari
hlam	datang
hwak	vokal
hkin	pergi
lwak	perlativekasus
hpip	progresifaspek
lyan	panjang
hsac	mengatakan
kyan	bagaimana
htas	lagi
hsic	sini
hcik	berpikir
hcak	dibawahkonteks
hfan	ditemukan
hsun	tangan
hyac	juga
nwan	muda
tyit	terhadap
tlan	Allah
twak	delativekasus
hmin	tidakada
hyas	sekali
hlap	semelfactiveaspek
kcac	kiri
hyic	gergaji
hcas	rumah
hwac	dunia
tyin	tiga
hnun	neo
hcuk	fokus
pyan	cinta
hsis	selalu
hyam	malam
hyap	raja
hkic	antara
hmas	pikiran
cyit	jantung
pluc	paucaljumlah
kyik	karena
ksak	kausalkasus
tcun	matang
hnim	nama
tsan	tepatkatabenda
klac	negara
hpun	tanya
cyat	terlihatygberdasarataskenyataan
pcac	lebihbaik
hmac	saat
hnas	tidakbisa
hwic	air
twim	Desiderativesuasanahati
kwan	cahaya
tlat	kata
tyan	pintu
hsas	pagi
syat	sampai
twik	terminativekasus
hpit	putih
pcan	uang
hyis	miskin
mwan	kematian
hfam	untukm
nwik	inessivekasus
kcat	bersama
tsac	sering
pyat	teman
psan	setengah
hpim	sangatpentingsuasanahati
hyuc	bulat
hfat	mengirim
hcis	istri
kcan	percaya
hsik	publik
htus	negarakonteks
hpas	putra
clat	anak-anak
tyak	demikian
cwan	berharap
syin	sayang
hkuc	tinggi
tyac	Bacabaca
syit	kota
hlic	sudah
hfit	faktifygberdasarataskenyataan
tcac	gadis
hcun	mendengar
ksan	palingsedikit
hyaf	mungkin
kyat	memang
tcic	tubuh
hwit	kembali
cwat	udara
hfaf	hukum
hput	membantu
lyat	surat
ksas	empat
hpic	optatifsuasanahati
hfuk	api
hcam	jam
twat	perang
kyak	beberapa
tlit	kedua
pcin	dibelakang
hmut	kalah
clan	ribu
hfac	keluarga
twan	jiwa
hwas	pertanyaan
syan	kebenaran
htis	penyusunan
tsat	potensisuasanahati
lwik	allativekasus
nyin	antropikjeniskelamin
hfak	lima
tcak	samasubyekpenanda
htuc	berbedasubyek
hnap	menjawab
hmit	laut
hcuc	takut
pcat	memahami
syas	hal
hcaf	keraguan
twut	dubitativesuasanahati
hkis	hitam
tlak	membawa
hyus	indah
nyit	menyortir
htip	sepuluh
ksis	cerita
hpuk	Book
hlin	elektronik
hkun	rekening
lyas	bunga
lyit	menulis
pwat	tempattidur
hnis	usia
hnut	kontrafaktabersyarat
slas	seni
hwis	vialiskasus
pyak	saudara
lyin	garis
tyas	meja
hyun	sungai
kyac	mata
tfan	mendadak
kcin	dalam
hmuc	tujuan
cyac	darah
hmap	mawar
tlin	dingin
hyif	meneruskan
tyam	terlambat
hnaf	mengira
