ni	infinitif
na	nominatifkasus
ka	akusatifkasus
ta	temakasus
ca	Halo
wu	bentukpenyerukasus
kcah	lapar
ti	genitifkasus
ci	katasifat
wa	dan
mi	saya
sa	kamu
nyah	kami
ya	sayat
ma	tujuankasus
yi	datifkasus
li	realissuasanahati
tu	deontissuasanahati
cu	bersyaratsuasanahati
si	epistemiksuasanahati
yu	instrumentalkasus
nu	pedalamankonteks
pa	orangkonteks
tyah	klausaindependen
la	tergantungayat
fa	perfektifaspek
ki	lalutegang
ne	maskulinjeniskelamin
mwah	komitatifkasus
ra	menyajikantegang
pwah	benefaktifkasus
swih	essivekasus
no	ygmenolakpembilang
pi	permukaankonteks
da	adpositionalkasus
te	tempatkasus
to	ruangkonteks
ga	carakasus
ri	interogatifsuasanahati
ba	danatau
ku	eksklusif-atau
so	sumberkasus
pwih	ablatifkasus
ksah	kedekatan
tsah	demonstratif
ko	klausul-ekor
pyah	tapi
wi	universalpembilang
ji	wanitajeniskelamin
pu	jamakjumlah
bi	masadepantegang
co	sosialkonteks
me	tdksempurnaaspek
klah	sana
twah	relatifkasus
twih	terakhirkasus
di	direktifsuasanahati
tlah	fakultatifpembilang
kyah	apa
tcah	pertanyaankata
ja	katakerjapenghubung
cyah	orang
clah	lain
do	jumlah
tlih	tegaspembilang
se	waktukonteks
myah	sementarakasus
tyuh	hanya
tcih	ygmenegursuasanahati
tyih	retrospektifaspek
lo	volitivesuasanahati
cwah	setelah
nlah	alienablemilik
nlih	tidakdapatdicabutmilik
cyih	konsultatifsuasanahati
lwah	perlativekasus
pfih	progresifaspek
tsih	sini
ce	dibawahkonteks
pcah	juga
lwih	delativekasus
swah	semelfactiveaspek
nyih	neo
fu	fokus
plah	cinta
po	paucaljumlah
kyih	karena
ksih	kausalkasus
gi	nama
tfah	tepatkatabenda
crih	terlihatygberdasarataskenyataan
kceh	lebihbaik
dwih	Desiderativesuasanahati
wo	kata
srah	sampai
tweh	terminativekasus
nwih	inessivekasus
pcih	sangatpentingsuasanahati
crah	percaya
ro	negarakonteks
cwih	berharap
kwih	faktifygberdasarataskenyataan
fi	kembali
psih	optatifsuasanahati
tseh	potensisuasanahati
lweh	allativekasus
nrih	antropikjeniskelamin
tceh	samasubyekpenanda
re	berbedasubyek
croh	takut
mrah	memahami
cyuh	keraguan
twuh	dubitativesuasanahati
myih	indah
lyih	bunga
flah	kontrafaktabersyarat
we	vialiskasus
clih	dingin
pyih	perdamaian
su	kecuali
kwah	keinginan
le	panjangnya
bo	kemungkinan
mlah	kesulitan
syah	tersenyum
slih	tidur
zi	dikutip
twoh	quotativekasus
mo	inklusiforang
kcih	silahkan
rwih	precativesuasanahati
mrih	sopandaftar
rwah	bakalaspek
cyeh	heran
go	ygbersifatperibahasaaspek
tsoh	menghormati
za	inkoatifaspek
jwih	jussivesuasanahati
mwih	serbamembolehkansuasanahati
sloh	keberhasilan
prih	pribadi
de	distributifkasus
tcoh	rasasakit
ryah	tertawa
mlih	bijaksana
ye	posesifpenanda
ke	komisifsuasanahati
creh	sia-sia
mweh	ygmengakhiriaspek
nrah	hangat
nroh	marah
bwah	dengki
trah	kebanggaan
mroh	moral
slah	kesehatan
syih	sosial
pe	penghentianaspek
krih	ingintahu
tfih	intensifier
fe	akhirnya
prah	kesamping
trih	ygberdasarataskenyataan
nwah	ygberdasarataskenyataankasus
srih	sedih
zo	Zoicjeniskelamin
nweh	eventifsuasanahati
cwoh	samaperistiwapenanda
plih	perkaliankasus
dwah	diinginkan
kcoh	lelah
drah	puas
lu	spekulatifsuasanahati
frih	akrabdaftar
frah	luka
mruh	menipu
djih	simpati
krah	terima
cruh	malu
fyah	frasapenanda
ryih	ditakdirkan
kruh	pahit
tyeh	teks
kreh	kejam
tleh	hesternaltegang
kfah	mengorbankan
dyih	benci
cloh	rasionaljeniskelamin
nloh	menikmati
psah	putusasa
