hnit	infinitive
hnak	nominativeikpe
hkak	nnaraikpe
htak	isiokwuikpe
hpap	papa
hmam	mama
hyat	nnenanna
hcan	Nnọọ
hwik	vocativeikpe
hsuc	ndinnanna
htat	nnenannaochie
hcac	agụụna-agụ
hnik	genitiveikpe
hcit	adjective
hwan	na
hman	m
hnan	ị
hwam	anyị
htit	ọ
htac	ebeikpe
htik	dativeikpe
hyit	realisnaọnọdụ
htim	deonticnaọnọdụ
hcut	nhaziọnọdụ
hsit	epistemicnaọnọdụ
hyak	instrumentalikpe
htan	n&#39;imeimeonodu
hpan	onyeonodu
htin	nọọrọonwehankebiahiri
hyan	daberenkebiahiri
hfap	perfectiveakụkụ
hkat	egosiihegaraaga
hnin	nwoke
hmak	comitativeikpe
hnat	na-egosiihe
hpak	benefactiveikpe
swik	essiveikpe
htut	negatoryquantifier
hsan	eluonodu
hpin	adpositionalikpe
hwin	ebeikpe
hkan	ohereonodu
hnac	ụzọikpe
hyut	interrogativenaọnọdụ
hnam	namaọbụ
hkit	nanịmaọ
hsuk	isiiyiikpe
hpik	ablativeikpe
hcat	mbọhọ
hmat	demonstrative
hkuk	nkebiahiriọdụ
hlan	ma
hsut	niile
hyin	eluigwenaalaquantifier
hcin	n&#39;udinwunye
hpac	idiotutunọmba
hyik	otu
htic	ha
hkik	onye
tcat	odin&#39;iru
hsin	-elekọtammadụna-ekwu
hkac	mgbeole
hmip	imperfectiveakụkụ
klan	Ebeahụ
hlak	elativeikpe
hlik	illativeikpe
htam	ntụziakanaọnọdụ
hlat	electivequantifier
hkam	Kedu
hwat	ajụjụokwu
htap	copula
hpat	onye
nyan	nwoke
hkas	nwereike
tcan	ọzọ
hnuc	ọnụọgụgụ
twit	oluikequantifier
hsak	ogeonodu
htuk	temporalikpe
htun	naanị
htum	hortativenaọnọdụ
hyip	retrospectiveakụkụ
hlit	volitivenaọnọdụ
pcic	ga
tyut	abụọ
hsat	-ahụ
hkut	mara
hcic	ala
hcap	mgbe
hpam	mbụ
hlac	alienableonwunwe
hkap	mgbe
hnic	inalienableonwunwe
tyat	ochie
tcit	deliberativenaọnọdụ
tcin	ụbọchị
hlam	-abịa
hwak	udaume
hkin	-aga
lwak	perlativeikpe
hpip	-agan&#39;ihuakụkụ
lyan	ogologo
hsac	-ekwu
