ni	infinitive
na	nominativeikpe
ka	nnaraikpe
ta	isiokwuikpe
ca	Nnọọ
wu	vocativeikpe
kcah	agụụna-agụ
ti	genitiveikpe
ci	adjective
wa	na
mi	m
sa	ị
nyah	anyị
ya	ọ
ma	ebeikpe
yi	dativeikpe
li	realisnaọnọdụ
tu	deonticnaọnọdụ
cu	nhaziọnọdụ
si	epistemicnaọnọdụ
yu	instrumentalikpe
nu	n&#39;imeimeonodu
pa	onyeonodu
tyah	nọọrọonwehankebiahiri
la	daberenkebiahiri
fa	perfectiveakụkụ
ki	egosiihegaraaga
ne	nwoke
mwah	comitativeikpe
ra	na-egosiihe
pwah	benefactiveikpe
swih	essiveikpe
no	negatoryquantifier
pi	eluonodu
da	adpositionalikpe
te	ebeikpe
to	ohereonodu
ga	ụzọikpe
ri	interrogativenaọnọdụ
ba	namaọbụ
ku	nanịmaọ
so	isiiyiikpe
pwih	ablativeikpe
ksah	mbọhọ
tsah	demonstrative
ko	nkebiahiriọdụ
pyah	ma
wi	eluigwenaalaquantifier
ji	n&#39;udinwunye
pu	idiotutunọmba
bi	odin&#39;iru
co	-elekọtammadụna-ekwu
me	imperfectiveakụkụ
klah	Ebeahụ
twah	elativeikpe
twih	illativeikpe
di	ntụziakanaọnọdụ
tlah	electivequantifier
kyah	Kedu
tcah	ajụjụokwu
ja	copula
cyah	onye
clah	ọzọ
do	ọnụọgụgụ
tlih	oluikequantifier
se	ogeonodu
myah	temporalikpe
tyuh	naanị
tcih	hortativenaọnọdụ
tyih	retrospectiveakụkụ
lo	volitivenaọnọdụ
cwah	mgbe
nlah	alienableonwunwe
nlih	inalienableonwunwe
cyih	deliberativenaọnọdụ
lwah	perlativeikpe
pfih	-agan&#39;ihuakụkụ
tsih	Ebea
ce	n&#39;okpuruonodu
pcah	na-
lwih	delativeikpe
swah	semelfactiveakụkụ
nyih	neo
fu	-elekwasịanya
plah	n&#39;anya
po	paucalnọmba
kyih	n&#39;ihina
ksih	causalikpe
gi	aha
tfah	kwesịrịekwesịnoun
crih	anyaiheàmàna-
kceh	mma
dwih	desiderativenaọnọdụ
wo	okwu
srah	ruomgbe
tweh	terminativeikpe
nwih	inessiveikpe
pcih	dikwaokemkpanaọnọdụ
crah	kwere
ro	alaonodu
cwih	olileanya
kwih	factiveiheàmàna-
fi	nloghachi
psih	optativenaọnọdụ
tseh	nwereọnọdụ
lweh	allativeikpe
nrih	anthropicokike
tceh	N&#39;otuisiokwuwelara
re	dịicheicheisiokwu
croh	egwu
mrah	-aghọta
cyuh	Obiabụọ
twuh	dubitativenaọnọdụ
myih	maramma
lyih	mmasị
flah	counterfactualkeonodu
we	vialisikpe
clih	oyi
pyih	udo
su	maewezụga
kwah	ọchịchọ
le	ogologo
bo	ihegbasarankepuru
mlah	nsogbu
syah	ọnụọchị
slih	ụra
zi	undefined
twoh	quotativeikpe
mo	yanaidobeokirikirionye
kcih	Biko
rwih	precativenaọnọdụ
mrih	Jirinkwanyeùgwùaha
rwah	gajeịbụakụkụ
cyeh	-eche
go	gnomicakụkụ
tsoh	akwanyere
za	inchoativeakụkụ
jwih	jussivenaọnọdụ
mwih	masịrịọnọdụ
sloh	ịgankeọma
prih	onwe
de	distributiveikpe
tcoh	mgbu
ryah	ochi
mlih	amamihe
ye	possessivewelara
ke	commissivenaọnọdụ
creh	n&#39;efu
mweh	completiveakụkụ
nrah	-ekpoọkụ
nroh	iwe
bwah	n&#39;agbanyeghị
trah	nganga
mroh	omume
slah	ahụike
syih	-elekọtammadụ
pe	cessativeakụkụ
krih	ọchịchọịmata
tfih	intensifier
fe	n&#39;ikpeazụ
prah	wezugaonwe-
trih	iheàmàna-
nwah	iheàmànaikpe
srih	mwute
zo	zoicokike
nweh	eventivenaọnọdụ
cwoh	otuiheomumewelara
plih	multiplicativeikpe
dwah	chọrọ
kcoh	ikegwụrụ
drah	afọojuju
lu	adanaọnọdụ
frih	maaraaha
frah	merụọ
mruh	ghọgbuo
djih	Obiebere
krah	na-ekele
cruh	ihere
fyah	nkebiokwuwelara
ryih	undefined
kruh	ilu
tyeh	ederede
kreh	obiọjọọ
tleh	hesternaln&#39;ụdịna-egosi
kfah	àjà
dyih	asì
cloh	òokike
nloh	enwe
psah	nkoropụ
sleh	vegetalokike
nruh	-emeghịiheọjọọ
drih	mmasi
sroh	mgbaghara
brih	isi
kluh	ndutịme
bwih	benedictivenaọnọdụ
klih	ikpemara
grih	-amaghịatụmatụ
nyeh	igbaikpe
nleh	umealan&#39;obi
dlih	egbuogeokémkpa
proh	kọrọiheàmàna-
mloh	melancholy
du	erikwa
jrih	ndidi
freh	referential
kloh	owuna-ama
kroh	amara
tcuh	ịnụọkụn&#39;obi
kcuh	inductivenaọnọdụ
xa	okwuonodu
nreh	ụjọ
pseh	akụkụ
ge	gịn&#39;ụlọnga
mu	admonitivenaọnọdụ
byah	ambition
pcoh	mmadụjupụtara
treh	kpọmkwemiheàmàna-
yo	ụjọnaọnọdụ
cwuh	ujo
tloh	-adịbeghịanyaegosiihegaraaga
dlah	kpọmkwem
cluh	jọrọnjọ
myuh	ọchị
dyah	distaldemonstrative
rwuh	ekworo
troh	imprecativenaọnọdụ
dzih	enweghịmmasị
swuh	assumptivenaọnọdụ
bzah	ọchị,
gwih	yabụ
dloh	hodiernaln&#39;ụdịna-egosi
dweh	delimitativeakụkụ
kweh	nanịmmadụ
truh	okpomọkụ
tfeh	telicakụkụ
lyeh	atelicakụkụ
ru	prohibitivenaọnọdụ
kfih	iheụmụaka
cyoh	-enyoanyịenyo
nluh	iguzosiiken&#39;ihe
cweh	ọnyà
nwoh	animated
sruh	obiụtọ
ksoh	mmekọahụ
lyah	umengwụ
mreh	momentaneakụkụ
pceh	undefined
bjih	mbụnwụrụanwụ
pcuh	ejighịihen&#39;aka
xi	ejikarịkwaakụkụ
blih	bounded
tsuh	-adịchaghịmkpa
fwih	ebube
grah	undefined
brah	akaike
cleh	undefined
sreh	iwuaha
pfah	barauru
droh	auditoryiheàmàna-
flih	inferentialiheàmàna-
sweh	sublativeikpe
