ni	infinito
na	nominativocaso
ka	accusativocaso
ta	argomentocaso
ca	Ciao
wu	vocativocaso
kcah	Affamato
ti	genitivocaso
ci	aggettivo
wa	e
mi	me
sa	tu
nyah	noi
ya	esso
ma	destinazionecaso
yi	dativocaso
li	Realisumore
tu	deonticaumore
cu	condizionaleumore
si	epistemicaumore
yu	strumentalecaso
nu	internocontesto
pa	personacontesto
tyah	Clausolaindipendente
la	dipendenteclausola
fa	perfectiveaspetto
ki	passatoteso
ne	maschileGenere
mwah	comitativecaso
ra	presenteteso
pwah	benefactivecaso
swih	essivecaso
no	negatoryquantificatore
pi	superficiecontesto
da	adpositionalcaso
te	luogocaso
to	spaziocontesto
ga	modocaso
ri	interrogativoumore
ba	eo
ku	esclusivo-o
so	fontecaso
pwih	ablativocaso
ksah	prossimità
tsah	espansivo
ko	Clausola-coda
pyah	ma
wi	universalequantificatore
ji	femminileGenere
pu	pluralenumero
bi	futuroteso
co	socialecontesto
me	imperfectiveaspetto
klah	Là
twah	parentecaso
twih	illativecaso
di	direttivaumore
tlah	elettivoquantificatore
kyah	checosa
tcah	domandaparola
ja	copula
cyah	persona
clah	altro
do	numero
tlih	assertivoquantificatore
se	tempocontesto
myah	temporalecaso
tyuh	solo
tcih	hortativeumore
tyih	retrospettivaaspetto
lo	volitivaumore
cwah	aseguitodi
nlah	alienabilepossesso
nlih	inalienabilepossesso
cyih	deliberativoumore
lwah	perlativecaso
pfih	progressivoaspetto
tsih	Qui
ce	sottocontesto
pcah	anche
lwih	delativecaso
swah	semelfactiveaspetto
nyih	neo
fu	messaafuoco
plah	amore
po	paucalnumero
kyih	perché
ksih	causalecaso
gi	nome
tfah	correttosostantivo
crih	visibileprobatorio
kceh	meglio
dwih	desiderativoumore
wo	parola
srah	finquando
tweh	terminativecaso
nwih	inessivecaso
pcih	imperativoumore
crah	credere
ro	statocontesto
cwih	speranza
kwih	Factiveprobatorio
fi	ritorno
psih	ottativoumore
tseh	potenzialeumore
lweh	allativocaso
nrih	antropicoGenere
tceh	stessosoggettomarcatore
re	diversosoggetto
croh	lapaura
mrah	capire
cyuh	dubbio
twuh	dubitativaumore
myih	bellissimo
lyih	interesse
flah	controfattualecondizionale
we	Vialiscaso
clih	freddo
pyih	pace
su	tranne
kwah	desiderio
le	lunghezza
bo	probabilità
mlah	problemi
syah	sorriso
slih	dormire
zi	citato
twoh	quotativecaso
mo	inclusivopersona
kcih	perfavore
