hnit	infinito
hnak	nominativocaso
hkak	accusativocaso
htak	argomentocaso
hpap	padre
hmam	mamma
hyat	parentale
hcan	Ciao
hwik	vocativocaso
hsuc	antenato
htat	nonno
hcac	Affamato
hnik	genitivocaso
hcit	aggettivo
hwan	e
hman	me
hnan	tu
hwam	noi
htit	esso
htac	destinazionecaso
htik	dativocaso
hyit	Realisumore
htim	deonticaumore
hcut	condizionaleumore
hsit	epistemicaumore
hyak	strumentalecaso
htan	internocontesto
hpan	personacontesto
htin	Clausolaindipendente
hyan	dipendenteclausola
hfap	perfectiveaspetto
hkat	passatoteso
hnin	maschileGenere
hmak	comitativecaso
hnat	presenteteso
hpak	benefactivecaso
swik	essivecaso
htut	negatoryquantificatore
hsan	superficiecontesto
hpin	adpositionalcaso
hwin	luogocaso
hkan	spaziocontesto
hnac	modocaso
hyut	interrogativoumore
hnam	eo
hkit	esclusivo-o
hsuk	fontecaso
hpik	ablativocaso
hcat	prossimità
hmat	espansivo
hkuk	Clausola-coda
hlan	ma
hsut	tutti
hyin	universalequantificatore
hcin	femminileGenere
hpac	pluralenumero
hyik	uno
htic	iloro
hkik	chi
tcat	futuroteso
hsin	socialecontesto
hkac	quando
hmip	imperfectiveaspetto
klan	Là
hlak	parentecaso
hlik	illativecaso
htam	direttivaumore
hlat	elettivoquantificatore
hkam	checosa
hwat	domandaparola
htap	copula
hpat	persona
nyan	maschio
hkas	poteva
tcan	altro
hnuc	numero
twit	assertivoquantificatore
hsak	tempocontesto
htuk	temporalecaso
htun	solo
htum	hortativeumore
hyip	retrospettivaaspetto
hlit	volitivaumore
pcic	deve
tyut	due
hsat	vedere
hkut	sapere
hcic	fuoriuso
hcap	aseguitodi
hpam	primo
hlac	alienabilepossesso
hkap	mai
hnic	inalienabilepossesso
tyat	vecchio
tcit	deliberativoumore
tcin	giorno
hlam	venga
hwak	vocale
hkin	partire
lwak	perlativecaso
hpip	progressivoaspetto
lyan	lungo
hsac	dire
kyan	Come
htas	ancora
hsic	Qui
hcik	pensare
hcak	sottocontesto
hfan	trovato
hsun	mano
hyac	anche
nwan	giovane
tyit	contro
tlan	Dio
twak	delativecaso
hmin	Niente
hyas	unavolta
hlap	semelfactiveaspetto
kcac	sinistra
hyic	sega
hcas	casa
hwac	mondo
tyin	tre
hnun	neo
hcuk	messaafuoco
pyan	amore
hsis	sempre
hyam	notte
hyap	re
hkic	fra
hmas	mente
cyit	cuore
pluc	paucalnumero
kyik	perché
ksak	causalecaso
tcun	fatto
hnim	nome
tsan	correttosostantivo
klac	nazione
hpun	chiesto
cyat	visibileprobatorio
pcac	meglio
hmac	momento
hnas	nonpuò
hwic	acqua
twim	desiderativoumore
kwan	leggero
tlat	parola
tyan	porta
hsas	mattina
syat	finquando
twik	terminativecaso
hpit	bianco
pcan	isoldi
hyis	povero
mwan	morte
hfam	forma
nwik	inessivecaso
kcat	insieme
tsac	difrequente
pyat	amico
psan	metà
hpim	imperativoumore
hyuc	tondo
hfat	inviato
hcis	moglie
kcan	credere
hsik	pubblico
htus	statocontesto
hpas	figlio
clat	bambini
tyak	così
cwan	speranza
syin	caro
hkuc	alto
tyac	leggere
syit	città
hlic	già
hfit	Factiveprobatorio
tcac	ragazza
hcun	sentire
ksan	meno
hyaf	forse
kyat	infatti
tcic	corpo
hwit	ritorno
cwat	aria
hfaf	legge
hput	Aiuto
lyat	lettera
ksas	quattro
hpic	ottativoumore
hfuk	fuoco
hcam	ora
twat	guerra
kyak	parecchi
tlit	secondo
pcin	allespalle
hmut	perso
clan	mille
hfac	famiglia
twan	anima
hwas	domanda
syan	verità
htis	fabbricazione
tsat	potenzialeumore
lwik	allativocaso
nyin	antropicoGenere
hfak	cinque
tcak	stessosoggettomarcatore
htuc	diversosoggetto
hnap	risposta
hmit	mare
hcuc	lapaura
pcat	capire
syas	condizioni
hcaf	dubbio
twut	dubitativaumore
hkis	nero
tlak	portare
hyus	bellissimo
nyit	ordinare
htip	dieci
ksis	storia
hpuk	libro
hlin	elettronico
hkun	conto
lyas	interesse
lyit	scrivere
pwat	letto
hnis	età
hnut	controfattualecondizionale
slas	arte
hwis	Vialiscaso
pyak	fratello
lyin	linea
tyas	tavola
hyun	fiume
kyac	occhio
tfan	aduntratto
kcin	inprofondità
hmuc	scopo
cyac	sangue
hmap	rosa
tlin	freddo
hyif	inoltrare
tyam	inritardo
hnaf	supporre
hkip	quasi
myan	ilmio
tsin	conoscenza
hkup	copia
hsam	marito
hlis	sei
cwit	vita
cyan	pace
myat	ricorda
tyic	naturale
hfut	cadere
swas	servizio
hsap	tranne
pcit	dirittod'autore
hyim	esercito
kyas	cavallo
plic	futuro
pcak	ovest
hpis	paga
hyuk	rosso
hwun	oro
twin	desiderio
plan	giocare
hpus	ufficio
syun	governo
kyic	chiesa
