hnit	不定詞
hnak	主格場合
hkak	対格場合
htak	トピック場合
hpap	パパ
hmam	ママ
hyat	親の
hcan	こんにちは
hwik	呼格場合
hsuc	祖先
htat	祖父母
hcac	飢えました
hnik	属格場合
hcit	形容詞
hwan	そして
hman	私に
hnan	君は
hwam	米国
htit	それ
htac	先場合
htik	与格場合
hyit	現実相気分
htim	義務に関する気分
hcut	条件付きの気分
hsit	知識の気分
hyak	インストルメンタル場合
htan	インテリアコンテキスト
hpan	人コンテキスト
htin	独立節
hyan	依存句
hfap	完了形アスペクト
hkat	過去時制
hnin	男性性別
hmak	随格場合
hnat	現在時制
hpak	受益者格場合
swik	様格場合
htut	否定的な量記号
hsan	表面コンテキスト
hpin	adpositional場合
hwin	ロケーション場合
hkan	スペースコンテキスト
hnac	方法場合
hyut	疑問詞気分
hnam	そしてまたは
hkit	排他的または
hsuk	ソース場合
hpik	アブレーション場合
hcat	近接
hmat	例証的な
hkuk	句尾
hlan	だけど
hsut	すべて
hyin	ユニバーサル量記号
hcin	フェミニン性別
hpac	複数数
hyik	1
htic	彼らの
hkik	誰
tcat	未来時制
hsin	ソーシャルコンテキスト
hkac	いつ
hmip	未然アスペクト
klan	そこ
hlak	相対場合
hlik	入格の場合
htam	指令気分
hlat	選択科目量記号
hkam	何
hwat	質問単語
htap	コピュラ
hpat	人
nyan	男性
hkas	可能性
tcan	他の
hnuc	数
twit	断定的な量記号
hsak	時間コンテキスト
htuk	一時的な場合
htun	のみ
htum	勧告的な気分
hyip	回顧展アスペクト
hlit	意志による気分
pcic	しなければなりません
tyut	二
hsat	見る
hkut	知っています
hcic	ダウン
hcap	after
hpam	最初
hlac	譲渡可能な所持
hkap	決して
hnic	譲渡できません所持
tyat	古い
tcit	審議気分
tcin	日
hlam	来ます
hwak	母音
hkin	行きます
lwak	perlative場合
hpip	プログレッシブアスペクト
lyan	長いです
hsac	いう
kyan	どうやって
htas	再び
hsic	ここに
hcik	考えます
hcak	下コンテキスト
hfan	発見
hsun	ハンド
hyac	また
nwan	若い
tyit	に対して
tlan	神
twak	降格場合
hmin	何も
hyas	かつて
hlap	semelfactiveアスペクト
kcac	左
hyic	見た
hcas	家
hwac	世界
tyin	三
hnun	ネオ
hcuk	フォーカス
pyan	愛
hsis	常に
hyam	夜
hyap	キング
hkic	の間に
hmas	マインド
cyit	ハート
pluc	paucal数
kyik	なぜなら
ksak	原因となります場合
tcun	終わりました
hnim	名
tsan	適切な名詞
klac	国
hpun	尋ね
cyat	目に見えます証拠の
pcac	より良い
hmac	瞬間
hnas	できません
hwic	水
twim	願望気分
kwan	光
tlat	単語
tyan	ドア
hsas	朝
syat	まで
twik	終止的な場合
hpit	白
pcan	お金
hyis	貧しいです
mwan	死
hfam	形
nwik	内格場合
kcat	一緒に
tsac	しばしば
pyat	友人
psan	ハーフ
hpim	命令気分
hyuc	円形
hfat	送信
hcis	妻
kcan	信じます
hsik	パブリック
htus	状態コンテキスト
hpas	息子
clat	子供
tyak	このようにして
cwan	希望
syin	親愛な
hkuc	高い
tyac	読む
syit	シティ
hlic	既に
hfit	叙実証拠の
tcac	女の子
hcun	聞く
ksan	最低
hyaf	たぶん
kyat	確かに
tcic	体
hwit	リターン
cwat	空気
hfaf	法律
hput	助けて
lyat	文字
ksas	4つの
hpic	願望法気分
hfuk	火災
hcam	時間
twat	戦争
kyak	いくつかの
tlit	二番
pcin	後ろに
hmut	失われました
clan	千
hfac	家族
twan	魂
hwas	質問
syan	真実
htis	メイキング
tsat	潜在的な気分
lwik	向格場合
nyin	人類の性別
hfak	五
tcak	同じテーママーカー
htuc	異なりますテーマ
hnap	回答
hmit	海
hcuc	恐れ
pcat	わかる
syas	条項
hcaf	疑問に思う
twut	探るような気分
hkis	黒
tlak	持って来ます
hyus	綺麗な
nyit	ソート
htip	十
ksis	ストーリー
hpuk	本
hlin	エレクトロニック
hkun	アカウント
lyas	関心
lyit	書きます
pwat	ベッド
hnis	年齢
hnut	事実に反します条件付きの
slas	アート
hwis	vialis場合
pyak	兄
lyin	ライン
tyas	表
hyun	川
kyac	眼
tfan	突然
kcin	深い
hmuc	目的
cyac	血液
hmap	ローズ
tlin	コー​​ルド
hyif	フォワード
tyam	遅く
hnaf	仮定する
hkip	ほぼ
myan	鉱山
tsin	知識
hkup	コピー
hsam	夫
hlis	6
cwit	生活
cyan	平和
myat	覚えています
tyic	ナチュラル
hfut	秋
swas	サービス
hsap	除きます
pcit	著作権
hyim	軍
kyas	うま
plic	未来
pcak	西
hpis	支払う
hyuk	赤
hwun	ゴールド
twin	欲望
plan	遊びます
hpus	オフィス
syun	政府
kyic	教会
htaf	力
hlun	長さ
kyin	会社
kyis	紙
mlan	確率
hcim	特に
cyas	くま
twac	窓
nyat	美しさ
hcus	後者
htup	義務
htif	距離
pyas	足
hlas	野生
ksin	緑
hmaf	トラブル
myac	笑顔
hsim	睡眠
kyit	引用符で囲まれました
kwik	引用癖のあります場合
fwan	訪問
slan	続きます
psit	プレゼンス
hmic	甘い
hmuf	口
hfin	リッチ
tcam	敵
psuk	壊れた
kcap	船
pwan	包括的な人
hfic	影響
tcuc	現れる
hkim	秘密
pyin	お願いします
pwit	嘆願の気分
pyit	丁寧登録
cwak	悪の
myak	行進
tcas	場所
hlaf	滞在
psat	代わりに
nlan	青
psac	不可能
kcuk	学校
kcit	既婚
kcak	フード
syis	20
tlac	静か
hcip	プロスペクティブアスペクト
kwin	与え
tsit	停止
pyac	言語
hsus	週間
hcup	ホール
cyap	ワンダー
tfin	うまれた
fyat	裁判所
hnip	格言家のアスペクト
tsak	尊敬
tlas	価値
syuc	木
plat	壁
cyak	天国
twip	起動相アスペクト
mlat	コマンド
swit	短形気分
mwas	月
hwaf	パーフェクト
tyap	経験
ksac	状況
syac	新鮮な
hnuk	公爵
kwak	覆われました
tyuk	東
pwac	石
hkif	ノーブル
nyac	方向
cyis	椅子
tyuc	待っています
tsun	村
tyik	同意します
hnum	寛大な気分
slak	成功
tsic	しよう
slat	丘
hmik	音楽
hkus	泣く
hsip	セブン
hpaf	プライベート
nwas	ニュース
tfac	シーン
fyan	庭園
cwas	ベギン
hfik	分配の場合
lyac	学びます
syik	政治的
clin	ヘンリー
cyin	うそ
tsas	キャスト
cyik	権限
tlap	床
cyam	夏
tcut	宗教
tcap	エスケープ
hlut	著者
pyun	褐色
tcuk	痛み
swan	春
hmun	柔らかい
kyun	コー​​ナー
nyak	商標
tsis	正義
psas	作物
cyaf	笑い
hwut	忘れる
hyup	ヨーロッパ
hwap	8
psak	通過
kyap	ひどいです
pyic	必須
hmim	ミディアム
hsaf	息
hmis	賢いです
hsum	所有格マーカー
ksat	楽しいです
ksit	墓
tsap	島
kyam	キャンプ
tcum	タッチ
cyun	幸運
psic	海岸
tyun	ドメイン
mwit	約束型気分
tlut	度
myit	冬
kfan	行動
slac	ランニング
myin	分
tyip	鉛
klas	ガラス
pfat	ボード
cyic	無駄な
swam	業務
syam	安全
tsut	医師
hlip	完了相アスペクト
kcas	闇
nyun	暖かいです
hpuc	ドリンク
tlam	例
hfun	怒り
tsik	にもかかわらず
tsam	直接
hmup	帽子
klak	犬
slin	銀
swac	サーバント
kcam	誇り
pyik	列車
myut	道徳
syak	入る
swat	剣
kyuk	攻撃
clac	健康
tyaf	段落
swic	ソーシャル
tfit	払い戻し
hkaf	公式
pcas	一目
nyam	栄光
tfat	12
pcut	従事して
pwin	ワイン
mwat	味
fyac	鉄
syap	分配します
myap	トレード
hyum	使用して
fwak	裁判官
klat	キャプテン
twap	停止アスペクト
kcic	好奇心の強いです
kwic	外国の
hnif	増圧器
myun	重要性
tlic	最後に
cyuk	ネック
syut	自由
pfan	側面
kyuc	ドライ
pcap	余談
tfak	証拠の
tcik	証拠の場合
twun	遠く
tyis	進捗
nyap	狭い
plit	建物
hpif	ページ
pwic	ホールディング
syic	悲しい
tsip	罪
syim	病気
tcis	正直な
pcun	バンク
ksap	受け入れます
lyam	ストリーム
tcaf	慎重に
kwac	耳
hpup	パン
kcut	選択します
nwam	動物
hsup	安息香性別
nwit	事象語気分
tcim	同じイベントマーカー
tlik	乗法場合
kyus	クロス
hmus	厚いです
kfat	挑戦
nwat	成長します
myic	雨
hpum	表面
swut	聖なる
clis	7月
mwun	ファッション
hfas	ファイル
cwac	ショルダー
kwat	快適さ
nwac	誰でも
tcip	希望
kfac	草
hmuk	ドロー
plin	オープニング
kwun	六月
mlik	魚
klin	資本
pfut	乳
twam	請求
fyin	費用
nlit	あなたのもの
mlin	百万
pyut	祈る
hluk	疲れました
ksut	殺します
cyut	影
psin	重量
kcis	グレー
pyam	勇敢な
mwac	満足
klam	伝えます
ksam	国民
hfip	弱い
klik	谷
hkum	投機的な気分
clas	黄
cyuc	熱
mlac	遺跡
syip	同様に
pwak	ボックス
tcif	尖った
psip	原理
ksik	結果
tsim	シーズン
flan	科学
pcam	明らかに
kcun	ボア
ksuk	叔父
mlit	リスト
pcik	危険な
kwas	8月
hluc	人気のあります
klit	未知の
flak	おなじみの
fyit	おなじみの登録
lwat	リーダー
plun	ウォーキング
twas	2回
pcis	祭司
fyas	負傷者
nlat	宮殿
myuk	だまします
pfak	賛成
tcuf	9
cwap	同情
plac	バースト
pyap	パッティング
lyic	服装
hcum	ノイズ
lwit	文献
tsuk	ランク
hfup	嵐
kcik	ポケット
nwap	11月
tyim	12月
psaf	不在
nlac	人口
kyaf	感謝
slis	シリーズ
pyaf	鳥
mlak	オーナー
kwut	コー​​ト
hwuc	関係
pyis	急速に
twuc	煙
nwak	1月
mlic	機械
tlis	ティース
ksun	燃焼
clam	恥
klaf	品質
clit	リング
fyak	フレーズ
fyam	フレーズマーカー
kwap	平方
hwip	日曜日
psis	詩
pwut	preordained
kyim	購入
clic	フィールド
pyip	4月
kfap	10月
psut	オブジェクト
kcuc	苦い
nlap	スレーブ
hsok	緩いです
htet	テキスト
hbat	最悪
hrit	クレジット
hzit	特徴
hpet	15
krac	残酷な
hduc	ほこり
hrik	実用的
hron	色
hnus	鼻
hric	優しいです
srik	供給
hten	昨日
tlet	hesternal時制
slap	失敗します
hban	着る
hdat	ブラインド
fran	飛ぶ
hdan	悪魔
htec	徐々に
hmon	ミッション
cran	犠牲
hran	良心
hmos	大臣
nrit	エネルギー
hcet	嫌い
hset	センター
hrin	ラショナル性別
hcot	楽しみます
hrip	簡潔な
htep	崇拝
hcif	肌
hrat	ルーフ
kran	クラウン
hkon	城
tran	絶望
hmif	マイル
trin	サークル
hgin	刑務所
hkop	カップ
hcen	メンバー
swin	市民の
hrac	どこにでも
hris	カスタム
hbin	なってきて
hmot	お肉
hdut	ミルク
hwen	植物性の性別
nran	レア
hbac	いとこ
crut	ブリッジ
hsoc	株式
hsom	塩
nris	無邪気な
hbit	避ける
crin	感嘆
rwin	女王
hgut	カウント
hdas	ダンス
hnot	ホテル
hdin	埋めます
hton	囚人
hdak	ショップ
hlet	階段
hson	恩赦
hgek	ゲイ
hras	砂
hsep	9月
hbic	破滅
hlen	ライセンス
hcon	十分に
hgit	証人
kfon	キッチン
hbak	売る
tlim	治療
hsot	速度
kyut	コンピューター
hnen	永遠の
htek	ライブラリ
hzan	含みます
hbis	ベース
hbun	混乱
kcus	クック
hgat	砂漠
hwus	キッス
hbif	氷
hbot	玉
hrut	引数
hdit	祝祷気分
hdis	罪を犯しました
hjan	罰
plis	警察
hgan	隠す
hsen	遠征
nrin	無知な
hyen	雲
frif	2月
hdik	疾患
hnek	イニシアチブ場合
hbam	叔母
hmen	謙虚な
hdip	遅延命令
prat	報告証拠の
hdet	真夜中
hjit	指
hmoc	どこか
pran	押す
kcec	領域
hken	最近
hloc	憂鬱
hrak	スタッフ
htes	視線
rwan	褒賞
hdon	寄付します
htot	額
hnet	天使
hdun	単数
croc	エラー
hlon	夜明け
hyec	羊
hjin	忍耐
hrec	参照の
mran	トウモロコシ
htos	多数
hcos	対策
hkoc	時折
hlif	利益
clak	シュガー
hjat	人類
tram	フレーム
hdic	ディスク
hkok	寂しい
srat	アーティスト
crak	チャーム
hmet	Eメール
hden	決定
gran	知事
crac	ブランチ
hjac	熱意
hdim	帰納気分
hcok	急ぎます
hyet	油
pwap	パイプ
trat	印刷
tcot	固形物
hdoc	ああ
hren	談話コンテキスト
tcon	正午
krin	キャビン
plam	警報
hnes	神経質な
tcen	観察
hsek	アスペクト
plik	適用されます
slik	シルク
hfen	セント
hgen	エージェント
hnon	連合
crik	地獄
tcet	不良品
mrat	ミックス
hdam	訓戒気分
hgac	野心
htoc	何とか
hdac	弁護士
nwin	憲法
srit	楽器
hret	しっかりと
nlin	オンライン
hzat	潮
klic	カレッジ
hkek	尾
nric	世代
hgic	混雑しました
hgak	ネコ
trit	直接証拠の
tyot	条約
hnok	コンテンツ
crit	放棄されました
slen	十一
srin	本能
hpok	部族
hyot	不安気分
cric	シェルター
hruc	無礼な
cwin	ライディング
hzak	振ります
dyit	産業
hpec	職業
nras	ナース
hcec	教え
hbut	靴
hmec	漠然としました
twot	アクティビティ
crat	土曜日
hkot	容量
hnec	日光
hwuf	寡婦
cren	小屋
nrat	星
hget	ゲスト
hbik	祝福します
brin	インナー
hpot	利用できます
trac	抵抗
prac	派生する
hcoc	ホロー
hpon	州
hwim	文明
