ni	不定詞
na	主格場合
ka	対格場合
ta	トピック場合
ca	こんにちは
wu	呼格場合
kcah	飢えました
ti	属格場合
ci	形容詞
wa	そして
mi	私に
sa	君は
nyah	米国
ya	それ
ma	先場合
yi	与格場合
li	現実相気分
tu	義務に関する気分
cu	条件付きの気分
si	知識の気分
yu	インストルメンタル場合
nu	インテリアコンテキスト
pa	人コンテキスト
tyah	独立節
la	依存句
fa	完了形アスペクト
ki	過去時制
ne	男性性別
mwah	随格場合
ra	現在時制
pwah	受益者格場合
swih	様格場合
no	否定的な量記号
pi	表面コンテキスト
da	adpositional場合
te	ロケーション場合
to	スペースコンテキスト
ga	方法場合
ri	疑問詞気分
ba	そしてまたは
ku	排他的または
so	ソース場合
pwih	アブレーション場合
ksah	近接
tsah	例証的な
ko	句尾
pyah	だけど
wi	ユニバーサル量記号
ji	フェミニン性別
pu	複数数
bi	未来時制
co	ソーシャルコンテキスト
me	未然アスペクト
klah	そこ
twah	相対場合
twih	入格の場合
di	指令気分
tlah	選択科目量記号
kyah	何
tcah	質問単語
ja	コピュラ
cyah	人
clah	他の
do	数
tlih	断定的な量記号
se	時間コンテキスト
myah	一時的な場合
tyuh	のみ
tcih	勧告的な気分
tyih	回顧展アスペクト
lo	意志による気分
cwah	after
nlah	譲渡可能な所持
nlih	譲渡できません所持
cyih	審議気分
lwah	perlative場合
pfih	プログレッシブアスペクト
tsih	ここに
ce	下コンテキスト
pcah	また
lwih	降格場合
swah	semelfactiveアスペクト
nyih	ネオ
fu	フォーカス
plah	愛
po	paucal数
kyih	なぜなら
ksih	原因となります場合
gi	名
tfah	適切な名詞
crih	目に見えます証拠の
kceh	より良い
dwih	願望気分
wo	単語
srah	まで
tweh	終止的な場合
nwih	内格場合
pcih	命令気分
crah	信じます
ro	状態コンテキスト
cwih	希望
kwih	叙実証拠の
fi	リターン
psih	願望法気分
tseh	潜在的な気分
lweh	向格場合
nrih	人類の性別
tceh	同じテーママーカー
re	異なりますテーマ
croh	恐れ
mrah	わかる
cyuh	疑問に思う
twuh	探るような気分
myih	綺麗な
lyih	関心
flah	事実に反します条件付きの
we	vialis場合
clih	コー​​ルド
pyih	平和
su	除きます
kwah	欲望
le	長さ
bo	確率
mlah	トラブル
syah	笑顔
slih	睡眠
zi	引用符で囲まれました
twoh	引用癖のあります場合
mo	包括的な人
kcih	お願いします
rwih	嘆願の気分
mrih	丁寧登録
rwah	プロスペクティブアスペクト
cyeh	ワンダー
go	格言家のアスペクト
tsoh	尊敬
za	起動相アスペクト
jwih	短形気分
mwih	寛大な気分
sloh	成功
prih	プライベート
de	分配の場合
tcoh	痛み
ryah	笑い
mlih	賢いです
ye	所有格マーカー
ke	約束型気分
creh	無駄な
mweh	完了相アスペクト
nrah	暖かいです
nroh	怒り
bwah	にもかかわらず
trah	誇り
mroh	道徳
slah	健康
syih	ソーシャル
pe	停止アスペクト
krih	好奇心の強いです
tfih	増圧器
fe	最後に
prah	余談
trih	証拠の
nwah	証拠の場合
srih	悲しい
zo	安息香性別
nweh	事象語気分
cwoh	同じイベントマーカー
plih	乗法場合
dwah	希望
kcoh	疲れました
drah	満足
lu	投機的な気分
frih	おなじみの登録
frah	負傷者
mruh	だまします
djih	同情
krah	感謝
cruh	恥
fyah	フレーズマーカー
ryih	preordained
kruh	苦い
tyeh	テキスト
kreh	残酷な
tleh	hesternal時制
kfah	犠牲
dyih	嫌い
cloh	ラショナル性別
nloh	楽しみます
psah	絶望
sleh	植物性の性別
nruh	無邪気な
drih	感嘆
sroh	恩赦
brih	ベース
kluh	混乱
bwih	祝祷気分
klih	罪を犯しました
grih	無知な
nyeh	イニシアチブ場合
nleh	謙虚な
dlih	遅延命令
proh	報告証拠の
mloh	憂鬱
du	単数
jrih	忍耐
freh	参照の
kloh	寂しい
kroh	チャーム
tcuh	熱意
kcuh	帰納気分
xa	談話コンテキスト
nreh	神経質な
pseh	アスペクト
ge	エージェント
mu	訓戒気分
byah	野心
pcoh	混雑しました
treh	直接証拠の
yo	不安気分
cwuh	ショック
tloh	最近過去時制
dlah	明確な記事
cluh	醜い
myuh	ユーモア
dyah	遠位例証的な
rwuh	嫉妬深いです
troh	のろいを表します気分
dzih	無関心
swuh	仮定の気分
bzah	冗談
gwih	すなわち
dloh	現在の時制
dweh	delimitativeアスペクト
kweh	排他的人
