hnit	Infinitive
hnak	nominativecilik
hkak	akusatifcilik
htak	topikcilik
hpap	bapak
hmam	ibu
hyat	Parental
hcan	hello
hwik	vocativecilik
hsuc	leluhur
htat	grandparent
hcac	luwe
hnik	genitifcilik
hcit	kata
hwan	lan
hman	kula
hnan	sampeyan
hwam	us
htit	iku
htac	panggonancilik
htik	datifcilik
hyit	nyataswasanaati
htim	deonticswasanaati
hcut	saratipunswasanaati
hsit	epistemicswasanaati
hyak	instrumentalcilik
htan	interiorcontext
hpan	wongcontext
htin	angger-anggersawijining
hyan	gumantungangger-angger
hfap	perfectiveaspek
hkat	kepungkurtegang
hnin	lananggender
hmak	comitativecilik
hnat	saikitegang
hpak	benefactivecilik
swik	essivecilik
htut	negatoryquantifier
hsan	lumahingcontext
hpin	adpositionalcilik
hwin	lokasicilik
hkan	papancontext
hnac	caracilik
hyut	interrogativeswasanaati
hnam	lanutawa
hkit	eksklusifutawa
hsuk	sumbercilik
hpik	gameluenganakocilik
hcat	jarak
hmat	demonstrative
hkuk	angger-anggerbuntut
hlan	nanging
hsut	kabeh
hyin	universalquantifier
hcin	feminingender
hpac	jamaknomer
hyik	siji
htic	sing
hkik	sing
tcat	mangsategang
hsin	sosialcontext
hkac	kapan
hmip	imperfectiveaspek
klan	ana
hlak	relatifcilik
hlik	illativecilik
htam	arahanswasanaati
hlat	pilihanquantifier
hkam	opo
hwat	pitakonantembung
htap	copula
hpat	wong
nyan	lanang
hkas	bisa
tcan	liyane
hnuc	nomer
twit	tegasquantifier
hsak	wektucontext
htuk	Temporalcilik
htun	mung
htum	hortativeswasanaati
hyip	retrospektifaspek
hlit	volitiveswasanaati
pcic	kudu
tyut	loro
hsat	ndeleng
hkut	ngerti
hcic	mudhun
hcap	sawise
hpam	pisanan
hlac	alienablemilik
hkap	tau
hnic	inalienablemilik
tyat	lawas
tcit	deliberativeswasanaati
tcin	dina
hlam	teka
hwak	aksara
hkin	pindhah
lwak	perlativecilik
hpip	majuaspek
lyan	long
hsac	ngomong
kyan	carane
htas	maneh
hsic	kene
hcik	mikir
hcak	ingcontext
hfan	ketemu
hsun	tangan
hyac	uga
nwan	enom
tyit	marang
tlan	Allah
twak	delativecilik
hmin	boten
hyas	sapisan
hlap	semelfactiveaspek
kcac	kiwa
hyic	saw
hcas	house
hwac	donya
tyin	telung
hnun	neo
hcuk	fokus
pyan	tresna
hsis	tansah
hyam	wengi
hyap	king
hkic	antarane
hmas	pikiran
cyit	jantung
pluc	paucalnomer
kyik	amarga
ksak	nyebabakecilik
tcun	rampung
hnim	jeneng
tsan	suwenetembung
klac	negara
hpun	takon
cyat	katonevidential
pcac	luwih
hmac	wayahe
hnas	orabisa
hwic	banyu
twim	desiderativeswasanaati
kwan	cahya
tlat	tembung
tyan	lawang
hsas	morning
syat	nganti
twik	terminativecilik
hpit	putih
pcan	dhuwit
hyis	miskin
mwan	pati
hfam	wangun
nwik	inessivecilik
kcat	bebarengan
tsac	asring
pyat	kanca
psan	setengah
hpim	utomoswasanaati
hyuc	babak
hfat	dikirim
hcis	bojo
kcan	pracaya
hsik	umum
htus	negaracontext
hpas	putra
clat	anak
tyak	mangkono
cwan	Mugi
syin	dear
hkuc	dhuwur
tyac	maca
syit	kutha
hlic	wis
hfit	factiveevidential
tcac	girl
hcun	krungu
ksan	paling
hyaf	mbokmenawa
kyat	tenan
tcic	awak
hwit	bali
cwat	air
hfaf	hukum
hput	bantuan
lyat	layang
ksas	papat
hpic	optativeswasanaati
hfuk	geni
hcam	jam
twat	perang
kyak	sawetara
tlit	kapindho
pcin	konco
hmut	ilang
clan	ewu
hfac	kulawarga
twan	nyawa
hwas	pitakonan
syan	bebener
htis	nggawe
tsat	potensialswasanaati
lwik	allativecilik
nyin	anthropicgender
hfak	limang
tcak	padhatundhukpanandha
htuc	bedatundhuk
hnap	jawaban
hmit	sea
hcuc	wedi
pcat	ngerti
syas	istilah
hcaf	mangu
twut	dubitativeswasanaati
hkis	ireng
tlak	nggawa
hyus	ayu
nyit	Urut
htip	sepuluh
ksis	crita
hpuk	buku
hlin	elektronik
hkun	akun
lyas	kapentingan
lyit	nulis
pwat	amben
hnis	umur
hnut	counterfactualsaratipun
slas	gambar
hwis	vialiscilik
pyak	cak
lyin	line
tyas	Tabel
hyun	kali
kyac	mripat
tfan	dumadakan
kcin	jero
hmuc	maksud
cyac	getih
hmap	wungu
tlin	kadhemen
hyif	nerusake
tyam	pungkasan
hnaf	Upaminipun
hkip	saklawasé
myan	mine
tsin	kawruh
hkup	salinan
hsam	bojomu
hlis	enem
cwit	urip
cyan	tentrem
myat	elinga
tyic	alam
hfut	tiba
swas	layanan
hsap	kajaba
pcit	hakcipta
hyim	tentara
kyas	jaran
plic	mangsa
pcak	kulon
hpis	mbayar
hyuk	abang
hwun	emas
twin	kepinginan
plan	muter
hpus	kantor
syun	pamaréntah
kyic	pasamuwan
htaf	kekuatan
hlun	dawa
kyin	perusahaan
kyis	kertas
mlan	kemungkinan
hcim	utamané
cyas	metokake
twac	jendhela
nyat	kaendahan
hcus	terakhir
htup	tugas
htif	kadohan
pyas	mlaku
hlas	alambébas
ksin	ijo
hmaf	alangan
myac	eseman
hsim	turu
kyit	dipetik
kwik	quotativecilik
fwan	riko
slan	tindakake
psit	ngarsane
hmic	manis
hmuf	tutuk
hfin	sugih
tcam	mungsuh
psuk	broken
kcap	kapal
pwan	klebuwong
hfic	pengaruh
tcuc	katon
hkim	rahasia
pyin	please
pwit	precativeswasanaati
pyit	sopanndhaftar
cwak	ala
myak	Maret
tcas	panggonan
hlaf	tetep
psat	tinimbang
nlan	biru
psac	mokal
kcuk	sekolah
kcit	nikah
