ni	Infinitive
na	nominativecilik
ka	akusatifcilik
ta	topikcilik
ca	hello
wu	vocativecilik
kcah	luwe
ti	genitifcilik
ci	kata
wa	lan
mi	kula
sa	sampeyan
nyah	us
ya	iku
ma	panggonancilik
yi	datifcilik
li	nyataswasanaati
tu	deonticswasanaati
cu	saratipunswasanaati
si	epistemicswasanaati
yu	instrumentalcilik
nu	interiorcontext
pa	wongcontext
tyah	angger-anggersawijining
la	gumantungangger-angger
fa	perfectiveaspek
ki	kepungkurtegang
ne	lananggender
mwah	comitativecilik
ra	saikitegang
pwah	benefactivecilik
swih	essivecilik
no	negatoryquantifier
pi	lumahingcontext
da	adpositionalcilik
te	lokasicilik
to	papancontext
ga	caracilik
ri	interrogativeswasanaati
ba	lanutawa
ku	eksklusifutawa
so	sumbercilik
pwih	gameluenganakocilik
ksah	jarak
tsah	demonstrative
ko	angger-anggerbuntut
pyah	nanging
wi	universalquantifier
ji	feminingender
pu	jamaknomer
bi	mangsategang
co	sosialcontext
me	imperfectiveaspek
klah	ana
twah	relatifcilik
twih	illativecilik
di	arahanswasanaati
tlah	pilihanquantifier
kyah	opo
tcah	pitakonantembung
ja	copula
cyah	wong
clah	liyane
do	nomer
tlih	tegasquantifier
se	wektucontext
myah	Temporalcilik
tyuh	mung
tcih	hortativeswasanaati
tyih	retrospektifaspek
lo	volitiveswasanaati
cwah	sawise
nlah	alienablemilik
nlih	inalienablemilik
cyih	deliberativeswasanaati
lwah	perlativecilik
pfih	majuaspek
tsih	kene
ce	ingcontext
pcah	uga
lwih	delativecilik
swah	semelfactiveaspek
nyih	neo
fu	fokus
plah	tresna
po	paucalnomer
kyih	amarga
ksih	nyebabakecilik
gi	jeneng
tfah	suwenetembung
crih	katonevidential
kceh	luwih
dwih	desiderativeswasanaati
wo	tembung
srah	nganti
tweh	terminativecilik
nwih	inessivecilik
pcih	utomoswasanaati
crah	pracaya
ro	negaracontext
cwih	Mugi
kwih	factiveevidential
fi	bali
psih	optativeswasanaati
tseh	potensialswasanaati
lweh	allativecilik
nrih	anthropicgender
tceh	padhatundhukpanandha
re	bedatundhuk
croh	wedi
mrah	ngerti
cyuh	mangu
twuh	dubitativeswasanaati
myih	ayu
lyih	kapentingan
flah	counterfactualsaratipun
we	vialiscilik
clih	kadhemen
pyih	tentrem
su	kajaba
kwah	kepinginan
le	dawa
bo	kemungkinan
mlah	alangan
syah	eseman
slih	turu
zi	dipetik
twoh	quotativecilik
mo	klebuwong
kcih	please
rwih	precativeswasanaati
mrih	sopanndhaftar
rwah	calonaspek
cyeh	wonder
go	gnomicaspek
tsoh	bab
za	inchoativeaspek
jwih	jussiveswasanaati
mwih	permissiveswasanaati
sloh	sukses
prih	pribadi
de	distributifcilik
tcoh	pain
ryah	ngguyu
mlih	wicaksana
ye	possessivepanandha
ke	commissiveswasanaati
creh	muspra
mweh	completiveaspek
nrah	anget
nroh	nesu
bwah	éwadéné
trah	bangga
mroh	moral
slah	kesehatan
syih	sosial
pe	mandhekaspek
krih	curious
tfih	Intensifier
fe	pungkasanipun
prah	aside
trih	evidential
nwah	evidentialcilik
srih	sad
zo	zoicgender
nweh	eventiveswasanaati
cwoh	padhaacarapanandha
plih	multiplicativecilik
dwah	dikarepake
kcoh	kesel
