hnit	Infinitive
hnak	სახელობითიშემთხვევაში
hkak	accusativeშემთხვევაში
htak	თემისშემთხვევაში
hpap	მამა
hmam	დედა
hyat	მშობელთა
hcan	მიესალმები
hwik	წოდებითიშემთხვევაში
hsuc	წინაპარი
htat	ბებია
hcac	მშიერი
hnik	ნათესაობითშემთხვევაში
hcit	ზედსართავისახელი
hwan	და
hman	მე
hnan	თქვენ
hwam	ჩვენ
htit	ის
htac	დანიშნულებისშემთხვევაში
htik	dativeშემთხვევაში
hyit	რეალურგანწყობა
htim	deonticგანწყობა
hcut	პირობითიგანწყობა
hsit	ეპისტემურიგანწყობა
hyak	ინსტრუმენტულიშემთხვევაში
htan	შინაგანსაქმეთაკონტექსტში
hpan	პირიკონტექსტში
htin	დამოუკიდებელიპუნქტი
hyan	დამოკიდებულიპუნქტი
hfap	სრულყოფილიასპექტი
hkat	ბოლოდაძაბული
hnin	მამაკაცურიგენდერული
hmak	comitativeშემთხვევაში
hnat	იმყოფებადაძაბული
hpak	benefactiveშემთხვევაში
swik	essiveშემთხვევაში
htut	negatoryკვანტიფიკატორი
hsan	ზედაპირზეკონტექსტში
hpin	adpositionalშემთხვევაში
hwin	ადგილმდებარეობაშემთხვევაში
hkan	სივრცეშიკონტექსტში
hnac	გზაშემთხვევაში
hyut	კითხვითიგანწყობა
hnam	დაან
hkit	ექსკლუზიურიან
hsuk	წყაროშემთხვევაში
hpik	ablativeშემთხვევაში
hcat	სიახლოვე
hmat	საჩვენებელი
hkuk	პუნქტიკუდი
hlan	მაგრამ
hsut	ყველა
hyin	უნივერსალურიკვანტიფიკატორი
hcin	ქალისგენდერული
hpac	მრავლობითინომერი
hyik	ერთ-ერთი
htic	მათი
hkik	რომელიც
tcat	მომავალიდაძაბული
hsin	სოციალურიკონტექსტში
hkac	როდესაც
hmip	imperfectiveასპექტი
klan	იქ
hlak	ნათესავიშემთხვევაში
hlik	illativeშემთხვევაში
htam	დირექტივაგანწყობა
hlat	არჩევითიკვანტიფიკატორი
hkam	რა
hwat	კითხვასიტყვა
htap	copula
hpat	პირი
nyan	მამრობითი
hkas	შეეძლო
tcan	სხვა
hnuc	ნომერი
twit	აგრესიულიკვანტიფიკატორი
hsak	დროკონტექსტში
htuk	დროებითიშემთხვევაში
htun	მხოლოდ
htum	hortativeგანწყობა
hyip	რეტროსპექტივაასპექტი
hlit	volitiveგანწყობა
pcic	უნდა
tyut	ორი
hsat	ვხედავ
hkut	ვიცი,
hcic	ქვემოთ
hcap	შემდეგ
hpam	პირველი
hlac	გადაეცემაბურთისფლობადაფიქსირდა
hkap	არასოდეს
hnic	განუყოფელიბურთისფლობადაფიქსირდა
tyat	ძველი
tcit	სათათბიროგანწყობა
tcin	დღეს
hlam	მოდის
hwak	ხმოვანთა
hkin	წასვლა
lwak	perlativeშემთხვევაში
hpip	პროგრესულიასპექტი
