ni	Infinitive
na	სახელობითიშემთხვევაში
ka	accusativeშემთხვევაში
ta	თემისშემთხვევაში
ca	მიესალმები
wu	წოდებითიშემთხვევაში
kcah	მშიერი
ti	ნათესაობითშემთხვევაში
ci	ზედსართავისახელი
wa	და
mi	მე
sa	თქვენ
nyah	ჩვენ
ya	ის
ma	დანიშნულებისშემთხვევაში
yi	dativeშემთხვევაში
li	რეალურგანწყობა
tu	deonticგანწყობა
cu	პირობითიგანწყობა
si	ეპისტემურიგანწყობა
yu	ინსტრუმენტულიშემთხვევაში
nu	შინაგანსაქმეთაკონტექსტში
pa	პირიკონტექსტში
tyah	დამოუკიდებელიპუნქტი
la	დამოკიდებულიპუნქტი
fa	სრულყოფილიასპექტი
ki	ბოლოდაძაბული
ne	მამაკაცურიგენდერული
mwah	comitativeშემთხვევაში
ra	იმყოფებადაძაბული
pwah	benefactiveშემთხვევაში
swih	essiveშემთხვევაში
no	negatoryკვანტიფიკატორი
pi	ზედაპირზეკონტექსტში
da	adpositionalშემთხვევაში
te	ადგილმდებარეობაშემთხვევაში
to	სივრცეშიკონტექსტში
ga	გზაშემთხვევაში
ri	კითხვითიგანწყობა
ba	დაან
ku	ექსკლუზიურიან
so	წყაროშემთხვევაში
pwih	ablativeშემთხვევაში
ksah	სიახლოვე
tsah	საჩვენებელი
ko	პუნქტიკუდი
pyah	მაგრამ
wi	უნივერსალურიკვანტიფიკატორი
ji	ქალისგენდერული
pu	მრავლობითინომერი
bi	მომავალიდაძაბული
co	სოციალურიკონტექსტში
me	imperfectiveასპექტი
klah	იქ
twah	ნათესავიშემთხვევაში
twih	illativeშემთხვევაში
di	დირექტივაგანწყობა
tlah	არჩევითიკვანტიფიკატორი
kyah	რა
tcah	კითხვასიტყვა
ja	copula
cyah	პირი
clah	სხვა
do	ნომერი
tlih	აგრესიულიკვანტიფიკატორი
se	დროკონტექსტში
myah	დროებითიშემთხვევაში
tyuh	მხოლოდ
tcih	hortativeგანწყობა
tyih	რეტროსპექტივაასპექტი
lo	volitiveგანწყობა
cwah	შემდეგ
nlah	გადაეცემაბურთისფლობადაფიქსირდა
nlih	განუყოფელიბურთისფლობადაფიქსირდა
cyih	სათათბიროგანწყობა
lwah	perlativeშემთხვევაში
pfih	პროგრესულიასპექტი
tsih	აქ
ce	ქვეშკონტექსტში
pcah	ასევე
lwih	delativeშემთხვევაში
swah	semelfactiveასპექტი
nyih	neo
fu	აქცენტი
plah	მიყვარს
po	paucalნომერი
kyih	იმიტომ,რომ
ksih	მიზეზობრივიშემთხვევაში
gi	სახელი
tfah	სათანადოარსებითისახელი
crih	ჩანსმტკიცებულების
kceh	უკეთესი
dwih	desiderativeგანწყობა
wo	სიტყვა
srah	სანამ
tweh	terminativeშემთხვევაში
nwih	inessiveშემთხვევაში
pcih	აუცილებელიაგანწყობა
crah	მჯერა,
ro	სახელმწიფოკონტექსტში
cwih	იმედიმაქვს,
kwih	factiveმტკიცებულების
fi	დაბრუნების
psih	optativeგანწყობა
tseh	პოტენციურიგანწყობა
lweh	allativeშემთხვევაში
nrih	anthropicგენდერული
tceh	იგივესათაურიmarker
re	სხვადასხვასათაური
croh	შიში
mrah	მესმის,
cyuh	ეჭვი
twuh	dubitativeგანწყობა
myih	ლამაზი
lyih	ინტერესი
flah	ჰიპოთეტურიპირობითი
we	vialisშემთხვევაში
clih	ცივი
pyih	მშვიდობა
su	გარდა
kwah	სურვილი
le	სიგრძე
bo	ალბათობა
mlah	პრობლემები
syah	ღიმილი
slih	ძილის
zi	ციტირებული
twoh	quotativeშემთხვევაში
mo	ინკლუზიურიპირი
kcih	გთხოვთ
rwih	precativeგანწყობა
mrih	თავაზიანირეგისტრაცია
rwah	პერსპექტიულიასპექტი
cyeh	საინტერესოა
go	gnomicასპექტი
tsoh	მიმართ
za	inchoativeასპექტი
jwih	jussiveგანწყობა
mwih	permissiveგანწყობა
sloh	წარმატება
prih	კერძო
de	გამანაწილებელშემთხვევაში
tcoh	ტკივილი
ryah	სიცილი
mlih	ბრძენი
ye	კუთვნილებითიmarker
ke	commissiveგანწყობა
creh	უშედეგოდ
mweh	completiveასპექტი
nrah	თბილი
nroh	აღშფოთება
bwah	მიუხედავად
trah	სიამაყე
mroh	მორალური
slah	ჯანმრთელობის
syih	სოციალური
pe	შეწყვეტისასპექტი
krih	საინტერესო
tfih	გამაძლიერებელი
fe	საბოლოოდ
prah	გარდა
trih	მტკიცებულების
nwah	მტკიცებულებისშემთხვევაში
srih	სამწუხარო
zo	zoicგენდერული
nweh	Eventiveსისტემისგანწყობა
cwoh	იგივეღონისძიებაmarker
plih	multiplicativeშემთხვევაში
dwah	სასურველი
kcoh	დაიღალა
drah	კმაყოფილი
lu	სპეკულაციაგანწყობა
frih	ნაცნობირეგისტრაცია
frah	დაიჭრა
mruh	სულელი
djih	თანაგრძნობა
krah	მადლობა
cruh	სირცხვილი
fyah	ფრაზაmarker
ryih	preordained
kruh	მწარე
tyeh	ტექსტი
kreh	სასტიკი
tleh	hesternalდაძაბული
kfah	მსხვერპლს
dyih	სიძულვილი
cloh	რაციონალურიგენდერული
nloh	სარგებლობენ
psah	სასოწარკვეთა
sleh	მცენარეულიგენდერული
nruh	innocent
drih	აღფრთოვანებული
sroh	შეწყალების
brih	ბაზა
kluh	დაბნეულობა
bwih	კურთხევადგანწყობა
klih	დამნაშავე
grih	ignorant
nyeh	ინიციატივაშემთხვევაში
nleh	თავმდაბალი
dlih	გადაიდოაუცილებელია
proh	ცნობითმტკიცებულების
mloh	სევდა
du	სინგულარული
jrih	მოთმინება
freh	რეფერენტული
kloh	lonely
kroh	ხიბლი
tcuh	ენთუზიაზმი
kcuh	ინდუქციურიგანწყობა
xa	დისკურსიკონტექსტში
nreh	ნერვული
pseh	ასპექტი
ge	აგენტი
mu	მითითებაგანწყობა
byah	ამბიცია
pcoh	ხალხმრავალ
treh	პირდაპირიმტკიცებულების
yo	apprehensiveგანწყობა
cwuh	შოკი
tloh	ბოლობოლოდაძაბული
dlah	გარკვეულისტატია
cluh	მახინჯი
myuh	იუმორი
dyah	დისტალურისაჩვენებელი
rwuh	ეჭვიანი
troh	imprecatoryგანწყობა
dzih	გულგრილობა
swuh	სავარაუდოგანწყობა
bzah	ხუმრობით
gwih	კერძოდ,
dloh	hodiernalდაძაბული
dweh	delimitativeასპექტი
kweh	ექსკლუზიურიპირი
truh	ტემპერატურა
tfeh	telicასპექტი
lyeh	atelicასპექტი
ru	prohibitiveგანწყობა
kfih	ბავშვური
cyoh	საეჭვო
nluh	ერთგულება
cweh	ხაფანგში
nwoh	ანიმაციური
sruh	მღელვარე
ksoh	სექსუალური
lyah	lazy
mreh	momentaneასპექტი
pceh	სინანული
bjih	ყოფილიგარდაცვლილი
pcuh	გაურკვევლობა
xi	მუდმივიასპექტი
blih	შეზღუდული
tsuh	ტრივიალური
fwih	დიდებული
grah	მაამებელი
brah	თვითნებური
cleh	კეთილგანწყობილი
sreh	ფორმალურირეგისტრაცია
pfah	სასარგებლო
droh	აუდიტორიამტკიცებულების
flih	ახსნითიმტკიცებულების
sweh	sublativeშემთხვევაში
ksuh	დეკლარაციულიგანწყობა
pleh	პრივილეგირებული
psoh	უძლეველი
be	სიტყვიერი
mwoh	Reverie
kleh	საცოდაობას
glah	გაუმაძღრობით
kseh	სასარგებლოდგანწყობა
zrah	უკმაყოფილება
dyoh	idiophone
syoh	awed
gwah	გადაჭარბებულიშემთხვევაში
zlih	irrealisგანწყობა
zrih	shyness
byih	ადაპტაციის
ryeh	ნაცვალსახელიmarker
fwah	frugal
bjah	ენერგიული
kxah	equanimity
gvih	pegativeშემთხვევაში
pxih	იმედების
xrah	იწურება
tfoh	ამიერიდან
kxih	მონანიება
ryoh	prosecutiveშემთხვევაში
qyah	გატაცებული
r6	მიმღეობის
txah	დისტანციურიბოლოდაძაბული
xrih	ისტორიულიდაძაბული
dxah	ორმაგინომერი
syuh	super
vweh	გადამუშავებული
n6	სენსორულიმტკიცებულებისგანწყობა
bweh	შეპყრობილი
xlih	იუმორისტული
txih	twinge
sluh	თვითმმართველობისდააკმაყოფილა
txoh	მოძრაობისაღმართზე
xe	რეტროსპექტივა
pxah	ხაფანგშიშეიტყუოს
vwah	მოძრაობისdownhill
xyih	ელიტა
fleh	inflected
psuh	superessiveშემთხვევაში
syeh	satyr
qi	გარდამავალი
xruh	უშიშარი
zwah	ვაუ
tr6h	მოძრაობისupriver
qwah	unambitious
xlah	მსოფლიოში
tyoh	გარდაუვალ
tluh	anticlimax
qa	მიმდინარეშესაბამისობისmarker
kxoh	ძაღლიდაღლილი
rwoh	რიგითი
ve	ვექტორი
kyoh	კილოგრამი
swoh	რიგითი
pxeh	partitiveშემთხვევაში
txeh	augmentative
dxih	predicative
pxoh	prolativeშემთხვევაში
pfoh	პროფრაზა
blah	blase
fyih	არასამთავრობოადამიანის
xo	მსახიობიროლი
pc6h	სასამართლონომერი
greh	centricშემთხვევაში
groh	მიზანიგამოიწვევს
dxoh	შუახმა
rweh	obliqueშემთხვევაში
xwah	პაციენტიშემთხვევაში
xu	წინასწარhodiernal
xroh	გაცვეთა
ks6h	გამომწვევი
vi	ორობითი-ღირებულება
dleh	მოდალურიშემთხვევაში
gjeh	სხვათუ
xreh	თანამშრომელი
lwoh	ლოკატიურიშემთხვევაში
ml6h	multalნომერი
gjih	galaxyგენდერული
qlah	ვარსკვლავიგენდერული
bvih	abessiveშემთხვევაში
dvah	adessiveშემთხვევაში
je	agentiveშემთხვევაში
t6	აგენტიგამოიწვევს
kxeh	toშემთხვევაში
gxih	საერთოგენდერული
tc6h	ციტირებისფორმა
ts6h	transციფრების
ryuh	პირდაპირიობიექტი
gveh	ერგატიულიშემთხვევაში
pyoh	პასიურიხმა
qe	სასრულიverb
xwih	პირველადიობიექტი
myoh	gnomicგანწყობა
vrih	საბოლოონაწილაკების
va	evitativeშემთხვევაში
bveh	subessiveშემთხვევაში
dxeh	გააჩნდაშემთხვევაში
dvih	lativeშემთხვევაში
tsa7h	antessiveშემთხვევაში
dyeh	ზმნისართულშემთხვევაში
mleh	animateგენდერული
pfeh	თანამგრძნობისიხარული
xleh	მანქანაგენდერული
qlih	მინერალურიგენდერული
xloh	სიტყვიერიარსებითისახელი
dreh	მეორეენა
bvah	თვითმმართველობისნდობის
qrah	ცვლილებასაქართველოსღონისძიება
fo	განსხვავებულიღონისძიება
sl6h	crastinalდაძაბული
fyoh	რეფლექსურხმა
bxih	სამყაროგენდერული
jlih	გარდამავალიverb
kyeh	რაიონიგენდერული
txuh	კვლევაგენდერული
s6	მხატვრულიგენდერული
preh	პაციენტიგამოიწვევს
sr6h	აბსტრაქტულიგენდერული
nyoh	არაპირდაპირიგამოსვლა
zreh	exocentricშემთხვევაში
kfeh	ბოლოსრულყოფილი
jo	უპიროვნოverb
kxuh	კოლექტიურიარსებითისახელი
bu	absolutiveშემთხვევაში
qrih	პლანეტარულიგენდერული
kfoh	ძირითადიbenefactive
kwoh	ასოციაციურიშემთხვევაში
pluh	უბადლოშემთხვევაში
jrah	ელექტრომიმდინარე
glih	inanimateგენდერული
p6	propositiveგანწყობა
vrah	საპასუხოხმა
lyuh	ზედიზედპუნქტი
gleh	მალემომავალიდაძაბული
lyoh	applicativeხმა
ps6h	antipassiveხმა
tfuh	continuativeასპექტი
nr6h	necessitativeგანწყობა
pr6h	პასიურიმიმღეობის
sy6h	ეგზისტენციალურიპუნქტი
qyih	luminousინტენსივობის
gluh	singulativeნომერი
kwuh	გადაჭარბებულიხანგრძლივობა
xyah	მარტოხელააქციაverb
vlih	უბადლოხარისხი
djah	იმყოფებამიმღეობის
m6	თანხასაქართველოსნივთიერება
ti7	შემაერთებელინაწილაკების
f6	epentheticmorpheme
tli7h	დისტანციურიმომავალიდაძაბული
si_	postpositionalშემთხვევაში
l6	გამოსულიყოშეთანხმება
k6	frequentativeასპექტი
bzih	გამანაწილებელნაცვალსახელი
tu7	მცურავიპუნქტიანინომერი
vo	ზმნა-სუფიქსი
ki7	ბოლოპასიურიმიმღეობის
ta_	ლოკატიურიმიმართულებისშემთხვევაში
