ni	infinitive
na	ករណីនាមនិទ្ទេស
ka	ករណីកម្មការកៈ
ta	ករណីប្រធានបទ
ca	ជំរាបសួរ
wu	ករណីvocative
kcah	ឃ្លាន
ti	ករណីប្រដាប់បន្តពូជ
ci	គុណនាម
wa	និង
mi	អោយខ្ញុំ
sa	អ្នក
nyah	ពួកយើង
ya	វា
ma	ករណីគោលដៅ
yi	ករណីសម្បតានការកៈ
li	អារម្មណ៍ពិតប្រាកដ
tu	អារម្មណ៍deontic
cu	អារម្មណ៍លក្ខខណ្ឌ
si	អារម្មណ៍epistemic
yu	ករណីឧបករណ៍
nu	បរិបទមហាផ្ទៃ
pa	បរិបទមនុស្សម្នាក់
tyah	ឃ្លាឯករាជ្យ
la	ឃ្លាពឹងផ្អែក
fa	ទិដ្ឋភាពល្អឥតខ្ចោះ
ki	អតីតកាល
ne	យែនឌ័របុរស
mwah	ករណីcomitative
ra	បច្ចុប្បន្ន​កាល
pwah	ករណីbenefactive
swih	ករណីessive
no	កម្រិតnegatory
pi	បរិបទផ្ទៃ
da	ករណីadpositional
te	ករណីទីតាំង
to	បរិបទអវកាស
ga	ករណីវិធី
ri	អារម្មណ៍សួរចម្លើយ
ba	និងឬ
ku	ផ្តាច់មុខឬ
so	ករណីប្រភព
pwih	ករណីablative
ksah	ជិត
tsah	ង្ហេញ
ko	កន្ទុយឃ្លា
pyah	ប៉ុន្តែ
wi	កម្រិតចំនួនសកល
ji	យែនឌ័រស្រី
pu	ចំនួនពហុវចនៈ
bi	អនាគតកាល
co	បរិបទសង្គម
me	ទិដ្ឋភាពភាពមិនល្អឥតខ្ចោះ
klah	មាន
twah	ករណីelative
twih	ករណីillative
di	អារម្មណ៍សារាចរ
tlah	កម្រិតជ្រើសតាំង
kyah	អ្វី​
tcah	ពាក្យសំណួរ
ja	copula
cyah	មនុស្ស
clah	ផ្សេងទៀត
do	លេខ
tlih	កម្រិតពោលអះអាងការពារខ្លួនឫ
se	បរិបទពេល
myah	ករណីខាងសាច់ឈាម
tyuh	តែ
tcih	អារម្មណ៍ហ៊ត
tyih	ទិដ្ឋភាពឡើងវិញ
lo	អារម្មណ៍ដោយឆន្ទះ
cwah	បន្ទាប់ពី
nlah	កម្មសិទ្ធិអន្ដោប្រវេសន៍
nlih	ការកាន់កាប់មិនអាចលុបបំបាត់បាន
cyih	អារម្មណ៍ការពិចារណា
lwah	ករណីPerl
pfih	ទិដ្ឋភាពរីកចម្រើន
tsih	នៅទីនេះ
ce	ស្ថិតក្រោមបរិបទ
pcah	ផងដែរ
lwih	ករណីdelative
swah	ទិដ្ឋភាពsemelfactive
nyih	neo
fu	ការផ្តោត
plah	ស្រលាញ់
po	ចំនួនpaucal
kyih	ដោយសារតែ
ksih	ករណីធ្វើអោយ
gi	ឈ្មោះ
tfah	នាមត្រឹមត្រូវ
crih	ភ័ស្តុតាងដែលអាចមើលឃើញ
kceh	ល្អប្រសើរជាងមុន
dwih	អារម្មណ៍desiderative
wo	ពាក្យ
srah	រហូតដល់
tweh	ករណីស្ថានីយ
nwih	ករណីinessive
pcih	អារម្មណ៍ការចាំបាច់
crah	ជឿ
ro	បរិបទរបស់រដ្ឋ
cwih	សង្ឃឹម
kwih	ភ័ស្តុតាងfactive
fi	ត្រឡប់មកវិញ
psih	អារម្មណ៍optative
tseh	អារម្មណ៍សក្តានុពល
lweh	ករណីallative
nrih	យែនឌ័រanthropic
tceh	សញ្ញាសម្គាល់ប្រធានបទដូចគ្នា
re	ប្រធានបទផ្សេងគ្នា
croh	ការភ័យខ្លាច
mrah	យល់ដឹង
cyuh	ការសង្ស័យ
twuh	អារម្មណ៍dubitative
myih	ស្រស់ស្អាត
lyih	អត្រាការប្រាក់
flah	counterfactualលក្ខខណ្ឌ
we	ករណីvialis
clih	ជំងឺផ្តាសាយ
pyih	សន្តិភាព
su	លើកលែងតែ
kwah	បំណងប្រាថ្នារបស់
le	ប្រវែង
bo	ប្រូបាប
mlah	បញ្ហា
syah	ស្នាមញញឹម
slih	ការដេក
zi	undefined
twoh	ករណីquot
mo	មនុស្សម្នាក់ដែលរួមបញ្ចូល
kcih	សូម
rwih	អារម្មណ៍precative
mrih	ចុះឈ្មោះគួរសម
rwah	ទិដ្ឋភាពអនាគត
cyeh	ឆ្ងល់
go	ទិដ្ឋភាពgnomic
tsoh	ការគោរព
za	ទិដ្ឋភាពinchoative
