hnit	ಕರ್ತೃ
hnak	ಕರ್ತೃಸಂದರ್ಭದಲ್ಲಿ
hkak	ಆರೋಪಿಸುವಸಂದರ್ಭದಲ್ಲಿ
htak	ವಿಷಯಸಂದರ್ಭದಲ್ಲಿ
hpap	ತಂದೆ
hmam	ತಾಯಿ
hyat	ಪೋಷಕರ
hcan	ಹಲೋ
hwik	ಸಂಬೋಧನಾವಿಭಕ್ತಿ
hsuc	ಪೂರ್ವಜ
htat	ಅಜ್ಜ
hcac	ಹಸಿವಿನಿಂದ
hnik	ಷಷ್ಠಿ
hcit	ವಿಶೇಷಣ
hwan	ಮತ್ತು
hman	ನನಗೆ
hnan	ನೀವು
hwam	ನಮಗೆ
htit	ಇದು
htac	ಗಮ್ಯಸ್ಥಾನಸಂದರ್ಭದಲ್ಲಿ
htik	ವಿಭಕ್ತಿಗಳ
hyit	ನೈಜಮನಸ್ಥಿತಿ
htim	ಕರ್ತವ್ಯದಚಿತ್ತ
hcut	ಷರತ್ತುಬದ್ಧಚಿತ್ತ
hsit	ಜ್ಞಾನಕ್ಕೆಸಂಬಂಧಿಸಿದಚಿತ್ತ
hyak	ನಿಮಿತ್ತವಾದಕೇಸ್
htan	ಆಂತರಿಕಸಂದರ್ಭದಲ್ಲಿ
hpan	ವ್ಯಕ್ತಿಸಂದರ್ಭದಲ್ಲಿ
htin	ಸ್ವತಂತ್ರಷರತ್ತು
hyan	ಅವಲಂಬಿತಷರತ್ತು
hfap	ಪರಿಪೂರ್ಣಆಕಾರ
hkat	ಭೂತಕಾಲ
hnin	ಪುಲ್ಲಿಂಗಲಿಂಗ
hmak	comitativeಸಂದರ್ಭದಲ್ಲಿ
hnat	ವರ್ತಮಾನಕಾಲ
hpak	benefactiveಸಂದರ್ಭದಲ್ಲಿ
swik	essiveಸಂದರ್ಭದಲ್ಲಿ
htut	negatoryಪರಿಮಾಣಕ
hsan	ಮೇಲ್ಮೈಸಂದರ್ಭವನ್ನು
hpin	adpositionalಸಂದರ್ಭದಲ್ಲಿ
hwin	ಸ್ಥಳಸಂದರ್ಭದಲ್ಲಿ
hkan	ಬಾಹ್ಯಾಕಾಶಸಂದರ್ಭವನ್ನು
hnac	ರೀತಿಯಲ್ಲಿಸಂದರ್ಭದಲ್ಲಿ
hyut	ಪ್ರಶ್ನಾರ್ಥಕಚಿತ್ತ
hnam	ಮತ್ತುಅಥವಾ
hkit	ವಿಶೇಷಅಥವಾ
hsuk	ಮೂಲವಿಷಯ
hpik	ಅಬ್ಲೆಟೀವ್ಸಂದರ್ಭದಲ್ಲಿ
hcat	ಸಾಮೀಪ್ಯ
hmat	ಪ್ರದರ್ಶನಕ್ಕೆ
hkuk	ಷರತ್ತುಬಾಲ
hlan	ಆದರೆ
hsut	ಎಲ್ಲಾ
hyin	ಸಾರ್ವತ್ರಿಕಪರಿಮಾಣಕ
hcin	ಸ್ತ್ರೀಲಿಂಗ
hpac	ಬಹುವಚನಸಂಖ್ಯೆ
hyik	ಒಂದು
htic	ಅವರ
hkik	ಯಾರು
tcat	ಭವಿಷ್ಯತ್ಕಾಲ
hsin	ಸಾಮಾಜಿಕಸಂದರ್ಭದ
hkac	ಯಾವಾಗ
hmip	ಅಪೂರ್ಣಅಂಶವು
klan	ಅಲ್ಲಿ
hlak	elativeಸಂದರ್ಭದಲ್ಲಿ
hlik	ಅನುಮಾನಸೂಚಕಸಂದರ್ಭದಲ್ಲಿ
htam	ನಿರ್ದೇಶನದಚಿತ್ತ
hlat	ಚುನಾಯಿತಪರಿಮಾಣಕ
hkam	ಏನು
hwat	ಪ್ರಶ್ನೆಪದ
htap	ಸಂಯೋಜಕಪದ
hpat	ವ್ಯಕ್ತಿ
nyan	ಪುರುಷ
hkas	ಸಾಧ್ಯವೋ
tcan	ಇತರ
hnuc	ಸಂಖ್ಯೆ
twit	ಪ್ರತಿಷ್ಠಾಪನೆಯಪರಿಮಾಣಕ
hsak	ಸಮಯಸಂದರ್ಭವನ್ನು
htuk	ಅಲ್ಪಕಾಲಿಕಸಂದರ್ಭದಲ್ಲಿ
htun	ಮಾತ್ರ
htum	ಹುರಿದುಂಬಿಸುವಚಿತ್ತ
hyip	ಹಿಂದಿನಅಂಶವು
hlit	ಸಂಕಲ್ಪದಚಿತ್ತ
pcic	ಮಾಡಬೇಕು
tyut	ಎರಡು
hsat	ನೋಡಿ
hkut	ಗೊತ್ತಿಲ್ಲ
hcic	ಕೆಳಗೆ
hcap	ನಂತರ
hpam	ಪ್ರಥಮ
hlac	ಹಸ್ತಾಂತರಣೀಯಹತೋಟಿ
hkap	ಎಂದಿಗೂ
hnic	ಪರಭಾರೆಹತೋಟಿ
tyat	ಹಳೆಯ
tcit	ಚರ್ಚೆಗಳಚಿತ್ತ
tcin	ದಿನ
hlam	ಬಂದು
hwak	ಸ್ವರ
hkin	ಹೋಗಿ
lwak	perlativeಸಂದರ್ಭದಲ್ಲಿ
hpip	ಗತಿಸೂಚಕ
lyan	ದೀರ್ಘ
hsac	ಹೇಳಲು
kyan	ಹೇಗೆ
htas	ಮತ್ತೆ
hsic	ಇಲ್ಲಿ
hcik	ಭಾವಿಸುತ್ತೇನೆ
hcak	ಸಂದರ್ಭವನ್ನುಅಡಿಯಲ್ಲಿ
hfan	ಕಂಡು
hsun	ಕೈ
hyac	ಸಹ
nwan	ಯುವ
tyit	ವಿರುದ್ಧ
tlan	ದೇವರು
twak	delativeಸಂದರ್ಭದಲ್ಲಿ
hmin	ಏನೂ
hyas	ಒಮ್ಮೆ
hlap	semelfactiveಅಂಶವು
kcac	ಬಿಟ್ಟು
hyic	ಗರಗಸದ
hcas	ಮನೆ
hwac	ವಿಶ್ವದ
tyin	ಮೂರು
hnun	ನವ
hcuk	ಗಮನ
pyan	ಪ್ರೀತಿ
hsis	ಯಾವಾಗಲೂ
hyam	ರಾತ್ರಿ
hyap	ರಾಜ
hkic	ನಡುವೆ
hmas	ಮನಸ್ಸು
cyit	ಹೃದಯ
pluc	paucalಸಂಖ್ಯೆ
kyik	ಏಕೆಂದರೆ
ksak	ಸಾಂದರ್ಭಿಕಸಂದರ್ಭದಲ್ಲಿ
tcun	ಮಾಡಲಾಗುತ್ತದೆ
hnim	ಹೆಸರು
tsan	ಅಂಕಿತನಾಮ
klac	ದೇಶದ
hpun	ಕೇಳಿದಾಗ
cyat	ಗೋಚರಸಾಕ್ಷ್ಯಾದ
pcac	ಉತ್ತಮ
hmac	ಕ್ಷಣ
hnas	ಸಾಧ್ಯವಿಲ್ಲ
hwic	ನೀರು
twim	desiderativeಚಿತ್ತ
kwan	ಬೆಳಕಿನ
tlat	ಪದ
tyan	ಬಾಗಿಲು
hsas	ಬೆಳಿಗ್ಗೆ
syat	ರವರೆಗೆ
twik	terminativeಸಂದರ್ಭದಲ್ಲಿ
hpit	ಬಿಳಿ
pcan	ಹಣ
hyis	ಕಳಪೆ
mwan	ಸಾವಿನ
hfam	ರೂಪ
nwik	inessiveಸಂದರ್ಭದಲ್ಲಿ
kcat	ಒಟ್ಟಿಗೆ
tsac	ಸಾಮಾನ್ಯವಾಗಿ
pyat	ಗೆಳತಿ
psan	ಅರ್ಧ
hpim	ಕಡ್ಡಾಯವಾಗಿದೆಚಿತ್ತ
hyuc	ಸುತ್ತಿನಲ್ಲಿ
hfat	ಕಳುಹಿಸಲಾಗಿದೆ
hcis	ಪತ್ನಿ
kcan	ನಂಬಿಕೆ
hsik	ಸಾರ್ವಜನಿಕ
htus	ರಾಜ್ಯದಸಂದರ್ಭದಲ್ಲಿ
hpas	ಮಗ
clat	ಮಕ್ಕಳು
tyak	ಹೀಗೆ
cwan	ಭಾವಿಸುತ್ತೇವೆ
syin	ಪ್ರೀತಿಯ
hkuc	ಹೆಚ್ಚಿನ
tyac	ಓದಲು
syit	ನಗರ
hlic	ಈಗಾಗಲೇ
hfit	factiveಸಾಕ್ಷ್ಯಾದ
tcac	ಹುಡುಗಿ
hcun	ಕೇಳಲು
ksan	ಕನಿಷ್ಠ
hyaf	ಬಹುಶಃ
kyat	ವಾಸ್ತವವಾಗಿ
tcic	ದೇಹದ
hwit	ರಿಟರ್ನ್
cwat	ವಾಯು
hfaf	ಕಾನೂನು
hput	ಸಹಾಯ
lyat	ಅಕ್ಷರದ
ksas	ನಾಲ್ಕು
hpic	ಇಚ್ಛಾರ್ಥಕಧಾತುರೂಪ
hfuk	ಬೆಂಕಿ
hcam	ಗಂಟೆ
twat	ಯುದ್ಧ
kyak	ಹಲವಾರು
tlit	ಎರಡನೇ
pcin	ಹಿಂದೆ
hmut	ಕಳೆದುಕೊಂಡ
clan	ಸಾವಿರ
hfac	ಕುಟುಂಬ
twan	ಆತ್ಮ
hwas	ಪ್ರಶ್ನೆ
syan	ಸತ್ಯ
htis	ತಯಾರಿಕೆ
tsat	ಸಂಭಾವ್ಯಚಿತ್ತ
lwik	allativeಸಂದರ್ಭದಲ್ಲಿ
nyin	ಮಾನವಲಿಂಗ
hfak	ಐದು
tcak	ಇದೇವಿಷಯಮಾರ್ಕರ್
htuc	ಬೇರೆವಿಷಯದ
hnap	ಉತ್ತರ
hmit	ಸಮುದ್ರ
hcuc	ಭಯ
pcat	ಅರ್ಥ
syas	ನಿಯಮಗಳು
hcaf	ಅನುಮಾನ
twut	ಸಂದೇಹದಚಿತ್ತ
hkis	ಕಪ್ಪು
tlak	ತರಲು
hyus	ಸುಂದರ
nyit	ರೀತಿಯ
htip	ಹತ್ತು
ksis	ಕಥೆ
hpuk	ಪುಸ್ತಕ
hlin	ವಿದ್ಯುನ್ಮಾನ
hkun	ಖಾತೆ
lyas	ಆಸಕ್ತಿ
lyit	ಬರೆಯಲು
pwat	ಹಾಸಿಗೆ
hnis	ವಯಸ್ಸು
hnut	ಪ್ರತಿ-ಷರತ್ತುಬದ್ಧ
slas	ಕಲೆ
hwis	vialisಸಂದರ್ಭದಲ್ಲಿ
pyak	ಸಹೋದರ
lyin	ಸಾಲು
tyas	ಟೇಬಲ್
hyun	ನದಿ
kyac	ಕಣ್ಣಿನ
tfan	ಇದ್ದಕ್ಕಿದ್ದಂತೆ
kcin	ಆಳವಾದ
hmuc	ಉದ್ದೇಶ
cyac	ರಕ್ತ
hmap	ಗುಲಾಬಿ
tlin	ಶೀತ
hyif	ಮುಂದೆ
tyam	ಕೊನೆಯಲ್ಲಿ
hnaf	ಊಹಿಸಿಕೊಳ್ಳಿ
hkip	ಸುಮಾರು
myan	ಗಣಿ
tsin	ಜ್ಞಾನ
hkup	ಪ್ರತಿಯನ್ನು
hsam	ಪತಿ
hlis	ಆರು
cwit	ದೇಶ
cyan	ಶಾಂತಿ
myat	ನೆನಪಿಡಿ
tyic	ನೈಸರ್ಗಿಕ
hfut	ಬೀಳುತ್ತವೆ
swas	ಸೇವೆ
hsap	ಹೊರತುಪಡಿಸಿ
pcit	ಕೃತಿಸ್ವಾಮ್ಯ
hyim	ಸೇನೆ
kyas	ಕುದುರೆ
plic	ಭವಿಷ್ಯದ
pcak	ಪಶ್ಚಿಮ
hpis	ಪಾವತಿ
hyuk	ಕೆಂಪು
hwun	ಚಿನ್ನದ
twin	ಬಯಕೆ
plan	ಆಡಲು
hpus	ಕಚೇರಿ
syun	ಸರ್ಕಾರ
kyic	ಚರ್ಚ್
htaf	ಶಕ್ತಿ
hlun	ಉದ್ದ
kyin	ಕಂಪನಿ
kyis	ಕಾಗದದ
mlan	ಸಂಭವನೀಯತೆ
hcim	ವಿಶೇಷವಾಗಿ
cyas	ಕರಡಿ
twac	ವಿಂಡೋ
nyat	ಸೌಂದರ್ಯ
hcus	ನಂತರದ
htup	ಕರ್ತವ್ಯ
htif	ದೂರ
pyas	ಪಾದ
hlas	ಕಾಡು
ksin	ಹಸಿರು
hmaf	ತೊಂದರೆ
myac	ಸ್ಮೈಲ್
hsim	ನಿದ್ರೆ
kyit	ಉಲ್ಲೇಖಿಸಿದ
kwik	quotativeಸಂದರ್ಭದಲ್ಲಿ
fwan	ಭೇಟಿ
slan	ಅನುಸರಿಸಿ
psit	ಉಪಸ್ಥಿತಿ
hmic	ಸಿಹಿ
