ni	ಕರ್ತೃ
na	ಕರ್ತೃಸಂದರ್ಭದಲ್ಲಿ
ka	ಆರೋಪಿಸುವಸಂದರ್ಭದಲ್ಲಿ
ta	ವಿಷಯಸಂದರ್ಭದಲ್ಲಿ
ca	ಹಲೋ
wu	ಸಂಬೋಧನಾವಿಭಕ್ತಿ
kcah	ಹಸಿವಿನಿಂದ
ti	ಷಷ್ಠಿ
ci	ವಿಶೇಷಣ
wa	ಮತ್ತು
mi	ನನಗೆ
sa	ನೀವು
nyah	ನಮಗೆ
ya	ಇದು
ma	ಗಮ್ಯಸ್ಥಾನಸಂದರ್ಭದಲ್ಲಿ
yi	ವಿಭಕ್ತಿಗಳ
li	ನೈಜಮನಸ್ಥಿತಿ
tu	ಕರ್ತವ್ಯದಚಿತ್ತ
cu	ಷರತ್ತುಬದ್ಧಚಿತ್ತ
si	ಜ್ಞಾನಕ್ಕೆಸಂಬಂಧಿಸಿದಚಿತ್ತ
yu	ನಿಮಿತ್ತವಾದಕೇಸ್
nu	ಆಂತರಿಕಸಂದರ್ಭದಲ್ಲಿ
pa	ವ್ಯಕ್ತಿಸಂದರ್ಭದಲ್ಲಿ
tyah	ಸ್ವತಂತ್ರಷರತ್ತು
la	ಅವಲಂಬಿತಷರತ್ತು
fa	ಪರಿಪೂರ್ಣಆಕಾರ
ki	ಭೂತಕಾಲ
ne	ಪುಲ್ಲಿಂಗಲಿಂಗ
mwah	comitativeಸಂದರ್ಭದಲ್ಲಿ
ra	ವರ್ತಮಾನಕಾಲ
pwah	benefactiveಸಂದರ್ಭದಲ್ಲಿ
swih	essiveಸಂದರ್ಭದಲ್ಲಿ
no	negatoryಪರಿಮಾಣಕ
pi	ಮೇಲ್ಮೈಸಂದರ್ಭವನ್ನು
da	adpositionalಸಂದರ್ಭದಲ್ಲಿ
te	ಸ್ಥಳಸಂದರ್ಭದಲ್ಲಿ
to	ಬಾಹ್ಯಾಕಾಶಸಂದರ್ಭವನ್ನು
ga	ರೀತಿಯಲ್ಲಿಸಂದರ್ಭದಲ್ಲಿ
ri	ಪ್ರಶ್ನಾರ್ಥಕಚಿತ್ತ
ba	ಮತ್ತುಅಥವಾ
ku	ವಿಶೇಷಅಥವಾ
so	ಮೂಲವಿಷಯ
pwih	ಅಬ್ಲೆಟೀವ್ಸಂದರ್ಭದಲ್ಲಿ
ksah	ಸಾಮೀಪ್ಯ
tsah	ಪ್ರದರ್ಶನಕ್ಕೆ
ko	ಷರತ್ತುಬಾಲ
pyah	ಆದರೆ
wi	ಸಾರ್ವತ್ರಿಕಪರಿಮಾಣಕ
ji	ಸ್ತ್ರೀಲಿಂಗ
pu	ಬಹುವಚನಸಂಖ್ಯೆ
bi	ಭವಿಷ್ಯತ್ಕಾಲ
co	ಸಾಮಾಜಿಕಸಂದರ್ಭದ
me	ಅಪೂರ್ಣಅಂಶವು
klah	ಅಲ್ಲಿ
twah	elativeಸಂದರ್ಭದಲ್ಲಿ
twih	ಅನುಮಾನಸೂಚಕಸಂದರ್ಭದಲ್ಲಿ
di	ನಿರ್ದೇಶನದಚಿತ್ತ
tlah	ಚುನಾಯಿತಪರಿಮಾಣಕ
kyah	ಏನು
tcah	ಪ್ರಶ್ನೆಪದ
ja	ಸಂಯೋಜಕಪದ
cyah	ವ್ಯಕ್ತಿ
clah	ಇತರ
do	ಸಂಖ್ಯೆ
tlih	ಪ್ರತಿಷ್ಠಾಪನೆಯಪರಿಮಾಣಕ
se	ಸಮಯಸಂದರ್ಭವನ್ನು
myah	ಅಲ್ಪಕಾಲಿಕಸಂದರ್ಭದಲ್ಲಿ
tyuh	ಮಾತ್ರ
tcih	ಹುರಿದುಂಬಿಸುವಚಿತ್ತ
tyih	ಹಿಂದಿನಅಂಶವು
lo	ಸಂಕಲ್ಪದಚಿತ್ತ
cwah	ನಂತರ
nlah	ಹಸ್ತಾಂತರಣೀಯಹತೋಟಿ
nlih	ಪರಭಾರೆಹತೋಟಿ
cyih	ಚರ್ಚೆಗಳಚಿತ್ತ
lwah	perlativeಸಂದರ್ಭದಲ್ಲಿ
pfih	ಗತಿಸೂಚಕ
tsih	ಇಲ್ಲಿ
ce	ಸಂದರ್ಭವನ್ನುಅಡಿಯಲ್ಲಿ
pcah	ಸಹ
lwih	delativeಸಂದರ್ಭದಲ್ಲಿ
swah	semelfactiveಅಂಶವು
nyih	ನವ
fu	ಗಮನ
plah	ಪ್ರೀತಿ
