ni	부정사
na	주격의케이스
ka	대격케이스
ta	이야기케이스
ca	안녕하세요
wu	부르는케이스
kcah	배고픈
ti	속격케이스
ci	형용사
wa	과
mi	나를
sa	당신
nyah	우리
ya	이것
ma	목적지케이스
yi	여격케이스
li	REALIS기분
tu	deontic기분
cu	가정어구기분
si	인식론적기분
yu	조격케이스
nu	내부문맥
pa	사람문맥
tyah	독립절
la	매달린절
fa	완료상양상
ki	과거시제
ne	남성명사성별
mwah	comitative케이스
ra	선물시제
pwah	benefactive케이스
swih	(메모리)케이스
no	부정적인수량
pi	표면문맥
da	adpositional케이스
te	위치케이스
to	공간문맥
ga	방법케이스
ri	의문을나타내는기분
ba	과또는
ku	독특한또는
so	출처케이스
pwih	융제케이스
ksah	근접
tsah	분명히나타내는
ko	절꼬리
pyah	그러나
wi	만능인수량
ji	여자같은성별
pu	복수형번호
bi	미래시제
co	사회적인문맥
me	미완료형의양상
klah	그곳에
twah	상대적인케이스
twih	추정적인케이스
di	지령기분
tlah	임의로선택할수있는수량
kyah	뭐
tcah	문제워드
ja	접합부
cyah	사람
clah	다른
do	번호
tlih	독단적인수량
se	시각문맥
myah	일시적인케이스
tyuh	만
tcih	장려하는기분
tyih	회고의양상
lo	volitive기분
cwah	후
nlah	양도할수있는소유
nlih	양도할수없는소유
cyih	깊이생각하는기분
lwah	perlative케이스
pfih	진보양상
tsih	이리
ce	아래에문맥
pcah	또한
lwih	delative케이스
swah	semelfactive양상
nyih	네오
fu	집중하다
plah	사랑
po	paucal번호
kyih	때문에
ksih	원인의케이스
gi	이름
tfah	적절한명사
crih	명백한증거의
kceh	...보다나은
dwih	desiderative기분
wo	워드
srah	...까지
tweh	terminative케이스
nwih	inessive케이스
pcih	피할수없는기분
crah	믿다
ro	상태문맥
cwih	기대
kwih	팩티브증거의
fi	반환
psih	원망법기분
tseh	가능성기분
lweh	allative케이스
nrih	인류지향성별
tceh	같은제목채점자
re	다른제목
croh	무서움
mrah	알다
cyuh	의심
twuh	dubitative기분
myih	아름다운
lyih	관심
flah	실적인가정어구
we	vialis케이스
clih	감기
pyih	평화
su	외
kwah	염원
le	길이
bo	개연성
mlah	수고
syah	미소
slih	자다
zi	인용
twoh	quotative케이스
mo	포함한사람
kcih	부디
rwih	precative기분
mrih	공손한레지스터
rwah	미래양상
cyeh	경이
go	금언의양상
tsoh	존경
za	시초의양상
jwih	명령을나타내는기분
mwih	허용하는기분
sloh	성공
prih	은밀한
de	분배의케이스
tcoh	고통
ryah	웃음
mlih	슬기로운
ye	소유의채점자
ke	commissive기분
creh	헛된
mweh	완성적인양상
nrah	따뜻한
nroh	분노
bwah	악의
trah	자부심
mroh	도덕
slah	건강
syih	사회적인
pe	중단양상
krih	이상한
tfih	증강
fe	최종적으로
prah	곁에
trih	증거의
nwah	증거의케이스
srih	슬퍼
zo	동물의성별
nweh	eventive기분
cwoh	같은행사채점자
plih	곱셈케이스
dwah	원하는
kcoh	피곤한
drah	만족
lu	위험한기분
frih	익숙한레지스터
frah	부상자들
mruh	바보
djih	동정
krah	감사
cruh	부끄러움
fyah	구채점자
ryih	예정된
kruh	쓴
tyeh	본문
kreh	잔인한
tleh	hesternal시제
kfah	희생
dyih	미움
cloh	합리적인성별
nloh	즐겨
psah	절망
sleh	식물성별
nruh	순진한
drih	감탄
sroh	용서
brih	베이스
kluh	혼동
bwih	축복기분
klih	저지른
grih	무식한
nyeh	발의케이스
nleh	겸손한
dlih	지연피할수없는
proh	보고증거의
mloh	우울
du	단수형
jrih	인내
freh	참조
kloh	고독한
kroh	매력
tcuh	열광
kcuh	귀납적인기분
xa	담화문맥
nreh	강한
pseh	양상
ge	에이전트
mu	훈계기분
byah	큰뜻
pcoh	가득차서
treh	곧장증거의
yo	우려하는기분
cwuh	충격
tloh	최근과거시제
dlah	명확한기사
cluh	추한
myuh	기분
dyah	말단분명히나타내는
rwuh	질투심많은
troh	저주하는기분
dzih	무관심
swuh	가정의기분
bzah	농담
gwih	즉
dloh	오늘날의시제
dweh	delimitative양상
kweh	독특한사람
truh	온도
tfeh	telic양상
lyeh	atelic양상
ru	금지하는기분
kfih	어린애같은
cyoh	의심많은
nluh	충의
cweh	덫
nwoh	생기있는
sruh	스릴
ksoh	성적
lyah	게으른
mreh	momentane양상
pceh	후회
bjih	전자고인
pcuh	불확실성
xi	습관양상
blih	경계
tsuh	하찮은
fwih	위엄있는
grah	유망한
brah	임의
cleh	자애로운
sreh	형식적인레지스터
pfah	유익한
droh	귀의증거의
