hnit	부정사
hnak	주격의케이스
hkak	대격케이스
htak	이야기케이스
hpap	아빠
hmam	엄마
hyat	부모의
hcan	안녕하세요
hwik	부르는케이스
hsuc	선조
htat	조부모
hcac	배고픈
hnik	속격케이스
hcit	형용사
hwan	과
hman	나를
hnan	당신
hwam	우리
htit	이것
htac	목적지케이스
htik	여격케이스
hyit	REALIS기분
htim	deontic기분
hcut	가정어구기분
hsit	인식론적기분
hyak	조격케이스
htan	내부문맥
hpan	사람문맥
htin	독립절
hyan	매달린절
hfap	완료상양상
hkat	과거시제
hnin	남성명사성별
hmak	comitative케이스
hnat	선물시제
hpak	benefactive케이스
swik	(메모리)케이스
htut	부정적인수량
hsan	표면문맥
hpin	adpositional케이스
hwin	위치케이스
hkan	공간문맥
hnac	방법케이스
hyut	의문을나타내는기분
hnam	과또는
hkit	독특한또는
hsuk	출처케이스
hpik	융제케이스
hcat	근접
hmat	분명히나타내는
hkuk	절꼬리
hlan	그러나
hsut	모든
hyin	만능인수량
hcin	여자같은성별
hpac	복수형번호
hyik	하나
htic	그들의
hkik	누구
tcat	미래시제
hsin	사회적인문맥
hkac	언제
hmip	미완료형의양상
klan	그곳에
hlak	상대적인케이스
hlik	추정적인케이스
htam	지령기분
hlat	임의로선택할수있는수량
hkam	뭐
hwat	문제워드
htap	접합부
hpat	사람
nyan	남성
hkas	할수있었다
tcan	다른
hnuc	번호
twit	독단적인수량
hsak	시각문맥
htuk	일시적인케이스
htun	만
htum	장려하는기분
hyip	회고의양상
hlit	volitive기분
pcic	절대로필요한것
tyut	두
hsat	만나다
hkut	알고있다
hcic	하위
hcap	후
hpam	먼저
hlac	양도할수있는소유
hkap	못
hnic	양도할수없는소유
tyat	늙은
tcit	깊이생각하는기분
tcin	일
hlam	왔다
hwak	모음
hkin	가기
lwak	perlative케이스
hpip	진보양상
lyan	긴
hsac	말하다
kyan	방법
htas	다시
hsic	이리
hcik	생각하다
hcak	아래에문맥
hfan	녹이다
hsun	손
hyac	또한
nwan	어린
tyit	에대하여
tlan	하나님
twak	delative케이스
hmin	아무것도
hyas	일단
hlap	semelfactive양상
kcac	왼쪽
hyic	보았다
hcas	집
hwac	세계
tyin	세
hnun	네오
hcuk	집중하다
pyan	사랑
hsis	항상
hyam	밤
hyap	왕
hkic	중에서
hmas	마음
cyit	심장
pluc	paucal번호
kyik	때문에
ksak	원인의케이스
tcun	끝난
hnim	이름
tsan	적절한명사
klac	국가
hpun	질문
cyat	명백한증거의
pcac	...보다나은
hmac	순간
hnas	할수없습니다
hwic	물
twim	desiderative기분
kwan	빛
tlat	워드
tyan	문
hsas	아침
syat	...까지
twik	terminative케이스
hpit	화이트
pcan	돈
hyis	가난한
mwan	죽음
hfam	형태
nwik	inessive케이스
kcat	함께
tsac	자주
pyat	친구
psan	절반
hpim	피할수없는기분
hyuc	일주
hfat	전송
hcis	아내
kcan	믿다
hsik	공공의
htus	상태문맥
hpas	아들
clat	어린이
tyak	그러므로
cwan	기대
syin	소중한
hkuc	높은
tyac	독서
syit	시티
hlic	이미
hfit	팩티브증거의
tcac	소녀
hcun	듣다
ksan	가장작은
hyaf	혹시
kyat	과연
tcic	신체
hwit	반환
cwat	공기
hfaf	법
hput	도움
lyat	편지
ksas	사
hpic	원망법기분
hfuk	불
hcam	시간
