hnit	infinitive
hnak	dozanominative
hkak	dozaaccusative
htak	dozateze
hpap	bav
hmam	mom
hyat	dêûbavan
hcan	slav
hwik	dozavocative
hsuc	pêşî
htat	bapir
hcac	birçî
hnik	dozagenitive
hcit	navder
hwan	û
hman	min
hnan	hûn
hwam	me
htit	ew
htac	dozadestination
htik	dativecase
hyit	moodrealis
htim	mooddeontic
hcut	moodşert
hsit	moodepistemic
hyak	insallah
htan	çarçoveyêdeNavxweyî
hpan	çarçoveyêdekesek
htin	şertîserbixwe
hyan	şertîgirêdayî
hfap	perfectiveaspect
hkat	Demêderbasbûyî
hnin	zayendanêr
hmak	dozacomitative
hnat	presenttense
hpak	dozaBENEFACTIVE
swik	dozaessive
htut	جانتاnegatory
hsan	çarçoveyêdesurface
hpin	dozaadpositional
hwin	dozalocation
hkan	çarçoveyêdespace
hnac	dozarê
hyut	moodinterrogative
hnam	ûan
hkit	exclusivean
hsuk	dozasource
hpik	dozaablative
hcat	nêzîkî
hmat	îşarkî
hkuk	dûvikêşertî
hlan	lebê
hsut	gişt
hyin	جانتاgerdûnî
hcin	zayendarengdêr
hpac	hejmaraplural
hyik	yek
htic	yêwê
hkik	kî
tcat	pêşerojê,raweyadema
hsin	çarçoveyacivakî
hkac	heke
hmip	aspectimperfective
klan	va
hlak	dozaelative
hlik	dozaillative
htam	mooddirective
hlat	جانتاbijarte
hkam	çi
hwat	peyvapirs
htap	laqekirdin
hpat	şexs
nyan	nêrî
hkas	nikaribû
tcan	yêndin
hnuc	jimare
twit	جانتاbaţ
hsak	çarçoveyêdedem
htuk	dozamekanî
htun	bes
htum	moodhortative
hyip	aspectŞukru
hlit	moodvolitive
pcic	mecbûrmayin
tyut	du
hsat	dîtin
hkut	zanîn
hcic	jêr
hcap	piştî
hpam	yekem
hlac	milkalienable
hkap	qet
hnic	milk(jênager)
tyat	kevn
tcit	moodmunaqeşe
tcin	roj
hlam	hatin
hwak	dengdar
hkin	çûyin
lwak	dozaperlative
hpip	aspectpêşverû
lyan	dirêj
hsac	gotin
kyan	çawa
htas	dîsa
hsic	vir
hcik	ponijîn
hcak	dibinçarçoveya
hfan	hatedîtin
hsun	dest
hyac	jî
nwan	ciwan
tyit	dijî
tlan	xwedê
twak	dozadelative
hmin	netişt
hyas	carek
hlap	aspectsemelfactive
kcac	çep
hyic	birrek
hcas	xanî
hwac	dinya
tyin	sê
hnun	neo
hcuk	focus
pyan	evîn
hsis	herdem
hyam	şev
hyap	qiral
hkic	navber
hmas	aqil
cyit	dil
pluc	hejmarapaucal
kyik	bo
ksak	dozaketûber
tcun	kirin,
hnim	nav
tsan	Propernoun
klac	welat
hpun	pirsî:
cyat	evidentialxuya
pcac	baştir
hmac	evdem
hnas	nedikare
hwic	av
twim	mooddesiderative
kwan	sivik
tlat	bêje
tyan	derî
hsas	sib
syat	ta
twik	dozaterminative
hpit	spî
pcan	dirav
hyis	belengaz
mwan	mirin
hfam	şikil
nwik	dozainessive
kcat	bihevra
tsac	gelekcar
pyat	heval
psan	nîv
hpim	raweyafermanî
hyuc	girrover
hfat	şandin
hcis	jin
kcan	bawerîn
hsik	alenî
htus	çarçoveyêdedewlet
hpas	kur
clat	zarok
tyak	jibervêyekê
cwan	hêvî
syin	hêja
hkuc	bilind
tyac	xwendin
syit	bajar
hlic	êdî
hfit	evidentialfactive
tcac	keç
hcun	gûhdarkirin
ksan	kêmtirî
hyaf	belkî
kyat	birastî
tcic	beden
hwit	vegerr
cwat	hewa
hfaf	qanûn
hput	alîkarî
lyat	name
ksas	çar
hpic	moodoptative
hfuk	agir
hcam	seet
twat	şerr
kyak	piran
tlit	duyem
pcin	paş
hmut	windabû
clan	hezar
hfac	malbat
twan	rûh
hwas	pirs
syan	rastî
htis	çêkirina
tsat	moodpotansiyela
lwik	dozaallative
nyin	zayendîanthropic
hfak	pênc
tcak	markerhemanmijarê
htuc	mijarcuda
hnap	bersiv
hmit	gol
hcuc	tirs
pcat	têgihîştin
syas	warê
hcaf	şik
twut	mooddubitative
hkis	reş
tlak	anîn
hyus	bedew
nyit	jiberhevxistin
htip	deh
ksis	Çîrok
hpuk	pirtûk
hlin	elektronîk
hkun	konto
lyas	zem
lyit	nivîsîn
pwat	nivîn
hnis	kalbûn
hnut	counterfactualşert
slas	fen
hwis	dozavialis
pyak	brak
lyin	xet
tyas	mêz
hyun	çem
kyac	çav
tfan	nişkê
kcin	kûr
hmuc	armanc
cyac	xwîn
hmap	gûl
tlin	sarma
hyif	pêşve
tyam	dereng
hnaf	bawerkirin
hkip	hemahema
myan	yamin
tsin	zanyarîn
hkup	kopî
hsam	mêr
hlis	şeş
cwit	zindî
cyan	aşîtî
myat	bîrveanîn
tyic	xûriste
hfut	ketin
swas	xizmetkar
hsap	bê
pcit	copyright
hyim	artêş
kyas	hesp
plic	dahatû
pcak	rojava
hpis	diravdanî
hyuk	sor
hwun	zêr
twin	xwezî
plan	bazî
hpus	dayre
syun	rêvebir
kyic	dêr
htaf	qawet
hlun	dirêjî
kyin	şîrket
kyis	kaxez
mlan	dibêtî
hcim	taybeten
cyas	hirç
twac	pace
nyat	çelengî
hcus	Evên
htup	wezîfe
htif	dûrî
pyas	ling
hlas	bejî
ksin	kesk
hmaf	astengan
myac	kenn
hsim	xew
kyit	têbinî
kwik	dozaquotative
fwan	serdan
slan	pêketin
psit	demaamade
hmic	şêrîn
hmuf	dev
hfin	dewlemend
tcam	dijmin
psuk	şikestî
kcap	gemî
pwan	kesêbiberfirehî
hfic	tesîr
tcuc	xûyabûn
hkim	dizî
pyin	jikeremaxweve
pwit	moodprecative
pyit	qeydakubar
cwak	nebaş
myak	Adar
tcas	cihên
hlaf	mayin
psat	diber
nlan	şîn
psac	nemimkûn
kcuk	dibistan
kcit	zewicî
kcak	xûrek
syis	bîst
tlac	rehet
hcip	aspectjibopêşveçûnê
kwin	dayîna
tsit	rawestandin
pyac	ziman
hsus	hefte
hcup	salon
cyap	mûcîze
tfin	zayî
fyat	dadgeh
hnip	aspectgnomic
tsak	rûmet
tlas	giranbiha
syuc	dar
plat	dîwar
cyak	ezman
twip	aspectinchoative
mlat	ferman
swit	moodjussive
mwas	meh
hwaf	lhevderketî
tyap	tecribe
ksac	rewşan
syac	teze
hnuk	duke
kwak	nixumandî
tyuk	rohilat
pwac	kevir
hkif	esîl
nyac	ber
cyis	kûrsî
tyuc	libenda
tsun	gûnd
tyik	qebûlkirin
hnum	moodpozxtxf
slak	serketinî
tsic	hewldidin
slat	girik
hmik	mûzîk
hkus	girîn
hsip	heft
hpaf	taybet
nwas	nûçe
tfac	cihêbûyerê
fyan	baxçe
cwas	destpêkirin
hfik	dozadistributive
lyac	fêrbûn
syik	sîyasî
clin	henry
cyin	derew
tsas	avdan
cyik	erc
tlap	erd
cyam	havîn
tcut	ol
tcap	rev
hlut	nivîskar
pyun	qehweyî
tcuk	êş
swan	bihar
hmun	nerm
kyun	qozî
nyak	trademark
tsis	mafî
psas	çêkirin
cyaf	ken
hwut	jibîrkirin
hyup	ewropa
hwap	heşt
psak	derbas
kyap	tirsgiran
pyic	pêwîst
hmim	medya
hsaf	bîn
hmis	rîsipî
hsum	markerxwedaniyê
ksat	xweş
ksit	gor
tsap	girav
kyam	cîkon
tcum	pêbûn
cyun	hebûnî
psic	berav
tyun	domain
mwit	moodcommissive
tlut	derece
myit	zivistan
kfan	perwerdetî
slac	running
myin	deqqe
tyip	gûlle
klas	cam
pfat	pêşewarî
cyic	xwehez
swam	karûbarên
syam	emîn
tsut	pizişk
hlip	aspectcompletive
kcas	tarîtî
nyun	germ
hpuc	vexwarin
tlam	mînak
hfun	hêrs
tsik	tevî
tsam	rasterast
hmup	kûm
klak	seh
slin	zîv
swac	sûxrekar
kcam	serbilindî
pyik	tirên
myut	rûhî
syak	derbasbûn
swat	şûr
kyuk	êriş
clac	tendûrûstî
tyaf	madde
swic	civatî
tfit	şûndadanî
hkaf	fermî
pcas	nerîn
nyam	qîmetî
tfat	duwanzdeh
pcut	gunehbardikin
pwin	şerab
mwat	tam
fyac	hesin
syap	belavkirin
myap	bazirganî
hyum	bibikaranîna
fwak	dadmend
klat	kaptan
twap	aspectcessative
kcic	miraqker
kwic	xerîb
hnif	intensifier
myun	giringî
tlic	paşan
cyuk	hûstû
syut	Azadî
pfan	aliyande
kyuc	zûha
pcap	aliyekî
tfak	evidential
tcik	dozaevidential
twun	dûr
tyis	pêşverûtî
nyap	teng
plit	avahî
hpif	rûpel
pwic	siyariya
syic	xemgîn
tsip	gûneh
syim	nexweş
tcis	dilpaqij
pcun	banke
ksap	baweranîn
lyam	herrok
tcaf	bibaldarî
kwac	gûh
hpup	nan
kcut	helbijartin
nwam	teba
hsup	zayendîzoic
nwit	moodeventive
tcim	markerhemanbûyerê
tlik	dozamultiplicative
kyus	xaç
hmus	zixt
kfat	dare
nwat	mezinbûn
myic	baran
hpum	rû
swut	rûhane
clis	Tîrmeh
mwun	mode
hfas	dosî
