ni	infinitive
na	dozanominative
ka	dozaaccusative
ta	dozateze
ca	slav
wu	dozavocative
kcah	birçî
ti	dozagenitive
ci	navder
wa	û
mi	min
sa	hûn
nyah	me
ya	ew
ma	dozadestination
yi	dativecase
li	moodrealis
tu	mooddeontic
cu	moodşert
si	moodepistemic
yu	insallah
nu	çarçoveyêdeNavxweyî
pa	çarçoveyêdekesek
tyah	şertîserbixwe
la	şertîgirêdayî
fa	perfectiveaspect
ki	Demêderbasbûyî
ne	zayendanêr
mwah	dozacomitative
ra	presenttense
pwah	dozaBENEFACTIVE
swih	dozaessive
no	جانتاnegatory
pi	çarçoveyêdesurface
da	dozaadpositional
te	dozalocation
to	çarçoveyêdespace
ga	dozarê
ri	moodinterrogative
ba	ûan
ku	exclusivean
so	dozasource
pwih	dozaablative
ksah	nêzîkî
tsah	îşarkî
ko	dûvikêşertî
pyah	lebê
wi	جانتاgerdûnî
ji	zayendarengdêr
pu	hejmaraplural
bi	pêşerojê,raweyadema
co	çarçoveyacivakî
me	aspectimperfective
klah	va
twah	dozaelative
twih	dozaillative
di	mooddirective
tlah	جانتاbijarte
kyah	çi
tcah	peyvapirs
ja	laqekirdin
cyah	şexs
clah	yêndin
do	jimare
tlih	جانتاbaţ
se	çarçoveyêdedem
myah	dozamekanî
tyuh	bes
tcih	moodhortative
tyih	aspectŞukru
lo	moodvolitive
cwah	piştî
nlah	milkalienable
nlih	milk(jênager)
cyih	moodmunaqeşe
lwah	dozaperlative
pfih	aspectpêşverû
tsih	vir
ce	dibinçarçoveya
pcah	jî
lwih	dozadelative
swah	aspectsemelfactive
nyih	neo
fu	focus
plah	evîn
po	hejmarapaucal
kyih	bo
ksih	dozaketûber
gi	nav
tfah	Propernoun
crih	evidentialxuya
kceh	baştir
dwih	mooddesiderative
wo	bêje
srah	ta
tweh	dozaterminative
nwih	dozainessive
pcih	raweyafermanî
crah	bawerîn
ro	çarçoveyêdedewlet
cwih	hêvî
kwih	evidentialfactive
fi	vegerr
psih	moodoptative
tseh	moodpotansiyela
lweh	dozaallative
nrih	zayendîanthropic
tceh	markerhemanmijarê
re	mijarcuda
croh	tirs
mrah	têgihîştin
cyuh	şik
twuh	mooddubitative
myih	bedew
lyih	zem
flah	counterfactualşert
we	dozavialis
clih	sarma
pyih	aşîtî
su	bê
kwah	xwezî
le	dirêjî
bo	dibêtî
mlah	astengan
syah	kenn
slih	xew
zi	têbinî
twoh	dozaquotative
mo	kesêbiberfirehî
kcih	jikeremaxweve
rwih	moodprecative
mrih	qeydakubar
rwah	aspectjibopêşveçûnê
cyeh	mûcîze
go	aspectgnomic
tsoh	rûmet
za	aspectinchoative
jwih	moodjussive
mwih	moodpozxtxf
sloh	serketinî
prih	taybet
de	dozadistributive
