hnit	ຊົ່ວ
hnak	ກໍລະນີນາມ
hkak	ກໍລະນີໂຈດ
htak	ກໍລະນີຫົວຂໍ້
hpap	ພໍ່
hmam	ບ້ານມອມ
hyat	ຂອງຜູ້ປົກຄອງ
hcan	ສະບາຍດີ
hwik	ກໍລະນີvocative
hsuc	ບັນພະບູລຸດ
htat	ປູ່ຍ່າຕາຍາຍ
hcac	hungry
hnik	ກໍລະນີເພດ
hcit	adjective
hwan	ແລະ
hman	ຂ້າພະເຈົ້າ
hnan	ທ່ານ
hwam	ພວກເຮົາ
htit	ມັນ
htac	ກໍລະນີຈຸດຫມາຍປາຍທາງ
htik	ກໍລະນີdative
hyit	ໂປຣໄຟລທີ່ແທ້ຈິງ
htim	ໂປຣໄຟລdeontic
hcut	ໂປຣໄຟລເງື່ອນໄຂ
hsit	ໂປຣໄຟລepistemic
hyak	ກໍລະນີຄໍາ
htan	ສະພາບການພາຍໃນ
hpan	ພາບບຸກຄົນ
htin	ອານຸປະໂຫຍດເອກະລາດ
hyan	ອານຸປະໂຫຍດຂຶ້ນ
hfap	ລັກສະນະທີ່ສົມບູນແບບ
hkat	ອະດີດ
hnin	ບົດບາດຍິງຊາຍຜູ້ຊາຍ
hmak	ກໍລະນີComiter
hnat	ປັດຈຸບັນການ
hpak	ກໍລະນີກຸສົນ
swik	ກໍລະນີessive
htut	ປະລິມານnegatory
hsan	ສະພາບການດ້ານ
hpin	ກໍລະນີadpositional
hwin	ກໍລະນີສະຖານທີ່
hkan	ສະພາບພື້ນທີ່
hnac	ກໍລະນີວິທີການ
hyut	ໂປຣໄຟລຖາມ
hnam	ແລະຫຼື
hkit	ເພາະຫຼື
hsuk	ກໍລະນີທີ່ມາ
hpik	ກໍລະນີablative
hcat	ຊາຍແດນຕິດຈອດ
hmat	ການສາທິດ
hkuk	ຫາງອານຸປະໂຫຍດ
hlan	ແຕ່
hsut	ທັງຫມົດ
hyin	ປະລິມານວິທະຍາໄລ
hcin	ບົດບາດຍິງຊາຍfeminine
hpac	ຈໍານວນການອອກສຽງ
hyik	ຫນຶ່ງ
htic	ຂອງເຂົາເຈົ້າ
hkik	ຜູ້ທີ່
tcat	ອະນາຄົດ
hsin	ສະພາບການສັງຄົມ
hkac	ເມື່ອ​ໃດ​
hmip	ລັກສະນະທີ່ບໍ່ສົມບູນ
klan	ມີ
hlak	ກໍລະນີelative
hlik	ກໍລະນີillative
htam	ໂປຣໄຟລທິດ
hlat	ປະລິມານການເລືອກຕັ້ງ
hkam	ແມ່ນ​ຫຍັງ
hwat	ຄໍາຖາມ
htap	ເຊື່ອມ
hpat	ບຸກຄົນ
nyan	ຊາຍ
hkas	ສາມາດເຮັດໄດ້
tcan	ອື່ນໆ
hnuc	ຈໍານວນ
twit	ປະລິມານຍື່ນຍັນ
hsak	ສະພາບການທີ່ໃຊ້ເວລາ
htuk	ກໍລະນີໂລກ
htun	ພຽງແຕ່
htum	ໂປຣໄຟລhort
hyip	ລັກສະນະretrospective
hlit	ໂປຣໄຟລvolitional
pcic	ຕ້ອງ
tyut	ສອງ
hsat	ເບິ່ງ
hkut	ຮູ້
hcic	ລົງ
hcap	ຫຼັງຈາກ
hpam	ຄັ້ງທໍາອິດ
hlac	ການຄອບຄອງກໍາມະສິດ
hkap	ບໍ່ເຄີຍ
hnic	ການຄອບຄອງແບ່ງແຍກບໍ່ໄດ້
tyat	ອາຍຸ
tcit	ໂປຣໄຟລDelibes
tcin	ວັນ
hlam	ມາ
hwak	ສະ
hkin	ໄປ
lwak	ກໍລະນີPerl
hpip	ລັກສະນະກ້າວຫນ້າ
lyan	ຍາວ
hsac	ເວົ້າວ່າ
kyan	ວິທີການ
htas	ອີກເທື່ອຫນຶ່ງ
hsic	ທີ່ນີ້
hcik	ຄິດວ່າ
hcak	ພາຍໃຕ້ສະພາບການ
hfan	ພົບ
hsun	ມື
hyac	ຍັງ
nwan	ຫນຸ່ມ
tyit	ຕໍ່
tlan	ພຣະເຈົ້າ
twak	ກໍລະນີdelative
hmin	ບໍ່ມີຫຍັງ
hyas	ເມື່ອ
hlap	ລັກສະນະsemelfactive
kcac	ໄວ້
hyic	ເຫັນ
hcas	ບ້ານ
hwac	ໂລກ
tyin	ສາມ
hnun	neo
hcuk	ຈຸດສຸມ
pyan	ຮັກ
hsis	ສະເຫມີໄປ
hyam	ໃນຕອນກາງຄືນ
hyap	ຄົນ
hkic	ລະຫວ່າງ
hmas	ຈິດໃຈ
cyit	ຫົວໃຈ
pluc	ຈໍານວນpaucal
kyik	ເນື່ອງຈາກວ່າ
ksak	ກໍລະນີເຫດ
tcun	ເຮັດ
hnim	ຊື່
tsan	ພາສາທີ່ເຫມາະສົມ
klac	ປະເທດ
hpun	ຖາມ
cyat	ຫຼັກຖານສັງເກດເຫັນ
pcac	ດີກວ່າ
hmac	ປັດຈຸບັນ
hnas	ບໍ່ສາມາດເຮັດໄດ້
hwic	ນ້ໍາ
twim	ໂປຣໄຟລdesiderative
kwan	ແສງສະຫວ່າງ
tlat	ຄໍາ
tyan	ປະຕູ
hsas	ໃນຕອນເຊົ້າ
syat	ຈົນກ່ວາ
twik	ກໍລະນີການສິ້ນສຸດ
hpit	ສີຂາວ
pcan	ເງິນ
hyis	ທຸກ​ຍາກ
mwan	ການເສຍຊີວິດ
hfam	ຮູບແບບ
nwik	ກໍລະນີiness
kcat	ຮ່ວມກັນ
tsac	ມັກ
pyat	ຫມູ່ເພື່ອນ
psan	ເຄິ່ງຫນຶ່ງ
hpim	ໂປຣໄຟລimperative
hyuc	ໄດ້ຕະຫຼອດ
hfat	ສົ່ງ
hcis	ພັນລະຍາ
kcan	ເຊື່ອ
hsik	ສາທາລະນະ
htus	ສະພາບການຂອງລັດ
hpas	ລູກຊາຍ
clat	ເດັກນ້ອຍ
tyak	ດັ່ງນັ້ນຈຶ່ງ
cwan	ຫວັງວ່າ
syin	ທີ່ຮັກແພງ
hkuc	ສູງ
tyac	ອ່ານ
syit	ເມືອງ
