ni	ຊົ່ວ
na	ກໍລະນີນາມ
ka	ກໍລະນີໂຈດ
ta	ກໍລະນີຫົວຂໍ້
ca	ສະບາຍດີ
wu	ກໍລະນີvocative
kcah	hungry
ti	ກໍລະນີເພດ
ci	adjective
wa	ແລະ
mi	ຂ້າພະເຈົ້າ
sa	ທ່ານ
nyah	ພວກເຮົາ
ya	ມັນ
ma	ກໍລະນີຈຸດຫມາຍປາຍທາງ
yi	ກໍລະນີdative
li	ໂປຣໄຟລທີ່ແທ້ຈິງ
tu	ໂປຣໄຟລdeontic
cu	ໂປຣໄຟລເງື່ອນໄຂ
si	ໂປຣໄຟລepistemic
yu	ກໍລະນີຄໍາ
nu	ສະພາບການພາຍໃນ
pa	ພາບບຸກຄົນ
tyah	ອານຸປະໂຫຍດເອກະລາດ
la	ອານຸປະໂຫຍດຂຶ້ນ
fa	ລັກສະນະທີ່ສົມບູນແບບ
ki	ອະດີດ
ne	ບົດບາດຍິງຊາຍຜູ້ຊາຍ
mwah	ກໍລະນີComiter
ra	ປັດຈຸບັນການ
pwah	ກໍລະນີກຸສົນ
swih	ກໍລະນີessive
no	ປະລິມານnegatory
pi	ສະພາບການດ້ານ
da	ກໍລະນີadpositional
te	ກໍລະນີສະຖານທີ່
to	ສະພາບພື້ນທີ່
ga	ກໍລະນີວິທີການ
ri	ໂປຣໄຟລຖາມ
ba	ແລະຫຼື
ku	ເພາະຫຼື
so	ກໍລະນີທີ່ມາ
pwih	ກໍລະນີablative
ksah	ຊາຍແດນຕິດຈອດ
tsah	ການສາທິດ
ko	ຫາງອານຸປະໂຫຍດ
pyah	ແຕ່
wi	ປະລິມານວິທະຍາໄລ
ji	ບົດບາດຍິງຊາຍfeminine
pu	ຈໍານວນການອອກສຽງ
bi	ອະນາຄົດ
co	ສະພາບການສັງຄົມ
me	ລັກສະນະທີ່ບໍ່ສົມບູນ
klah	ມີ
twah	ກໍລະນີelative
twih	ກໍລະນີillative
di	ໂປຣໄຟລທິດ
tlah	ປະລິມານການເລືອກຕັ້ງ
kyah	ແມ່ນ​ຫຍັງ
tcah	ຄໍາຖາມ
ja	ເຊື່ອມ
cyah	ບຸກຄົນ
clah	ອື່ນໆ
do	ຈໍານວນ
tlih	ປະລິມານຍື່ນຍັນ
se	ສະພາບການທີ່ໃຊ້ເວລາ
myah	ກໍລະນີໂລກ
tyuh	ພຽງແຕ່
tcih	ໂປຣໄຟລhort
tyih	ລັກສະນະretrospective
lo	ໂປຣໄຟລvolitional
cwah	ຫຼັງຈາກ
nlah	ການຄອບຄອງກໍາມະສິດ
nlih	ການຄອບຄອງແບ່ງແຍກບໍ່ໄດ້
cyih	ໂປຣໄຟລDelibes
lwah	ກໍລະນີPerl
pfih	ລັກສະນະກ້າວຫນ້າ
tsih	ທີ່ນີ້
ce	ພາຍໃຕ້ສະພາບການ
pcah	ຍັງ
lwih	ກໍລະນີdelative
swah	ລັກສະນະsemelfactive
nyih	neo
fu	ຈຸດສຸມ
plah	ຮັກ
po	ຈໍານວນpaucal
kyih	ເນື່ອງຈາກວ່າ
ksih	ກໍລະນີເຫດ
gi	ຊື່
tfah	ພາສາທີ່ເຫມາະສົມ
crih	ຫຼັກຖານສັງເກດເຫັນ
kceh	ດີກວ່າ
dwih	ໂປຣໄຟລdesiderative
wo	ຄໍາ
srah	ຈົນກ່ວາ
tweh	ກໍລະນີການສິ້ນສຸດ
nwih	ກໍລະນີiness
pcih	ໂປຣໄຟລimperative
crah	ເຊື່ອ
ro	ສະພາບການຂອງລັດ
cwih	ຫວັງວ່າ
kwih	ຫຼັກຖານfactive
fi	ການກັບຄືນມາ
psih	ໂປຣໄຟລoptative
tseh	ໂປຣໄຟລທີ່ອາດເກີດຂຶ້ນ
lweh	ກໍລະນີallative
nrih	ບົດບາດຍິງຊາຍanthropic
tceh	ເຄື່ອງຫມາຍວິຊາດຽວກັນ
re	ວິຊາທີ່ແຕກຕ່າງກັນ
croh	ຄວາມຢ້ານກົວ
mrah	ເຂົ້າໃຈ
cyuh	ບໍ່ຕ້ອງສົງໃສ
twuh	ໂປຣໄຟລdubitative
myih	ທີ່ສວຍງາມ
lyih	ຄວາມສົນໃຈ
flah	Counterfactualເງື່ອນໄຂ
we	ກໍລະນີvialis
clih	ເຢັນ
pyih	ສັນຕິພາບ
su	ຍົກເວັ້ນ
kwah	ຄວາມປາຖະຫນາ
le	ຄວາມຍາວ
bo	ການຄາດຄະເນ
mlah	ບັນຫາໃນການ
syah	smile
slih	ນອນ
zi	undefined
twoh	ກໍລະນີອ້າງ
mo	ທ່ານລວມ
kcih	ກະລຸນາ
rwih	ໂປຣໄຟລPREC
mrih	ລົງທະບຽນທາງດ້ານການເມືອງ
rwah	ລັກສະນະໃນອະນາຄົດ
cyeh	ສິ່ງມະຫັດ
go	ລັກສະນະgnomic
tsoh	ນັບຖື
za	ລັກສະນະinchoative
