ni	bendratis
na	vardininkasatvejis
ka	galininkoatvejis
ta	temaatvejis
ca	Labas
wu	šauksmininkoatvejis
kcah	alkanas
ti	kilmininkoatvejis
ci	būdvardis
wa	ir
mi	man
sa	Jūs
nyah	mums
ya	tai
ma	paskirtiesvietaatvejis
yi	naudininkasatvejis
li	REALISnuotaika
tu	deonticnuotaika
cu	sąlyginisnuotaika
si	episteminisnuotaika
yu	instrumentinisatvejis
nu	interjeraskontekstas
pa	asmuokontekstas
tyah	gramatiniscentras
la	priklausomasišlyga
fa	Tobulasaspektas
ki	praeitisįtempti
ne	vyriškaslytis
mwah	comitativeatvejis
ra	dovanaįtempti
pwah	benefactiveatvejis
swih	essiveatvejis
no	Neigiamaiquantifier
pi	paviršiuskontekstas
da	adpositionalatvejis
te	vietaatvejis
to	erdvėkontekstas
ga	būdasatvejis
ri	klausiamasisnuotaika
ba	irarba
ku	išskirtinė-arba
so	šaltinisatvejis
pwih	įnagininkoatvejis
ksah	artimumas
tsah	demonstratyvus
ko	sąlygauodegą
pyah	bet
wi	universalusquantifier
ji	moteriškaslytis
pu	daugiskaitosskaičius
bi	ateitisįtempti
co	socialiniskontekstas
me	imperfectiveaspektas
klah	ten
twah	santykinisatvejis
twih	Išreiškiaišvadaatvejis
di	direktyvanuotaika
tlah	pasirenkamasquantifier
kyah	ką
tcah	klausimasžodis
ja	copula
cyah	asmuo
clah	kitas
do	skaičius
tlih	užsispyręsquantifier
se	laikaskontekstas
myah	laikoatvejis
tyuh	tik
tcih	Hortativenuotaika
tyih	retrospektyvusaspektas
lo	Volitivenuotaika
cwah	po
nlah	nusavinamasturėjimas
nlih	neatimamasturėjimas
cyih	svarstymonuotaika
lwah	perlativeatvejis
pfih	progresuojantisaspektas
tsih	čia
ce	pagalkontekstas
pcah	taippat
lwih	delativeatvejis
swah	semelfactiveaspektas
nyih	Neo
fu	fokusas
plah	meilė
po	paucalskaičius
kyih	nes
ksih	priežastinisatvejis
gi	Pavadinimas
tfah	tinkamasdaiktavardis
crih	matomaspagrįstasįrodymu
kceh	geriau
dwih	desiderativenuotaika
wo	žodis
srah	iki
tweh	terminativeatvejis
nwih	inessiveatvejis
pcih	imperatyvasnuotaika
crah	tikėti
ro	valstybėskontekstas
cwih	tikiuosi
kwih	priežastinispagrįstasįrodymu
fi	sugrįžimas
psih	geidžiamojinuosakanuotaika
tseh	potencialasnuotaika
lweh	allativeatvejis
nrih	žmogausveikloslytis
tceh	taspatstemažymeklis
re	kitokstema
croh	baimė
mrah	suprasti
cyuh	abejonė
twuh	dubitativenuotaika
myih	gražus
lyih	palūkanos
flah	priešingossąlyginis
we	VIALISatvejis
clih	šaltas
pyih	taika
su	išskyrus
kwah	noras
le	ilgis
bo	tikimybė
mlah	bėda
syah	šypsena
slih	miegas
zi	kotiruojamos
twoh	quotativeatvejis
mo	imtinaiasmuo
kcih	Prašom
rwih	precativenuotaika
mrih	mandagusregistruotis
rwah	būsimasaspektas
cyeh	stebėtis
go	Gnomicznyaspektas
tsoh	pagarba
za	inchoativeaspektas
jwih	Liepiamojinuotaika
mwih	liberalusnuotaika
sloh	sėkmė
prih	privatus
de	skirstomasisatvejis
tcoh	skausmas
ryah	juokas
mlih	protingas
ye	savininkiškasžymeklis
ke	commissivenuotaika
creh	tuščias
mweh	Kompletywnyaspektas
nrah	šiltas
nroh	pyktis
bwah	pyktis
trah	pasididžiavimas
mroh	moralinis
slah	sveikata
syih	socialinis
pe	nutraukimasaspektas
krih	smalsus
tfih	stiprinimo
fe	pagaliau
prah	įšalį
trih	pagrįstasįrodymu
nwah	pagrįstasįrodymuatvejis
srih	liūdnas
zo	geologinƳlytis
nweh	eventivenuotaika
cwoh	taspatsrenginysžymeklis
plih	dauginamasisatvejis
dwah	geidžiamas
kcoh	pavargęs
drah	patenkintas
lu	spekuliacinisnuotaika
frih	susipažinęsregistruotis
frah	sužeistas
mruh	kvailas
djih	užuojauta
krah	dėkoti
cruh	gėda
fyah	frazėžymeklis
ryih	išankstonumatyti
kruh	kartus
tyeh	tekstas
kreh	žiaurus
tleh	hesternalįtempti
kfah	auka
dyih	nekęsti
cloh	racionaluslytis
nloh	mėgautis
psah	neviltis
sleh	augalinislytis
nruh	nekaltas
drih	susižavėjimas
sroh	malonė
brih	bazė
kluh	painiava
bwih	palaiminimasnuotaika
klih	kaltas
grih	neišmanantis
nyeh	iniciatyvaatvejis
nleh	nuolankus
dlih	atidėtasimperatyvas
proh	pranešėpagrįstasįrodymu
mloh	melancholija
du	vienaskaitos
jrih	kantrybė
freh	referuoto
kloh	vienišas
kroh	žavesys
tcuh	entuziazmas
kcuh	indukcinisnuotaika
xa	diskursaskontekstas
nreh	nervų
pseh	aspektas
ge	agentas
mu	perspėjimasnuotaika
byah	ambicija
pcoh	perpildytas
treh	tiesioginispagrįstasįrodymu
yo	sumanusnuotaika
cwuh	šokas
tloh	naujaspraeitisįtempti
dlah	neabejotinasstraipsnis
cluh	bjaurus
myuh	humoras
dyah	distalinėsdemonstratyvus
rwuh	pavydus
troh	prakeikiantisnuotaika
dzih	abejingumas
swuh	arogantiškasnuotaika
bzah	juokas
gwih	būtent
dloh	hodiernalįtempti
dweh	delimitativeaspektas
kweh	išskirtinisasmuo
truh	temperatūra
tfeh	TELICaspektas
lyeh	atelicaspektas
ru	neįperkamasnuotaika
kfih	vaikiškas
cyoh	įtartinas
nluh	lojalumas
cweh	gaudyklė
nwoh	animacinis
sruh	suvirpinti
ksoh	seksualinis
lyah	tingus
mreh	momentaneaspektas
pceh	apgailestavo,
bjih	buvęsvelionis
pcuh	neapibrėžtumas
xi	įprastasaspektas
blih	apriboti
tsuh	trivialus
fwih	didingas
grah	gražus
brah	savavališkas
cleh	palankus
sreh	formalusregistruotis
pfah	naudingas
droh	girdimasispagrįstasįrodymu
flih	Netiesiogiaipagrįstasįrodymu
sweh	sublativeatvejis
ksuh	deklaratyvusnuotaika
pleh	privilegijuotas
psoh	nenugalimas
be	žodinis
mwoh	svajingumas
kleh	menkystė
glah	godumas
kseh	teigiamasnuotaika
zrah	nepasitenkinimas
dyoh	saviskambių
syoh	awed
gwah	perdėtasatvejis
zlih	irrealisnuotaika
zrih	drovumas
byih	pritaikymas
ryeh	įvardisžymeklis
fwah	kuklus
bjah	ekstaziškas
kxah	šaltakraujiškumas
gvih	pegativeatvejis
pxih	apgynimas
xrah	baigiasi
tfoh	nuošiol
kxih	atgaila
ryoh	prosecutiveatvejis
qyah	susirūpinimas
r6	dalyvis
txah	Nuotolinispraeitisįtempti
xrih	istorinisįtempti
dxah	dvigubasskaičius
syuh	Super
vweh	persidirbęs
n6	sensorinispagrįstasįrodymunuotaika
bweh	manija
xlih	labailinksmas
txih	skaudėti
sluh	savarankiškaipatenkinti
txoh	judėjimasįkalną
xe	retrospektyvus
pxah	apgauti
vwah	judėjimasžemyn
xyih	elitas
fleh	fleksyjnych
psuh	superessiveatvejis
syeh	satyras
qi	pereinamas
xruh	susigūžti
zwah	Oho
tr6h	judėjimasPriešsrovę
qwah	siekių
xlah	pasaulinis
tyoh	negalininkinis
tluh	atoslūgis
qa	dabartinisaktualumasžymeklis
kxoh	šuopavargęs
rwoh	kelintinis
ve	vektorius
kyoh	kilogramas
swoh	nuoseklus
pxeh	dalijamasisatvejis
txeh	patobulintus
dxih	predikatinis
pxoh	prolativeatvejis
pfoh	užfrazė
blah	Zblazowany
fyih	nežmogaus
xo	aktoriusvaidmuo
pc6h	bandomasisskaičius
greh	orientuotasatvejis
groh	tikslasgaidukas
dxoh	vidurysbalsas
rweh	įstrižasatvejis
xwah	pacientasatvejis
xu	priešhodiernal
xroh	susidėvėti
ks6h	priežastinis
vi	dvejetainisvertė
dleh	modalinisatvejis
gjeh	dar-jei
xreh	bendradarbis
lwoh	vietininkasatvejis
ml6h	multalskaičius
gjih	galaktikalytis
qlah	žvaigždėlytis
bvih	abessiveatvejis
dvah	adessiveatvejis
je	agentiveatvejis
t6	agentasgaidukas
kxeh	įatvejis
gxih	bendraslytis
tc6h	citataforma
ts6h	Transskaitvardis
ryuh	tiesioginisobjektas
gveh	ergatyvinisatvejis
pyoh	pasyvusbalsas
qe	baigtinisveiksmažodis
xwih	pagrindinisobjektas
myoh	Gnomicznynuotaika
vrih	galutinisdalelė
va	evitativeatvejis
bveh	subessiveatvejis
dxeh	apsėstasatvejis
dvih	liacinėsatvejis
tsa7h	antessiveatvejis
dyeh	prieveiksminisatvejis
mleh	pagyvintilytis
pfeh	empatiškasdžiaugsmas
xleh	transportopriemonėlytis
qlih	mineralinislytis
xloh	žodinisdaiktavardis
dreh	antrakalba
bvah	savarankiškaipasitikėjimas
qrah	pokytisišrenginys
fo	kitoksrenginys
sl6h	crastinalįtempti
fyoh	sangrąžinisbalsas
bxih	visatalytis
jlih	pereinamasveiksmažodis
kyeh	vietovėlytis
txuh	tyrimaslytis
s6	meninislytis
preh	pacientasgaidukas
sr6h	abstraktuslytis
nyoh	netiesioginiskalbos
zreh	exocentricatvejis
kfeh	praeitisTobulas
jo	beasmenisveiksmažodis
kxuh	kolektyvasdaiktavardis
bu	absolutiveatvejis
qrih	planetinislytis
kfoh	šerdisbenefactive
kwoh	asociatyvusatvejis
pluh	aukščiausiasatvejis
jrah	elektrosdabartinis
glih	negyvaslytis
p6	propositivenuotaika
vrah	abipusisbalsas
lyuh	nuoseklusišlyga
gleh	greitaiateitisįtempti
lyoh	TAIKOMOSIOSbalsas
ps6h	antipassivebalsas
tfuh	Continuativeaspektas
nr6h	necessitativenuotaika
pr6h	pasyvusdalyvis
sy6h	egzistencinisišlyga
qyih	šviečiantisintensyvumas
gluh	singulativeskaičius
kwuh	perdėtastrukmė
xyah	vienasveiksmasveiksmažodis
vlih	aukščiausiaslaipsnis
djah	dovanadalyvis
m6	sumaišmedžiaga
ti7	jungiamasisdalelė
f6	epentetinismorpheme
tli7h	Nuotolinisateitisįtempti
si_	postpositionalatvejis
l6	Kreipimasissusitarimas
k6	dažninisaspektas
bzih	skirstomasisįvardis
tu7	slankauskablelionumeris
vo	veiksmažodžiopriesaga-
ki7	praeitispasyvusdalyvis
ta_	vietininkaskryptiesatvejis
