hnit	bendratis
hnak	vardininkasatvejis
hkak	galininkoatvejis
htak	temaatvejis
hpap	tėtis
hmam	mama
hyat	tėvų
hcan	Labas
hwik	šauksmininkoatvejis
hsuc	protėvis
htat	senelių
hcac	alkanas
hnik	kilmininkoatvejis
hcit	būdvardis
hwan	ir
hman	man
hnan	Jūs
hwam	mums
htit	tai
htac	paskirtiesvietaatvejis
htik	naudininkasatvejis
hyit	REALISnuotaika
htim	deonticnuotaika
hcut	sąlyginisnuotaika
hsit	episteminisnuotaika
hyak	instrumentinisatvejis
htan	interjeraskontekstas
hpan	asmuokontekstas
htin	gramatiniscentras
hyan	priklausomasišlyga
hfap	Tobulasaspektas
hkat	praeitisįtempti
hnin	vyriškaslytis
hmak	comitativeatvejis
hnat	dovanaįtempti
hpak	benefactiveatvejis
swik	essiveatvejis
htut	Neigiamaiquantifier
hsan	paviršiuskontekstas
hpin	adpositionalatvejis
hwin	vietaatvejis
hkan	erdvėkontekstas
hnac	būdasatvejis
hyut	klausiamasisnuotaika
hnam	irarba
hkit	išskirtinė-arba
hsuk	šaltinisatvejis
hpik	įnagininkoatvejis
hcat	artimumas
hmat	demonstratyvus
hkuk	sąlygauodegą
hlan	bet
hsut	visi
hyin	universalusquantifier
hcin	moteriškaslytis
hpac	daugiskaitosskaičius
hyik	vienas
htic	jų
hkik	kas
tcat	ateitisįtempti
hsin	socialiniskontekstas
hkac	kada
hmip	imperfectiveaspektas
klan	ten
hlak	santykinisatvejis
hlik	Išreiškiaišvadaatvejis
htam	direktyvanuotaika
hlat	pasirenkamasquantifier
hkam	ką
hwat	klausimasžodis
htap	copula
hpat	asmuo
nyan	Vyras
hkas	galėtų
tcan	kitas
hnuc	skaičius
twit	užsispyręsquantifier
hsak	laikaskontekstas
htuk	laikoatvejis
htun	tik
htum	Hortativenuotaika
hyip	retrospektyvusaspektas
hlit	Volitivenuotaika
pcic	turi
tyut	du
hsat	pamatyti
hkut	žinoti
hcic	žemyn
hcap	po
hpam	pirmas
hlac	nusavinamasturėjimas
hkap	niekada
hnic	neatimamasturėjimas
tyat	senas
tcit	svarstymonuotaika
tcin	diena
hlam	ateiti
hwak	balsis
hkin	eiti
lwak	perlativeatvejis
hpip	progresuojantisaspektas
lyan	ilgai
hsac	pasakyti
kyan	kaip
htas	vėl
hsic	čia
hcik	galvoti
hcak	pagalkontekstas
hfan	rasti
hsun	ranka
hyac	taippat
nwan	jaunas
tyit	prieš
tlan	dievas
twak	delativeatvejis
hmin	niekas
hyas	kartą
hlap	semelfactiveaspektas
kcac	įkairę
hyic	pjūklas
hcas	namas
hwac	pasaulis
tyin	trys
hnun	Neo
hcuk	fokusas
pyan	meilė
hsis	visada
hyam	naktis
hyap	karalius
hkic	tarp
hmas	protas
cyit	širdis
pluc	paucalskaičius
kyik	nes
ksak	priežastinisatvejis
tcun	padaryta
hnim	Pavadinimas
tsan	tinkamasdaiktavardis
klac	šalis
hpun	paklausė
cyat	matomaspagrįstasįrodymu
pcac	geriau
hmac	momentas
hnas	negali
hwic	vanduo
twim	desiderativenuotaika
kwan	šviesa
tlat	žodis
tyan	durys
hsas	rytas
syat	iki
twik	terminativeatvejis
hpit	baltas
pcan	pinigai
hyis	prastas
mwan	mirtis
hfam	forma
nwik	inessiveatvejis
kcat	kartu
tsac	dažnai
pyat	draugas
psan	pusė
hpim	imperatyvasnuotaika
hyuc	turas
hfat	išsiuntė
hcis	žmona
kcan	tikėti
hsik	visuomenės
htus	valstybėskontekstas
hpas	sūnus
clat	vaikai
tyak	taip
cwan	tikiuosi
syin	brangusis
hkuc	aukštas
tyac	skaityti
syit	miestas
hlic	jau
hfit	priežastinispagrįstasįrodymu
tcac	mergina
hcun	Klausyk
ksan	mažiau
hyaf	gal
kyat	išties
tcic	kūnas
hwit	sugrįžimas
cwat	oro
hfaf	teisė
hput	padėti
lyat	laiškas
ksas	keturi
hpic	geidžiamojinuosakanuotaika
hfuk	ugnis
hcam	valanda
twat	karas
kyak	keletas
tlit	antra
pcin	už
hmut	prarastas
clan	tūkstantis
hfac	šeimos
twan	siela
hwas	klausimas
syan	tiesa
htis	gamyba
tsat	potencialasnuotaika
lwik	allativeatvejis
nyin	žmogausveikloslytis
hfak	penki
tcak	taspatstemažymeklis
htuc	kitokstema
hnap	atsakymas
hmit	jūra
hcuc	baimė
pcat	suprasti
syas	sąlygos
hcaf	abejonė
twut	dubitativenuotaika
hkis	juodas
tlak	atnešti
hyus	gražus
nyit	rūšiuoti
htip	dešimt
ksis	istorija
hpuk	knyga
hlin	elektroninis
hkun	sąskaita
lyas	palūkanos
lyit	rašyti
pwat	lova
hnis	amžius
hnut	priešingossąlyginis
