hnit	matoanteny
hnak	Anaranatranga
hkak	Opentranga
htak	lohahevitratranga
hpap	Dada
hmam	Neny
hyat	rayaman-dreny
hcan	Salama
hwik	Zavatratsytranga
hsuc	razana
htat	raibesyrenibe
hcac	noana
hnik	Anaranatranga
hcit	mpamaritra
hwan	ary
hman	ahy
hnan	ianao
hwam	antsika
htit	izany
htac	toeranahalehanytranga
htik	Anaranatranga
hyit	realistoe-po
htim	deontictoe-po
hcut	fepetratoe-po
hsit	epistemictoe-po
hyak	Zavatratranga
htan	Interiortenymanodidina
hpan	olonatenymanodidina
htin	tsymiankinafepetra
hyan	miankinafepetra
hfap	perfectivelafiny
hkat	lasahenjana
hnin	Anaranaiombonanaamin&#39;nylahysynyvavy
hmak	comitativetranga
hnat	ankehitriny
hpak	benefactivetranga
swik	essivetranga
htut	negatoryquantifier
hsan	surfacetenymanodidina
hpin	adpositionaltranga
hwin	toeranatranga
hkan	toeranatenymanodidina
hnac	fombatranga
hyut	interrogativetoe-po
hnam	aryna
hkit	ireryna
hsuk	loharanotranga
hpik	Anaranatranga
hcat	akaiky
hmat	demonstrative
hkuk	fepetrarambony
hlan	fa
hsut	rehetra
hyin	rehetraizaoquantifier
hcin	SAMPAtsyampyamin&#39;nylahysynyvavy
hpac	tenyisa
hyik	iray
htic	ny
hkik	izay
tcat	hoavyhenjana
hsin	ara-tsosialytenymanodidina
hkac	rahoviana
hmip	imperfectivelafiny
klan	Ery
hlak	elativetranga
hlik	Hamoronakaontytranga
htam	toromarikatoe-po
hlat	fifidiananaquantifier
hkam	inona
hwat	fanontanianateny
htap	copula
hpat	olona
nyan	lahy
hkas	afaka
tcan	hafa
hnuc	isa
twit	assertivequantifier
hsak	nytenymanodidina
htuk	trangaara-nofo
htun	ihany
htum	hortativetoe-po
hyip	retrospectivelafiny
hlit	volitivetoe-po
pcic	diatsymaintsy
tyut	roa
hsat	jereo
hkut	mahalala
hcic	midina
hcap	rehefa
hpam	voalohany
hlac	alienablefananany
hkap	naoviananaoviana
hnic	azoesorinafananany
tyat	antitra
tcit	fandinihanatoe-po
tcin	andro
hlam	hoavy
hwak	zana-tsoratra
hkin	mandeha
lwak	perlativetranga
hpip	miandalanalafiny
lyan	ela
hsac	milaza
kyan	Ahoana
htas	indray
hsic	Eto
hcik	mieritreritra
hcak	teoambanin&#39;nytenymanodidina
hfan	hita
hsun	tanana
hyac	koa
nwan	tanora
tyit	manohitra
tlan	andriamanitra
twak	delativetranga
hmin	nainonanainona
hyas	indraymandeha
hlap	semelfactivelafiny
kcac	sisa
hyic	tsofa
hcas	trano
hwac	izaotontoloizao
tyin	telo
hnun	Neo
hcuk	ifantohana
pyan	fitiavana
hsis	foana
hyam	alina
hyap	mpanjaka
hkic	eo
hmas	-tsaina
cyit	am-po
pluc	paucalisa
kyik	satria
ksak	causaltranga
tcun	vita
hnim	anarana
tsan	anaranaiombonana
klac	firenena
hpun	nanontany
cyat	hitaevidential
pcac	tsarakokoa
hmac	fotoana
hnas	tsyafaka
hwic	rano
twim	desiderativetoe-po
kwan	fahazavana
tlat	teny
tyan	av
hsas	maraina
syat	mandra-
twik	terminativetranga
hpit	fotsy
pcan	nyvola
hyis	mahantra
mwan	fahafatesana
hfam	teny
nwik	inessivetranga
kcat	miaraka
tsac	matetika
pyat	namana
psan	antsasany
hpim	filazamandidynytoe-po
hyuc	manodidina
hfat	naniraka
hcis	vady
kcan	mino
hsik	-bahoaka
htus	panjakanatenymanodidina
hpas	zanak&#39;i
clat	ankizy
tyak	diatoyizanyno
cwan	manantena
syin	malala
hkuc	ambony
tyac	vakiony
syit	tanàna
hlic	efa
hfit	factiveevidential
tcac	ankizivavy
hcun	Mihainoa
ksan	kelyindrindra
hyaf	angamba
kyat	tokoa
tcic	vatana
hwit	hiverina
cwat	rivotra
hfaf	lalàna
hput	Vonjeo
lyat	taratasy
ksas	efatra
hpic	optativetoe-po
hfuk	afo
hcam	ora
twat	ady
kyak	maro
tlit	faharoa
pcin	aoriana
hmut	very
clan	arivo
hfac	family
twan	fanahy
hwas	fanontaniana
syan	fahamarinana
htis	kevitra
tsat	metyhotoe-po
lwik	allativetranga
nyin	anthropiclahysynyvavy
hfak	dimy
tcak	foto-kevitrairayihanyfanamarihanatoerana
htuc	foto-kevitrasamyhafa
hnap	valiny
hmit	ranomasina
hcuc	tahotra
pcat	hahatakatra
syas	Anaranaiombonana
hcaf	antoka
twut	dubitativetoe-po
hkis	mainty
tlak	mitondra
hyus	tsaratarehy
nyit	sort
htip	folo
ksis	Tantara
hpuk	boky
hlin	elektronika
hkun	kaonty
lyas	liana
lyit	manoratra
pwat	fandriana
hnis	taona
hnut	counterfactualfepetra
slas	kanto
hwis	vialisraharaha
pyak	rahalahy
lyin	tsipika
tyas	table
hyun	river
kyac	maso
tfan	tampoka
kcin	lalina
hmuc	tanjona
cyac	ra
hmap	nitsangana
tlin	hatsiaka
hyif	handroso
tyam	tara
hnaf	Aokahatao
hkip	efaho
myan	mine
tsin	fahalalana
hkup	dikamitovy
hsam	lahy
hlis	enina
cwit	velona
cyan	fandriampahalemana
myat	tsarovy
tyic	voajanahary
hfut	latsaka
swas	fanompoana
hsap	afa-tsy
pcit	Copyright
hyim	tafika
kyas	soavaly
plic	hoavy
pcak	west
hpis	vola
hyuk	mena
hwun	volamena
twin	faniriana
plan	milalao
hpus	birao
syun	fitondram-panjakana
kyic	fiangonana
htaf	hery
hlun	halavan&#39;ny
kyin	orinasa
kyis	taratasy
mlan	mety
hcim	indrindra
cyas	hitondra
twac	varavarankely
nyat	hatsaran-tarehy
hcus	farany
htup	adidy
htif	lavitra
pyas	tongotra
hlas	bibidia
ksin	maitso
hmaf	fahoriana
myac	tsiky
hsim	torimaso
kyit	undefined
kwik	quotativetranga
fwan	fitsidihana
slan	manaraka
psit	anatrehan&#39;ny
hmic	mamy
hmuf	vava
hfin	manan-karena
tcam	fahavalo
psuk	tapaka
kcap	sambo
pwan	manavakaolona
hfic	fitarihana
tcuc	hita
hkim	zava-miafina
pyin	Mbamiangavyre
pwit	precativetoe-po
pyit	nahalalafombafiraketana
cwak	ratsy
myak	diabe
tcas	toerana
hlaf	mijanona
psat	fatsy
nlan	manga
psac	azoatao
kcuk	am-pianarana
kcit	manambady
kcak	sakafo
syis	roa-polo
tlac	mangina
hcip	tendrenaholafiny
kwin	manome
tsit	nitsahatra
pyac	teny
hsus	herinandro
hcup	efitrano
cyap	manontanytena
tfin	Teraka
fyat	fitsarana
hnip	gnomiclafiny
tsak	fanajana
tlas	mendrika
syuc	hazo
plat	rindrina
cyak	anyan-danitra
twip	inchoativelafiny
mlat	didy
swit	jussivetoe-po
mwas	volana
hwaf	tongalafatra
tyap	traikefa
ksac	toe-javatra
syac	vaovao
hnuk	loham-
kwak	nandrakotra
