ni	matoanteny
na	Anaranatranga
ka	Opentranga
ta	lohahevitratranga
ca	Salama
wu	Zavatratsytranga
kcah	noana
ti	Anaranatranga
ci	mpamaritra
wa	ary
mi	ahy
sa	ianao
nyah	antsika
ya	izany
ma	toeranahalehanytranga
yi	Anaranatranga
li	realistoe-po
tu	deontictoe-po
cu	fepetratoe-po
si	epistemictoe-po
yu	Zavatratranga
nu	Interiortenymanodidina
pa	olonatenymanodidina
tyah	tsymiankinafepetra
la	miankinafepetra
fa	perfectivelafiny
ki	lasahenjana
ne	Anaranaiombonanaamin&#39;nylahysynyvavy
mwah	comitativetranga
ra	ankehitriny
pwah	benefactivetranga
swih	essivetranga
no	negatoryquantifier
pi	surfacetenymanodidina
da	adpositionaltranga
te	toeranatranga
to	toeranatenymanodidina
ga	fombatranga
ri	interrogativetoe-po
ba	aryna
ku	ireryna
so	loharanotranga
pwih	Anaranatranga
ksah	akaiky
tsah	demonstrative
ko	fepetrarambony
pyah	fa
wi	rehetraizaoquantifier
ji	SAMPAtsyampyamin&#39;nylahysynyvavy
pu	tenyisa
bi	hoavyhenjana
co	ara-tsosialytenymanodidina
me	imperfectivelafiny
klah	Ery
twah	elativetranga
twih	Hamoronakaontytranga
di	toromarikatoe-po
tlah	fifidiananaquantifier
kyah	inona
tcah	fanontanianateny
ja	copula
cyah	olona
clah	hafa
do	isa
tlih	assertivequantifier
se	nytenymanodidina
myah	trangaara-nofo
tyuh	ihany
tcih	hortativetoe-po
tyih	retrospectivelafiny
lo	volitivetoe-po
cwah	rehefa
nlah	alienablefananany
nlih	azoesorinafananany
cyih	fandinihanatoe-po
lwah	perlativetranga
pfih	miandalanalafiny
tsih	Eto
ce	teoambanin&#39;nytenymanodidina
pcah	koa
lwih	delativetranga
swah	semelfactivelafiny
nyih	Neo
fu	ifantohana
plah	fitiavana
po	paucalisa
kyih	satria
ksih	causaltranga
gi	anarana
tfah	anaranaiombonana
crih	hitaevidential
kceh	tsarakokoa
dwih	desiderativetoe-po
wo	teny
srah	mandra-
tweh	terminativetranga
nwih	inessivetranga
pcih	filazamandidynytoe-po
crah	mino
ro	panjakanatenymanodidina
cwih	manantena
kwih	factiveevidential
fi	hiverina
psih	optativetoe-po
tseh	metyhotoe-po
lweh	allativetranga
nrih	anthropiclahysynyvavy
tceh	foto-kevitrairayihanyfanamarihanatoerana
re	foto-kevitrasamyhafa
croh	tahotra
mrah	hahatakatra
cyuh	antoka
twuh	dubitativetoe-po
myih	tsaratarehy
lyih	liana
flah	counterfactualfepetra
we	vialisraharaha
clih	hatsiaka
pyih	fandriampahalemana
su	afa-tsy
kwah	faniriana
le	halavan&#39;ny
bo	mety
mlah	fahoriana
syah	tsiky
slih	torimaso
zi	undefined
twoh	quotativetranga
mo	manavakaolona
kcih	Mbamiangavyre
rwih	precativetoe-po
mrih	nahalalafombafiraketana
rwah	tendrenaholafiny
cyeh	manontanytena
go	gnomiclafiny
tsoh	fanajana
za	inchoativelafiny
jwih	jussivetoe-po
mwih	hilefitratoe-po
sloh	fahombiazana
prih	tsymiankina
de	distributivetranga
tcoh	fanaintainana
ryah	laugh
mlih	hendry
ye	possessivefanamarihanatoerana
ke	commissivetoe-po
creh	zava-poana
mweh	completivelafiny
nrah	mafana
nroh	fahatezerana
bwah	nadiateoaza
trah	nyavonavona
mroh	fitondran-tena
slah	fahasalamana
syih	ara-tsosialy
pe	cessativelafiny
krih	liana
tfih	intensifier
fe	farany
prah	kely
trih	evidential
nwah	evidentialtranga
srih	mampalahelo
zo	zoiclahysynyvavy
nweh	eventivetoe-po
cwoh	hetsikaihanyfanamarihanatoerana
plih	multiplicativetranga
dwah	irina
kcoh	reraka
drah	afa-po
lu	tombantombanatoe-po
frih	mahazatrafiraketana
frah	naratra
mruh	adala
djih	fiaraha-miory
krah	misaotra
cruh	henatra
fyah	andian-tenyfanamarihanatoerana
ryih	undefined
kruh	mangidy
tyeh	lahatsoratra
kreh	lozabe
tleh	hesternalhenjana
kfah	sorona
dyih	mankahala
cloh	misainalahysynyvavy
nloh	mankafy
psah	kivy
sleh	vegetallahysynyvavy
nruh	tsymanan-tsiny
drih	fankasitrahana
sroh	famelan-keloka
brih	base
kluh	fifanjevoana
bwih	benedictivetoe-po
klih	meloka
grih	tsynahalala
nyeh	hetsikatranga
nleh	manetrytena
dlih	tarafilazamandidyny
proh	nitatitraevidential
mloh	alahelo
du	Anaranaiombonana
jrih	faharetana
freh	referential
kloh	manirery
kroh	hatsarany
tcuh	hafanam-po
kcuh	inductivetoe-po
xa	kabarytenymanodidina
nreh	natahotra
pseh	lafiny
ge	mpandraharaha
mu	admonitivetoe-po
byah	faniriana
pcoh	feno
treh	mivantanaevidential
yo	Natahotratoe-po
cwuh	tohina
tloh	vaohainganalasahenjana
dlah	voafaritra
cluh	ratsytarehy
myuh	hatsikana
dyah	distaldemonstrative
rwuh	saro-piaro
troh	imprecativetoe-po
dzih	tsyfiraharahiana
swuh	assumptivetoe-po
bzah	jest
gwih	izanyhoe
dloh	hodiernalhenjana
dweh	delimitativelafiny
kweh	irerynyolona
truh	hafanana
tfeh	teliclafiny
lyeh	ateliclafiny
ru	prohibitivetoe-po
kfih	jaza
cyoh	mampiahiahy
nluh	tsyfivadihana
cweh	fandrika
nwoh	Animated
sruh	mampangitakitaka
ksoh	firaisanaara-nofo
lyah	kamo
mreh	momentanelafiny
pceh	undefined
bjih	teoalohanodimandry
pcuh	nytsyfahazoanaantoka
xi	zatralafiny
blih	atsy
tsuh	misydikany
fwih	malaza
grah	undefined
brah	jadona
cleh	undefined
sreh	formalfiraketana
pfah	mahasoa
droh	havananaamin&#39;nysofinaevidential
flih	inferentialevidential
sweh	sublativetranga
ksuh	voambaratoe-po
pleh	tombontsoa
psoh	undefined
be	am-bava
mwoh	undefined
kleh	undefined
glah	fitiavam-bolatafahoatra
kseh	affirmativetoe-po
zrah	tsyfahafaham-po
dyoh	ideophone
syoh	undefined
gwah	exessivetranga
zlih	irrealistoe-po
zrih	menatra
byih	fampifanarahana
ryeh	mpisolofanamarihanatoerana
fwah	mihafysymitsi-
bjah	undefined
kxah	equanimity
gvih	pegativetranga
pxih	fanamarinana
xrah	undefined
tfoh	undefined
kxih	fanenenana
ryoh	prosecutivetranga
qyah	preoccupation
r6	teny
txah	mitokanalasahenjana
xrih	manan-tantarahenjana
dxah	fiavianaroaisa
syuh	Super
vweh	undefined
n6	vavahadinevidentialtoe-po
bweh	obsession
xlih	mahatsikaiky
txih	undefined
sluh	undefined
txoh	mihetsikamanatrikailayhavoana
xe	retrospective
pxah	undefined
vwah	mihetsikadownhill
xyih	sangany
fleh	fototeny
psuh	superessivetranga
syeh	undefined
qi	:transitive
xruh	natahoran&#39;i
zwah	Wow
tr6h	mihetsikaupriver
qwah	undefined
xlah	maneran-tany
tyoh	Endrika:intransitive
tluh	anticlimax
qa	dehibeamin&#39;izaofotoanaizaofanamarihanatoerana
kxoh	undefined
rwoh	ordinal
ve	Vector
kyoh	undefined
swoh	sequential
pxeh	partitivatranga
txeh	augmentative
dxih	predicative
pxoh	prolativetranga
pfoh	mpombaandian-teny
blah	blase
fyih	tsyolombelona
xo	mpilalaoanjara
pc6h	fitsaranaisa
greh	centrictranga
groh	tanjonatrigger
dxoh	afovoanyfeo
rweh	obliquetranga
xwah	mararytranga
xu	prehodiernal
xroh	rovitra
ks6h	causative
vi	mimari-droasanda
dleh	Modalraharaha
gjeh	hafaraha
xreh	mpiara-miasa
lwoh	locativetranga
ml6h	multalisa
gjih	vahindanitralahysynyvavy
qlah	kintanalahysynyvavy
bvih	abessivetranga
dvah	adessivetranga
je	agentivetranga
t6	mpandraharahatrigger
kxeh	nyraharaha
gxih	iombonanalahysynyvavy
tc6h	ambadikateny
ts6h	transsexuelleAnaranaiombonana
ryuh	mivantanazavatra
gveh	ergativetranga
pyoh	matoantenin&#39;nyataofeo
qe	voafetranymatoantenyamin&#39;ny
xwih	Kilongazavatra
myoh	gnomictoe-po
vrih	faranysombiny
va	evitativetranga
bveh	subessivetranga
dxeh	nahazotranga
dvih	lativetranga
tsa7h	antessivetranga
dyeh	fanononanatranga
mleh	selan&#39;izylahysynyvavy
pfeh	nangorakafifaliana
xleh	fiaralahysynyvavy
qlih	mineralylahysynyvavy
xloh	am-bavaiombonana
dreh	faharoateny
bvah	tenamatoky
qrah	fanovananyhetsika
fo	hetsikasamihafa
sl6h	crastinalhenjana
fyoh	taitaitrafeo
bxih	izaorehetraizaoMiralenta
jlih	Endrikynymatoantenyamin&#39;ny:transitive
kyeh	asezarelahysynyvavy
txuh	fikarohanalahysynyvavy
s6	kantolahysynyvavy
preh	mararytrigger
sr6h	saro-takarinalahysynyvavy
nyoh	indirectteny
zreh	exocentrictranga
kfeh	lasaperfective
jo	tsymanananymahaEndrikynymatoantenyamin&#39;ny
kxuh	iombonanaiombonana
bu	absolutivetranga
qrih	planetalahysynyvavy
kfoh	fototrabenefactive
kwoh	associativetranga
pluh	indrindratranga
jrah	herinaratra
