hnit	tūmahi
hnak	takenominative
hkak	takeaccusative
htak	takekaupapa
hpap	papa
hmam	mama
hyat	mātua
hcan	hello
hwik	takevocative
hsuc	tupuna
htat	tipuna
hcac	hiakai
hnik	takepūriro
hcit	kupuāhua
hwan	a
hman	ahau
hnan	koe
hwam	tatou
htit	reira
htac	takeūnga
htik	takedative
hyit	hurutūturu
htim	hurudeontic
hcut	huruhere
hsit	huruepistemic
hyak	takemauhaa
htan	horopakiroto
hpan	tangatahoropaki
htin	raramotuhake
hyan	rarati&#39;aturi
hfap	āhuatangaperfective
hkat	kukūmua
hnin	iratautāne
hmak	takecomitative
hnat	hakarikukū
hpak	takebenefactive
swik	takeessive
htut	quantifiernegatory
hsan	horopakimata
hpin	takeadpositional
hwin	taketauwāhi
hkan	horopakiwāhi
hnac	takeara
hyut	hurutūpātai
hnam	aranei
hkit	motuhakeranei
hsuk	takepūtake
hpik	takeablative
hcat	pātata
hmat	fakahāhaa&#39;i
hkuk	rarahiku
hlan	engari
hsut	katoa
hyin	quantifierao
hcin	irawahine
hpac	tauvahine
hyik	kotahi
htic	ratou
hkik	nei
tcat	hekemaikukū
hsin	horopakipāpori
hkac	ka
hmip	āhuatangaimperfective
klan	reira
hlak	takeelative
hlik	takeillative
htam	hurufakahinohino
hlat	quantifierfili
hkam	aha
hwat	kupupātai
htap	copula
hpat	tangata
nyan	tane
hkas	taea
tcan	tetahiatu
hnuc	tau
twit	quantifierrangatira
hsak	horopakiwā
htuk	takepaetino
htun	anake
htum	huruhortative
hyip	āhuatangakimuri
hlit	huruvolitive
pcic	me
tyut	rua
hsat	kite
hkut	mohio
hcic	kiraro
hcap	imurii
hpam	tuatahi
hlac	kaingahoko,
hkap	ekore
hnic	kaingahere
tyat	tawhito
tcit	huruconlmued
tcin	ra
hlam	haeremai
hwak	oropuare
hkin	haere
lwak	takeperlative
hpip	āhuatangaahuwhakamua
lyan	roa
hsac	mea
kyan	pehea
htas	ano
hsic	konei
hcik	whakaaro
hcak	iraroitehoropaki
hfan	kitea
hsun	ringa
hyac	hoki
nwan	taitamariki
tyit	ki
tlan	atua
twak	takedelative
hmin	kahore
hyas	kotahi
hlap	āhuatangasemelfactive
kcac	mahue
hyic	kite
hcas	whare
hwac	ao
tyin	etoru
hnun	neo
hcuk	arotahi
pyan	aroha
hsis	tonu
hyam	po
hyap	kingi
hkic	iwaenganuii
hmas	whakaaro
cyit	ngakau
pluc	taupaucal
kyik	notemea
ksak	takecausal
tcun	mahia
hnim	ingoa
tsan	nountika
klac	whenua
hpun	ui
cyat	taunakitangakitea
pcac	pai
