ni	tūmahi
na	takenominative
ka	takeaccusative
ta	takekaupapa
ca	hello
wu	takevocative
kcah	hiakai
ti	takepūriro
ci	kupuāhua
wa	a
mi	ahau
sa	koe
nyah	tatou
ya	reira
ma	takeūnga
yi	takedative
li	hurutūturu
tu	hurudeontic
cu	huruhere
si	huruepistemic
yu	takemauhaa
nu	horopakiroto
pa	tangatahoropaki
tyah	raramotuhake
la	rarati&#39;aturi
fa	āhuatangaperfective
ki	kukūmua
ne	iratautāne
mwah	takecomitative
ra	hakarikukū
pwah	takebenefactive
swih	takeessive
no	quantifiernegatory
pi	horopakimata
da	takeadpositional
te	taketauwāhi
to	horopakiwāhi
ga	takeara
ri	hurutūpātai
ba	aranei
ku	motuhakeranei
so	takepūtake
pwih	takeablative
ksah	pātata
tsah	fakahāhaa&#39;i
ko	rarahiku
pyah	engari
wi	quantifierao
ji	irawahine
pu	tauvahine
bi	hekemaikukū
co	horopakipāpori
me	āhuatangaimperfective
klah	reira
twah	takeelative
twih	takeillative
di	hurufakahinohino
tlah	quantifierfili
kyah	aha
tcah	kupupātai
ja	copula
cyah	tangata
clah	tetahiatu
do	tau
tlih	quantifierrangatira
se	horopakiwā
myah	takepaetino
tyuh	anake
tcih	huruhortative
tyih	āhuatangakimuri
lo	huruvolitive
cwah	imurii
nlah	kaingahoko,
nlih	kaingahere
cyih	huruconlmued
lwah	takeperlative
pfih	āhuatangaahuwhakamua
tsih	konei
ce	iraroitehoropaki
pcah	hoki
lwih	takedelative
swah	āhuatangasemelfactive
nyih	neo
fu	arotahi
plah	aroha
po	taupaucal
kyih	notemea
ksih	takecausal
gi	ingoa
tfah	nountika
crih	taunakitangakitea
kceh	pai
dwih	hurupūmana
wo	kupu
srah	taenoaki
tweh	taketerminative
nwih	takeinessive
pcih	hurumahu&#39;inga
crah	whakapono
ro	horopakikāwanatanga
cwih	tumanako
kwih	taunakitangafactive
fi	hoki
psih	huruoptative
tseh	hurupea
lweh	takeallative
nrih	iraanthropic
tceh	tautohukaupapataua
re	kaupaparerekē
croh	wehi
mrah	mahino
cyuh	feaa
twuh	hurudubitative
myih	ataahua
lyih	moni
flah	counterfactualhere
we	takevialis
clih	makariri
pyih	rongo
su	kitekahore
kwah	hiahia
le	roa
bo	tūponotanga
mlah	raruraru
syah	ataata
slih	moe
zi	undefined
twoh	takequotative
mo	tangataurutomo
kcih	tēnā
rwih	huruprecative
mrih	rēhitahuatau
rwah	āhuatangateuteu
cyeh	fifili
go	āhuatangagnomic
tsoh	faatura
za	āhuatangainchoative
jwih	hurujussive
mwih	hurufakangofua
sloh	angitu
prih	tūmataiti
de	taketohatoha
tcoh	mamae
ryah	kata
mlih	whakaaronui
ye	tautohupānga
ke	hurucommissive
creh	maumau
mweh	āhuatangacompletive
nrah	mahana
nroh	riri
bwah	Ahakoa
trah	whakapehapeha
mroh	morare
slah	hauora
syih	pāpori
pe	āhuatangacessative
krih	pākiki
tfih	kupuwhakakaha
fe	hopea
prah	peka
trih	taunakitanga
nwah	taketaunakitanga
srih	pouri
zo	zoicira
nweh	eventivehuru
cwoh	tautohukaupapataua
plih	takewhakarea
dwah	ehiahiatiaana
kcoh	ngenge
drah	makona
lu	hurunatulá
frih	rēhitamaheni
frah	patua
mruh	Kuware
djih	aroha
krah	whakawhetai
cruh	whakama
fyah	tautohukīanga
ryih	undefined
kruh	kawa
tyeh	kuputuhi
kreh	nanakia
tleh	hesternalkukū
kfah	patunga
dyih	kino
cloh	irakouma
nloh	Hepārekarekaki
psah	teahoaho
sleh	iravegetal
nruh	harakore
drih	faahiahia
sroh	tohu
brih	turanga
kluh	whakama
bwih	hurubenedictive
klih	hara
grih	kuware
nyeh	takekaupapa
nleh	haehaa
dlih	nuiwhakaroa
proh	taunakitangakorerotia
mloh	wā
du	motuhia
jrih	manawanui
freh	referential
kloh	mokemoke
kroh	ātahu
tcuh	ngākau
kcuh	huruinductive
xa	horopakia&#39;oraa
nreh	io
pseh	āhuatanga
ge	kaihoko
mu	huruadmonitive
byah	hao
pcoh	apiapi
treh	taunakitangahāngai
yo	hurumanawapa
cwuh	ru
tloh	tatakukūmua
dlah	tuhingatino
cluh	kino
myuh	katakata
dyah	distalfakahāhaa&#39;i
rwuh	hae
troh	huruimprecative
dzih	tau&#39;a
swuh	huruassumptive
bzah	jest
gwih	ara
dloh	hodiernalkukū
dweh	āhuatangadelimitative
kweh	tangatamotuhake
truh	pāmahana
tfeh	āhuatangatelic
lyeh	āhuatangaatelic
ru	hurutōtika
kfih	tamariki
cyoh	hihira
nluh	taivaore
cweh	mahanga
nwoh	pakiwaituhi
sruh	oaoa
ksoh	fakasekisualé
lyah	mangere
mreh	āhuatangamomentane
pceh	undefined
bjih	muapohe
pcuh	papûore
xi	āhuatangaritenga
blih	rohe
tsuh	mama
fwih	nui
grah	undefined
brah	tenoho
cleh	undefined
sreh	rēhitaōkawa
pfah	painga
droh	taunakitangamāna
flih	taunakitangainferential
sweh	takesublative
ksuh	huruparau
pleh	faingamālie
psoh	undefined
be	waha
mwoh	undefined
kleh	undefined
glah	apo
kseh	hurufaaiteraa
zrah	nanu
dyoh	ideophone
syoh	undefined
gwah	takeexessive
zlih	huruirrealis
zrih	mamahu
byih	urutaunga
ryeh	tautohutūpou
fwah	ihupiro
bjah	undefined
kxah	manuļa
gvih	takepegative
pxih	tika
xrah	undefined
tfoh	undefined
kxih	contrition
ryoh	takeprosecutive
qyah	mana&#39;ona&#39;oraa
r6	participle
txah	mamaokukūmua
xrih	hītorikukū
dxah	taurua
syuh	super
vweh	undefined
n6	hurutaunakitangarongo
bweh	pokenga
xlih	pukukata
txih	undefined
sluh	undefined
txoh	motinita&#39;uma
xe	kimuri
pxah	undefined
vwah	motinifaaheeraa
xyih	whiriwhiri
fleh	inflected
psuh	takesuperessive
syeh	undefined
qi	Transitive
xruh	hipokina
zwah	wow
tr6h	motiniawa
qwah	undefined
xlah	teao
tyoh	Intransitive
tluh	anticlimax
qa	tautohuhāngaitangaonāianei
kxoh	undefined
rwoh	raupapa
ve	pere
kyoh	undefined
swoh	raupapa
pxeh	takepartitive
txeh	augmentative
dxih	predicative
pxoh	takeprolative
pfoh	kīangapro
blah	blase
fyih	tangatakore
xo	tūrangakaiwhakaari
pc6h	tautamataraa
greh	takecentric
groh	keuwhāinga
dxoh	reowaenganui
rweh	takematahao
xwah	takemanawanui
xu	prehodiernal
xroh	kakahuirotoi
