ni	infinitive
na	ആഖിബ്
ka	ദിതീയവിഭക്തികേസ്
ta	വിഷയംകേസ്
ca	ഹലോ
wu	vocativeകേസ്
kcah	വിശന്നു
ti	callerഇംഗ്ലീഷ്കേസ്
ci	നാമവിശേഷണം
wa	ഒപ്പം
mi	എന്നോട്
sa	നിങ്ങളെ
nyah	ഞങ്ങളെ
ya	അത്
ma	ലക്ഷ്യസ്ഥാനംകേസ്
yi	ഉദാത്തംകേസ്
li	realisമാനസികാവസ്ഥ
tu	deonticമാനസികാവസ്ഥ
cu	സോപാധികമാനസികാവസ്ഥ
si	epistemicമാനസികാവസ്ഥ
yu	പേരകമായകേസ്
nu	ഇന്റീരിയർസന്ദർഭ
pa	വ്യക്തിസന്ദർഭ
tyah	സ്വതന്ത്രക്ലോസ്
la	ആശ്രിതക്ലോസ്
fa	perfectiveവശം
ki	ഭൂതകാലം
ne	പുല്ലിംഗമായ
mwah	comitativeകേസ്
ra	വര്ത്തമാനകാലം
pwah	benefactiveകേസ്
swih	essiveകേസ്
no	negatoryക്വാണ്ടിഫയർ
pi	ഉപരിതലസന്ദർഭ
da	adpositionalകേസ്
te	ലൊക്കേഷൻകേസ്
to	സ്പെയ്സ്സന്ദർഭ
ga	വഴികേസ്
ri	interrogativeമാനസികാവസ്ഥ
ba	അല്ലെങ്കിൽ
ku	എക്സ്ക്ലൂസീവ്അല്ലെങ്കിൽ
so	ഉറവിടകേസ്
pwih	ablativeകേസ്
ksah	ചേര്ച്ച
tsah	പ്രകടനാത്മകമായ
ko	ക്ലോസ്വാൽ
pyah	പക്ഷേ
wi	യൂണിവേഴ്സൽക്വാണ്ടിഫയർ
ji	തുല്യാവകാശംലിംഗഭേദം
pu	പദത്തിന്റെനമ്പർ
bi	ഭാവികാലം
co	സോഷ്യൽസന്ദർഭ
me	imperfectiveവശം
klah	അവിടെ
twah	elativeകേസ്
twih	illativeകേസ്
di	നിർദ്ദേശംമാനസികാവസ്ഥ
tlah	തിരഞ്ഞെടുക്കാവുന്നത്ക്വാണ്ടിഫയർ
kyah	എന്ത്
tcah	ചോദ്യംവചനം
ja	copula
cyah	വ്യക്തി
clah	മറ്റ്
do	അക്കം
tlih	അവകാശസ്ഥാപകമായക്വാണ്ടിഫയർ
se	സമയംസന്ദർഭ
myah	യുനാനികേസ്
tyuh	മാത്രം
tcih	hortativeമാനസികാവസ്ഥ
tyih	മുൻകാലവശം
lo	volitiveമാനസികാവസ്ഥ
cwah	ശേഷം
nlah	alienableഅവകാശമായ
nlih	inalienableഅവകാശമായ
cyih	deliberativeമാനസികാവസ്ഥ
lwah	perlativeകേസ്
pfih	പുരോഗമനവശം
tsih	ഇവിടെ
ce	സന്ദർഭകീഴിൽ
pcah	ഇതും
lwih	delativeകേസ്
swah	semelfactiveവശം
nyih	നവ
fu	ഫോക്കസ്
plah	സ്നേഹം
po	paucalനമ്പർ
kyih	കാരണം
ksih	കാര്യകാരണങ്ങളെകേസ്
gi	പേര്
tfah	സംജ്ഞാനാമം
crih	ദൃശ്യമായevidential
kceh	മെച്ചപ്പെട്ട
dwih	desiderativeമാനസികാവസ്ഥ
wo	വാക്ക്
srah	വരുവോളം
tweh	terminativeകേസ്
nwih	inessiveകേസ്
pcih	ഒഴിച്ചുകൂടാനാവാത്തതാണ്മാനസികാവസ്ഥ
crah	വിശ്വസിക്കുകയും
ro	സംസ്ഥാനസന്ദർഭ
cwih	പ്രത്യാശ
kwih	factiveevidential
fi	മടക്കം
psih	optativeമാനസികാവസ്ഥ
tseh	സാധ്യതയുള്ളമാനസികാവസ്ഥ
lweh	allativeകേസ്
nrih	ആന്ത്രോപിക്ലിംഗഭേദം
tceh	അതേവിഷയംമാർക്കർ
re	വ്യത്യസ്തവിഷയം
croh	പേടി
mrah	മനസ്സിലാക്കുക
cyuh	സംശയം
twuh	dubitativeമാനസികാവസ്ഥ
myih	മനോഹരമായ
lyih	പലിശ
flah	counterfactualസോപാധിക
we	vialisകേസ്
clih	തണുത്ത
pyih	സമാധാനം
su	ഒഴികെ
kwah	ആഗ്രഹം
le	നീളം
bo	സംഭാവത
mlah	കഷ്ടത
syah	പുഞ്ചിരി
slih	ഉറക്കം
zi	ഉദ്ധരിച്ച
twoh	quotativeകേസ്
mo	ഇൻക്ലൂസീവ്വ്യക്തി
kcih	ദയവായി
rwih	precativeമാനസികാവസ്ഥ
mrih	വിനീതമായരജിസ്റ്റർചെയ്യുക
rwah	വരനുംവശം
cyeh	അത്ഭുതവും
go	gnomicവശം
tsoh	ബഹുമാനം
za	inchoativeവശം
jwih	jussiveമാനസികാവസ്ഥ
mwih	അനുവാദാത്മകമാനസികാവസ്ഥ
sloh	വിജയം
prih	സ്വകാര്യ
de	വിതരണാത്മകമായകേസ്
tcoh	വേദന
ryah	ചിരിക്കുക
mlih	ജ്ഞാനികൾ
ye	കൈയടക്കിവയ്ക്കുവാൻമാർക്കർ
ke	commissiveമാനസികാവസ്ഥ
creh	വൃഥാ
mweh	completiveവശം
nrah	ഊഷ്മള
nroh	കോപം
bwah	ആയിട്ടും
trah	അഹങ്കാരം
mroh	സദാചാര
slah	ആരോഗ്യം
syih	സാമൂഹിക
pe	cessativeവശം
krih	കൗതുകകരമായ
tfih	intensifier
fe	അവസാനമായി
prah	വേറിട്ടു
trih	evidential
nwah	evidentialകേസ്
srih	ദുഃഖകരമായ
zo	zoicലിംഗഭേദം
nweh	eventiveമാനസികാവസ്ഥ
cwoh	ഒരേഇവന്റ്മാർക്കർ
plih	ഗുണനത്തിലുംകേസ്
dwah	ആവശ്യമുള്ള
kcoh	ക്ഷീണിച്ച
drah	സംതൃപ്തിയുണ്ട്
lu	ഊഹക്കച്ചവടമാനസികാവസ്ഥ
frih	പരിചിതമായരജിസ്റ്റർചെയ്യുക
frah	മുറിവേറ്റ
mruh	മൂഢൻ
djih	സഹതാപം
krah	നന്ദിപറയുക
cruh	ലജ്ജ
fyah	വാചകംമാർക്കർ
ryih	നിയമിച്ച
kruh	കയ്പേറിയ
tyeh	ടെക്സ്റ്റ്
kreh	ക്രൂരവും
tleh	നാമവിശേഷണhesternal
kfah	യാഗം
dyih	വെറുപ്പ്
cloh	യുക്തിബോധംലിംഗഭേദം
nloh	ആസ്വദിക്കാൻ
psah	നിരാശപ്പെടരുത്
sleh	vegetalലിംഗഭേദം
nruh	നിരപരാധികളായ
drih	ആരാധനാപാതം
sroh	മാപ്പ്
brih	അടിത്തറ
kluh	ചിന്താക്കുഴപ്പം
bwih	benedictiveമാനസികാവസ്ഥ
klih	കുറ്റവാളികളായ
grih	അറിവില്ലാത്ത
nyeh	മുൻകൈകേസ്
nleh	എളിയ
dlih	ഒഴിച്ചുകൂടാനാവാത്തതാണ്വൈകും
proh	റിപ്പോർട്ട്evidential
mloh	അനാട്ടമി
du	ക്രിയ
jrih	ക്ഷമ
freh	റെഫെറെൻഷ്യൽ
kloh	ഏകാന്തമായ
kroh	വശത
tcuh	ആവേശം
kcuh	ഇൻഡക്റ്റീവ്മാനസികാവസ്ഥ
xa	വ്യവഹാരത്തിന്റെസന്ദർഭ
nreh	നാഡീബലമുള്ള
pseh	വീക്ഷണ
ge	ഏജന്റ്
mu	admonitiveമാനസികാവസ്ഥ
byah	അധികാരതൃഷ്ണ
pcoh	തിങ്ങിയ
treh	നേരിട്ടുള്ളevidential
yo	വിവേകബുദ്ധിയുള്ളമാനസികാവസ്ഥ
cwuh	ഞെട്ടുക
tloh	ഭൂതകാലംസമീപകാല
dlah	കൃത്യമായലേഖനം
cluh	അവലക്ഷണമായ
myuh	നര്മ്മം
dyah	പ്രകടനാത്മകമായdistal
rwuh	അസൂയാലുവായ
troh	imprecativeമാനസികാവസ്ഥ
dzih	സാധാരണത്വം
swuh	assumptiveമാനസികാവസ്ഥ
bzah	തമാശയും
gwih	അതായത്
dloh	നാമവിശേഷണhodiernal
dweh	delimitativeവശം
kweh	എക്സ്ക്ലൂസീവ്വ്യക്തി
truh	താപനില
tfeh	telicവശം
lyeh	atelicവശം
ru	prohibitiveമാനസികാവസ്ഥ
kfih	ബാലിശമായ
cyoh	സംശയാസ്പദമായ
nluh	കൂറ്
cweh	കെണി
nwoh	ആനിമേറ്റഡ്
sruh	സന്തോഷം
ksoh	ലൈംഗികമായ
lyah	മടിയനായ
mreh	momentaneവശം
pceh	ഖേദം
bjih	മുൻമരിച്ചത്
pcuh	അനിശ്ചിതത്വം
xi	ഒൺലൈൻവശം
blih	അതിരുകള്
tsuh	പേജുകളുള്ള
fwih	പ്രൗഢോജ്ജ്വലമായ
grah	കപടമുള്ള
brah	സേച്ഛാചാരിയായ
cleh	ഷാജഹാനെ
sreh	ഔപചാരികമായരജിസ്റ്റർചെയ്യുക
pfah	പ്രയോജനകരമായ
droh	ശ്രവണevidential
flih	inferentialevidential
sweh	sublativeകേസ്
ksuh	പ്രസ്താവനമാനസികാവസ്ഥ
pleh	വിശേഷാധികാരമുള്ളതായി
psoh	അജയ്യനായ
be	വാക്കാലുള്ള
mwoh	reverie
kleh	അരിഷ്ടത
glah	കൊതി
kseh	ഉറപ്പിക്കുന്നമാനസികാവസ്ഥ
zrah	അസംതൃപ്തിയും
dyoh	ideophone
syoh	ഗീതാലാപനമാണ്
gwah	exessiveകേസ്
zlih	irrealisമാനസികാവസ്ഥ
zrih	ലജ്ജാശീലം
byih	അനുകൂലനം
ryeh	സർവ്വനാമംമാർക്കർ
fwah	ഒതുങ്ങി
bjah	താമസ്സസ്ഥലവുമായി
kxah	socio-
gvih	pegativeകേസ്
pxih	പരിരക്ഷകൾ
xrah	കാലഹരണപ്പെടുന്ന
tfoh	ഇനി
kxih	contrition
ryoh	prosecutiveകേസ്
qyah	ചിന്ത
r6	രൂപവും
txah	വിദൂരഭൂതകാലവുംനാമവിശേഷണ
xrih	നാമവിശേഷണചരിത്ര
dxah	ഡ്യുവൽനമ്പർ
syuh	സൂപ്പർ
vweh	അനുഷ
n6	സെൻസറിevidentialമാനസികാവസ്ഥ
bweh	ഒഴിയാബാധ
xlih	നിലനില്ക്കുകയും
txih	twinge
sluh	സ്വയംതൃപ്തി
txoh	മോഷൻകയറ്റത്തിൽ
xe	മുന്കാല
pxah	പിടിക്കും
vwah	ഇറക്കംചലനം
xyih	എലൈറ്റ്
fleh	വിഭക്തി
psuh	superessiveകേസ്
syeh	സറ്റൈറിനെ
qi	സകർമ്മകം
xruh	ശൈലിക്ക്
zwah	വൗ
tr6h	upriverചലനം
qwah	unambitious
xlah	ലോകവ്യാപകമായി
tyoh	അകർമ്മകമായ
tluh	anticlimax
qa	നിലവിലെപ്രസക്തിമാർക്കർ
kxoh	നായക്ഷീണിതനാണ്
rwoh	ORDINAL
ve	വെക്റ്റർ
kyoh	കിലോ
swoh	തുടർച്ചയായ
pxeh	partitiveകേസ്
txeh	augmentative
dxih	predicative
pxoh	prolativeകേസ്
pfoh	പ്രോപദപ്രയോഗം
blah	blase
fyih	നോൺമനുഷ്യ
xo	നടൻറോൾ
pc6h	ട്രയൽനമ്പർ
greh	കേന്ദ്രീകൃതകേസ്
groh	ലക്ഷ്യംട്രിഗർ
dxoh	മിഡിൽശബ്ദം
rweh	ചരിഞ്ഞകേസ്
xwah	ക്ഷമകേസ്
xu	prehodiernal
xroh	ഉള്ളുകൊണ്ടു
ks6h	ജനറർ
vi	ബൈനറിമൂല്യം
dleh	മോഡൽകേസ്
gjeh	മറ്റാരോ
xreh	സഹപ്രവർത്തകൻ
lwoh	locativeകേസ്
ml6h	multalനമ്പർ
gjih	ഗാലക്സിലിംഗഭേദം
qlah	നക്ഷത്രലിംഗഭേദം
bvih	abessiveകേസ്
dvah	adessiveകേസ്
je	agentiveകേസ്
t6	ഏജന്റ്ട്രിഗർ
kxeh	കേസിൽ
gxih	സാധാരണലിംഗഭേദം
tc6h	സൈറ്റേഷൻഫോം
ts6h	ട്രാൻസ്അക്കം
ryuh	നേരിട്ടുള്ളഒബ്ജക്റ്റ്
gveh	ergativeകേസ്
pyoh	കർമ്മണിപ്രയോഗത്തിൽ
qe	ജനകമായക്രിയ
xwih	പ്രാഥമികഒബ്ജക്റ്റ്
myoh	gnomicമാനസികാവസ്ഥ
vrih	അവസാനകണം
va	evitativeകേസ്
bveh	subessiveകേസ്
dxeh	കൈവശമാക്കികേസ്
dvih	lativeകേസ്
tsa7h	antessiveകേസ്
dyeh	adverbialകേസ്
mleh	ലിംഗഭേദംആനിമേറ്റുചെയ്യുന്നതിന്
pfeh	കഴിവുറ്റസന്തോഷം
xleh	വാഹനംലിംഗഭേദം
qlih	ധാതുലിംഗഭേദം
xloh	പദനാമം
dreh	രണ്ടാംഭാഷ
bvah	ആത്മവിശ്വാസം
qrah	ഇവന്റ്മാറ്റം
fo	വിവിധഇവന്റ്
sl6h	നാമവിശേഷണcrastinal
fyoh	റിഫ്ലെക്സീവ്ശബ്ദം
bxih	പ്രപഞ്ചംലിംഗഭേദം
jlih	സകർമ്മകംക്രിയ
kyeh	ലൊക്കാലിറ്റിലിംഗഭേദം
txuh	ഗവേഷണലിംഗഭേദം
s6	കലാപരമായലിംഗഭേദം
preh	ക്ഷമട്രിഗ്ഗർ
sr6h	അബ്സ്ട്രാക്റ്റ്ലിംഗഭേദം
nyoh	പരോക്ഷമായപ്രസംഗം
zreh	exocentricകേസ്
kfeh	perfectiveകഴിഞ്ഞ
jo	അമൂർത്തക്രിയ
kxuh	കൂട്ടായനാമം
bu	absolutiveകേസ്
qrih	ഗ്രഹങ്ങളുടെലിംഗഭേദം
kfoh	കോർbenefactive
kwoh	associativeകേസ്
pluh	അതിശ്രേഷ്ഠകേസ്
jrah	വൈദ്യുതി
glih	നിർജീവലിംഗഭേദം
p6	propositiveമാനസികാവസ്ഥ
vrah	മിഷൻപ്രവർത്തനങ്ങൾക്കായിശബ്ദം
lyuh	തുടർച്ചയായക്ലോസ്
gleh	ഉടൻഭാവികാലം
lyoh	applicativeശബ്ദം
ps6h	antipassiveശബ്ദം
tfuh	continutiveവശം
nr6h	necessitativeമാനസികാവസ്ഥ
pr6h	സ്വായത്തമാക്കാൻരൂപവും
sy6h	നിലനിൽപ്പിന്റെക്ലോസ്
qyih	പ്രകാശസാന്ദ്രത
gluh	singulativeനമ്പർ
kwuh	അമിതമായദൈർഘ്യം
