hnit	infinitive
hnak	ആഖിബ്
hkak	ദിതീയവിഭക്തികേസ്
htak	വിഷയംകേസ്
hpap	അച്ഛന്
hmam	മാം
hyat	രക്ഷാകർതൃ
hcan	ഹലോ
hwik	vocativeകേസ്
hsuc	പൂര്വ്വികന്
htat	മുത്തച്ഛൻ
hcac	വിശന്നു
hnik	callerഇംഗ്ലീഷ്കേസ്
hcit	നാമവിശേഷണം
hwan	ഒപ്പം
hman	എന്നോട്
hnan	നിങ്ങളെ
hwam	ഞങ്ങളെ
htit	അത്
htac	ലക്ഷ്യസ്ഥാനംകേസ്
htik	ഉദാത്തംകേസ്
hyit	realisമാനസികാവസ്ഥ
htim	deonticമാനസികാവസ്ഥ
hcut	സോപാധികമാനസികാവസ്ഥ
hsit	epistemicമാനസികാവസ്ഥ
hyak	പേരകമായകേസ്
htan	ഇന്റീരിയർസന്ദർഭ
hpan	വ്യക്തിസന്ദർഭ
htin	സ്വതന്ത്രക്ലോസ്
hyan	ആശ്രിതക്ലോസ്
hfap	perfectiveവശം
hkat	ഭൂതകാലം
hnin	പുല്ലിംഗമായ
hmak	comitativeകേസ്
hnat	വര്ത്തമാനകാലം
hpak	benefactiveകേസ്
swik	essiveകേസ്
htut	negatoryക്വാണ്ടിഫയർ
hsan	ഉപരിതലസന്ദർഭ
hpin	adpositionalകേസ്
hwin	ലൊക്കേഷൻകേസ്
hkan	സ്പെയ്സ്സന്ദർഭ
hnac	വഴികേസ്
hyut	interrogativeമാനസികാവസ്ഥ
hnam	അല്ലെങ്കിൽ
hkit	എക്സ്ക്ലൂസീവ്അല്ലെങ്കിൽ
hsuk	ഉറവിടകേസ്
hpik	ablativeകേസ്
hcat	ചേര്ച്ച
hmat	പ്രകടനാത്മകമായ
hkuk	ക്ലോസ്വാൽ
hlan	പക്ഷേ
hsut	എല്ലാം
hyin	യൂണിവേഴ്സൽക്വാണ്ടിഫയർ
hcin	തുല്യാവകാശംലിംഗഭേദം
hpac	പദത്തിന്റെനമ്പർ
hyik	ഒന്ന്
htic	അവരുടെ
hkik	ആര്
tcat	ഭാവികാലം
hsin	സോഷ്യൽസന്ദർഭ
hkac	എപ്പോൾ
hmip	imperfectiveവശം
klan	അവിടെ
hlak	elativeകേസ്
hlik	illativeകേസ്
htam	നിർദ്ദേശംമാനസികാവസ്ഥ
hlat	തിരഞ്ഞെടുക്കാവുന്നത്ക്വാണ്ടിഫയർ
hkam	എന്ത്
hwat	ചോദ്യംവചനം
htap	copula
hpat	വ്യക്തി
nyan	ആൺ
hkas	could
tcan	മറ്റ്
hnuc	അക്കം
twit	അവകാശസ്ഥാപകമായക്വാണ്ടിഫയർ
hsak	സമയംസന്ദർഭ
htuk	യുനാനികേസ്
htun	മാത്രം
htum	hortativeമാനസികാവസ്ഥ
hyip	മുൻകാലവശം
hlit	volitiveമാനസികാവസ്ഥ
pcic	ആവശമാകുന്നു
tyut	രണ്ട്
hsat	കാണുക
hkut	അറിയുക
hcic	താഴേക്ക്
hcap	ശേഷം
hpam	ആദ്യം
hlac	alienableഅവകാശമായ
hkap	ഒരിക്കലും
hnic	inalienableഅവകാശമായ
tyat	പഴയ
tcit	deliberativeമാനസികാവസ്ഥ
tcin	ദിവസം
hlam	വരിക
hwak	സരം
hkin	പോയി
lwak	perlativeകേസ്
hpip	പുരോഗമനവശം
lyan	നീളമുള്ള
hsac	പറയുക
kyan	എങ്ങനെ
htas	വീണ്ടും
hsic	ഇവിടെ
hcik	ചിന്തിക്കുക
hcak	സന്ദർഭകീഴിൽ
hfan	കണ്ടെത്തി
hsun	കൈ
hyac	ഇതും
nwan	യുവ
tyit	എതിരായി
