ni	infinitive
na	номинативхэрэг
ka	ялгалхэрэг
ta	сэдэвхэрэг
ca	Сайнуу
wu	vocativeхэрэг
kcah	олон
ti	genitiveхэрэг
ci	тэмдэгнэр
wa	болон
mi	би
sa	Та
nyah	АНУ-ын
ya	энэнь
ma	очиххэрэг
yi	өгөхоршихынтийнялгалхэрэг
li	realisсэтгэлийнбайдал
tu	deonticсэтгэлийнбайдал
cu	нөхцөлтсэтгэлийнбайдал
si	epistemicсэтгэлийнбайдал
yu	багажийнхэрэг
nu	дотооднөхцөлбайдал
pa	хүнтухайн
tyah	биедаасанзаалт
la	хамааралтайзаалт
fa	perfectiveасуудал
ki	өнгөрсөнцаг
ne	эрхүйсийн
mwah	comitativeхэрэг
ra	Одооцаг
pwah	benefactiveхэрэг
swih	essiveхэрэг
no	negatoryquantifier
pi	гадаргуугийннөхцөл
da	adpositionalхэрэг
te	байршилхэрэг
to	зайнөхцөл
ga	аргазамхэрэг
ri	interrogativeсэтгэлийнбайдал
ba	болонэсвэл
ku	онцгой,эсвэл
so	эхүүсвэрхэрэг
pwih	гуужуулахэмчилгээхэрэг
ksah	ойрхонбайх
tsah	demonstrative
ko	заалтсүүл
pyah	гэхдээ
wi	нийтийнquantifier
ji	эмэгтэйлэгхүйсийн
pu	олонтоонытоо
bi	ирээдүйцаг
co	нийгмийннөхцөл
me	imperfectiveасуудал
klah	Тэнд
twah	elativeхэрэг
twih	illativeхэрэг
di	удирдамжсэтгэлийнбайдал
tlah	сонгонquantifier
kyah	ямар
tcah	асуултүг
ja	copula
cyah	хүн
clah	бусад
do	тоо
tlih	нааштайquantifier
se	цагхугацаанөхцөлбайдал
myah	материаллагхэрэг
tyuh	зөвхөн
tcih	hortativeсэтгэлийнбайдал
tyih	буцаанасуудал
lo	volitiveсэтгэлийнбайдал
cwah	дараа
nlah	alienableэзэмших
nlih	салшгүйэзэмших
cyih	зөвлөлдөхсэтгэлийнбайдал
lwah	perlativeхэрэг
pfih	дэвшилтэттал
tsih	энд
ce	нөхцөлдор
pcah	мөн
lwih	delativeхэрэг
swah	semelfactiveасуудал
nyih	нео
fu	анхааралхандуулах
plah	хайртай
po	paucalдугаар
kyih	учирнь
ksih	учиршалтгааныхэрэг
gi	нэр
tfah	зохихнэрүг
crih	харагдахуйцнотлох
kceh	илүүсайн
dwih	desiderativeсэтгэлийнбайдал
wo	үг
srah	хүртэл
tweh	terminativeхэрэг
nwih	inessiveхэрэг
pcih	чухалсэтгэлийнбайдал
crah	итгэжбайна
ro	төрийннөхцөлбайдал
cwih	гэдэгтнайдажбайна
kwih	factiveнотлох
fi	буцах
psih	optativeсэтгэлийнбайдал
tseh	боломжитсэтгэлийнбайдал
lweh	allativeхэрэг
nrih	anthropicхүйсийн
tceh	ижилзүйлмаркер
re	өөрөөрзүйл
croh	айдас
mrah	ойлгох
cyuh	сэжиг
twuh	dubitativeсэтгэлийнбайдал
myih	сайхан
lyih	хүү
flah	эсрэгбаримтыгболзол
we	vialisхэрэг
clih	хүйтэн
pyih	амарамгалан
su	бусад
kwah	хүсэл
le	уртнь
bo	магадлал
mlah	гай
syah	инээмсэглэл
slih	унтах
zi	иштатсан
twoh	quotativeхэрэг
mo	хамааруулсанхүн
kcih	үү
rwih	precativeсэтгэлийнбайдал
mrih	эелдэгбүртгэл
rwah	ирээдүйнасуудал
cyeh	гайхдаг
go	gnomicасуудал
tsoh	хүндэтгэх
za	inchoativeасуудал
jwih	jussiveсэтгэлийнбайдал
mwih	зөвшөөрсөнсэтгэлийнбайдал
sloh	амжилт
prih	хувийн
de	хуваарилалтынхэрэг
tcoh	өвдөлт
ryah	инээд
mlih	мэргэн
ye	possessiveмаркер
ke	commissiveсэтгэлийнбайдал
creh	хоосон
mweh	completiveасуудал
nrah	дулаан
nroh	уурхилэн
bwah	хэдийч
trah	бахархал
mroh	ёссуртахууны
slah	эрүүлмэнд
syih	нийгмийн
pe	cessativeасуудал
krih	сониуч
tfih	машнягт
fe	эцэстнь
prah	хажуутийш
trih	нотлох
nwah	нотлоххэрэг
srih	гунигтай
zo	zoicхүйсийн
nweh	eventiveсэтгэлийнбайдал
cwoh	ижилүйлявдалмаркер
plih	multiplicativeхэрэг
dwah	хүссэн
kcoh	ядарсан
drah	сэтгэлхангалуун
lu	эрсдэлтэйсэтгэлийнбайдал
frih	танилбүртгэл
frah	шархадсан
mruh	тэнэг
djih	хайрэнэрэлийг
krah	баярлалаа
cruh	ичгүүр
fyah	өгүүлбэрмаркер
ryih	preordained
kruh	гашуун
tyeh	текст
kreh	хэрцгий
tleh	hesternalцаг
kfah	золиослох
dyih	үзэняддаг
cloh	оновчтойхүйсийн
nloh	эдэлнэ
psah	цөхрөл
sleh	vegetalхүйсийн
nruh	гэмзэмгүй
drih	гайхал
sroh	уучлал
brih	үндсэн
kluh	төөрөгдөл
